	ts	te
T0	35.0	20.15
T1	31.91	11.54
T3	31.67	13.76
T4	29.95	25.25
T5	29.18	8.74
T6	28.56	19.45
T7	28.26	13.22
T8	28.12	16.92
T9	27.88	20.1
T10	27.67	17.18
T11	27.65	18.61
T12	27.07	15.17
T13	27.02	17.87
T14	26.97	13.74
T15	26.78	9.87
T17	26.3	12.31
T19	26.04	17.39
T20	25.95	15.32
T21	25.92	9.97
T22	25.78	16.74
T23	25.72	16.79
T24	25.19	23.46
T25	25.09	15.37
T26	25.0	17.48
T27	24.99	19.05
T28	24.97	18.57
T30	24.71	14.46
T31	24.64	15.33
T33	24.54	21.83
T34	24.48	6.77
T35	24.43	21.54
T36	24.36	12.93
T37	24.11	15.19
T38	24.09	13.41
T40	23.9	15.26
T41	23.79	12.6
T42	23.67	14.2
T44	23.47	13.96
T45	23.42	19.33
T46	23.34	16.12
T47	23.21	17.38
T48	23.15	17.41
T49	23.08	22.94
T50	22.54	15.65
T51	22.41	13.13
T52	22.33	15.53
T53	22.28	16.38
T54	22.17	18.09
T56	22.1	13.7
T57	22.07	14.16
T58	22.05	11.96
T60	22.0	13.92
T61	21.99	13.45
T63	21.82	16.15
T64	21.81	11.57
T65	21.81	15.81
T67	21.68	19.8
T68	21.65	18.64
T69	21.59	18.86
T70	21.57	10.88
T71	21.56	16.57
T72	21.54	16.26
T73	21.37	16.74
T74	21.16	20.3
T75	21.16	18.61
T76	21.03	17.54
T77	21.0	17.49
T78	20.97	19.13
T80	20.95	15.39
T81	20.92	19.74
T82	20.91	13.98
T83	20.9	9.87
T84	20.89	10.02
T85	20.86	20.18
T86	20.84	14.66
T87	20.84	13.27
T88	20.75	11.14
T89	20.49	15.51
T90	20.48	18.02
T93	20.33	15.79
T94	20.31	7.93
T95	20.03	13.11
T96	20.01	9.65
T97	19.93	17.53
T98	19.92	17.53
T100	19.89	13.51
T101	19.86	12.71
T102	19.86	18.86
T103	19.84	17.05
T104	19.8	8.25
T105	19.79	18.26
T106	19.76	0.57
T107	19.73	18.81
T108	19.68	14.64
T109	19.64	15.72
T110	19.58	0.0
T111	19.55	13.61
T112	19.54	11.92
T113	19.53	13.1
T115	19.41	8.97
T116	19.36	17.55
T117	19.35	14.1
T118	19.34	18.59
T119	19.28	11.07
T121	19.12	15.63
T122	19.1	15.65
T123	19.06	17.35
T124	19.05	16.73
T125	19.04	16.2
T126	19.03	18.81
T127	18.94	12.31
T128	18.85	15.69
T129	18.85	18.58
T130	18.82	16.02
T131	18.69	17.36
T132	18.61	14.82
T133	18.53	14.1
T134	18.51	0.0
T135	18.48	17.73
T136	18.46	17.06
T137	18.39	13.84
T138	18.39	11.77
T139	18.24	13.84
T140	18.12	12.08
T141	18.09	15.01
T143	17.99	13.85
T144	17.95	14.26
T145	17.94	16.72
T146	17.84	15.09
T147	17.83	0.81
T148	17.8	15.27
T150	17.72	13.22
T151	17.67	12.6
T152	17.66	16.96
T153	17.63	14.61
T154	17.44	16.35
T155	17.41	12.87
T156	17.32	13.32
T157	17.29	11.8
T158	17.17	11.49
T159	17.07	14.8
T160	17.01	11.49
T161	16.96	8.18
T162	16.94	13.98
T163	16.84	8.79
T164	16.81	14.4
T165	16.64	11.16
T166	16.62	10.43
T167	16.44	15.83
T168	16.43	13.87
T169	16.28	12.66
T170	16.24	13.05
T171	16.18	13.83
T172	16.15	3.49
T174	15.81	10.17
T175	15.78	11.98
T176	15.7	11.26
T179	15.62	11.94
T180	15.6	11.17
T181	15.59	13.48
T183	15.31	11.15
T184	15.3	11.38
T185	15.24	12.42
T186	14.75	12.35
T188	14.61	10.01
T190	14.33	13.3
T191	14.31	10.61
T194	14.06	13.22
T195	14.05	0.93
T199	13.6	12.19
T202	13.34	11.8
T203	13.26	12.04
T208	12.74	5.53
T209	12.64	11.93
T210	12.48	8.13
T211	12.42	5.12
T212	12.19	11.26
T215	11.65	9.04
T216	11.61	9.94
T219	10.37	9.68
T220	9.37	5.1
T223	6.66	5.58
T226	0.6	0.41
