	ts	te
T0	35.0	26.08
T1	34.72	32.14
T3	33.1	24.53
T6	31.54	26.57
T7	29.68	24.08
T8	28.0	25.4
T9	27.79	19.96
T11	27.44	22.85
T12	26.27	6.17
T13	26.02	23.01
T14	25.68	19.82
T16	25.36	20.97
T18	24.55	0.0
T19	24.52	21.74
T20	24.39	23.19
T21	23.84	19.39
T22	23.45	21.52
T23	23.3	20.54
T24	23.27	19.42
T26	23.01	17.9
T27	22.77	19.91
T28	22.75	17.51
T29	22.41	20.48
T31	22.37	16.27
T33	21.99	21.4
T34	21.93	0.0
T35	21.44	20.03
T36	21.38	0.0
T37	21.01	18.47
T38	20.93	16.24
T39	20.76	18.51
T40	20.58	10.68
T43	20.17	18.15
T44	20.14	16.84
T45	20.1	16.96
T46	20.02	17.55
T48	19.97	8.46
T49	19.83	18.29
T50	19.59	18.43
T51	19.48	15.21
T53	18.97	16.84
T55	18.71	18.38
T56	18.69	0.0
T57	18.48	16.95
T61	18.22	12.08
T62	18.03	15.78
T63	17.98	15.77
T65	17.85	16.01
T66	17.32	8.66
T67	17.31	15.02
T70	17.07	13.4
T71	16.91	4.77
T72	16.73	4.12
T74	16.5	15.9
T76	16.42	15.08
T77	16.41	11.18
T79	16.29	12.97
T80	16.27	10.72
T81	16.17	14.43
T82	16.06	3.67
T83	15.78	13.75
T84	15.72	11.84
T85	15.49	2.32
T88	14.75	6.32
T90	14.53	10.94
T94	14.1	11.68
T96	13.85	5.47
T98	13.84	0.0
T99	13.82	0.0
T100	13.58	12.39
T102	13.3	11.61
T103	13.13	9.81
T104	12.86	12.35
T105	12.7	0.0
T107	12.46	7.25
T109	12.04	0.0
T112	11.78	9.97
T113	11.64	10.68
T114	10.94	10.42
T115	10.86	0.0
T116	10.58	9.18
T117	10.32	9.04
T118	10.11	0.0
T119	10.06	8.76
T121	9.93	5.75
T122	9.84	0.94
T125	9.01	6.88
T126	9.0	0.0
T127	8.93	5.51
T128	8.72	8.56
T129	8.59	0.0
T130	8.42	0.85
T131	8.36	5.43
T132	8.32	0.42
T134	7.72	4.01
T135	7.61	2.52
T136	7.3	3.53
T137	7.17	1.4
T138	7.09	0.0
T139	7.0	3.24
T142	6.56	1.13
T143	6.48	0.0
T144	6.48	1.55
T145	6.47	5.42
T146	6.3	0.0
T147	6.24	2.98
T148	6.11	0.0
T150	6.06	5.49
T151	5.88	0.0
T152	5.84	3.69
T153	5.75	0.0
T154	5.51	3.47
T155	5.48	0.0
T156	5.43	4.04
T158	5.39	1.45
T159	5.24	0.39
T160	5.0	2.6
T162	4.83	0.0
T164	4.66	0.0
T169	4.17	0.0
T170	4.17	3.18
T171	4.14	0.0
T174	3.82	0.0
T175	3.8	0.0
T176	3.69	0.0
T178	3.49	2.89
T179	3.22	0.0
T180	3.09	1.02
T183	2.69	2.16
T184	2.66	0.0
T186	2.61	0.0
T187	2.6	0.0
T188	2.55	1.76
T190	2.46	0.0
T191	2.37	0.0
T192	2.25	0.0
T193	2.21	0.76
T194	2.19	0.0
T195	2.06	0.0
T196	2.0	0.0
T198	1.71	0.65
T199	1.6	0.0
T200	1.59	0.46
T201	1.43	0.0
T204	1.2	0.0
T205	1.16	0.0
T207	0.66	0.0
T208	0.24	0.0
