it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	q_4	q_5	q_6	q_7	q_8	q_9	q_10	q_11	q_12	q_13	alpha	hypQ	k_birth	k_death	RJ_hp	root_age	death_age	tot_length	T0_TS	T1_TS	T5_TS	T8_TS	T9_TS	T10_TS	T12_TS	T13_TS	T14_TS	T15_TS	T16_TS	T17_TS	T19_TS	T22_TS	T27_TS	T28_TS	T29_TS	T34_TS	T35_TS	T36_TS	T39_TS	T40_TS	T41_TS	T42_TS	T46_TS	T47_TS	T49_TS	T50_TS	T53_TS	T57_TS	T58_TS	T60_TS	T62_TS	T64_TS	T66_TS	T69_TS	T70_TS	T71_TS	T72_TS	T75_TS	T78_TS	T79_TS	T80_TS	T81_TS	T82_TS	T83_TS	T88_TS	T89_TS	T90_TS	T92_TS	T93_TS	T94_TS	T95_TS	T96_TS	T97_TS	T98_TS	T99_TS	T101_TS	T103_TS	T104_TS	T105_TS	T108_TS	T109_TS	T110_TS	T111_TS	T112_TS	T114_TS	T115_TS	T123_TS	T124_TS	T125_TS	T126_TS	T127_TS	T128_TS	T129_TS	T130_TS	T131_TS	T132_TS	T133_TS	T135_TS	T136_TS	T138_TS	T139_TS	T140_TS	T146_TS	T147_TS	T148_TS	T151_TS	T155_TS	T156_TS	T157_TS	T160_TS	T162_TS	T163_TS	T164_TS	T165_TS	T166_TS	T167_TS	T168_TS	T170_TS	T171_TS	T173_TS	T175_TS	T179_TS	T182_TS	T184_TS	T185_TS	T186_TS	T188_TS	T189_TS	T190_TS	T191_TS	T192_TS	T193_TS	T194_TS	T195_TS	T198_TS	T199_TS	T0_TE	T1_TE	T5_TE	T8_TE	T9_TE	T10_TE	T12_TE	T13_TE	T14_TE	T15_TE	T16_TE	T17_TE	T19_TE	T22_TE	T27_TE	T28_TE	T29_TE	T34_TE	T35_TE	T36_TE	T39_TE	T40_TE	T41_TE	T42_TE	T46_TE	T47_TE	T49_TE	T50_TE	T53_TE	T57_TE	T58_TE	T60_TE	T62_TE	T64_TE	T66_TE	T69_TE	T70_TE	T71_TE	T72_TE	T75_TE	T78_TE	T79_TE	T80_TE	T81_TE	T82_TE	T83_TE	T88_TE	T89_TE	T90_TE	T92_TE	T93_TE	T94_TE	T95_TE	T96_TE	T97_TE	T98_TE	T99_TE	T101_TE	T103_TE	T104_TE	T105_TE	T108_TE	T109_TE	T110_TE	T111_TE	T112_TE	T114_TE	T115_TE	T123_TE	T124_TE	T125_TE	T126_TE	T127_TE	T128_TE	T129_TE	T130_TE	T131_TE	T132_TE	T133_TE	T135_TE	T136_TE	T138_TE	T139_TE	T140_TE	T146_TE	T147_TE	T148_TE	T151_TE	T155_TE	T156_TE	T157_TE	T160_TE	T162_TE	T163_TE	T164_TE	T165_TE	T166_TE	T167_TE	T168_TE	T170_TE	T171_TE	T173_TE	T175_TE	T179_TE	T182_TE	T184_TE	T185_TE	T186_TE	T188_TE	T189_TE	T190_TE	T191_TE	T192_TE	T193_TE	T194_TE	T195_TE	T198_TE	T199_TE
2500000	-2608.29075378465	-47.6752694937657	-2012.24019333072	-548.375290960166	2.99620118205032	1.03059877654064	3.04009325034635	2.05076427425788	2.06676481095365	2.52393740428355	1.4830716769158	3.35593614904847	2.01657969502308	1.84759676306052	3.91365217315711	3.98553066923859	1.42215623969493	3.17370513725446	1.21665278112917	0.457034065382933	3	2	1.49566616684171	34.974783793799	0	570.177216406631	34.974783793799	33.8025895048824	33.2143649316211	31.2133688479544	31.8931437354877	30.1334186829186	29.3016272668134	29.6948488529841	22.3079601942099	30.3106468056774	28.9865970996078	28.9468212554583	28.5178938020367	27.9073539158169	27.330712611485	26.3500038147172	25.1644609276121	25.9207423557378	22.3826248342791	24.6104677249702	24.4601162312877	22.3894742054133	24.2870786189689	23.8498813037873	23.543140377164	20.6969921896958	24.189270807594	23.0217518520964	23.5063381731659	21.4228962842938	19.0401409752904	21.6425126489661	22.8623060878825	21.5755106676849	22.5618241306821	21.7668012328497	20.999835316432	21.2354089750738	20.5385365970423	19.6152785039294	19.5739557927083	20.2674577721728	20.4581544733985	20.5974288367615	19.6958683222328	20.3744236120983	19.3156311617939	18.9672321423524	18.234329702585	19.1931163040921	18.0469337957638	18.3614204189215	18.8076210516313	17.8371424861831	18.0426254406293	17.1855470426085	18.0423323312113	18.3020054904887	15.8604762632703	17.5036434645081	17.3905829837156	18.1460450075244	18.1539411973151	16.5158688275066	18.2828180326956	17.4552881336136	17.0035441520731	15.5031929278935	16.8378387817019	15.5894964081781	14.3188018599627	15.5888888829277	14.9472797741615	15.037737531574	14.0024098640556	14.9144179001881	14.9118357910634	15.2501339675587	16.6609009777575	14.7107430732924	14.1586004983074	14.6960913727258	14.1546723391214	13.472662286312	14.0441180288937	12.5139093574956	11.9614720053548	12.7555074116918	13.1949030823542	7.45832820204313	9.6980443999089	10.5627775429271	10.1971808745925	10.6396583462183	10.2858097874606	10.0984543197464	1.29205387954998	8.59954882163194	9.85488828414057	10.7262437397071	8.05803821525134	7.83837372922957	8.2685213032375	6.50524297528425	4.11388565677648	5.5960070234251	4.36026997848148	2.27056239355933	5.08762189275558	4.25502413777736	3.70508322636915	3.04560614018598	3.49359924804587	6.46209875191328	2.73161555851152	3.05974879199894	1.13777482724091	0.806174432518132	33.4888346478496	31.353917848998	23.9611347457347	31.1948111547672	6.64084613894979	27.7407082227005	28.1719826439041	28.5243365946208	22.1454146757545	0	28.5085426211769	24.430236020747	28.494738206311	26.6485600256709	25.2652745304948	26.3428236113152	24.0578917063454	23.1813431536604	0	22.6730980616905	21.6859464189451	14.6349612678077	16.4342289324299	22.2581807153266	12.9009309183017	16.3807897662218	23.3042803527147	21.8476923698973	20.7902586537425	19.0584423119424	15.5087609416971	21.364573688274	0	20.7366284502934	19.8579244402235	0	20.5207506977148	15.7100961763376	9.36744132847412	15.6371283897943	15.4960213652546	19.2277368102459	17.1686033733171	12.921710618282	17.5792571661738	12.624630347867	16.3559509996289	15.3584954770784	0	16.83590823646	13.0528191815466	12.8694863089501	16.96087589648	0	17.8433035397339	0	16.1226804801974	16.1060329865501	15.589768900585	14.4530440236003	15.4224505175674	14.3948404345943	13.9735546907167	0	15.8638285225084	15.0463206582583	14.1747842532682	0	14.5672181545818	12.5840033514115	13.6584710584603	13.5464355819304	13.6620744661563	0	0	14.3889109808155	0	13.820744767501	0	13.2629118164263	12.9300698021363	6.71091191351676	13.4813589454233	13.1039294693304	10.964922578185	12.4905807855871	0	0	10.5363075624499	6.04213507702209	9.33785217025936	3.43382367061633	7.91772638222212	9.86993721498564	6.58957541849868	0	0	8.4199141186299	8.72381784583095	5.90342485364623	5.75717174365043	7.38376758388553	4.72419800450991	6.13653230621789	2.48366945596551	2.88612440475102	0	0.511814449574866	2.67921272233392	2.33772212145445	0	2.69228705597032	0	1.12525809331957	0	2.11116342670372	0	0
2580000	-2615.71875660715	-39.4732436702186	-2023.3745075677	-552.871005369228	2.84823084988181	1.10762004259563	2.22342682235032	2.01551419571015	1.97207313843849	1.90697033159976	2.06308227509894	3.85328951241292	1.70048010734005	2.57303723303757	4.15135903571409	3.19662925114237	1.88622673380282	5.23989043199329	1.0877620337252	0.613874714939925	2	1	1.4953826646148	35.8105383975934	0	585.021846316346	35.168359678409	35.8105383975934	33.0552906669531	31.2169175845907	31.2971656648767	30.3600817550821	29.2991279329313	30.1606686686423	22.3162851499427	30.1605214955089	29.7975441961253	28.9414652579638	29.225001129438	27.9803998445234	26.3569968336842	26.4286214156871	24.7022208138673	25.3770034481384	21.3845804552387	24.5026032675534	24.7333141759024	22.4996224589814	24.4227597691508	23.2248872350206	23.4322829387046	23.364196210941	24.2926516079585	22.7908158933608	26.3441954894053	21.2825315323388	19.0035067942106	21.4464265070402	22.2431246400873	21.3253452335338	21.6613092006891	21.6340583296326	21.2577778882467	19.9622081041199	20.5139239199283	19.588019252695	20.3722332508508	19.8932993550106	21.2847406263543	21.7740355204939	19.5919853779831	19.8689026315832	18.8040453676999	19.0697334668824	18.2175229426986	18.7488941100149	18.5661366438624	18.7561636098578	18.3715535564942	18.6666574052552	19.1446810567053	18.3413348892975	18.4624840607868	18.6862373910611	15.9549266458856	17.6666695987539	18.6059579417193	18.6408342512511	17.471082867097	20.4055732091109	17.8313484230746	17.0410536214883	16.8420179154031	15.4568733682744	16.0121839275312	16.1818942098385	14.1316696797005	15.329649969229	15.0290022190823	15.0505173245088	14.7071943486066	15.2997747238289	14.9253571851704	14.5180330935288	13.610843800202	14.5426013425839	14.1450014554525	15.7027461396362	14.4782630588256	13.828949610136	13.8571792865559	12.7150147986994	12.0269084247756	18.9569572813507	11.7006323053915	6.1850196941999	9.42513561851564	11.1409880505419	10.0587523369832	10.7668295316517	9.8062424944547	8.94069034368716	1.89424726024246	8.64156519636925	9.57006010562286	9.47619933710074	8.72243298703262	7.77674141992871	8.57626299878955	6.43996970561044	3.08026996797695	6.04714198788688	3.98192019986837	3.56960514082549	4.66928663148781	4.39774863845553	4.95967329148584	3.04337009564735	3.49564793856339	3.34686550693969	2.91856455787309	3.17356405788143	1.14776708616018	0.210113429664448	33.3312824747119	30.1645012686532	23.2071640675903	31.1862345204461	6.51908147359347	28.0594961751161	28.8888712464876	28.4122461431548	22.1746819313982	0	28.4994776834325	24.5219565289175	28.3718128750058	26.5516364972972	25.9037959746293	26.0297297766155	24.0655500322911	23.715634093538	0	22.6969320812971	22.2047326428575	14.7024441687143	16.4151287498499	22.2940925784532	12.98696097688	16.6343459962517	23.4433144776472	21.5521522280502	20.4300677108858	17.7973774200101	15.8528817654604	21.3405295379804	0	20.4840092328329	20.6912635464826	0	20.4251777022502	15.7650648602615	9.69946383017795	14.7324044506096	14.4504322084813	19.3230652768912	16.4934913237552	14.1947709875272	17.9186709740107	14.1380331549869	15.0714311505283	15.3411205814547	0	16.6764361805298	14.9851066491029	12.6627204271227	16.2143160914608	0	16.7553832046021	0	14.9547319497659	15.9198780337622	15.7131708974292	14.4503357427468	15.9174623483608	15.4106568579723	13.4591123933053	0	14.4666331569604	16.0457096026971	12.6849845621085	0	14.4725970826812	12.1677662384039	13.7644197922809	14.4512695480154	13.7207797163114	0	0	13.9171014589974	0	14.1415857127381	0	13.1453764437436	12.8669647340817	5.69738203633397	13.7943602872489	12.3252874850146	12.4069161566756	12.4970125695846	0	0	10.389060517915	6.15635695034771	9.33460351285292	2.81577439146502	8.08357045003478	9.52138778208204	7.73390965619188	0	0	8.53675668613237	7.75515463737228	6.33576451386005	4.69009532046138	7.64748200270013	4.93366793063834	5.80153092358057	2.34473020839889	1.74719880832041	0	0.682806256313054	2.47781014794791	2.06246825048398	0	2.81433849193732	0	2.22155566196756	0	1.83854058487487	0	0
2650000	-2640.64139247051	-38.3444270245694	-2043.76750561131	-558.529459834628	1.89546636554034	1.07926874991963	2.83252278064589	1.91631159129928	2.17257449712438	1.77632708358455	1.53428513634948	4.42138623468157	1.50838108330032	1.81053194668384	2.9581903193144	3.44237733060038	1.29213758134031	4.95362952685507	1.32206123933491	0.554519249935118	2	1	1.12163740496562	35.1210656826449	0	582.245642425326	35.1210656826449	34.4734307830305	32.6954297492407	31.3626501474278	32.5807125784167	30.8970724844596	29.4950395539832	31.9598754324874	22.6066528945699	30.0136803126462	29.00044343327	29.0009812089216	28.6358405123794	28.3476611500394	26.3560795323864	26.5872999697468	24.5965254415104	25.2811557553067	20.8627723060021	24.6823111682336	24.2612771889018	22.9718013441552	24.3515028166813	23.6805994668345	23.9334727403727	20.6003180841496	23.7995871705096	22.748512552359	23.1526962305751	21.2212882613744	19.3096732330848	21.4289977026178	22.2095129861704	22.0682331522914	21.480077721172	21.5130755860881	21.4266377797691	20.3908008444745	20.5422962434417	20.1414644589561	19.5297273754596	20.0347002499844	20.679479864176	21.1750108143887	19.4187990303889	19.2089039723859	19.5772338646016	19.3398983015012	18.9407285818284	19.2356024137814	21.0638173032839	18.3695802164177	18.8553000129639	17.4787469201825	19.0471124413391	17.4391968179707	18.2556372764531	17.7176587175997	16.4110524109107	17.4299038724056	17.3657122679457	17.184186342377	17.5363087054503	15.4888608806832	17.4142026522398	17.1517427502604	16.6968754364405	15.2888056422788	15.9696374980392	15.9590299572354	13.8672855417379	15.718407182145	14.9288205311248	15.0779290436966	14.9535199954	14.8517013429613	15.212264010703	15.0115767316107	14.3056614315923	14.4972845957289	14.9361659889875	13.8525675081272	14.0846228573478	13.492792183991	13.0990354167132	12.8190697813247	11.0971016838303	12.1227216791366	11.1780720336277	6.18798562083781	10.2216139009428	12.2886875948739	10.0595954779526	10.0860453411739	10.0572047247608	8.96862676579216	2.05410037667734	8.66227166213958	9.27601043879912	10.0874975466879	9.11370182797408	7.78183994254756	9.75481398318209	8.54120745126508	3.32369077428272	6.15022502282568	5.63459151072917	3.77781992564275	5.39868526898901	4.31254030141389	3.94021226148287	3.56793762083113	3.19766232017433	5.88186157633999	2.78899286949314	4.78814141958084	1.36307747535665	0.856305718349519	33.4925387407323	30.438148509144	23.6505170639342	31.1277558492911	7.11922870283317	28.478790344828	27.9726867892109	28.1615969473474	21.8873596076022	0	28.4773449755267	23.879715809033	28.2706745387177	27.4048167374801	25.9095383874438	26.1401127153627	24.2078511424321	22.3509443453828	0	22.2829283375521	22.7024312459011	14.3760632841802	16.523565352527	22.3037815550214	12.8865802661077	16.7495695625123	23.5211945170363	21.8765707712046	20.8085572692792	17.5876474831059	16.2678914825863	20.918947069961	0	20.0694028549908	20.677778851354	0	20.7987720015088	11.0900590048588	9.11952047341067	15.3607216597874	15.434366456479	19.0344495984329	16.6718217511509	14.1376597735244	17.6953697387845	14.1216763361328	15.8413686435163	15.0760159206267	0	15.7325467726508	14.503874045416	12.8737048082961	16.8715272316878	0	17.7405892688603	0	15.0964201642791	16.7013761748234	15.7671913883658	14.3812403837112	16.1945706718553	13.476858392061	13.9324196185272	0	14.7311224863872	16.6011922571109	14.4788871437942	0	14.2705273809518	12.7858644528467	13.800687745326	14.0270941677916	13.0483140218278	0	0	14.2572526024878	0	14.1468291243727	0	13.2868679590673	10.7757017542863	7.01745809387238	13.6050992071939	12.9197493621049	12.1054052826346	12.0451452115155	0	0	10.7372704517834	6.08935039170081	8.83326784732371	3.19939766159025	7.6746145441284	8.9580708393641	7.42947661485691	0	0	8.44191406186414	8.32345063647834	6.0702783089147	5.36791889496794	7.44425755791472	3.45453246302113	5.42206183639269	2.22343127809964	2.94174628468357	0	0.452375847350165	2.43154119478114	1.85017992372871	0	2.36950522606933	0	0.00333777670386692	0	2.23803280355611	0	0
2730000	-2613.25779255579	-42.4418793603924	-2024.7539672275	-546.061945967902	2.55318229982687	0.907696057288975	3.67703004447065	1.73188659350712	2.3026972338589	1.57918543182617	1.38787879251843	3.02218250337734	1.36211887453593	1.2578058497982	4.33616175218977	2.89701733453132	1.78692877391995	4.94296238841783	1.23081181924026	0.743964570398537	2	2	2.09866200887814	35.6453977537056	0	576.917916090469	35.6453977537056	34.1963246264526	32.6716370950809	31.292977910412	31.3739543779043	30.6702250032718	29.3702379957652	29.7313006749028	22.5678851693428	29.1370803270919	29.1853018885031	28.9382985528033	28.6313787087373	28.1095509908913	26.0675126094889	26.6292261225246	24.3735184784678	24.950758946143	21.0660014314459	26.0774721880094	25.1011540783496	22.3936278131632	26.4869446187304	23.9438024784546	23.2878896298856	20.800177541163	24.4653217673037	24.1583381602772	24.0930139269521	22.0090383610604	19.0077235331956	21.4568932817253	22.0176426973425	21.2309174339044	21.5598203032476	21.3978160093448	21.6696109356687	20.040404813316	20.5619358571666	19.6918442998283	19.6143803101053	20.2907205986385	20.327823411678	19.996160270068	19.6707517715621	19.6648490856575	20.2186519541602	20.5088960781027	18.2612465061311	19.591877355859	18.0061149675161	18.5577403498297	18.3701283892248	17.429987971354	18.3311704424186	19.221540039655	18.1829149991387	18.7935557375398	16.4019017779711	17.4479130262222	17.5048451413885	17.3534051810444	17.6083843700692	15.7203261891934	18.1395407289953	16.8736806604683	19.5567587735903	15.3914866274502	16.3462137103297	15.9685419852409	14.152218975846	15.3027735527911	16.0079885572212	15.016005179656	14.7902273501899	18.1832952700448	14.9306344879712	14.5183913219236	13.8748204771895	14.9572256397393	14.1537970534905	14.1726461966939	14.8175245195129	13.6631903388647	13.1072546847093	12.5998615153058	11.918256116956	12.9645022505489	11.1994344811625	6.21886723829496	9.55761516986491	10.5679820651221	10.7630871611731	11.2316407128238	10.4663933013273	8.17229009985403	1.25773391707462	8.66254667659043	9.42650907653312	9.56139440154628	10.2092134471264	7.71781375217889	8.08412595508932	6.97181619127732	2.81700917593772	10.0277200560011	4.03958300653269	2.08238624543244	5.24618066766821	4.53677604917341	4.76982296006962	2.98547787405691	3.93426856626068	3.42633067276909	3.61685221517898	3.18620662204327	1.39308343487464	0.956071201469363	33.2328891557747	31.3390350155311	23.454440671336	30.9208311081288	7.03116399788612	28.8800025893766	28.9062839165315	28.0816268625723	21.7405038257231	0	28.7131923816812	24.1255616191344	28.0317223684369	27.4327230806424	25.9858680753897	25.8344870846246	23.6441603922308	23.6592090160943	0	22.6820317472086	22.5355147196419	14.3357071290728	16.3157225571523	22.0265225753058	12.8190505200668	13.2030139558656	23.7654906540607	22.1097058332531	20.7194228273807	18.1777226879222	15.8117175158282	21.2393162963968	0	20.7019315299788	19.8512134086619	0	20.7704775726682	15.7541246962109	9.68442181813575	15.4314716561412	14.6783185158508	19.2093629192453	16.9874444395282	14.9771369119038	16.3047804576863	13.6186978248368	16.299552736892	14.26421604407	0	16.8869300259623	14.7996547092543	11.0934954041779	16.8159875221389	0	17.8187027900599	0	15.419325679321	16.5736186132667	15.02300584429	13.7277972488155	16.3630255877207	14.6695047130441	13.7456810876987	0	15.1220874658847	16.4495545773048	14.6606561931079	0	14.4526672862672	12.6409206361898	13.8216943013347	15.1655813711806	13.3725071290371	0	0	13.1707476434842	0	14.2560364134464	0	12.3687447215265	12.6908994109221	6.14367116721773	12.0482797183206	12.8967855382694	12.3597610732138	12.5055838207217	0	0	10.7969650286967	6.07071190154029	9.1673179135489	1.76454944763352	6.95739952169821	9.24785828465485	7.7445279833266	0	0	8.58536785140594	9.12017339862233	6.22240800306436	5.34151000268753	7.67807457873092	5.14948670907422	4.80977357104383	2.79759765795355	3.38783602947824	0	1.48055226193242	2.76280970502289	2.44669954024797	0	2.79658860718467	0	1.88370264164035	0	2.14778754989194	0	0
2800000	-2618.47367318534	-43.6658454109713	-2019.32902076288	-555.478807011484	3.61834347178561	0.628147147114627	2.76431955292442	2.25548037784769	1.85883241370217	1.97531902873922	1.76894967320323	3.67423222485135	1.57823087017655	1.556936277726	3.66234874621947	3.10981075357592	0.890057447150003	3.5498748457201	1.17328721546191	0.855914310001357	2	2	1.03604979418506	35.0843083549258	0	586.533191257155	35.0843083549258	34.0831141171632	32.6948274489865	31.6601670495073	32.8862939275235	29.9078659362049	29.3055138903729	29.7505791823709	23.0749278153269	29.3113632433142	29.0919591131549	29.330389328581	28.5188411644226	28.0151011125991	26.0038665679475	26.7772909999736	24.6100936628316	25.9160042416201	21.0254009250631	25.5329183591326	26.5102111759417	24.9771371064017	26.1657554623498	24.8027120238643	23.2954991862206	20.4992197033752	24.1653879874038	22.7503504808106	24.7519293926077	21.6240233282036	19.3596805613087	21.462037852442	22.6028304203203	21.32887729537	21.5494821354666	21.154276519992	20.9923437714327	20.0940364943282	20.5356500598266	21.030021040842	19.5906254107325	20.0632201097271	19.9591107945409	20.5649836629814	19.4002861825765	19.4079061433222	18.8955249013589	19.1594528045444	18.2753421932293	18.5769815154364	18.9568071606946	18.3724616319839	19.4025686939879	21.1329661498905	18.7795884913021	19.2866757126183	18.2066455097064	17.6869929210258	15.9150886116064	17.453939257714	17.7681753927838	18.3155302099914	17.7922409671657	19.7819734910996	17.3795657124778	17.0214850464783	16.4216478174133	16.3829345961895	16.3274394306148	15.5476047841728	14.1004122833116	15.751990579059	14.9760733878572	15.044464538467	14.2341086219194	14.6862000348335	15.0385812608618	14.512240131251	13.4681525989788	14.6134203008466	14.7027092674857	17.3876511053694	14.0153983575143	14.0079959796105	13.8923332814012	12.5184805242765	13.1354627059812	13.8582604895498	11.8041541695735	6.74446902355085	9.71285833964904	10.6661439701444	11.6581394400825	10.5544693151753	10.5762639897993	11.2416615999358	1.11475014413063	9.17176649532826	11.0642033933242	9.5827303254781	8.43432951965641	8.71496150461764	8.37366522385828	6.82229025442445	2.85089426594228	6.12213386019492	4.14766624276238	2.16056463015051	5.25052958798181	4.37510212923299	3.07361467302596	3.41422597650076	3.86199255266982	3.63177509129613	2.93940807808756	3.28757706301817	1.14775895984515	0.0752875570597018	33.0757297737196	30.5585647278749	24.1677320362294	31.0290771266456	6.8513315971877	28.3930020690931	28.7460781442023	28.5535278236676	21.827839653618	0	27.6552818788096	24.2634767005621	27.2329626087262	25.1103063248265	25.9486933168558	26.0274039245289	23.7190176911504	23.2105746427122	0	22.7353881210472	22.4058090410742	13.3948088472738	16.5260735474227	22.2007771175564	12.9743377366343	16.1117132042493	23.1766228893607	22.1586999379225	20.2730671703406	18.4317811482123	13.7622997559422	21.4073521842194	0	20.7057200097507	19.5473260863917	0	20.832792854762	15.3929869878546	9.57718922180886	15.8487647036887	15.4399393663726	19.4159664859516	17.5961156487307	14.016915183521	17.775345223625	13.5193678369126	15.2368683431044	15.3324138663591	0	15.261368615647	12.7982304637641	12.7941986173274	16.3865472326564	0	17.5294111780143	0	15.3232227150093	17.0543710662097	15.6391708192911	14.4020819063612	15.4634671397446	14.7890231680407	13.8750066475529	0	16.0807338219102	16.8591328009308	15.0140050222992	0	14.6100394704488	12.3960499810899	13.0766357033283	14.5535800785514	13.0257212277293	0	0	13.9146090418557	0	14.2291456565863	0	13.3619900276184	11.9852255572983	6.28532027207255	13.8741399270616	12.8276434725917	12.4027321718687	12.5024853671663	0	0	10.3666054783525	6.05060269430273	9.36681248687259	1.74115865174822	7.99494415524913	8.80116229355454	7.68397441016947	0	0	8.54934986580925	9.16085184609519	6.26707825109325	5.89380903777983	7.01286350456932	4.91157942987785	6.07832463299876	2.76607701572112	3.55031093054579	0	0.753046937822139	2.73911175097039	2.29539901021766	0	2.8998608300091	0	2.36668464090275	0	2.31224572962584	0	0
2880000	-2596.0403330865	-41.8442655058391	-2010.29708655531	-543.898981025345	2.29269872121516	0.925825186716611	3.42729059311214	1.82217068221749	2.19725130317743	2.09260301569949	1.2651112833222	3.88177730606827	2.23073550091682	2.19847932321614	3.30016477589306	2.56885537551362	1.21911041740016	3.33656776816916	1.19368737022213	0.501612426075738	2	2	2.28523691796224	35.7904662408159	0	574.955147040457	35.3696862963048	35.7904662408159	34.1086966092659	31.7021919371318	32.3442021366716	30.8704547971753	29.4219716816261	30.0255941463536	22.2989352376741	29.6113479248111	29.2812697241601	28.931285136519	28.9084563233271	27.8423602608511	26.1104053382128	27.0754345464674	24.4016261172611	25.5219787511562	22.402574518964	24.9127436066446	24.3679392403212	23.2372035106715	24.4845540357028	23.1626070939619	23.7713176318552	20.8155453508	23.8579900389987	22.8613267278395	23.5408226280336	21.3100885016956	19.4874828299368	21.4222201127567	21.6650160928583	21.5818995756066	23.7584871209143	21.7951993627931	21.4227561165885	19.9153088979077	20.6405174893797	20.3223509258907	19.5116996849485	19.87458848255	19.4776399636514	20.5301208313811	19.9061945971804	19.6961734810459	18.8023175846257	19.2726519531301	18.6956434640941	18.4545074260828	17.9321218006111	18.8801894264517	18.6108218187541	19.5979277073044	18.0315545676997	18.4184537274472	18.0327586700345	18.0189492460038	16.7796022395164	17.4176921668087	17.6789255793184	17.6353361027423	17.9993192986696	15.8064424790447	17.939919808003	18.6348289237858	16.6019045730311	15.7539222141612	16.57263907414	16.0701252588161	14.0367029026123	15.4498229422366	14.9780280841049	14.9965279445299	14.2547561240815	14.8230382276552	14.820743837413	14.7978907001037	13.5473335498112	14.5130711049906	14.9021075662533	18.4071034508313	14.0111394256997	13.5282911261392	12.8126271434469	12.6763428111844	11.5657246286039	13.8674959385683	12.1538672542262	6.29495442808574	9.48851785119075	10.76066184521	10.6639258743572	10.0489189436817	9.81160977493093	10.169062513947	1.56754298014556	9.2434149713219	10.4626042084564	9.39411593683636	10.7819655814735	7.80239647464827	8.63392142582215	8.02111047803431	2.83586100236144	7.18122932669887	3.99849562629935	2.01994921158754	4.45985819337074	4.44900575952295	2.84122479221362	3.24968231178463	3.16685792606088	2.88717464846905	2.59413921556762	2.58415967651789	1.34472014150785	1.18230626353416	33.2999699647801	31.2852473585762	23.9567463531565	30.0285172351048	5.94546842346974	28.7238839742614	28.7949174624881	28.5534017042561	22.2850596914157	0	28.7285318269553	23.4812973735402	28.4940371612633	25.3344083906231	25.9996950746701	25.1928179022113	23.8389175333922	23.2118968757925	0	22.5964735933752	22.6917781789293	11.5544387548402	16.3692840395787	22.1561983729862	12.8373240084324	16.1617515856882	23.4221449439329	22.0552529163077	20.7384192258343	18.9998223728117	16.1685785459112	21.4168304492277	0	20.6112070512819	20.4506272276877	0	20.2462048629158	15.023734345235	9.56009723620502	15.3054079775193	15.0849472972423	19.8277946742104	17.3234143337525	13.9571141673782	17.8057202493095	13.7048251458496	16.4065817469585	14.9477941721499	0	16.9599000191703	15.6120874284133	12.7578898825962	16.8133450578136	0	17.8239841762913	0	15.7865807427346	16.6993937435229	15.8059482797149	14.4265608121463	15.8859646844521	14.9553700243712	13.9647334456322	0	16.2556193491508	15.9922997207656	15.1989541111474	0	14.3074874892608	10.7046687483693	13.6132193944157	14.1576216369119	13.7343202829922	0	0	14.2727961087372	0	14.2280828255907	0	13.1145897803643	11.7941825164482	6.76762096490303	11.9029554108663	13.0644231008225	12.118503426013	12.3490700540456	0	0	10.8859727981967	5.92841088138395	7.96478685388989	3.24310285093559	7.6192923264063	9.93505855248996	7.47394358907233	0	0	8.27248890406868	9.05863483130998	6.29324310766933	5.42345104951791	7.56825553733255	4.85148978733834	5.15999491456154	2.53618675180544	0.809109939449267	0	1.03222973137153	2.84282796956131	2.46363630083429	0	2.62649089090316	0	0.394629555832251	0	2.08414974951068	0	0
