it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	q_4	q_5	q_6	q_7	q_8	q_9	q_10	q_11	q_12	q_13	alpha	hypQ	k_birth	k_death	RJ_hp	root_age	death_age	tot_length	T0_TS	T1_TS	T3_TS	T4_TS	T5_TS	T7_TS	T8_TS	T9_TS	T10_TS	T11_TS	T12_TS	T13_TS	T14_TS	T16_TS	T17_TS	T19_TS	T20_TS	T21_TS	T22_TS	T24_TS	T26_TS	T28_TS	T29_TS	T30_TS	T31_TS	T32_TS	T33_TS	T34_TS	T35_TS	T36_TS	T37_TS	T38_TS	T39_TS	T41_TS	T42_TS	T43_TS	T44_TS	T45_TS	T51_TS	T52_TS	T55_TS	T56_TS	T59_TS	T61_TS	T62_TS	T63_TS	T68_TS	T70_TS	T72_TS	T73_TS	T74_TS	T76_TS	T80_TS	T81_TS	T84_TS	T85_TS	T86_TS	T87_TS	T88_TS	T89_TS	T90_TS	T94_TS	T95_TS	T96_TS	T97_TS	T98_TS	T99_TS	T100_TS	T102_TS	T104_TS	T105_TS	T106_TS	T108_TS	T109_TS	T111_TS	T112_TS	T113_TS	T114_TS	T115_TS	T116_TS	T118_TS	T119_TS	T120_TS	T121_TS	T122_TS	T123_TS	T125_TS	T127_TS	T128_TS	T131_TS	T133_TS	T135_TS	T137_TS	T141_TS	T142_TS	T143_TS	T146_TS	T147_TS	T150_TS	T154_TS	T155_TS	T156_TS	T157_TS	T160_TS	T161_TS	T162_TS	T163_TS	T164_TS	T165_TS	T166_TS	T167_TS	T168_TS	T169_TS	T170_TS	T171_TS	T172_TS	T174_TS	T175_TS	T176_TS	T177_TS	T178_TS	T179_TS	T181_TS	T183_TS	T185_TS	T186_TS	T188_TS	T189_TS	T190_TS	T191_TS	T192_TS	T193_TS	T195_TS	T196_TS	T197_TS	T199_TS	T200_TS	T205_TS	T206_TS	T207_TS	T209_TS	T210_TS	T212_TS	T216_TS	T218_TS	T220_TS	T221_TS	T222_TS	T223_TS	T224_TS	T226_TS	T230_TS	T233_TS	T234_TS	T235_TS	T237_TS	T238_TS	T242_TS	T246_TS	T247_TS	T248_TS	T0_TE	T1_TE	T3_TE	T4_TE	T5_TE	T7_TE	T8_TE	T9_TE	T10_TE	T11_TE	T12_TE	T13_TE	T14_TE	T16_TE	T17_TE	T19_TE	T20_TE	T21_TE	T22_TE	T24_TE	T26_TE	T28_TE	T29_TE	T30_TE	T31_TE	T32_TE	T33_TE	T34_TE	T35_TE	T36_TE	T37_TE	T38_TE	T39_TE	T41_TE	T42_TE	T43_TE	T44_TE	T45_TE	T51_TE	T52_TE	T55_TE	T56_TE	T59_TE	T61_TE	T62_TE	T63_TE	T68_TE	T70_TE	T72_TE	T73_TE	T74_TE	T76_TE	T80_TE	T81_TE	T84_TE	T85_TE	T86_TE	T87_TE	T88_TE	T89_TE	T90_TE	T94_TE	T95_TE	T96_TE	T97_TE	T98_TE	T99_TE	T100_TE	T102_TE	T104_TE	T105_TE	T106_TE	T108_TE	T109_TE	T111_TE	T112_TE	T113_TE	T114_TE	T115_TE	T116_TE	T118_TE	T119_TE	T120_TE	T121_TE	T122_TE	T123_TE	T125_TE	T127_TE	T128_TE	T131_TE	T133_TE	T135_TE	T137_TE	T141_TE	T142_TE	T143_TE	T146_TE	T147_TE	T150_TE	T154_TE	T155_TE	T156_TE	T157_TE	T160_TE	T161_TE	T162_TE	T163_TE	T164_TE	T165_TE	T166_TE	T167_TE	T168_TE	T169_TE	T170_TE	T171_TE	T172_TE	T174_TE	T175_TE	T176_TE	T177_TE	T178_TE	T179_TE	T181_TE	T183_TE	T185_TE	T186_TE	T188_TE	T189_TE	T190_TE	T191_TE	T192_TE	T193_TE	T195_TE	T196_TE	T197_TE	T199_TE	T200_TE	T205_TE	T206_TE	T207_TE	T209_TE	T210_TE	T212_TE	T216_TE	T218_TE	T220_TE	T221_TE	T222_TE	T223_TE	T224_TE	T226_TE	T230_TE	T233_TE	T234_TE	T235_TE	T237_TE	T238_TE	T242_TE	T246_TE	T247_TE	T248_TE
2500000	-3839.61881191843	-39.9807206278202	-3083.39131743347	-716.246773857144	6.90270136444323	1.60387273908497	6.07457674878318	0.819679370799016	1.99651731910583	1.23456237026743	1.16915247955767	2.52244138175473	1.28686851910381	2.35307016174244	2.34467062329488	1.44900290801203	1.62713988708751	0.890395410073259	1.57098189267209	0.517155516840729	2	1	1.25581288756655	35.1392562546574	0	717.415994081472	33.8173083938676	35.1392562546574	34.7384583671512	34.5813773382684	33.9547678238707	31.1120327534561	32.0548874241374	32.081030830852	31.0722830213498	30.1364979023873	29.9537898930671	30.555700569253	29.6849409849804	28.9816544784812	29.1680266588552	28.7119831757195	28.0518036014646	28.3523702350197	27.8425102875094	24.8325652345885	25.0060237166634	26.5194872332669	24.8482851493876	24.3064112043777	25.34950013631	24.1884930228995	24.6839125692413	21.7623848502641	23.0673143113731	22.8037739551466	22.8626581364485	22.7007656765236	22.8373364447077	22.6064394406982	22.3880297782563	21.7286019493128	22.1866377376553	21.4987199248341	20.5619116093045	21.0546034468132	20.1984254532975	19.405862535037	16.3115344798773	16.950549862241	14.81989347846	17.3342292764933	18.3369848153443	17.694140147725	15.8053171325957	13.8243621013395	12.7453478332191	16.8645262677037	17.3984147374947	17.0889563942917	16.9484873432138	17.3442615317144	17.071481922929	15.8273371692144	15.4230961896925	15.0333700797711	16.2701823909633	16.751604766006	15.6197993795704	16.9352490973176	18.145339464367	11.9416621503332	14.1575990236773	14.1199994214869	13.9331273870611	10.5295585366558	13.6192089689457	12.7861934286489	12.3129252079139	12.8088142107783	14.3806723294032	12.9505349557785	13.5408285106282	11.6353130896747	10.7739322446906	12.3328704501202	12.2862157422692	9.66430548120225	12.0582917143952	11.9580536127001	12.2509021531061	7.30224808910033	11.4425483114035	10.5826657145504	10.5696240145986	10.5865600692544	10.5906680754468	10.8479249239171	11.0372457237791	8.74637094095271	8.87153084097715	10.0851113755926	10.3495212943825	8.01776571222584	8.88927858391867	8.91574144112608	6.5497987667583	6.64028828056592	7.88946741048165	7.78556915525017	8.27806936006914	7.05932540772053	8.85299525737887	6.1823507669607	6.67565629065743	5.01059167920618	3.86286035494047	6.38221432586242	6.03823266148766	4.91439460224724	6.13531002075063	4.1594866834679	5.92353914101548	5.39766816227588	4.56099049018199	5.98325719368353	5.71528585409887	4.61827574954532	4.87196834352985	5.38820923573509	5.89770422375751	5.18086690392056	4.20139418626505	5.897987695098	4.49487400293626	5.59246511937622	2.27577015185952	4.30634588038748	4.3395204870634	3.09411367487714	3.80351701271128	1.97296237053195	2.52458877815248	3.00544715843119	1.57275038470314	2.6836615072947	3.93364875689189	1.64602828504797	2.64743738833314	4.83966333287644	2.11006780436108	2.13467545811452	1.59363416551237	1.24821936267762	1.67302749966188	1.24163762136313	1.73995296561494	1.13886039487916	1.05209993574954	1.83935075675457	0.193729908014874	0.869129121420979	2.24496973315575	1.58133725677722	0.323444223819055	0.401860721169856	0.291944411151944	30.4709833914768	31.19814051546	34.6890555610795	34.4290838614018	21.2132099629446	30.734727281217	29.8704346738228	28.271517186482	21.9853812335898	14.9255721900119	27.9646191571605	30.4245649937251	24.8955348912438	28.0482664602854	28.8709330678723	20.2189023515376	27.92505671207	28.2408002121165	27.6257517799835	24.4016788104713	17.3761632315932	13.3887095186677	21.0891761717312	20.3239955805456	22.7533674340829	16.6494225891704	12.1543399566211	20.4919549172842	21.8420068103973	4.70413116458821	16.2674997419066	22.2284853946873	0	16.5840075192282	21.3182953108336	17.3606732107583	21.9081583977	20.4920933762976	17.2712157113976	18.987225220387	19.6345086923543	16.6932226092457	0	0.0371910444698577	12.2229150415963	0	16.1933293481639	15.9743729976234	0	0	10.3144219268088	15.1497568370521	0	0	0	16.06820729196	13.7660447912466	7.82330896813842	15.227628053891	0	15.9645391458987	0	0	0	0	10.7842191176233	0	13.5944560624353	12.9574292583304	9.79705153382675	0	10.6317922891526	0	12.1749258333218	0	11.669743700258	9.72082599279024	9.90309887988734	7.05100437424209	8.84995381508461	11.7947907867486	9.37831350418824	11.8510026251163	10.9016471628969	8.01755851101715	5.72684501782786	8.30741395814433	4.69963714002209	8.72253594446371	0	10.194969363591	8.73372453679469	9.10241854579692	5.93178489275707	7.64506613700494	0	0	5.91533066469428	8.7987728433015	0	6.18209003332988	2.56762629049981	5.52117160681694	0	0	6.68569971383818	4.17012266971855	5.91149436876042	0	1.1920174570615	2.99235497570572	3.46786928914664	5.18571219681299	0	5.54301390278574	0.984339893576212	1.47804826966286	2.75683390425554	2.28889326125295	0.824078370326858	4.48616051052104	0.132644705956256	1.45221994154905	5.01006543947982	3.64658693230598	3.6044831143929	0	1.73947520606569	0	0	1.47127668162643	2.86242782698891	1.09558181660499	2.50953408675455	2.9955773147234	0	2.36517489421109	1.3541422910329	0	2.02119064607677	0	0	0	0	0.18131546355924	0	1.35175512389994	0	0	0	0	0	0.305729865211464	0	0	0	0	0	0	0	0
2580000	-3875.53590797099	-40.3070291845164	-3109.94666374644	-725.28221504003	7.62821989594758	1.23168703753217	6.91617390008622	1.38177183307719	2.06882451243928	1.11759843545572	1.23419765842064	2.76566893592935	1.2329835201417	3.05332103167424	2.2075744749077	1.43829785989675	1.48695592890939	2.29805646621274	1.90817055945927	0.714710097459556	1	2	1.55042038476156	35.0907735362224	0	730.553034007353	32.9051049362769	35.0907735362224	34.7604769192064	35.0214248633078	33.9655142694917	31.3091001395816	32.0132290313678	31.9283413087815	31.0644122587868	30.1771120572162	30.255050200478	30.6226783302025	29.7534989759693	28.9730390901651	28.9922351732365	28.8478619808467	27.9822100228957	28.2959638867017	27.8104973999854	24.5800985658814	27.4113197840685	26.4336572426985	24.6951058608436	24.7976787743945	26.3136202265244	24.0888391789596	25.4259226926942	21.2421779673567	23.1771650490101	22.8723370591816	23.3714012083727	22.5993750765976	22.8547275310309	22.7156447266008	22.4097441741503	21.6275803930791	22.1762104964148	21.8693608139852	20.8775642412296	20.8518873113891	20.2040623715608	20.0617534616438	16.5591741259641	16.8864593435287	14.9066949865511	17.666808197415	17.1989288035296	18.9666178838307	15.7620149598646	11.1013013754404	11.265738021864	15.8406629267418	17.6870086040284	17.9481433313232	16.9448744718871	16.4463515407275	16.8691607562329	15.0908131653652	15.3247577892916	17.4837220035092	18.0134846467834	16.0735331240756	15.8993939343304	16.1149666885829	14.8996156415947	12.3756080491352	14.1379092918971	14.1758897533371	14.1594844198583	10.4752799495756	13.8467132216929	12.3945685004397	12.7897675678494	13.7982813514734	11.9171626680487	12.8127354182964	12.6967882986286	10.9331692377281	10.8857429639724	13.3914435866615	13.1316718838503	10.4532397382929	12.3013784671531	11.5539890085314	11.9374590727104	10.2515930199224	12.514740347261	11.2312991593437	11.1174306485796	10.3614596723209	12.1412029936889	11.2128488974704	10.1220034468973	8.86048781070452	8.92043173818462	8.97120455960447	10.8089852443483	11.193061384415	8.92678087408554	10.9687458685635	6.57143051334162	6.69864995311128	9.15281408197966	7.72843197984245	7.38102503005944	7.10178076496168	7.82558880024677	7.19817226709353	6.41664287614641	3.95104751623413	3.40415390384297	6.5890585024288	5.75548257515058	5.22687926595657	6.08534565205554	3.88534513549329	5.95156231849057	5.66409530564427	5.13145123897067	4.92938040238767	5.35917558118159	4.34158970108941	5.66763166944311	5.15806159850642	12.0552220763944	4.96636675131336	6.60017898938063	4.45512782513066	4.23763544519522	3.86145909938612	1.6302516087464	4.10611266486373	3.97482669544944	2.9738934602656	3.76528662530196	2.24647468016887	2.46295183174171	3.05091965297991	1.34159092478794	3.23244371094121	3.6594765749	1.56856291758925	2.52306235112452	0.796826376790356	2.37077501126055	2.08654409333139	1.68206391231307	1.14238215844729	2.50991106968659	1.47317837396183	1.5104276473363	1.38958582786618	0.977506699133449	1.24389759267091	0.0429728126550135	0.777671226686889	2.00235356194156	0.383505960743643	1.16498850000308	0.367114299350588	0.312026470715142	31.3274102410557	31.7036119493593	34.6290305219842	33.9727734989924	21.3221464672485	30.821667338186	30.0607502508771	28.5298191790343	22.1776522885236	14.7271322664944	27.2440789890105	30.4916968466665	24.9945298236082	28.3921091803975	28.963671911919	19.7814324938088	27.8450977593074	28.2844690990355	27.5376096001874	24.2228712900079	20.1606972374722	13.4369307448704	20.8217444649701	20.1912415546045	22.8443758871227	16.5915180796183	11.4659825368252	18.729993846162	21.8459593225324	4.7175427323799	17.2778166190379	22.4980813074013	0	18.0760342445885	21.5130358554056	13.6598375004516	21.6138715114064	20.3204229562603	17.1881251192827	20.5517855016603	19.6556806250249	17.9405185872732	0	0.241088674570761	14.5720740827973	0	15.8686010656606	15.8098974829835	0	0	10.1262600697126	14.7749491141076	0	0	0	16.0731313069917	12.9215097093208	10.6996531294305	14.7737313655894	0	15.6565356128018	0	0	0	0	11.5352504568496	0	13.6317814009448	12.1501659052486	9.79928995841884	0	9.80591715671394	0	11.9621187878653	0	11.408313995672	11.0381651215314	10.7474489832404	7.55268753728347	8.69029939070253	11.91768322389	8.59044057778496	11.6260014571755	10.9474842634024	7.05479038935601	4.32841750986761	11.0510579368186	3.73833258726645	8.37197061140774	0	10.1732642480862	7.80611037024194	9.19342449829315	5.96113623558443	8.13630079360684	0	0	5.32213838823273	6.75884986641654	0	6.34422577917121	1.6939571149466	3.96273264886269	0	0	6.69128088381592	4.37820220414493	5.84380856097809	0	1.16028149740159	2.84731624303972	3.80641117656753	5.48687989932545	0	4.96541151153286	1.89538676107735	1.45344778695537	2.32944619454557	2.13120194028915	0.609843827751361	4.50078984103227	0.185940855606726	1.64252731953651	4.07915884610947	3.95275814745078	3.41935589817066	0	0.510875606813694	0	0	0.756879785041146	2.99888384627284	1.31229548726093	2.35435081220502	2.88183559821474	0	2.1444119938636	1.59815107269521	0	0.430911070687651	0	0	0	0	0.197437417646641	0	1.10158713106097	0	0	0	0	0	0.0988658762354747	0	0	0	0	0	0	0	0
2650000	-3882.86079396159	-40.1538606372304	-3116.85068558565	-725.856247738714	7.44285928251821	1.69801989376322	6.33890248301392	0.892049154383521	1.71025481525743	1.3898176729853	1.39277187110316	2.34892981289407	1.30840152151363	3.08090771164827	2.3034093820917	1.44367892047649	1.77526863918747	1.86388006595785	1.71218493190458	0.597673662546623	2	1	0.698695669392324	35.4810956261425	0	733.0551879118	32.8645668990106	35.4810956261425	34.7231933137744	34.5497625487096	33.9363945756356	31.1122795595696	32.0539366074803	32.2904990002874	30.9943241502498	29.9901559412129	30.3871506766186	30.5453370563864	29.6739047472454	29.0743302104598	29.3125435919628	29.0150621966879	28.000352565386	28.3453562953887	28.0963659823782	24.8190589922114	24.3342210752784	26.3009103908161	24.9442718535221	24.980238385468	25.6079210926663	25.312763995781	24.9725515773386	21.3923600004278	23.0979785939348	22.7843476908038	22.8372748354142	22.582757502705	22.8528006500368	22.551871209629	22.4834779988671	21.6102278261339	21.9987169352677	21.4222675745146	20.7917477516937	20.6808631409174	20.3318077712552	19.4909504654445	15.6892316393422	16.619116826256	15.9968041195988	17.4064196148831	19.6048289647089	17.6858886905137	17.1008145354466	12.3480436062068	11.7678963663377	15.7421857450551	17.5062383960602	15.3336756692432	17.5602133005547	18.3876707540919	17.0716763909258	15.4379274299222	15.3656805266786	15.8819886140028	16.2275453316943	15.4175107622755	15.4583291581658	16.5122456279325	14.8833509074177	12.0205753687554	14.5346766868514	14.4673505487212	14.6786590007629	10.3214225973904	13.7473551598885	12.8712829835017	12.0268686418726	12.6735330649284	11.8395592804962	12.5667883662273	12.8846287266895	10.998849743377	14.4289319429862	12.2913976336642	12.3772925745967	9.71500164527832	12.1468181929606	11.8544269246936	11.8904758308244	10.4212458311739	12.1715924609167	12.0350257114693	12.3901326146682	10.3615912962118	11.0976326838706	11.0419592334435	10.3445536357241	9.08805220067604	9.05103331177624	8.24587563774038	10.1234895658768	8.02672930527315	9.57170263207183	8.95658010086465	6.88746701027041	6.96122564413551	8.75455143354826	7.59589185536834	7.37848157474705	7.03444415839888	6.67698308294437	5.98000366504446	6.50141620629829	4.32115863339881	3.90088407779956	6.41150389030368	6.17460382922306	4.97039658894919	9.47315627863322	4.08011377156907	6.00320457048402	5.37162625806322	5.20128542357967	5.50833367406937	5.31274833891046	3.90568966300072	5.09431173101173	5.06297283045857	5.6960759733459	5.30046979686358	5.60464720213409	4.65582495292406	4.51776559583835	3.58701115087096	1.71200379300477	4.34913463101874	3.56379310544617	2.76369480271264	3.26173744459858	1.74439951411889	2.45233808439112	3.4193310078473	1.28566173831211	2.84768140753884	2.93351282647192	2.22546121055939	2.81869213583969	0.937037396033987	2.73796852525267	2.11550666323811	1.97272661058519	1.24456094999992	1.60133815866093	1.42253732848322	2.04732077563033	0.893735649801001	1.00730920620213	2.20165089682957	0.244590148029998	0.950201858810888	0.983722465569925	0.317330505958188	0.351110313191953	0.332033348663519	0.567733803868487	31.2385163645936	31.2413517741836	34.5366454490069	34.4084010095543	21.3305610915489	30.603155430928	29.6614481589294	26.7590913904644	21.5822035098298	11.8058979060213	24.2342391264039	30.4511764839236	24.9129639184245	28.3565182287727	28.7377871198314	20.258400467495	27.8422663387884	28.0166476183015	26.3755245711857	24.1642263129019	19.9255999000234	13.4178962421549	18.8701994206617	19.4082938263952	20.3620244450856	16.6692068471648	13.0816804854349	18.5209848237307	21.5429611467679	5.04917757828509	17.3310571571106	22.5004202122354	0	17.6803141520253	21.5635102591579	17.4775987355918	21.9651617987233	19.74471093592	17.3514981854875	20.0507173048608	19.8691209305113	17.5240093385424	0	0.204262790211209	14.5281253958438	0	15.9051161298345	16.0366548643584	0	0	10.0708409747997	13.0158863696546	0	0	0	15.6826818038997	14.2488667357572	11.4120541220434	14.6743234703028	0	16.2255412499127	0	0	0	0	11.3221995686914	0	11.3972129541304	12.023549256351	9.66152684180419	0	9.14630772669195	0	12.4083058294974	0	11.6676458810257	10.9466592201196	10.6686381106068	7.6654700242842	8.49264609220432	10.7612047239647	9.63300549246299	11.033001629849	9.63765431430802	7.90004116829126	3.06906750082382	11.0356729406358	3.36313926594582	6.72755329420282	0	10.262219809437	7.96771389343022	8.81627907340996	4.08073823837344	6.7136063318	0	0	4.37775411210542	8.68853373998689	0	6.30685703886654	2.27770599308982	4.72011897954255	0	0	6.78007544062493	3.74374883025298	5.55040411330809	0	0.595721934732298	3.29145021272566	3.81167948894449	5.44982144645989	0	5.12312599781707	1.86498344038162	1.07200965829503	2.61614506026799	2.43140852632834	0.866066614176086	4.07664304859082	0.233045048243703	1.5131202046823	4.82734736058909	3.91878680222219	3.31543855039834	0	1.70926004040378	0	0	0.938418823402843	2.9357994257862	1.85006452334967	2.71691323431651	2.7094959830939	0	2.27386182029211	0.771803013966532	0	1.79551676711391	0	0	0	0	0.327316574495661	0	0.680752875687771	0	0	0	0	0	0.0815164148484043	0	0	0	0	0	0	0	0
2730000	-3886.50696196856	-43.8804761713353	-3121.16900442349	-721.457481373737	5.61895618779855	1.18745704019935	6.68844048615177	1.1648879082093	1.73949419881044	1.60905455391713	1.59222008432433	2.39160539993823	1.39498777852984	2.6392698107932	2.37789473758831	1.52295229387987	1.37864383472014	1.20608490402971	2.02424048232763	0.551268660822383	3	1	1.43050725185418	34.9097494026076	0	735.967847623253	32.8990886280421	34.8063046211983	34.9097494026076	34.5410082065937	33.9397347960946	31.1222871652934	32.2061767243244	31.7611210372424	31.12972923491	30.1926411117671	30.2342337070889	30.5654079700741	29.8198732297588	29.3702778380174	29.0184214538523	28.7947985707741	28.0219191680378	28.2935596905208	28.0689437762437	24.9998648609833	24.3176300669423	26.2278101632785	24.7807935574645	24.7297319556782	25.2571740921573	24.2194038924439	24.8582709776924	21.4514090497567	25.0935800249429	22.9295172241431	22.8819665521087	24.0775423155993	23.949418053853	22.5948010398347	22.3499391237302	21.5837043722316	21.9939932970956	21.4284864882757	20.5409467221242	20.7178370722172	20.1603094547497	19.4414097355043	16.5048879031737	16.396753834653	15.1132382800231	17.5553955033474	20.4406187224973	17.6656794571508	17.0455343601419	15.4246299009105	11.2602385394236	16.5044184012968	18.667421486695	15.697243518412	16.9931499361963	16.7898237556223	16.88655804218	15.8842703225308	15.4521487714573	15.079838180974	17.5493226276792	15.7159869563575	15.4216251415535	16.366464483283	19.2291413415725	11.9459543545747	14.587227651778	15.0281988033262	14.0177964222471	11.3826376485894	14.8171620602093	12.3422559112173	12.0931939440438	12.6147432826502	12.2053578856396	12.6720364650517	12.4677903856606	11.2402592951319	11.3931624591832	12.6493981951945	12.3473085989341	10.5216467636578	11.877837943249	11.9836171589005	11.6784059394459	8.15071196581369	11.2991041789286	10.7688460066621	10.4883780827319	11.6517339332558	11.2715671979407	10.628306933311	9.94709115297427	8.60181970033438	9.71822956879415	10.6294151011508	9.68917888109826	10.7759552531776	9.00829913794057	8.99690116243044	6.64323945928832	7.21249047464343	11.161885153155	8.18742318712117	7.12396810623272	7.33730370708895	6.13366875478433	6.32348713913992	6.46289068121493	5.27467904005804	5.03474457320124	7.90194398736375	6.33341353473835	4.76547884486451	7.39207380124055	5.28637652654239	6.44270496655859	5.39641971062801	4.48486576051961	5.1790409211481	5.05413116655203	4.07810886655397	5.18213856709372	5.23109388679553	5.14621670283387	5.5658083472087	5.5081685454895	4.84218817555516	4.79262012215651	4.19288474624036	1.59196770217671	4.2666324788559	3.38340077329403	2.98537934021416	3.66201652483362	1.50467732205767	2.40931546016156	3.40754072923177	1.19822269983691	3.45685401087837	2.9841406631926	2.24423214155479	2.52855958824518	0.832918345578491	4.60552169929371	2.00877194521258	1.92295835065732	1.51704208620606	1.88104910285754	1.40556579123001	1.54146264707287	0.868465888487863	1.49946783008595	1.61149615113383	0.0945695238713219	0.81570904290179	1.05348424185339	0.265075008596827	0.276889261036415	0.539278280343201	0.421266075814208	30.7664426748567	31.6800996777894	34.7105695464386	34.4118011196822	21.2959818357739	30.7225260299109	30.066040011627	27.1207921098354	22.2470414486619	14.8755396754528	27.6831069905505	30.3856422189157	24.2103273503336	27.9879062380593	28.9632725892523	20.0031700533383	27.8562904425764	27.4525869393287	27.4389504698809	24.4176006118574	19.4674675754128	12.5001965905257	20.7354955142567	20.6943802615412	22.858916058596	16.5938231251687	13.2764609163207	19.9031974792453	21.8018365159212	4.90959747085101	16.3169403506203	22.472161822241	0	18.1547875827954	21.4479806848416	17.4713833343575	21.9314978932996	20.166988726904	17.1169064623397	18.3207260422022	20.0388650962163	16.98628041686	0	0.241226153641128	13.8409127642051	0	16.3998375715579	15.417928847147	0	0	10.27291414295	14.730096307808	0	0	0	16.1135504537093	14.1856465725243	8.65631621898201	14.9617142497868	0	15.2004179106115	0	0	0	0	11.6570130854916	0	13.7634229450681	12.6691495125131	8.84308442787242	0	9.94579567363141	0	12.5431174724363	0	11.6995181905467	10.9088357117027	10.5756925636888	8.46224525417199	8.33447619269566	12.0139225982544	8.96613174921075	11.8398849757477	11.287123756519	7.94650346028087	5.67584188936705	9.58613499920478	4.14707986239937	7.64656184706118	0	6.46110852379086	8.51270476178857	9.33615068086264	5.03416406853381	8.07932804143593	0	0	5.9490011086192	6.80647794344923	0	5.49840304725454	2.51140477600711	5.04679513938077	0	0	6.58806611060378	3.99774668055664	4.81639216501357	0	0.405641528863644	3.06267810590708	3.9693694544057	3.71866278852745	0	5.25735504247544	1.72462499551488	0.237112707465414	2.29709210625194	2.07986998013485	0.943175212499417	4.75152739515636	0.149239008364671	0.325789438584631	4.8771112436141	3.92478613224195	3.63831653904725	0	0.989860326421661	0	0	1.40316083699711	3.12980679587593	1.61522226294349	2.34167351432641	0.902880177471317	0	2.22679863089657	1.1831318832134	0	2.05110244228523	0	0	0	0	0.345539645657753	0	1.36557037958467	0	0	0	0	0	0.355758919683751	0	0	0	0	0	0	0	0
