it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	q_4	q_5	q_6	q_7	q_8	q_9	q_10	q_11	q_12	q_13	alpha	hypQ	k_birth	k_death	RJ_hp	root_age	death_age	tot_length	T0_TS	T1_TS	T3_TS	T4_TS	T8_TS	T10_TS	T11_TS	T14_TS	T15_TS	T16_TS	T17_TS	T19_TS	T24_TS	T25_TS	T26_TS	T28_TS	T33_TS	T35_TS	T37_TS	T45_TS	T46_TS	T48_TS	T49_TS	T51_TS	T53_TS	T54_TS	T55_TS	T56_TS	T58_TS	T60_TS	T61_TS	T62_TS	T64_TS	T65_TS	T67_TS	T68_TS	T71_TS	T73_TS	T74_TS	T75_TS	T77_TS	T82_TS	T83_TS	T84_TS	T86_TS	T91_TS	T92_TS	T93_TS	T96_TS	T99_TS	T100_TS	T101_TS	T103_TS	T104_TS	T105_TS	T106_TS	T107_TS	T111_TS	T112_TS	T113_TS	T114_TS	T116_TS	T117_TS	T118_TS	T119_TS	T120_TS	T121_TS	T122_TS	T123_TS	T126_TS	T129_TS	T130_TS	T131_TS	T132_TS	T137_TS	T141_TS	T143_TS	T150_TS	T151_TS	T153_TS	T154_TS	T156_TS	T162_TS	T163_TS	T165_TS	T167_TS	T168_TS	T171_TS	T172_TS	T173_TS	T174_TS	T179_TS	T181_TS	T182_TS	T183_TS	T184_TS	T185_TS	T186_TS	T188_TS	T190_TS	T191_TS	T192_TS	T195_TS	T196_TS	T197_TS	T198_TS	T200_TS	T201_TS	T202_TS	T203_TS	T205_TS	T209_TS	T0_TE	T1_TE	T3_TE	T4_TE	T8_TE	T10_TE	T11_TE	T14_TE	T15_TE	T16_TE	T17_TE	T19_TE	T24_TE	T25_TE	T26_TE	T28_TE	T33_TE	T35_TE	T37_TE	T45_TE	T46_TE	T48_TE	T49_TE	T51_TE	T53_TE	T54_TE	T55_TE	T56_TE	T58_TE	T60_TE	T61_TE	T62_TE	T64_TE	T65_TE	T67_TE	T68_TE	T71_TE	T73_TE	T74_TE	T75_TE	T77_TE	T82_TE	T83_TE	T84_TE	T86_TE	T91_TE	T92_TE	T93_TE	T96_TE	T99_TE	T100_TE	T101_TE	T103_TE	T104_TE	T105_TE	T106_TE	T107_TE	T111_TE	T112_TE	T113_TE	T114_TE	T116_TE	T117_TE	T118_TE	T119_TE	T120_TE	T121_TE	T122_TE	T123_TE	T126_TE	T129_TE	T130_TE	T131_TE	T132_TE	T137_TE	T141_TE	T143_TE	T150_TE	T151_TE	T153_TE	T154_TE	T156_TE	T162_TE	T163_TE	T165_TE	T167_TE	T168_TE	T171_TE	T172_TE	T173_TE	T174_TE	T179_TE	T181_TE	T182_TE	T183_TE	T184_TE	T185_TE	T186_TE	T188_TE	T190_TE	T191_TE	T192_TE	T195_TE	T196_TE	T197_TE	T198_TE	T200_TE	T201_TE	T202_TE	T203_TE	T205_TE	T209_TE
2500000	-2115.86806900036	-45.3125648782411	-1613.98030205006	-456.575202072061	2.44317878768503	1.93198253361676	2.88248868615497	1.78520853310288	2.59033140497129	2.38107678953432	1.8710183884021	2.06014034756367	4.27338922574043	2.67252429106567	5.21548734263063	2.58281550644443	4.40949395494451	1.2864173537493	1.26125210579074	0.57242058800178	2	2	1.37807178476824	34.2561729411754	0	413.583984456766	34.2561729411754	34.0173574287881	31.2254189792555	31.1949058127092	30.3451107385852	30.6396827705537	30.2429819560387	30.3846701241171	30.2155941970011	30.3126852284834	30.3064129229959	28.7845598935463	30.3689443211355	28.9248612094658	28.6246647147166	26.9914867365896	27.3531126079885	26.3877563572792	26.8793005282362	24.1645395298019	23.4975079680124	27.7402763128492	24.5090938668084	23.6197899144857	23.5461215215861	23.5884788597082	26.0634463309363	22.8792805054858	23.294685596237	22.342338120808	26.7009407206758	22.109843470022	21.3106992726366	21.2376866098375	25.009726489174	20.8937065650389	20.4416515224908	22.0746530780553	20.1941975302172	15.737834797735	17.6521230071153	19.5153725561654	19.0360659517364	17.0883409005473	15.8904571401174	14.682347825233	15.0364507773944	14.0607765442339	13.0167941433105	5.78249159936775	12.6043276989153	12.4846026000664	12.4056702952548	11.8234583506815	11.257272785413	12.0419408891	10.5072927508784	10.8889517748839	10.483723476975	11.7197670058055	10.3852476157344	10.5220296718406	10.8095406888341	9.86784609503568	9.63294125876071	9.26813826848675	9.20805639592035	9.39199434077463	8.15268883076643	7.38818541354118	8.23725812075477	7.95453111114994	7.05157396944964	8.74517942572962	6.84324606591798	6.83256897339079	7.37572552756479	6.46622827297823	2.88591492764518	6.1158780466445	6.08019248428633	5.33253122392096	1.65721317954271	5.58306611150904	6.043603866623	4.80727113869704	6.20623776720282	4.07139395494656	2.80581752995709	3.9073395584867	4.60394700143349	4.15045666640679	3.14953920012322	3.04814364817355	3.20224134817334	3.095790018379	2.84141446369142	2.0870163892049	2.6047215420042	2.09280282219648	1.75465529965682	1.21006708937502	1.61681806161847	1.07599009286005	1.42173532245904	0.860584245813162	0.926086857747317	1.08664244159573	0.862466722483268	0.150372675629617	1.07721458834588	0.288172158950066	34.1884540618176	33.8417981617341	27.5610257383414	17.4484926152006	29.690477922566	23.0229896165401	26.7678693423124	26.4807956006196	27.6079944378081	28.5443250931978	28.3906244088937	26.5625946695142	24.8575656447527	25.4045784546474	27.7510659437722	25.4821280573935	23.4129353816368	25.8284269967641	26.2650945573029	23.5186068571378	22.4345193128133	11.142205324495	20.0674305388415	22.4817597284331	17.1819749602063	22.4156169908982	12.4644834563965	21.0251711333398	18.7760965928607	12.9482081487907	18.4519724675044	20.8054392253026	19.7601231237832	16.1092626788771	19.6475563768187	20.6154144184482	17.8902482141747	11.8111881704711	9.03806803488573	15.0508909594513	16.612348665837	13.3030688432973	9.53082895360548	16.7698984974481	10.1198208922172	14.103292898737	9.81102333388875	13.6393315769857	12.3455223690233	0	0	10.3365841096469	11.4091933443099	10.5492501180512	0	1.33857087416106	8.87383726545139	4.62518001037484	8.98730114282228	8.81578764784752	9.9540172002438	10.3070655667477	4.97499669497086	0	1.15575136687221	8.02301789074688	0	8.81491508034221	1.22937320982866	0	0.496367116061435	0	4.11225029548899	5.84681830074816	4.41272029115063	1.20479739845437	1.57109941754569	2.18932931903301	0	5.72010961636289	5.0251167811739	2.97329543856613	0	0	0	1.48823626272121	0	2.53004493619844	0	1.88444838061233	3.32576916701007	0	0.446674517604823	0	0	2.67634594634439	0	0	0.0335206027204987	0	0.179300377915705	1.15104502219064	0	0	0	0	0	0	0	0	0	0
2580000	-2058.46812606815	-47.3278403698116	-1564.86688540387	-446.27340029447	3.30851888993426	1.61452492750868	1.96964754906607	1.58201070597841	2.29435648118778	1.7316783235235	1.91036713262095	2.03022814880029	3.99041312287945	2.39452652135948	4.40715849825855	2.85822373835512	3.44404584998292	0.988744964279064	1.36164671145028	0.372794036975324	2	2	1.34260198136049	34.2962641817799	0	384.408442516167	34.2962641817799	33.8852686484672	31.5644675842391	31.1593353971728	30.0353879656058	27.1023337252798	30.2187198541613	30.6640205878602	30.1810415678779	30.2995449131416	30.1147328993537	27.034741869442	28.5198696663553	28.8132006062258	28.6147620583385	27.1031224692974	27.6231882997254	26.3548647973157	26.5659823885847	24.1888018988905	23.1760820807292	25.4149133763183	24.5300179623874	24.7596489596277	24.737811634396	24.040525913129	23.9440606443901	23.1301193842769	23.1416890949779	22.3864479386793	23.9568922690652	23.1296618410352	21.0233081427641	23.8396401806866	21.1569619671096	20.9653143498481	20.4913444439777	22.6885652897647	19.584726291309	15.6045654156467	17.6911261805155	17.637513201638	16.3851778320579	18.5509045393791	15.4554755784908	14.2511163422255	14.8635809756856	14.1429686116021	12.8579067819962	7.4285354830365	12.7496292386041	12.3192655590101	12.4193068570729	11.6824223293176	10.8568215093445	11.9149582028929	9.89041857585995	11.3875110251062	10.4308467317742	13.199139924502	10.7041911253527	10.5704659625786	10.3708521905559	10.0211865180551	9.68004198226401	8.48517811619099	10.5819201252471	9.05771069918891	8.6033194447164	7.35891735498187	8.23390393931127	7.83445290171021	6.99892267089925	7.61715299826041	7.54074324856841	7.40571709701244	6.76689737293422	6.56521805917267	2.56355414566169	6.42058128204113	6.50358144427764	5.34159205173888	2.27648641239688	7.8393111335902	5.11304329110016	4.58366422949066	4.73208955601077	4.0828349581927	3.24611793776078	3.79828070835617	3.61743004202644	3.21826603942768	3.13933949568627	3.16253239490869	3.51921570800377	3.15329645980731	3.71656186214974	2.17642092250223	2.78836875693284	2.1030887614621	1.67975513695343	1.40003649296707	1.75017673829755	1.323749447421	1.08842176103572	0.899659256955998	0.853048076505234	0.933880592514794	0.791290390165849	0.694595876014541	0.670252396846842	0.960766579404767	34.1757965204959	33.7329336806989	29.2269484797489	16.7634909119039	29.9823263079945	23.0263598139633	27.1914034311752	27.4848370410782	27.7255539907294	28.9358477613566	27.8081587502121	26.5179152138918	24.5343190873475	25.6031310850488	27.7908849660431	25.6838774832362	23.1097539426537	26.1760182290804	26.3304180428865	23.8041437825344	23.0667490586458	12.8809946010898	19.8861770172101	21.655001395672	17.7816461185177	22.9762666602252	12.291916400112	20.4653431669217	18.480312722934	13.5191502012696	19.9531762590296	21.0591506880515	20.8535298238072	15.8955302384454	19.736443826787	20.0558840340132	18.3006035020958	15.9721661667069	8.78436290203505	15.5887902521834	16.9604984469156	14.1711667358001	10.2083501721212	16.8799024529807	9.61366251874695	14.1656063911376	9.29131403137761	13.5477787074583	11.8717457946094	0	0	9.83225719961684	11.9550150683568	10.5989109041529	0	1.3823802768077	9.1325572187505	5.01782155929998	8.45115236283628	9.14501621063668	9.68557193345275	10.4139429634401	4.906094700489	0	1.24487735659721	8.00222552527277	0	8.59943174251074	4.26471819448083	0	0.449462977860736	0	4.69080916175461	5.73940661265906	4.08928615789869	1.20100646078874	1.29877785419902	2.20226985906372	0	6.00291997934248	5.26621543457013	3.17934662569693	0	0	0	1.59551193886858	0	2.30309290095806	0	1.68507680749762	3.58479717415335	0	0.941944648020318	0	0	2.34549886111458	0	0	0.225098758921318	0	0.138867457513731	1.19751197222363	0	0	0	0	0	0	0	0	0	0
2650000	-2075.93382760503	-45.1101119070205	-1576.82044898483	-454.003266713185	1.74749687535105	1.81401411214812	2.79092744847194	1.78065834912346	1.56374238576662	1.70863123828401	1.9968907418255	1.94329991461716	4.16061712662208	2.67578567233903	6.01920271376594	3.89587383615941	3.32733653267121	0.455521707540119	1.34675139153792	0.930016717323344	2	2	2.11223689489174	34.5658353976111	0	391.46310120276	34.5658353976111	33.928303059381	31.3499904731921	31.2991128147533	30.2491044824913	27.4390636307986	30.3362456763177	29.9850104710795	30.548839215546	30.1995694499578	30.5056064792907	27.0743664423807	28.7467948437892	29.4695759777315	28.4967947877736	27.0861489590545	27.576302163824	26.4145915627572	26.6475148879555	24.2047977846892	23.2462491623719	25.4853858230325	24.5705234799543	24.2418838762062	23.5345975739317	24.4537700997189	23.5285872319665	23.2211866787307	23.6401216541383	22.5211407813907	25.1285992929423	21.9189050661186	21.7196803877173	21.7287922288811	21.2505230237497	20.8025034800955	20.3353183741418	19.8100228300408	19.5638449734189	15.7623242820517	17.6821398323102	17.8766743412699	16.3302431822291	17.461593676832	16.4479014727486	14.2869578613545	16.9194095072482	14.0544385568077	13.0796934207745	8.33223701874401	13.7207151763831	12.2673516462817	12.1798726980323	11.7107056248391	10.5690208737719	11.9193987807845	9.9472869873151	10.8860485506032	10.9270616882167	13.0655371948957	10.530414831454	10.4957911846422	10.4234708970093	10.0252459831464	9.66747134111882	8.35573323793096	8.92800543739842	9.01524617950673	8.50221605077475	8.07475656103653	8.32604198977986	8.0729490663922	6.92964056494617	7.38444579472867	6.75295120208934	6.91105810027795	8.08629479816156	6.83253272904959	2.82468187896854	6.28716103497641	6.02018228890679	6.21928312041478	1.9428453788897	5.35541168274602	5.03767144660575	4.88726476740658	7.17877637668666	4.36276681999728	3.15025074960119	3.86790884728365	3.63369310966703	3.63263968658902	4.18111668913875	4.13211184280357	3.09516344128938	2.96175376378275	2.74934426682174	2.37807915909274	2.7137697880111	2.11046955862211	1.51883891658099	1.30032509865056	2.89203912624599	1.27103726594893	1.4077811851633	1.13379046382484	0.868086284663392	0.873103158822535	1.21889854794504	0.182067231492018	0.775085893068548	0.380032131569367	34.025333693029	32.7832246160578	29.4204728360061	17.6377163159555	29.8035358954384	22.7739740590358	27.6083849996162	26.9226083163577	28.4830266786623	28.0515495199785	28.2174335090595	26.5299175783979	24.5638131881291	25.3032824374014	27.9472708574155	25.8686067732549	23.1558247555935	26.2823396967193	26.1174322112042	23.4581590024349	23.0998253790388	13.1482064759378	19.8617450817928	22.4578559001946	17.9727665314345	23.0093812564456	9.08942227806451	21.1292758630074	18.976632164407	11.6388049314309	19.5350757127597	21.5714213157879	20.7686707175948	15.0419482432259	19.8402819193705	20.7862274636813	18.7112389151255	15.6806467855882	8.73012823037829	15.3929039077221	16.4570085186367	12.0895539895334	10.8075982874838	16.3487727587808	9.77337258897139	13.9475740179445	9.69420285558112	13.6749795242107	12.1414539798303	0	0	10.2158009776591	11.8080787716344	10.5501113508993	0	1.31693834844964	9.1887343703689	4.903828575987	8.27112276115475	9.54617005937712	9.69872627131351	10.4903928917625	4.95611209297025	0	1.00647904065283	7.93896296312578	0	7.8551995054307	4.52946749578868	0	0.51277833295076	0	4.45321986495042	5.63308022185014	4.41304249169652	0.957197807465908	0.927322082069502	1.90599632349331	0	5.82657139400367	5.15851610315172	3.1813282822332	0	0	0	1.60487915259506	0	2.75787285925149	0	1.96385657373707	3.6078201034667	0	0.985669923306176	0	0	2.75556376030336	0	0	0.0583856104916651	0	0.183769923142608	1.15253388093486	0	0	0	0	0	0	0	0	0	0
2730000	-2073.6579652603	-50.6001707733261	-1576.59080630174	-446.466988185231	2.46913708874694	2.18559527597444	3.85270770346901	2.09532239247923	2.95954308333229	2.30276565936722	2.36140501104088	2.11383399174784	4.05450370740979	2.98558625119682	5.26760872655042	3.8347553954006	3.97508263225823	0.734152294350667	1.54660556254863	0.471167297885866	2	3	1.95909727913809	34.2207453378812	0	393.96323713244	34.2001704999386	34.2207453378812	31.3333443522075	31.1917061454091	30.3549175223606	30.1600221433973	30.536909688768	30.5367157003369	30.1641192902722	30.2824833547193	30.2864526192896	27.6453238641994	28.595352593664	28.7901539173175	28.6194907796797	27.3328121768754	27.6222696350242	26.949163948033	26.5904657605628	24.1095250627587	23.4263965025531	25.7473027808014	24.2993085723498	24.2381330690217	23.3348067788564	23.951921454658	23.0654985198001	26.4316865083144	23.5204365571737	22.8337835149126	22.8527515310013	21.7098319663327	21.0660375608462	20.9711760441593	21.1872837669978	20.9235382624495	20.4327641742337	20.4648728799858	19.7269841394601	16.4200466436253	17.705765981765	18.462430247507	19.2817715616736	17.3978961294612	14.9201624160301	14.3648360175771	15.749765899583	13.9169300753435	12.864813074266	6.40242518783391	16.4137616052031	12.2476740082818	12.0004181067917	11.6636669299067	10.3790243320842	12.2369184913615	9.95895704361602	10.5023519128423	10.8353287577733	11.2476650814333	10.3201478689212	11.2608975722361	10.8880303224905	11.1743686159554	10.2223865926472	8.44176829520701	10.7508496738796	9.42339533353874	7.57932620411585	7.64374257706956	8.25989825596183	7.47958804114907	7.17587862281728	7.86793403745905	7.54954971043228	7.18984230079547	7.387256870323	6.80793522075969	2.70789433072861	6.20082831798144	6.81335253141048	5.35828171797679	1.71886778700953	6.43203301672027	4.83550791224314	4.36244060166167	4.43620788173297	4.35165891585906	4.46984545139747	3.99453178652138	3.86715472817399	2.6817885707749	3.44681519944556	3.13460311982238	3.25917134501048	3.24595704051697	3.95431191690462	2.12150270879147	3.0278444487573	2.64386782718711	1.65760827634168	1.25712496771658	1.60124115637915	1.46568365351434	1.09370423779669	0.792710621507564	1.175314830024	0.812723095151524	0.813229067186767	0.148862963120698	0.779875049463799	0.270941392864521	34.1172472113843	33.66437998398	28.2259580269598	18.386002677089	29.4700774458154	21.7120603005656	28.1263567613889	23.8819008113599	28.45607473715	28.7320391883213	28.1708499394933	26.7306206319625	24.6709902459312	25.4677605411698	27.4253865623268	24.3272934692383	23.1462663207025	26.0413798733333	26.3376817978332	23.9725537514436	23.037197280354	13.249736400504	19.6175255702896	22.5955534978014	17.7308425167622	22.9393706610922	12.7900163680011	19.3958139065936	18.9165192280792	13.2569350555921	18.9082010430451	21.6464076620692	20.8065506306897	16.3986320794415	19.6284315342218	20.7795726636422	18.6141452098913	16.1812561718534	8.97820095656714	15.0184131436369	16.9948902501753	13.7307535984566	10.584481825042	16.690939061893	8.99448884261301	13.8052344135523	8.91883074152804	13.6537812410239	12.5899369407702	0	0	10.1194369938373	11.9766738181651	10.6126681317781	0	1.01992474650338	9.20264229569802	4.94770600986604	9.1452550856423	9.55257069995997	9.49400655312417	10.1677636017537	4.8260136223553	0	1.0996253747715	7.87038196954929	0	8.77830140483981	4.10493186997106	0	0.621578760746323	0	4.59469853044499	6.0577170035733	4.44317113555151	0.971601238545626	0.864983211287648	1.90398380365133	0	6.03220197495113	5.04637466275772	2.62129467262135	0	0	0	1.30915043493652	0	2.56722404993087	0	1.86548743119528	3.55600284128699	0	0.425951116644712	0	0	2.23340262065883	0	0	0.057539390408474	0	0.332781734692528	1.13372836724523	0	0	0	0	0	0	0	0	0	0
2800000	-2062.75319759563	-44.0905473796899	-1567.61667804842	-451.045972167512	2.26020195837686	2.01891162152604	2.0407489671505	2.07500183696816	1.74261126036699	2.23061228936726	2.10020258985664	2.05755633268765	4.04126956057736	2.70040335349812	5.36756679740585	3.24059960399576	3.80760688356641	0.329845287921853	1.35002909633236	0.454163762933768	2	2	2.41765945402201	34.2120715148901	0	385.92410678061	34.2120715148901	33.8466440005759	31.6196483165068	31.1319622787851	30.0954751187937	27.175463556282	30.4471211517686	30.564975104701	30.1355444648909	30.3432906723239	30.1042627251971	27.0471117609913	28.6077817252124	28.8084191020361	28.5367475172086	27.0137535213704	29.3115156892174	27.0735934993341	26.7286172810526	24.2693259673196	23.143678666948	26.1516109349086	24.3597325738606	24.0680343022649	23.7931228299179	24.6444652209454	24.0407136929749	24.7302855847706	23.1645626855179	23.9822237502709	22.1387059282201	21.8545342490731	21.1710369130022	23.0820007607844	21.2712432462542	20.8386495177277	20.5915149080869	20.0693587470004	19.6172736925681	16.027464677233	18.0926885382721	18.5066805153985	17.1551139183407	17.1689309703793	15.1728134782234	14.6345586007354	15.1173168313444	14.0227929361494	12.890009667367	5.90183625388084	13.1071058554678	12.4716607116953	12.0772737854063	11.7757681177849	12.1905774183089	12.1539411257486	9.92114937981615	10.3857607748189	10.4196295144555	11.2876073403955	10.5653121906657	10.5921285245333	10.4493908546899	9.75492706247772	9.75456629027371	8.76161761398299	9.2182400909546	9.52814336909447	10.2753128659933	7.28691302866234	8.40527965079402	7.7193062098923	6.93264182049422	8.37288702747526	6.77051307703107	7.18836717177172	7.0117429777559	6.54413657516171	5.19494460346193	6.30699391637421	6.82994352964065	5.31657100212086	1.70958581059679	5.64179768913618	4.83828027833571	4.51371345464019	4.42247324536519	4.07214339192815	3.9453866104125	3.8657033531374	3.63520553756008	2.63171503753646	3.20305727467792	3.88631723346547	3.35171129540441	3.89217257813444	2.81506521496618	2.12784244379715	2.92871769718894	2.25533472184978	1.73166287337648	1.30085632234227	3.2593774564044	0.963641221315595	1.00137188989015	1.12909963437456	1.12341639761547	0.973371329239748	0.94777004326579	0.137436095038833	1.12361242748459	0.143603029066841	34.1834426930942	33.4893883711003	28.5739715772208	19.2667181078509	29.9630815321679	22.4779960759505	27.9431789145634	26.3256016480172	28.5619963313373	28.6307286023895	27.8255014001211	26.7747872106298	25.0441688261921	25.4260611512937	27.8862168728132	25.8310230777135	23.2618714794241	25.940672834428	26.1438257185222	23.5037253666977	22.9501363481208	13.307492921004	18.6385843749598	22.6590408162498	17.3604962713031	22.9529910123723	12.3661970802602	20.2344288524535	18.4055643431232	13.3800432143881	19.9573137362267	21.5905342194129	20.7542861819647	16.31070753602	19.5777306776135	20.6358347879864	18.3331927925454	16.38827245536	9.14362198191357	15.4789766366797	14.4680043982482	14.0319013312155	10.132604594161	16.7862273428082	9.99691656610671	13.0470221102951	8.84780896166043	13.5945971600714	12.6039710148362	0	0	10.0285467191419	11.914545191556	10.5424331415993	0	1.35267675298157	8.83235013687029	4.91516853345669	8.98089062643471	9.16317290339728	9.90000584088205	10.2483991358237	4.42616935392377	0	1.29010395990464	8.03458058111996	0	8.87340992318804	4.39834522044047	0	0.642072828147744	0	4.36997937400059	5.22522116615001	4.42993818820362	0.884394462544231	1.48332992146598	2.36813482296369	0	5.24013633630019	5.39042857184925	3.03223405747769	0	0	0	1.50711480034596	0	2.77958224993487	0	1.97664100176595	3.55091857680686	0	0.256837745851378	0	0	2.39461029521764	0	0	0.0506309060534376	0	0.245546884224136	0.976960124104431	0	0	0	0	0	0	0	0	0	0
2880000	-2071.74292316742	-55.5783157837494	-1576.00071851789	-440.163888865783	2.38795684830212	2.582499982828	2.45710532521042	2.11285848975644	1.68099785861188	1.69319949968365	1.85763171329725	1.95874984031228	4.15716917437796	2.85964340181722	5.49669166127659	3.81415046935311	3.02618631025767	0.645807924078519	1.40965322898245	0.366699459957158	2	3	3.40763462551371	34.3360000484734	0	388.850626287325	34.3360000484734	33.8568582270199	31.4157419170011	31.3136712875028	30.1406259706881	28.2967283720729	30.200333603671	30.7550452662158	30.2523665877316	30.4697112410126	30.2580161744187	27.8251914877939	28.9011946294289	28.7467883081179	30.5452243491283	26.9581628825711	28.370491164474	26.5524286879352	27.1349040952228	24.0097038034865	23.9400843092532	25.5267864223412	24.2573593371735	24.029036435814	23.4559362320305	23.7310085735981	22.0011547411431	23.6384108006001	23.2273407507226	22.3108612199592	22.5892872202028	22.1342896666954	21.1111567303398	21.1633900165434	21.7611206050002	20.8426967610008	20.3574482505003	20.0685858295445	19.7188034803201	15.6055206067252	18.3828601803468	18.5462410257782	17.038042722968	17.7372103189454	15.7677363814309	14.2389824307895	14.8261171496683	14.2274208906358	12.7894625098895	7.49606006395366	12.9985226669107	12.4510513051768	12.9679483903964	11.9667326614138	10.4819296580033	12.2478591782929	9.9565888857979	10.7324139384031	10.7610087556611	12.7632601188457	10.6676878941705	11.1249943237068	10.3469255848403	10.0277347342131	9.97696866472537	8.96473109927278	9.74108462653109	9.12703392694138	8.43928148703227	8.95038407515138	8.43188775440499	7.69198608136864	8.24013346166191	7.96746148342254	6.90395237808689	7.06248939587195	7.26205832670626	7.03998931146523	3.40936208801817	6.16956869114163	6.26508464696515	5.71086827089459	1.66981706746022	5.25945814792881	5.13877461719489	4.39553764063756	4.76347315530696	4.13676853605375	4.07376708410402	4.05599803672664	3.93607048130693	2.74137351261668	3.48653185782136	3.47882136063056	3.11131247848095	2.9557705641686	2.74842389466836	2.13490310441232	2.77680307818066	2.16360394018568	1.56196950183478	1.34797779884268	1.41770133935698	0.860680136416334	1.63946167479434	1.10879462986805	1.061936739529	0.801722083475818	0.792266585031745	0.129241177574272	0.742733935521938	0.132191966471885	34.1227775680838	33.8288680298929	29.537918481759	19.5670579528685	29.9145518854515	22.5134280770722	26.9269400233489	26.414685282162	28.557952818208	28.8102714535889	28.3082982531863	23.6837450775352	25.0082992748695	25.4950559668766	27.1093286682289	25.7819335350355	22.8825128731479	26.2205265875156	25.6312316733432	23.9937960818398	22.907680220137	12.6220762505994	20.0427704487425	22.7876114583759	17.777070287609	22.4118854052683	12.3987947528508	20.8620510069309	18.9577340635243	13.4201006934512	18.0159389516389	21.1021401862207	19.843843204156	16.1904415109527	19.5269791042481	20.6714976595769	18.4178598428198	16.2802148356136	9.03898959481726	15.5678129890585	17.1110881424413	13.7805370576542	10.886678762273	16.549957656488	9.83639360029552	13.6856277748432	9.46561038068844	13.1661042910113	11.5120747854063	0	0	10.1119884041149	11.5757779082378	9.38904762125488	0	1.29471007094661	8.78494332937048	5.02444623233303	9.10504137521412	8.36035482157134	9.94798869649775	9.45372675494527	4.9451860633132	0	1.34657626729732	6.71083543230118	0	8.8106994643117	4.4115103684767	0	0.424225863363854	0	4.30587418198919	6.02767280919609	4.31172487635815	1.02117231029016	1.22316588025701	2.40998389076266	0	5.20671800771383	5.08100691013985	2.96027822819823	0	0	0	1.35396705075303	0	2.55306949477421	0	1.85872433199618	3.46788315504589	0	0.889728242840969	0	0	2.85882536112301	0	0	0.0185434357812505	0	0.00618735588247987	1.08351479429378	0	0	0	0	0	0	0	0	0	0
