	ts	te
T0	35.0	17.77
T1	33.18	15.54
T2	32.72	24.69
T3	30.37	13.83
T4	29.7	26.56
T5	28.66	22.83
T6	28.49	18.75
T7	27.82	2.81
T8	27.79	19.67
T9	27.36	16.27
T10	27.35	12.34
T11	26.89	11.44
T12	26.61	9.5
T13	26.14	14.08
T14	26.02	23.34
T15	25.84	19.41
T16	25.81	17.51
T17	25.69	7.43
T18	25.68	14.3
T19	25.53	21.75
T20	25.25	15.08
T21	25.18	17.96
T22	24.57	14.34
T23	24.45	18.36
T24	24.28	21.13
T25	24.23	13.52
T26	24.16	17.23
T27	24.08	11.85
T28	24.03	18.71
T29	23.99	7.1
T31	23.66	19.17
T32	23.57	12.51
T33	23.52	11.8
T34	23.42	10.51
T35	23.23	18.56
T36	23.22	17.51
T37	23.16	13.72
T38	23.13	12.15
T39	23.03	20.44
T40	23.0	10.52
T41	22.83	12.01
T42	22.77	16.43
T44	22.53	18.53
T45	22.36	18.06
T46	22.23	21.35
T47	22.19	8.75
T48	22.13	20.86
T49	22.1	13.31
T50	22.09	11.6
T51	22.07	17.48
T52	22.0	18.34
T53	21.9	19.12
T54	21.88	14.07
T55	21.81	15.18
T56	21.8	15.86
T57	21.71	11.74
T59	21.67	15.53
T60	21.61	15.24
T61	21.61	15.74
T62	21.55	18.81
T63	21.52	18.26
T64	21.51	15.25
T65	21.49	15.82
T66	21.49	15.3
T67	21.45	12.12
T68	21.41	0.0
T69	21.38	19.03
T70	21.31	17.61
T71	21.25	20.13
T72	21.12	12.52
T73	21.08	16.59
T74	21.07	15.32
T75	21.0	15.92
T77	20.97	15.79
T78	20.95	17.86
T79	20.95	12.0
T80	20.93	15.01
T81	20.93	10.68
T82	20.81	17.77
T83	20.79	18.08
T84	20.76	15.95
T85	20.69	19.55
T87	20.66	11.53
T88	20.6	15.55
T89	20.56	15.99
T90	20.51	17.3
T91	20.51	11.74
T92	20.46	15.34
T93	20.33	14.93
T94	20.23	12.1
T95	20.2	18.36
T96	20.19	16.67
T97	20.17	12.65
T98	20.16	15.45
T99	20.15	10.61
T100	20.14	17.38
T101	20.02	13.75
T102	20.02	17.55
T103	19.95	18.91
T104	19.84	16.88
T105	19.82	14.22
T106	19.82	14.51
T107	19.7	19.26
T108	19.64	11.97
T109	19.6	10.36
T110	19.6	13.77
T111	19.57	12.27
T112	19.56	13.3
T113	19.56	14.86
T114	19.5	15.59
T115	19.49	16.85
T116	19.43	18.47
T117	19.38	0.0
T118	19.32	18.71
T119	19.29	12.28
T120	19.22	12.9
T121	19.15	13.77
T122	19.09	13.54
T123	19.03	11.04
T124	18.99	16.11
T125	18.97	15.15
T126	18.83	13.98
T127	18.75	14.78
T128	18.73	16.05
T129	18.69	11.13
T130	18.65	15.78
T131	18.65	15.51
T132	18.62	17.85
T133	18.55	14.55
T134	18.53	15.81
T135	18.47	16.95
T136	18.46	16.06
T137	18.44	14.9
T138	18.4	15.28
T139	18.38	13.54
T140	18.32	16.9
T141	18.31	16.05
T142	18.3	16.98
T143	18.28	10.73
T144	18.28	12.21
T145	18.26	9.58
T146	18.21	13.62
T147	18.19	16.8
T148	18.16	14.58
T149	18.14	13.39
T150	18.12	15.29
T151	18.1	8.37
T152	18.01	17.57
T153	18.0	17.45
T155	17.92	16.46
T156	17.89	1.99
T157	17.85	13.8
T158	17.84	15.74
T159	17.82	13.25
T160	17.81	15.42
T161	17.81	15.84
T162	17.78	13.28
T163	17.7	15.7
T164	17.65	16.03
T165	17.63	10.78
T166	17.56	13.37
T167	17.54	13.18
T168	17.5	10.13
T169	17.48	14.69
T170	17.45	16.23
T171	17.42	16.96
T172	17.41	14.67
T173	17.4	9.43
T174	17.39	16.94
T175	17.32	10.11
T176	17.28	8.61
T177	17.2	15.13
T179	17.18	16.23
T180	17.13	14.78
T181	17.13	12.01
T183	17.09	11.95
T184	16.98	14.83
T185	16.81	15.61
T186	16.75	12.98
T187	16.71	16.02
T189	16.61	14.78
T190	16.6	14.87
T191	16.36	12.16
T192	16.36	13.16
T193	16.27	12.99
T194	16.23	3.21
T195	16.2	13.93
T196	16.19	15.61
T197	16.15	13.48
T198	16.05	10.22
T199	16.05	0.0
T200	16.03	11.13
T203	15.9	10.09
T206	15.62	12.64
T207	15.59	12.33
T208	15.55	12.44
T209	15.49	13.57
T211	15.33	11.99
T212	15.2	12.34
T213	15.16	14.32
T214	15.16	12.35
T215	15.16	5.66
T216	15.04	12.54
T217	14.99	12.17
T218	14.88	14.59
T219	14.86	13.48
T220	14.81	10.4
T221	14.63	3.91
T224	14.33	13.63
T225	14.2	12.16
T227	14.11	2.38
T228	14.09	8.23
T231	13.85	12.92
T232	13.72	12.79
T234	13.47	9.35
T235	13.43	10.31
T236	13.33	7.34
T237	13.29	10.27
T238	13.14	10.01
T239	13.08	8.22
T240	13.02	12.01
T242	12.99	11.6
T243	12.68	12.17
T244	12.4	11.81
T246	12.23	3.71
T247	12.13	9.74
T248	12.13	10.05
T249	11.42	10.29
T250	11.15	9.54
T251	11.11	9.14
T252	10.51	5.08
T253	10.02	4.86
T254	9.98	9.15
T256	9.48	7.87
T257	9.37	8.43
T258	8.86	5.92
T260	8.31	5.57
T261	7.14	6.95
T264	5.46	5.0
T265	4.68	3.06
T266	3.54	1.09
T267	0.47	0.0
