	ts	te
T0	35.0	16.97
T1	33.5	24.33
T4	29.17	14.0
T5	29.15	26.52
T7	28.85	11.74
T8	27.43	17.6
T9	27.28	17.39
T10	27.22	22.69
T11	27.18	11.13
T12	26.62	17.85
T14	26.53	14.49
T15	26.33	10.94
T16	26.15	24.78
T17	26.04	12.52
T21	25.57	11.53
T22	25.51	0.0
T23	25.5	18.61
T24	25.36	10.1
T25	25.16	11.4
T27	24.74	23.19
T28	24.61	14.6
T30	24.39	13.83
T34	24.19	12.77
T35	24.18	18.39
T36	24.17	12.76
T39	24.08	19.37
T40	24.07	16.53
T41	24.02	10.88
T42	23.99	17.42
T44	23.91	23.33
T45	23.38	12.63
T46	23.26	15.46
T47	23.24	11.58
T48	23.22	12.56
T49	23.22	11.84
T50	23.21	14.72
T51	23.17	14.57
T52	22.93	0.0
T53	22.9	12.77
T54	22.88	0.0
T55	22.88	10.63
T56	22.86	13.98
T57	22.8	13.65
T58	22.8	11.06
T59	22.79	0.0
T60	22.74	13.47
T61	22.5	11.92
T62	22.45	13.43
T64	22.28	14.67
T66	22.22	0.0
T67	22.14	14.83
T68	22.11	12.04
T69	22.1	17.33
T70	22.08	12.71
T71	22.0	18.41
T72	21.96	9.86
T73	21.96	14.31
T74	21.94	13.35
T75	21.93	12.1
T77	21.82	14.53
T78	21.8	17.84
T79	21.79	12.65
T81	21.75	14.91
T82	21.72	19.63
T83	21.7	14.56
T85	21.64	10.06
T87	21.58	14.58
T88	21.48	13.34
T89	21.45	17.17
T90	21.39	16.6
T92	21.37	12.29
T93	21.21	13.14
T94	21.16	20.8
T95	21.15	13.74
T96	21.15	12.55
T97	21.1	14.01
T98	21.1	17.62
T99	21.08	10.59
T100	21.04	11.29
T101	20.96	13.46
T103	20.94	0.0
T104	20.87	13.55
T105	20.84	15.69
T106	20.82	16.91
T107	20.81	11.03
T108	20.8	0.0
T109	20.64	16.92
T110	20.6	19.47
T111	20.57	0.0
T112	20.53	11.08
T113	20.47	13.94
T114	20.45	13.8
T115	20.43	12.82
T116	20.39	13.75
T118	20.33	13.44
T119	20.29	0.0
T121	20.27	13.58
T122	20.23	0.0
T123	20.22	14.76
T124	20.17	16.2
T125	20.17	14.05
T127	20.16	12.47
T128	20.15	16.32
T129	20.14	0.0
T130	20.14	0.0
T131	20.06	15.8
T132	20.05	15.22
T133	20.03	17.0
T134	19.9	12.67
T135	19.79	13.89
T136	19.68	13.37
T137	19.64	0.0
T138	19.63	0.0
T139	19.62	11.46
T140	19.62	11.49
T141	19.59	14.31
T142	19.55	17.55
T143	19.27	11.43
T144	19.26	12.49
T145	19.04	13.02
T146	18.97	17.68
T147	18.93	10.57
T148	18.88	0.0
T149	18.82	14.63
T151	18.75	10.88
T152	18.75	13.54
T154	18.72	14.28
T155	18.72	0.0
T156	18.55	10.94
T157	18.5	14.75
T158	18.47	12.82
T159	18.42	12.88
T160	18.37	13.88
T161	18.34	10.88
T162	18.3	0.0
T163	18.27	13.75
T164	18.27	14.67
T165	18.0	0.0
T166	17.84	14.78
T167	17.83	1.04
T168	17.83	11.46
T169	17.81	12.32
T170	17.76	12.1
T171	17.67	12.48
T173	17.51	14.6
T174	17.3	0.0
T176	16.84	0.0
T177	16.84	0.0
T178	16.8	0.0
T179	16.73	0.0
T181	16.61	13.49
T182	16.52	0.0
T184	16.35	0.0
T185	16.31	10.59
T186	16.24	0.0
T187	16.21	12.88
T188	16.19	14.5
T189	16.15	12.44
T190	16.11	13.7
T191	16.1	0.0
T192	15.96	11.63
T193	15.93	14.88
T194	15.86	14.67
T196	15.77	13.72
T198	15.71	0.0
T199	15.69	10.82
T200	15.64	0.0
T201	15.55	13.73
T202	15.54	10.35
T205	15.51	13.5
T206	15.46	0.0
T208	15.38	14.92
T209	15.37	10.19
T210	15.35	12.64
T211	15.29	14.27
T212	15.28	11.36
T213	15.15	14.69
T214	15.15	13.45
T215	15.09	13.24
T216	15.0	13.62
T217	14.97	10.85
T218	14.95	0.0
T219	14.92	10.94
T220	14.8	0.0
T222	14.62	14.01
T224	14.54	11.13
T225	14.44	10.08
T226	14.23	12.02
T228	14.09	11.07
T230	14.05	0.0
T232	13.92	12.46
T233	13.91	12.4
T235	13.76	11.25
T236	13.73	0.0
T237	13.69	12.19
T238	13.68	0.0
T239	13.6	12.56
T240	13.58	3.94
T241	13.58	11.91
T242	13.54	0.0
T245	13.27	0.0
T249	12.91	11.88
T251	12.63	10.18
T252	12.57	0.0
T254	12.46	0.0
T255	12.41	11.13
T256	12.4	0.0
T257	12.39	11.42
T258	12.35	0.0
T259	12.32	0.0
T260	12.23	10.99
T261	12.19	0.0
T262	12.12	11.75
T263	12.06	0.0
T264	11.99	10.74
T265	11.86	0.0
T268	11.68	0.0
T269	11.67	0.0
T271	11.62	10.58
T272	11.61	0.0
T273	11.61	0.0
T274	11.4	0.0
T275	11.35	0.0
T279	10.7	0.0
T280	10.7	0.0
T282	10.24	0.0
T283	10.15	0.0
T285	10.12	0.0
T286	9.62	0.0
T287	7.18	0.0
T290	4.74	0.0
T291	2.82	0.0
