it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	q_4	q_5	q_6	q_7	q_8	q_9	q_10	q_11	q_12	q_13	alpha	hypQ	k_birth	k_death	RJ_hp	root_age	death_age	tot_length	T0_TS	T1_TS	T2_TS	T4_TS	T6_TS	T7_TS	T13_TS	T14_TS	T15_TS	T16_TS	T20_TS	T21_TS	T26_TS	T30_TS	T31_TS	T32_TS	T33_TS	T38_TS	T39_TS	T41_TS	T43_TS	T44_TS	T46_TS	T49_TS	T50_TS	T54_TS	T55_TS	T56_TS	T57_TS	T59_TS	T60_TS	T61_TS	T62_TS	T65_TS	T66_TS	T69_TS	T70_TS	T72_TS	T73_TS	T74_TS	T75_TS	T76_TS	T77_TS	T84_TS	T86_TS	T87_TS	T88_TS	T89_TS	T90_TS	T92_TS	T95_TS	T97_TS	T98_TS	T100_TS	T101_TS	T102_TS	T103_TS	T106_TS	T107_TS	T109_TS	T110_TS	T113_TS	T114_TS	T115_TS	T117_TS	T118_TS	T119_TS	T121_TS	T124_TS	T125_TS	T126_TS	T127_TS	T128_TS	T131_TS	T132_TS	T133_TS	T134_TS	T135_TS	T137_TS	T138_TS	T139_TS	T141_TS	T143_TS	T144_TS	T145_TS	T146_TS	T147_TS	T149_TS	T150_TS	T151_TS	T152_TS	T154_TS	T155_TS	T156_TS	T157_TS	T158_TS	T159_TS	T160_TS	T161_TS	T162_TS	T164_TS	T165_TS	T169_TS	T170_TS	T171_TS	T172_TS	T174_TS	T175_TS	T176_TS	T177_TS	T178_TS	T179_TS	T182_TS	T184_TS	T185_TS	T186_TS	T187_TS	T188_TS	T190_TS	T191_TS	T192_TS	T194_TS	T196_TS	T197_TS	T198_TS	T201_TS	T202_TS	T203_TS	T204_TS	T205_TS	T206_TS	T211_TS	T212_TS	T213_TS	T215_TS	T216_TS	T217_TS	T0_TE	T1_TE	T2_TE	T4_TE	T6_TE	T7_TE	T13_TE	T14_TE	T15_TE	T16_TE	T20_TE	T21_TE	T26_TE	T30_TE	T31_TE	T32_TE	T33_TE	T38_TE	T39_TE	T41_TE	T43_TE	T44_TE	T46_TE	T49_TE	T50_TE	T54_TE	T55_TE	T56_TE	T57_TE	T59_TE	T60_TE	T61_TE	T62_TE	T65_TE	T66_TE	T69_TE	T70_TE	T72_TE	T73_TE	T74_TE	T75_TE	T76_TE	T77_TE	T84_TE	T86_TE	T87_TE	T88_TE	T89_TE	T90_TE	T92_TE	T95_TE	T97_TE	T98_TE	T100_TE	T101_TE	T102_TE	T103_TE	T106_TE	T107_TE	T109_TE	T110_TE	T113_TE	T114_TE	T115_TE	T117_TE	T118_TE	T119_TE	T121_TE	T124_TE	T125_TE	T126_TE	T127_TE	T128_TE	T131_TE	T132_TE	T133_TE	T134_TE	T135_TE	T137_TE	T138_TE	T139_TE	T141_TE	T143_TE	T144_TE	T145_TE	T146_TE	T147_TE	T149_TE	T150_TE	T151_TE	T152_TE	T154_TE	T155_TE	T156_TE	T157_TE	T158_TE	T159_TE	T160_TE	T161_TE	T162_TE	T164_TE	T165_TE	T169_TE	T170_TE	T171_TE	T172_TE	T174_TE	T175_TE	T176_TE	T177_TE	T178_TE	T179_TE	T182_TE	T184_TE	T185_TE	T186_TE	T187_TE	T188_TE	T190_TE	T191_TE	T192_TE	T194_TE	T196_TE	T197_TE	T198_TE	T201_TE	T202_TE	T203_TE	T204_TE	T205_TE	T206_TE	T211_TE	T212_TE	T213_TE	T215_TE	T216_TE	T217_TE
2500000	-2823.06624881813	-41.21339881584	-2249.36319149419	-532.489658508101	2.34325267747808	1.14280272324763	3.75133315277094	1.33301904258486	1.5038689172073	0.888670053187063	1.24372432668584	1.29396663986092	2.60993668723848	1.74159795532279	3.9513945635109	2.01531182544579	3.58912537789378	3.2467429263118	1.15133389886225	0.894175658245789	2	2	2.42744802288429	34.9301183022131	0	537.226706022209	34.9301183022131	32.2762490737274	22.2889806392655	31.1470854971459	30.9598946860747	29.9107280251796	29.1133661050641	29.6657510058698	29.1020876783974	27.1894296033414	28.3792436366565	24.4688317013909	27.2831119308626	25.6536379703715	25.000601164839	25.9256871733212	21.1298649220529	23.2346221213897	24.1387166988277	21.5923299889039	23.6038470350994	23.2056155018779	23.0908952094722	25.2992074745782	23.0620883510941	22.3157373912447	22.1915485974308	22.0938833727134	22.3249753516566	21.4874052617773	21.0368191698877	21.93041557861	21.1883183400853	20.5904331668151	21.1877929932927	20.9427543325756	20.3281047793697	20.9372515004642	20.8312616848837	20.9353948731724	20.4979204973627	19.8382802734299	20.2673728539045	19.3461342454744	5.18765583973747	18.924971173237	18.2456285345689	18.770593556268	16.6674440812119	18.5093447341396	18.6877649863505	17.5099946311658	17.9386461813668	17.9539503592198	16.9968245271789	16.0230507382212	17.2968037784326	16.6679879119673	17.2237219655109	17.1786341485333	16.8760380754568	16.7106441239748	16.9992757486922	16.6869370336827	15.6976512250568	7.09703661099669	15.4225803417773	16.5340624210828	3.73800647122933	12.0925816725188	10.2647713367672	15.0843565404268	7.94879760404852	13.3010250331428	12.9211535723075	9.64741890055096	12.7806516654136	12.2209185541255	13.840396292827	13.4435852409224	11.0185133589587	9.45898817788488	10.0863944457352	9.76462025526363	9.16751893469187	9.70638425109317	9.11738707271906	8.4534368681462	7.80654008439901	7.42279873894191	5.53485177890262	7.43442233633241	5.64997810099484	2.91859487055182	5.54513615799998	6.12686097288177	4.1569826265217	4.8979461165708	4.60916809357009	4.49752228371854	4.8309485351629	4.19348483919895	6.65328444013917	2.31339804972908	3.21913739382384	3.34815484590701	3.60179103625233	3.60914349604771	2.71753260244469	2.5376581636728	2.54808696567029	1.30768641513448	1.26323413963115	1.89038690645483	2.46816648209079	1.91968682728142	1.90467997745343	1.92015422277356	2.459911205915	1.06510052227841	0.746582965993429	1.03816141680602	0.811549467392165	1.03326294980784	1.02497013310718	1.82803206164991	0.821684142679914	1.07905524793775	0.494408274062824	0.759496580523933	0.847446679341978	0.479852531624617	0.512722745953351	0.257673186611743	0.34152813392136	0.475264306905544	0.438847476583866	26.688164326404	32.0247201825129	0	24.9696349069895	28.1927814239695	27.6841568548391	28.1837670814924	28.4820099991844	24.7441860697858	27.0750564710264	27.3185253405286	20.7782643749318	22.056098823427	24.8645494100669	20.1767240998135	22.1673331913658	18.899102915311	21.5891904188415	23.1620241707946	20.98336213177	22.0827418394004	21.8663139485333	22.3954456558122	21.004439081749	22.4336789787632	20.0750165058423	17.989832753911	21.6871095061637	21.6237805394689	21.2846114533057	20.8876274848429	6.02772216175472	20.5509830641278	0	20.3449848479383	19.3386106810233	16.7564795842126	20.167117054433	19.0402540632135	20.7522642030076	20.4386771576149	19.425294981243	17.8707611828186	17.2700028649001	0	14.1337652045062	0	18.5332314262458	0	18.3395901534342	17.404829464276	0	16.2740938136517	16.436899861123	0	4.53392231980223	12.0920885441171	16.5836720346069	17.1026700221838	10.719642855287	0	15.9671162069912	0	15.5144310093574	10.1123275936879	0	0	14.2976629869761	3.68325307282985	10.8867930902999	0	12.6079007865548	0	12.9619700007893	2.33019249681522	0	1.53874690528867	0	0	11.5452228731576	7.08482571045666	5.57465886274022	6.6815855664843	5.52002145783853	5.12572479828154	0	0	3.69846258984979	0	0	0.786524544762948	5.68340463505277	2.17985816679552	2.90013062658312	4.57666521405576	2.73286730180168	1.22830220661467	0	2.53594373611206	0	3.12682781418778	0	0	0	2.71675163968599	1.03749944212447	2.06466427425802	0	1.7501208491925	1.2383784443283	0	0	0.787763918732678	0	0.412556818184787	0	0	0	0	0	0	0.896375188445201	0	0	0	0	0.392862385130549	0	0	0.238005544095699	0	0	0	0	0	0	0
2580000	-2772.70448526236	-49.4698135779115	-2202.1095779501	-521.125093734344	3.13297474055829	1.51871995832972	4.3160708556502	1.41464873999401	1.82538046718144	1.13742915502963	1.8082660049243	1.95676204255359	3.26149265383784	2.54599149276926	5.8110446880759	3.07504771958021	4.23083820696463	1.97796989423112	1.79156030748046	0.667310476742611	3	2	1.7103893726858	34.9304860042135	0	513.814735065722	34.9304860042135	32.2304169852623	21.4260434143404	31.171778088951	31.0387245400736	29.9084874474221	29.0964627250095	29.5698417016058	29.0004496370932	27.3040682985464	28.2648129552525	24.8857809212365	27.0542749668295	25.3944582851211	24.7108094384283	25.6551868713775	21.6590591215392	23.1622873220109	24.1444538404534	21.7238018192617	23.9206872898301	22.8826335087045	22.5622316631402	22.961596073014	22.6683670066446	22.3403497201842	22.084496760743	22.0555257052455	22.0354780624892	21.4853801164628	20.9490903858839	21.4000969670094	21.122224579314	20.9522787587653	21.1134181556843	21.0959605506935	20.3040458047086	21.22192918922	20.8376927396315	20.9348245939274	20.5721832990896	19.6854817722002	19.9354340539303	19.4647097874025	5.25011771987989	19.0070625220504	18.1722463203574	18.6132084899979	16.7775234425399	18.605359127038	18.2235673925435	18.3528987202234	18.1759272933458	18.1176381327461	16.2747738628097	15.857303083996	17.2988841998232	16.595092814106	17.6409597815506	17.3258330983202	17.6325584812491	16.4812262699915	16.3846676598882	16.3787714738308	16.3218198631279	7.10046742679553	14.9864141078134	15.4515868334735	4.11436866049025	11.6146068465181	11.2879155039463	14.9743179499499	7.86710401666175	13.1875782398478	12.8345736967678	11.4118401256022	12.142157410694	12.270062415419	13.4636595304814	12.3332833009315	13.9692874723439	12.0311366464374	10.3278461550877	9.89276101543594	8.3925141846972	9.40430901827118	8.64804040004115	8.36889006285087	7.24682562448759	6.94223160539604	4.07679572421713	6.65693914171514	7.05561060642251	2.94731541223712	5.55410522807103	5.85108486618364	4.35476300986319	5.54611349794249	4.58421212725561	4.84566418335341	4.62786769685116	3.75116002341271	3.65735338172218	3.0140452394926	2.83893533070471	3.56545869018255	3.10201377239483	2.41720698379707	2.6692755759218	2.73250963297169	2.71495490553902	1.31110899273963	1.18101356948581	1.90553571724398	1.87344357195595	1.81357890679712	1.77280051821067	1.62784139981679	1.59846171653751	0.83754198779158	0.742451206718135	1.04405780708643	1.41222848279017	0.96723939043606	0.439785803666087	0.664791682311246	0.91692822301175	0.978370197309801	0.892798993445482	0.648097080522346	0.69117022955739	0.534444675158051	0.622323915564052	0.187709291292769	0.368001147381238	0.547940624648251	0.166492658106168	27.3000357975518	32.2106216359236	0	25.09631603345	28.2758544442883	27.079317321	28.1659889479193	28.521671292331	24.3926544073519	26.880274107224	28.0587671568142	22.1331699050689	21.8424764457915	25.1000972679509	20.2886669694065	22.1008861656513	19.5974984126939	21.5832299163803	23.6593833412616	20.9084021907628	22.2180219005912	22.0156400528515	22.274797376318	20.8504653798476	21.9440466769723	19.9431558020787	18.3012599549163	21.6885371481881	21.5535101873604	21.3031130170778	20.7687267735222	5.92762813966911	20.9675276224855	0	20.2730161454348	19.4009439160269	16.5428975340321	19.4828203631019	18.7737979337887	20.6378145721204	20.2918199163733	18.9661920487144	18.7181850208539	17.5517274256563	0	15.4406887218162	0	17.6534875838187	0	18.4052675556462	17.9097146234086	0	16.3620560115344	16.4865811496072	0	7.35157105804976	15.5727940695928	15.3285530069806	16.9346090266323	11.4694274542041	0	16.1973995169566	0	15.4088043372326	9.68124197771205	0	0	14.5066198183587	3.53002542343465	11.5404766413974	0	13.0320690277809	0	13.0324825485207	2.38337148173002	0	1.45501111570978	0	0	10.7206646239666	9.61077471585326	4.77712344781455	8.86312026554953	5.25458726606707	6.38461885503449	0	0	3.65058311165405	0	0	0.140869464374454	5.93644085254584	1.80607526879274	2.81632560153736	4.3889690154628	2.82298821255701	1.16706131240479	0	2.11543780905572	0	2.84279356391053	0	0	0	2.72960830591407	0.902876434953482	2.02694653654436	0	1.80794828483076	1.38798454754542	0	0	0.677449981285484	0	1.78811396082069	0	0	0	0	0	0	0.797327316313672	0	0	0	0	0.21524952460113	0	0	0.258679585600411	0	0	0	0	0	0	0
2650000	-2819.64341477498	-43.4880982455449	-2243.58109540631	-532.574221123119	2.5379311716176	1.17938627277067	4.695439797719	1.57560038561638	1.24857327009605	0.841067627469214	1.70633360182577	1.9213725212277	2.88035936974478	1.97161272529874	5.66811348715996	2.24726652378671	3.13821466095893	3.01173740031028	1.5071585593556	0.741289351993236	2	2	1.90321207752167	35.0451456834689	0	545.888925215701	35.0451456834689	32.2361719621436	22.5344958624998	31.5320085273956	32.0118393038821	29.9183574065668	29.0556156647677	30.7651209488795	28.8872300397945	27.4413175806944	28.1033565196969	25.5597562622127	27.0576632399998	25.7409784157795	24.5169540300396	26.1942718928238	22.7359167618333	23.3090601113667	24.162374520866	22.5616359385298	24.1582240959136	23.1786976221936	22.7396701787372	22.7805226961037	22.6086130236818	22.4270248637483	22.1200041821371	22.0717166105468	21.8984481515366	21.382043078948	20.9391471687539	21.0627773992791	21.1202857032971	20.7437708321064	21.0483485669566	20.9943554958644	20.2846327302022	21.0479585198159	20.8347574428379	20.8695546575502	20.5079985042414	19.6815448552941	19.929799179003	19.4767867390183	6.73803806812546	18.9768435889766	18.048477719792	18.9331626632725	14.8341545563987	18.5216249289046	18.0495465442195	17.5318457903937	17.9173555687483	17.9030852922607	17.4001032213068	15.7917665034637	17.2498718292751	16.7132360749164	17.2985366282161	16.8141856092848	16.9131553147034	16.5875798641154	16.3730206856162	16.3617918924682	17.4836195786342	7.24060482386628	16.8921467819859	15.8264231547678	5.57031757105508	12.1546571557633	12.1127808465627	17.9807946115021	7.51734985874799	13.4802232331729	12.9329244180932	11.7475267245405	12.3506303319541	12.1026678908888	14.7610607387093	13.3257705841992	10.8525179618875	9.23837118964579	10.4202238108897	10.2646722391761	8.84388482461689	9.38432156714118	9.14933465899144	8.9451017678219	7.45938789832194	7.19416396195072	6.29295645050549	6.20636518842177	5.46819847594941	3.0427952630644	5.8974482232454	5.48867149455068	4.57638997589659	4.68213802459708	4.59302222551699	4.64512604317335	4.39509585504376	3.99292405511718	5.28972962521663	2.33834959701632	3.51859563747085	3.9528400334471	5.7804535949051	2.68170730476687	2.78365111472332	2.6673239428173	2.77142902875973	1.3970220037946	0.835344734289583	2.33725940668376	1.95470577443679	1.87668482760642	1.78369666629969	1.57295676892752	2.12712969161448	0.849006196014104	0.918561770004454	0.976484229648241	1.26580559459955	1.28242204215458	0.471414386752625	0.844652664392478	0.953760315939271	1.17116923089578	0.894612726483521	0.828811517624921	0.767649495400849	0.348420917264898	0.579510899748852	0.240868266555724	0.408465605032254	1.92139823623337	0.270501636600057	27.6275631254793	32.196488889047	0	24.6908690176086	28.2596599979304	27.3360316415219	27.9403600681329	28.3616158668943	24.9807108826147	27.0045530812118	28.0955246020978	21.9898012281515	22.0899007261937	25.105669708744	20.3296023842782	22.1543349183434	19.754850507049	21.7208542551674	23.3313621651828	21.1125653394748	22.0504296234843	22.1151060863978	22.4041683453044	21.0779068102106	22.3725463082752	20.3929218008785	18.4840117076268	21.8105720975617	21.1251913919758	21.2595142229509	20.871228511001	4.647858599071	21.0165952521707	0	20.3607505086755	19.1674936030451	17.1433520470487	19.7077222041445	19.0045969587211	20.7485999302868	20.0579019079764	19.224434138185	16.7755560028103	17.5183378549183	0	15.2513734428019	0	18.1376704255204	0	18.1931751143811	16.5037364581195	0	16.4205988537348	16.5321936452028	0	7.29001473237737	8.96759488008777	16.5507350679463	17.0264785068008	10.8540856664611	0	16.3577644379162	0	14.9891725081028	9.45300934156451	0	0	14.4483555787302	3.40183494552033	11.3295797521605	0	11.213308243747	0	12.1673761401096	2.33767684938371	0	1.11508399715688	0	0	10.9870106031193	10.266763762861	4.41277465745878	8.67042959728054	5.33422974770083	6.21913920852381	0	0	3.09988486956502	0	0	0.659790207486303	5.87511500466448	2.16507277621429	2.88472186454739	4.20167706999295	2.79470993818983	1.36174903649451	0	2.47948263944803	0	2.78627711689968	0	0	0	2.64395798654583	0.912876308261856	1.61474503001346	0	1.86990322899825	1.6609983313261	0	0	0.15980734390414	0	1.16258621565275	0	0	0	0	0	0	0.93638552897533	0	0	0	0	0.393305797948175	0	0	0.00608826611310787	0	0	0	0	0	0	0
2730000	-2803.60266102635	-47.935608450931	-2223.95877231683	-531.708280258588	2.69617020575209	1.57384909207482	4.62391959266308	1.36734163193025	1.92066435997934	0.700383541488694	1.65838920293679	2.08539195430291	2.62753799994366	1.98202527734599	5.55531264767068	2.76084533681516	3.32664572445793	3.05412151143777	1.42551793265883	0.670083638289962	3	2	2.88028022062245	34.9683241631889	0	530.875348136435	34.9683241631889	32.2293639762605	22.3872083188503	31.1456919021368	30.6548158455498	29.9251043555111	29.5167204265954	29.8754454048318	28.9546324920782	27.7983933049449	28.3748328139789	24.2280661680645	27.3047988129429	25.39164093955	25.2966265504155	25.460491680182	21.6731795311495	24.4204990995042	24.4068336942945	21.7221231402765	23.6207679345812	23.0512714035826	22.5720848124348	22.6460835927289	22.5906143660139	22.1950358503657	22.1416362983938	22.1005347266094	22.0034941805639	21.3879406143073	20.9287370986825	21.3859321593196	21.1070542155196	20.516602852859	22.1030086265076	20.936563840336	20.3066860847175	21.1912445939027	21.0901101456668	20.9531156761071	21.7312883148392	19.9152429025384	19.9443413252402	20.1325311060267	5.38061590045061	19.284287494865	18.6305388943452	18.5987766606054	14.8937021320652	18.4811607978863	18.4277427011728	17.5234195418527	18.0966775974081	19.017931803239	18.0811398314914	15.7586441734878	17.368536377454	16.8313437779426	17.1341858746757	17.0427469733065	17.9456583420118	16.5682948163666	16.3786724886422	16.3034987389663	16.5215257276067	11.8204180627015	15.3605810518105	15.423923154838	3.96290991748102	13.1421030178021	10.7831883204027	16.4125872763933	7.6963403139645	13.1400289816697	12.6383456657989	11.5712647848115	12.3023458266784	12.1011028300337	12.9705771157844	11.8631333358666	10.634718511129	10.51970078863	10.5517245062567	9.85154967750983	9.93360831478511	9.21021601677096	9.11757060959555	8.55693213297955	7.34597639379454	6.87973587852769	5.11267211703011	6.47232611491143	6.43250877776122	2.94241492001716	5.60033024085927	5.43461074673242	5.72553865773878	5.69985409885464	6.34727823183463	4.68937358113917	4.52664500821866	3.78036354026242	6.03781283804106	2.39780077102985	2.86689229613243	5.37910811064452	3.69594157430447	2.38789001080782	3.08125487162784	2.72392169182487	2.80909290429666	1.2425741471888	0.813726243977886	3.01855952570873	1.85761423883242	1.81224566795915	1.93370803345971	1.78601169291114	1.60812129320127	1.28152453428869	0.619749088394341	1.14759341312499	1.68579033276377	1.3585387135594	0.576160314414114	0.841560561880578	0.887218401264418	1.00349994460908	0.345061807459959	1.26700617279303	0.794412976519082	0.480715730998091	0.524695343466968	0.246809693062279	1.01148730955383	0.467431738654984	0.235337197277298	27.4621196871516	32.1863059232011	0	24.9835947300483	28.2777012787642	27.6417222563514	28.3002749012918	28.6115194775641	25.0392770552937	26.6902449388666	27.6312538971373	22.0232768189751	22.0816394734904	25.3567024086729	20.4657524060247	22.1493707525026	19.6412155138287	21.877512568448	24.0036334691653	20.985647859607	21.8726519276596	21.9995352785902	22.5617725941867	20.2019568484716	22.2677277785904	19.8143737461182	18.6398944933963	21.8161125708821	21.5693067504422	21.1897694087792	19.8541256025897	5.4107072395188	20.8677449122228	0	20.3929656632091	18.6532459388498	17.096798114732	19.9545867790363	18.9831925801581	20.6130635404321	20.2945494350672	19.1598882756437	18.9038798112223	17.6003740579917	0	15.459077233149	0	18.3343939404683	0	18.4629466976564	17.9374611789953	0	16.2368430955374	16.3932186584365	0	7.37651850872715	15.3215633097287	16.22054240572	17.0668356709995	10.4691578087835	0	16.353548279009	0	15.1916149759125	10.1425105588695	0	0	14.4736156257101	3.29444463045316	11.4657147804843	0	12.3617932844208	0	12.6917851771653	2.28466036084682	0	1.39489332637588	0	0	11.3687853617835	9.85118023490793	5.25018227780509	7.90355785708347	5.58999284542867	6.9782035299686	0	0	3.88159812802166	0	0	0.482950703285664	5.75004620884708	2.20625344647932	2.7681746752808	4.57082502779204	2.84950940358364	1.36131692172115	0	2.25753166245081	0	3.05960585782555	0	0	0	2.80041404223513	0.996496985711001	2.04743490157731	0	0.874655509220063	1.61511089516008	0	0	0.758217976056505	0	1.62939457261364	0	0	0	0	0	0	0.959704194553122	0	0	0	0	0.503080332762793	0	0	0.0874837351884764	0	0	0	0	0	0	0
2800000	-2807.03859829692	-55.9563440647527	-2226.82479801167	-524.257456220504	2.90521127698539	2.07392470669443	4.65867813120803	1.47115948381665	1.37682897767037	0.954514755314763	1.53123139376774	2.03267864868975	3.53383957283257	1.75644626870245	5.21636129977803	2.39749297984129	3.71426051954485	2.73775290075018	1.50253931148615	0.53363736107369	3	4	3.12650977250123	35.1710903263968	0	520.093804920201	35.1710903263968	32.3152020196067	22.130572490034	31.1374793630563	31.2050188208152	30.232874991338	29.2110857477982	30.1126932478388	29.4972632046073	27.3159547224678	28.2570662815202	24.3969332767238	27.0897006442977	25.5308447150781	25.4044519896365	25.9449964171939	21.4841343220651	23.095274749752	24.9622075495878	21.7655278538179	23.5869912327692	23.0426552143235	22.6775160362633	22.578298131417	22.5990855587391	22.351373924676	22.0588312720797	22.094404203898	21.7513458448395	21.389044879442	21.6451670495305	21.3071715630961	21.0521160035296	20.8014157195013	21.4559272986927	21.4456972711309	21.3973735047998	21.3482800339567	21.4627925975813	20.8148042274883	20.4705686505621	20.0193736695055	20.1204660694824	19.3383026755102	5.0405183774208	18.9441143626199	18.4655495138713	18.7029069426302	15.1102669669661	18.5503808766982	18.3670908551553	18.1435585033183	17.9835201565101	18.0296834687959	16.3931259109556	16.0315700740931	17.2185411075794	16.6979726077677	17.5633176439844	16.8378796043396	17.8042871102983	16.6098258490182	16.9531442367089	16.2841381093232	16.7161507633417	7.02962281203585	15.3822032959825	15.6936705360962	3.7678297388125	13.552873023688	11.837120242554	15.5255183579779	7.64448100280383	14.2109651342693	15.6384614805481	10.1150144326583	12.3692312954375	12.9219517505639	12.7910241730864	11.904435340129	10.6377743070482	9.45432099168545	10.8424230169551	9.88831916551585	8.66057189788952	9.21539538768143	9.07248582549067	8.59186134953589	8.23575923868659	7.12957684293715	4.24880902232929	6.15499444103998	5.05479296979515	2.95830239236412	5.68264898674221	5.44133744301927	4.04657089289759	4.29018135061617	4.51387190441472	4.74103076544299	4.55927976695872	3.8141312283806	3.12896508113566	2.21201463889418	3.16351446867913	3.20178148799791	3.10329135176204	2.89453738479263	3.13884678908301	2.76803289310685	2.92227852325953	1.41308137386499	0.841283976969619	1.97622152830158	1.94456112592607	1.94976944181425	1.9161156815395	1.73034962533862	1.82270468835168	1.05811884859555	1.20686290746152	1.02519503280973	1.19236985771236	0.889738261853243	0.433335329905347	0.818789147861229	1.06449166078299	0.966504238689641	1.48100398094108	0.716985524298587	0.766550545422944	0.376159752708642	0.681944111097828	0.297105894659832	1.17530905634183	0.464774940608929	1.25369352929839	27.6491063026694	32.1362183933659	0	25.0588870953551	28.2858764468989	27.3351743425615	28.2318360150774	27.9991116812377	25.0144570765876	27.0430505495023	27.9916314731189	21.8259751478901	22.0218723064906	25.2835555566785	20.4766529387963	22.1546739400967	19.9157889343223	21.8949048757282	23.4189421738088	20.8723122485933	22.1934880412584	21.9740125856099	22.0614967596148	20.9184562045076	22.3449473273098	19.8179543591275	18.1330530451926	21.6226589672477	21.6236249696314	21.0795971176304	20.8512130172053	6.35743198000794	20.9456578977016	0	19.7365824079786	17.7248726181555	17.1397069401336	20.0930051481974	19.2495278041888	20.788466289214	20.4611859144317	18.9281449793489	18.7329696294976	17.6159536556051	0	15.2346216044977	0	17.9649079771477	0	18.4447153737675	17.9352858178148	0	15.8313992232908	16.4113196734096	0	7.36506629487236	14.9658302646548	16.179869524632	17.0329097288673	9.61765114039578	0	15.6306698446804	0	15.462631431245	10.4723253114665	0	0	14.2499375562663	3.53263777703109	10.9841346576608	0	12.2565425575196	0	12.8768310981875	2.05812007845568	0	0.946307144678921	0	0	11.4821736805879	9.32502994815304	5.59882368712875	7.63822386382794	5.58796576505615	6.92824488493897	0	0	3.92975371871319	0	0	0.642571828481585	5.89801930277883	2.12649407219495	2.4778129644975	4.32782797275711	2.81885643779182	1.22168799670527	0	2.46920810126598	0	3.04611326867193	0	0	0	2.70852529173896	0.875967055878447	2.01788746664445	0	1.4770802984778	1.71236513262661	0	0	0.798286923734216	0	1.71602164076522	0	0	0	0	0	0	0.958331904700198	0	0	0	0	0.495523145289432	0	0	0.301692382055065	0	0	0	0	0	0	0
