	ts	te
T0	35.0	0.0
T1	31.51	24.65
T2	31.45	28.55
T3	29.58	0.0
T4	28.83	0.0
T5	28.7	5.12
T6	27.9	25.0
T8	27.08	21.23
T9	26.9	25.68
T11	26.43	0.0
T12	25.94	23.43
T13	25.08	15.03
T14	25.06	21.67
T15	24.63	10.7
T16	24.08	23.38
T17	23.69	16.66
T18	23.55	22.6
T20	22.67	0.4
T21	22.45	14.12
T22	22.28	11.49
T23	21.91	16.82
T24	21.44	0.0
T25	20.63	16.01
T27	20.61	16.84
T29	20.09	6.86
T30	19.89	16.35
T31	19.79	18.86
T32	19.74	1.06
T33	19.25	6.03
T34	19.1	16.76
T36	18.51	3.0
T37	18.42	17.0
T38	18.39	8.13
T39	18.36	11.79
T40	18.3	10.45
T41	18.08	0.0
T42	17.92	14.71
T44	17.76	6.82
T45	17.52	9.27
T47	17.27	15.2
T49	16.62	9.7
T50	16.39	10.25
T51	16.39	14.97
T52	16.08	14.04
T53	15.87	9.49
T54	15.72	11.05
T55	15.69	0.0
T56	15.59	13.04
T57	15.47	1.8
T59	15.05	0.0
T60	15.01	13.12
T61	14.74	1.05
T62	14.71	9.87
T63	14.61	0.0
T64	14.2	11.86
T65	13.84	11.76
T66	13.57	12.77
T67	13.53	0.0
T68	13.42	10.69
T69	13.39	12.13
T70	13.3	4.72
T71	13.12	12.75
T72	13.12	10.42
T73	13.1	10.53
T74	12.93	10.56
T75	12.88	11.36
T76	12.72	12.3
T77	12.39	2.72
T78	12.38	10.87
T79	12.35	11.02
T80	12.26	11.16
T81	12.25	5.95
T82	12.14	11.79
T83	12.13	1.77
T84	12.06	10.84
T85	11.94	11.61
T86	11.91	9.97
T87	11.69	3.69
T88	11.58	10.87
T89	11.55	0.0
T90	11.55	10.71
T91	11.52	6.02
T92	11.5	6.01
T93	11.36	9.09
T94	11.24	0.0
T96	10.94	9.78
T97	10.39	9.89
T98	10.26	6.47
T99	10.17	9.37
T100	10.15	8.84
T103	9.82	5.3
T104	9.57	9.23
T105	9.53	8.09
T106	9.44	0.53
T107	9.37	0.0
T108	9.31	0.0
T109	9.31	8.82
T110	8.94	5.87
T111	8.9	7.81
T113	8.8	0.0
T114	8.78	4.55
T115	8.6	0.0
T116	8.44	0.0
T117	8.33	7.03
T118	8.32	8.15
T119	8.26	7.05
T120	8.08	0.0
T121	8.04	5.81
T122	7.85	7.66
T123	7.76	0.0
T124	7.74	0.0
T125	7.7	7.49
T126	7.65	6.48
T127	7.38	5.24
T128	7.38	3.3
T129	7.07	3.71
T130	7.04	6.63
T131	6.97	0.92
T132	6.9	6.35
T133	6.88	4.87
T134	6.88	0.0
T135	6.88	2.51
T136	6.77	5.17
T137	6.74	1.01
T138	6.51	2.12
T139	6.43	1.94
T140	6.42	4.65
T141	6.37	2.07
T142	6.33	4.06
T145	6.29	3.88
T146	6.22	0.0
T147	6.17	3.5
T148	6.14	0.65
T149	5.89	2.75
T150	5.88	0.0
T151	5.82	0.0
T152	5.82	5.07
T153	5.7	2.15
T155	5.42	0.0
T156	5.41	3.23
T159	5.01	0.0
T160	5.0	0.0
T162	4.86	1.59
T164	4.78	2.98
T165	4.74	1.8
T166	4.57	0.61
T167	4.54	0.0
T170	4.45	2.92
T172	4.27	1.69
T173	4.26	2.48
T174	4.21	1.28
T175	4.14	1.19
T176	4.12	0.0
T177	4.05	1.87
T178	3.94	0.0
T179	3.82	2.21
T181	3.77	0.0
T182	3.74	0.23
T184	3.72	0.23
T185	3.68	0.0
T187	3.56	0.0
T189	3.54	3.2
T190	3.45	2.57
T191	3.44	2.92
T192	3.42	1.95
T193	3.4	2.16
T195	3.36	0.0
T196	3.34	0.0
T198	3.26	1.88
T199	3.22	0.0
T200	3.21	0.0
T201	3.12	0.0
T204	2.9	0.74
T205	2.8	0.0
T206	2.79	1.02
T207	2.77	0.0
T208	2.75	2.32
T209	2.73	1.81
T210	2.7	0.0
T212	2.61	0.0
T213	2.61	0.0
T214	2.54	0.33
T215	2.52	0.0
T217	2.41	0.45
T218	2.38	0.0
T219	2.34	0.0
T220	2.2	1.38
T221	2.08	0.0
T222	1.93	0.0
T225	1.54	0.0
T226	1.49	0.0
T227	1.49	0.0
T228	1.47	1.2
T229	1.4	0.0
T230	1.3	0.0
T231	1.29	0.86
T233	1.09	0.0
T234	0.98	0.0
T236	0.88	0.0
T237	0.85	0.0
T238	0.85	0.0
T239	0.85	0.08
T240	0.82	0.0
T241	0.82	0.0
T242	0.81	0.0
T243	0.78	0.0
T247	0.39	0.0
T249	0.28	0.0
