it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	q_4	q_5	q_6	q_7	q_8	q_9	q_10	q_11	q_12	q_13	alpha	hypQ	k_birth	k_death	RJ_hp	root_age	death_age	tot_length	T0_TS	T1_TS	T2_TS	T3_TS	T4_TS	T5_TS	T6_TS	T7_TS	T8_TS	T10_TS	T11_TS	T12_TS	T14_TS	T15_TS	T16_TS	T21_TS	T23_TS	T24_TS	T26_TS	T27_TS	T28_TS	T29_TS	T30_TS	T31_TS	T32_TS	T34_TS	T35_TS	T36_TS	T38_TS	T39_TS	T40_TS	T43_TS	T45_TS	T47_TS	T48_TS	T50_TS	T51_TS	T54_TS	T55_TS	T56_TS	T58_TS	T62_TS	T64_TS	T65_TS	T66_TS	T68_TS	T69_TS	T70_TS	T72_TS	T74_TS	T77_TS	T79_TS	T80_TS	T84_TS	T85_TS	T87_TS	T88_TS	T89_TS	T92_TS	T93_TS	T94_TS	T96_TS	T98_TS	T99_TS	T101_TS	T102_TS	T103_TS	T104_TS	T106_TS	T107_TS	T108_TS	T110_TS	T111_TS	T112_TS	T113_TS	T115_TS	T116_TS	T117_TS	T118_TS	T124_TS	T126_TS	T127_TS	T128_TS	T130_TS	T131_TS	T133_TS	T134_TS	T135_TS	T136_TS	T137_TS	T138_TS	T140_TS	T141_TS	T143_TS	T145_TS	T146_TS	T147_TS	T148_TS	T149_TS	T151_TS	T152_TS	T154_TS	T158_TS	T159_TS	T161_TS	T162_TS	T163_TS	T164_TS	T165_TS	T166_TS	T169_TS	T170_TS	T173_TS	T174_TS	T175_TS	T177_TS	T178_TS	T180_TS	T181_TS	T182_TS	T184_TS	T185_TS	T186_TS	T187_TS	T189_TS	T191_TS	T192_TS	T193_TS	T196_TS	T197_TS	T199_TS	T200_TS	T201_TS	T202_TS	T203_TS	T204_TS	T205_TS	T206_TS	T207_TS	T209_TS	T211_TS	T212_TS	T213_TS	T215_TS	T218_TS	T220_TS	T221_TS	T222_TS	T227_TS	T229_TS	T230_TS	T233_TS	T0_TE	T1_TE	T2_TE	T3_TE	T4_TE	T5_TE	T6_TE	T7_TE	T8_TE	T10_TE	T11_TE	T12_TE	T14_TE	T15_TE	T16_TE	T21_TE	T23_TE	T24_TE	T26_TE	T27_TE	T28_TE	T29_TE	T30_TE	T31_TE	T32_TE	T34_TE	T35_TE	T36_TE	T38_TE	T39_TE	T40_TE	T43_TE	T45_TE	T47_TE	T48_TE	T50_TE	T51_TE	T54_TE	T55_TE	T56_TE	T58_TE	T62_TE	T64_TE	T65_TE	T66_TE	T68_TE	T69_TE	T70_TE	T72_TE	T74_TE	T77_TE	T79_TE	T80_TE	T84_TE	T85_TE	T87_TE	T88_TE	T89_TE	T92_TE	T93_TE	T94_TE	T96_TE	T98_TE	T99_TE	T101_TE	T102_TE	T103_TE	T104_TE	T106_TE	T107_TE	T108_TE	T110_TE	T111_TE	T112_TE	T113_TE	T115_TE	T116_TE	T117_TE	T118_TE	T124_TE	T126_TE	T127_TE	T128_TE	T130_TE	T131_TE	T133_TE	T134_TE	T135_TE	T136_TE	T137_TE	T138_TE	T140_TE	T141_TE	T143_TE	T145_TE	T146_TE	T147_TE	T148_TE	T149_TE	T151_TE	T152_TE	T154_TE	T158_TE	T159_TE	T161_TE	T162_TE	T163_TE	T164_TE	T165_TE	T166_TE	T169_TE	T170_TE	T173_TE	T174_TE	T175_TE	T177_TE	T178_TE	T180_TE	T181_TE	T182_TE	T184_TE	T185_TE	T186_TE	T187_TE	T189_TE	T191_TE	T192_TE	T193_TE	T196_TE	T197_TE	T199_TE	T200_TE	T201_TE	T202_TE	T203_TE	T204_TE	T205_TE	T206_TE	T207_TE	T209_TE	T211_TE	T212_TE	T213_TE	T215_TE	T218_TE	T220_TE	T221_TE	T222_TE	T227_TE	T229_TE	T230_TE	T233_TE
2500000	-2596.58364895079	-54.4863609145707	-1921.83385112644	-620.263436909774	3.0661391553879	0.744338291511978	1.11135505568689	0.86180969200327	2.6247693459396	1.12894525772823	1.10020844168526	2.1731306395088	1.05918099240124	2.07928663328331	8.36435244776447	1.9608208005618	1.03574572728874	3.18485931176742	1.24376636289624	0.709554792041874	4	3	2.12807495190925	36.0539480337267	0	569.008778410197	36.0539480337267	31.310912480733	34.6038542052768	15.6104216801102	30.0698998351808	28.8601778074339	28.4920389820091	27.9329882556685	28.1689257219205	18.2733475720911	24.9260257549948	15.1764070204614	17.5538014387374	20.0874579414747	18.8123023273226	17.3350803528203	18.4937395395219	16.7805221379584	16.8844615997246	17.3797746133685	15.0572681947353	13.3932033862405	15.7681266172922	16.3792810444894	18.6052038532304	15.7786945922569	13.9942599461185	14.8082707049403	8.72558914057268	14.2524381598999	15.4018644333863	14.4783419183748	14.9022001767766	13.6444126727016	13.881746048156	11.6775809774173	10.4614057867598	11.5757420544588	12.8684356278216	12.2757561165136	11.6339055960712	11.9680922132651	10.0818590488312	11.7978521084105	9.92095593995631	10.0620985490086	2.83263242841662	11.00376551649	7.75196578642491	8.27162871920958	9.48469936508938	10.9894222549955	6.08459997024678	10.5050990812353	9.44209872930083	9.54670944005677	9.3273040361298	9.72785393769153	10.1342135919456	9.69859345099804	6.28212099143696	9.78741568251542	6.31496214308888	9.5190255537711	6.9870952788738	9.14199910153221	8.82934974410417	9.93737081880668	8.37810000344247	8.82470162882831	8.68792425154147	8.33881248530858	9.70190191741163	9.30910616351586	8.11605921529747	9.0630429451378	8.65507572224584	9.14305754576457	6.72570488282783	8.26691886369482	7.54899591208259	8.04137908657335	6.17741044988412	7.27284925671644	8.0864945352048	6.95005120969932	7.20411325998475	7.54545446903877	7.21565679238915	6.7385080264608	6.86345866679405	6.59497189183137	6.57695379235785	10.3632618758489	7.90205242450434	6.30300315557296	6.74170933006404	6.62954797596399	6.15588079533847	6.44933223125748	6.33658978835479	6.57949237993818	6.23561483487149	5.97642294733796	5.13645637024676	5.6729447749977	9.88700898713201	5.64557409627224	4.95441986621252	5.78361967566289	2.09615623435584	4.64316756848882	5.01084896669339	5.30202822008819	5.30712674310548	5.26768055988922	4.7582614670263	3.41571656976976	4.53946535802663	5.42558826036946	5.30880871099511	4.61739870168841	3.58943342009991	2.56398369417921	3.00211318677039	3.83323408532867	3.80979955669919	3.91181759627309	3.70380182208033	3.95401804625784	2.59513562399721	1.62903471927878	3.28464089184345	2.70271858095428	3.20428415152005	3.04725570023687	1.81205955910362	2.52856448669096	1.21236064600818	1.74448119967036	0.915396771655389	2.28670736814371	2.03669694754502	1.65170051145879	1.40864363987022	1.11869889776565	1.04530856990657	1.08503474905754	0.660392686009479	0.932165719531209	0.768391500703001	0.601567797911044	7.96954589474851	22.3638557750939	26.3280764093757	9.26725104509397	12.7733835834963	21.5886127151209	18.046421453013	5.65318041741627	25.246667401129	17.3774844519062	9.00943996577007	13.1085164256584	9.04308465053703	17.6623407640399	17.8020508010549	17.334479882046	12.0688089722298	13.382727545797	13.4539717789547	13.4969096214442	14.2696085112667	12.871843077876	0	14.4162071010066	15.4424840298942	11.0460977764143	13.9003426147204	11.798816485326	8.50324509650528	8.01189993651859	0	7.70005777542193	13.3221106385212	13.6371942823927	9.67489852123075	8.51296288938735	10.1778594213471	11.5494497658026	5.28258964571954	8.17085217774857	0	11.8918818491919	9.86011240423606	2.56549296637936	9.71955340051722	4.38206302668252	2.2911597343226	10.6604810354438	0	7.98542277022532	9.25496564360944	8.90908748956094	5.58509853079784	8.26018322506963	6.30372742954231	0	8.33354518142403	9.59696619431048	7.82809965364015	6.2565504980105	5.95752705146401	9.2722842079942	0	8.4140993805701	0	0	5.78132243859344	0	7.46391886397286	8.08642177328596	7.12225661313399	8.10561308520489	0	0	7.93815122858525	7.06771208598857	5.68570925116878	4.89376486588744	5.0142191100813	1.10399793584494	5.56136909358226	7.31222305265466	5.92334817949227	6.70058493087165	0	6.65484912511693	6.98771574780056	4.32688547956703	6.79162612311549	0	1.86572044456198	0	1.88555781087472	5.78204276655385	1.52752643525735	6.03904404903358	0.71535832877373	6.56606458171784	5.01151280365043	3.89705910149725	3.87314316874866	5.67160188498817	2.81733926823558	0	4.4181923362985	2.40647980037987	4.74397778292883	5.31749496802733	0.509452250009868	0	0	0.72314658389522	1.08712386861603	0	3.43789171678415	2.61653515969661	2.20548856135414	0	0	0	0	0	0	0.368073141645204	0	0.445272419294935	2.93592461856966	2.91928296925503	0	0.452566192671431	0	0	0	2.54700297422776	0	2.69323703750034	0	0	0	0	0	0	0	0	1.30871040802649	0	0	0	0	0	0	0
2580000	-2587.18827831779	-42.1171232804837	-1912.13858644777	-632.932568589539	2.8338562074953	0.80011970592117	1.74379550405394	1.01663807348218	3.70658750855232	0.825622884515544	1.06721676244426	1.98171085048921	1.49367891686438	2.16257175283672	8.12356665646319	2.29546025795699	1.19071952609337	2.86585483299769	1.23049131835995	0.851602505691396	2	2	1.79058114183221	34.5698032822416	0	572.317958253287	34.5698032822416	32.7336659039813	32.167449194476	15.3730633226568	30.0080284693531	31.0189204689672	27.8264820863932	27.1947935863958	25.8661717566455	19.1753285734475	22.7615127747529	15.4133796065549	16.9812681325723	20.2591183019908	18.8392307525641	17.4208539779746	18.507651488848	17.2286051387617	17.0686401657073	19.8625643687	14.4118511451863	13.3466677491602	15.9336618846339	16.8292717789538	16.3271946840756	15.4460041980277	14.0097513466777	14.5876051826483	9.50846784125729	14.1818761213829	14.9277589805783	17.1604835345309	14.1555203322517	13.8738674860053	13.4308296304571	13.0477180738136	10.483156033564	12.0498621317779	12.3416392316492	11.5946649114186	12.4464003607213	12.0035740456446	10.997718588022	12.9636607689214	9.80938401667292	11.7384565620488	2.9401489593401	11.3367208142106	7.27483503559469	8.01787195670467	9.70228054900829	11.0725639069428	5.77418777316102	10.3643610759339	10.0819076436967	9.48056785616323	9.13366506691046	9.75016065853847	9.87327333934664	10.9549021594686	6.30358691492294	9.43101950541489	5.69848055449697	9.04249925598501	8.01263363099552	9.48285670396049	9.06690265127761	8.85662790183232	8.36547181018962	8.63981267330559	8.72792214750736	8.28007706401265	8.66838296904599	7.22786373424908	8.17431246786411	8.27872606962412	8.43252203709445	8.55182477021395	7.72906057004642	8.0453471757249	8.35557346538652	7.85303898440238	9.15870093477331	7.36669144168213	6.54231282873619	6.98139983898836	7.73569330838114	6.61971637906943	7.25540978534057	6.7310008994452	7.14014838949346	6.63163944039603	5.9647451991716	8.61660897684876	6.72623068294594	6.28465908414921	6.68418194142153	6.76054371781241	6.06015759763561	6.49883594484834	6.68003180988014	6.30859130461528	7.74886810949793	5.10608876636812	5.1519898477344	5.84387996040894	5.16919092606259	5.63647839205952	3.0197173958922	5.26675378776202	1.97455045445143	5.76395875414272	4.88395193806698	4.54513435932292	5.0371279353429	5.30381982266004	10.0476505515603	3.10772482115557	4.52024834144511	3.55895044791528	3.12158327036601	6.09290133272573	3.47755547894567	2.122278370049	4.46401994686373	4.02615081012826	3.59770428435393	4.21976511875981	3.77021982549744	4.22545117901652	2.33777957271662	1.90357636621943	9.31363644973449	2.75621986230483	3.45053177821835	3.00235258293208	0.953601715544834	2.8506732119672	0.899795605575036	1.24940615864438	0.436807118441664	2.1987795686502	2.03143322465382	1.60737468682087	1.47442597364999	1.15381767706218	0.908175009973377	1.68256979394567	0.668115857220528	0.581475781276228	0.606228253213562	0.200736606811227	7.74588544226445	18.2672476108745	25.3993944736837	12.070612290955	12.9061214556816	21.7948619244562	16.5128240365477	5.60845301002388	25.6637520723931	18.001961499282	8.63230697076668	13.3089777685185	8.82604275713613	16.5401404465113	17.3541842746817	17.3211967447892	12.8461323047335	13.8778460699424	13.5174993458859	9.31197240862527	14.3930952029293	12.0580545202092	0	14.5814695684756	15.5967353715918	11.4218706423156	13.7915348767779	11.7082450901663	8.54975305691193	7.71672085688551	0	7.485216827778	13.4314275352026	13.3027922781044	9.18377051547236	8.4010376134202	10.2011493295234	10.8505110159163	5.13434159698398	7.85874276417513	0	11.7584837923921	9.6621177472951	2.39523347601533	9.74047870624535	2.84560352576932	2.27722096473743	10.9383733523995	0	7.95487288810644	8.94129621282643	8.7989987427142	5.63662699793064	9.5413972443495	6.83043730183885	0	8.28719023698898	9.41955242534832	8.26532366623443	6.2595073255778	6.26729752280074	9.18579264185548	0	8.69554514341789	0	0	5.40635240115082	0	7.62375017971771	8.61597938863573	7.7427193642121	8.2442796498987	0	0	8.0173528065842	5.77857027822953	5.5813237638637	4.91829041090524	5.57725779615143	1.23824447024374	5.17219369560413	7.55651244102356	6.08099916038341	5.7831008949528	0	6.74905050729918	7.18083198081145	4.56449772540115	6.8164083264165	0	1.82614447984662	0	3.68937134526486	5.61819805292999	1.91112042900247	6.09611009683536	0.43814343021399	6.51122749559659	6.05455661688819	5.13504495879371	4.27949117619847	4.80495454819397	2.27226236873463	0	3.16818169478114	2.18490932309385	4.92100923864641	3.38249480716893	1.8273680002717	0	0	1.12688363100352	1.11795849802372	0	3.37847537873495	4.32838952021855	1.7878814907802	0	0	0	0	0	0	1.80248071562719	0	0.347275310668404	3.12499826214247	3.07847885081666	0	0.213751965306438	0	0	0	2.42119904617857	0	2.88882688594933	0	0	0	0	0	0	0	0	1.10600181728592	0	0	0	0	0	0	0
2650000	-2570.23210004406	-41.5774771692656	-1903.95641093175	-624.698211943045	3.20105258308089	0.978545675716506	1.20850642690821	0.951259176726535	2.89806599135304	1.39810748129103	1.36864653508526	2.62722593088627	1.41392114142004	3.22668784665739	10.5575377294889	2.94035051780336	1.4769053644796	4.67764232772882	1.2942960560906	0.621280429295722	2	1	2.16485713741516	34.2150799128199	0	539.613553489741	34.2150799128199	31.1922653257728	33.6720265943582	15.5234334121574	30.1133420820779	29.252663596976	28.1242891654371	25.4235314341546	25.8124289932026	18.1485685759605	22.8526308321257	15.1303823562789	16.8266847248261	20.1117586567349	18.5038925702995	17.3354237840441	18.9241824357069	16.7397234241783	17.4228110469771	16.8685032858523	14.4158116754388	13.1817900331442	16.1734018754954	16.679873719311	16.6689495118267	15.4764934645628	14.2406392395753	14.5799264146317	8.95023177646284	14.4641099677038	15.3159614576187	14.8545869905535	14.2425980964462	13.8432397372733	13.3638040641206	12.8863558968226	10.4810454710537	11.791772036458	12.2047032904044	12.178486656937	13.4007068137986	11.9217770538821	9.89464618121101	11.9666884352364	10.3986190259543	10.0097117445796	2.73612111995034	10.9818336655584	7.53471613549888	8.05644489720792	9.48453308423787	10.5794931330518	5.7583889996951	10.3615996270988	9.51315046919614	9.33838727572814	9.05354365327304	9.97779034262002	10.1300759158987	9.49575986468295	6.31419427398012	10.0219603925233	6.22951012525876	8.94878609708507	6.58857787723193	8.95803105474387	8.47333019297712	8.92005778410459	8.05346024617165	9.52546452481117	8.73590432794256	9.42911859280082	8.95118961544512	7.99806925917287	8.10518728500934	8.68550826711027	8.40702595425229	9.82608533913132	7.04846723460061	8.68988906034428	7.53165003680523	7.87707074300399	7.41164918725991	8.47534053055324	6.81909512394666	7.06501570807791	7.40483521928443	6.65150527060146	6.84575119802059	7.06671563893129	6.95138475204671	6.89822141456724	6.75550216641335	8.22560854619447	6.72838768835218	6.13397850102677	6.79024847470893	6.65822501384511	6.14496576750474	7.2194911229919	6.34001999011446	6.57769361074095	6.06029359924539	5.16723711568499	5.43695149455401	5.5679819834658	5.20850300971252	5.49025746492473	4.21608233711456	5.11308826274654	2.18892247948929	4.61605011284782	4.9029952420612	4.60545251652005	5.28814621646419	4.8246956226719	4.07150891759088	2.85193674833281	4.9503317466914	3.35204453021977	3.85961111216672	5.27137201066645	4.27741946897502	2.13689291389249	3.0803437184447	3.97575482023036	3.55866012522226	3.56264205970341	4.46380871632957	3.88610142022044	2.43192049423517	2.04097338292063	3.46035271240151	2.73836453121733	4.47803861006019	3.26427448158159	1.91908014575531	2.42552396832232	0.97660502707788	1.69778822361927	0.854143569428161	2.16433427724827	2.07322953833644	1.99705478929198	1.45192678469597	1.0445624247697	1.24551945324092	0.964133151565487	0.661931524390794	0.399172703426075	0.704697245505974	1.25395548262224	7.91139544385241	21.4106326463664	25.6979336579712	11.8684140433539	13.0275902945335	22.3238450802253	17.0672924832864	5.13229731369065	25.799771252779	17.9105181673541	7.04801888588815	13.0259561760267	14.5113885435584	16.8575304846119	18.4184694899358	17.3307775222107	13.1460661273186	13.7420477428056	13.4810209103507	13.3984227198777	14.260418346021	13.0392121932463	0	14.5042616358779	15.6161527936635	11.2008536451571	13.5979783915924	11.6425659438205	7.93693226873821	7.74986602782388	0	7.08740369639683	13.5765718000698	13.5237297963723	10.0042297701563	8.4266602710521	10.2097705640356	11.3573463557297	5.08542247432034	7.19742011327112	0	11.8788966250424	9.35837992764704	2.11807729160684	8.74690976469426	4.47379550924168	2.29620622479357	9.81830097736176	0	7.91344297125709	9.23190340592892	8.18498055841347	5.61617544061849	9.63265009637233	6.2833766433144	0	8.31827822920176	9.6505701047643	8.13911059930955	5.6052154789106	5.900811483076	9.09819752127824	0	8.67895091264247	0	0	5.63519607598361	0	7.61603556803473	8.51042878829102	7.18348343823388	7.32890268245099	0	0	7.35402832824493	7.07972136385689	4.52517023046788	5.10456766118058	6.71444470800811	0.516168250760055	5.7335888460771	6.61470381036563	4.34749617121699	6.65619431426013	0	6.64936389635979	6.64123950587908	4.78152449032512	6.80230721532445	0	1.86504285855521	0	3.57690130473815	4.58481456055857	1.92285240154259	4.93850024625523	0.00386784289603981	6.6019895266281	6.05071376833847	5.26491720907404	4.47732132081469	4.87094724674716	2.78529062169428	0	4.19417634224833	2.40308958985852	4.87506969147276	5.45302712924052	1.35249916966206	0	0	0.317145365548375	1.06493881536982	0	3.31682165129722	3.9717877832875	2.64793379647237	0	0	0	0	0	0	1.46286405167107	0	0.526136126825874	3.38073653745993	2.82284179589642	0	0.644190423134997	0	0	0	2.55773139574847	0	2.98950731526405	0	0	0	0	0	0	0	0	1.09404295955328	0	0	0	0	0	0	0
2730000	-2637.56953349137	-45.1083007756386	-1951.09303888452	-641.368193831208	3.34821591513386	1.1607964067185	2.46169274849609	0.530862752456069	3.40616067266056	1.01502899236666	1.14591655061103	2.00681209948514	1.45181067508535	2.95553846772958	9.18186227008209	2.33086088546198	1.09264101677358	3.48902059905212	1.12251815323552	0.577448565053866	3	1	1.20878607907164	34.6666727354597	0	584.586519160207	34.6666727354597	32.9582882752692	31.849603950457	15.3922170746352	29.9814434619186	29.2204492992849	27.8470867906387	25.6691392398143	27.8858777662313	18.5655184225169	24.7544807763665	18.977299277913	17.0360730852486	19.669901250338	19.5893852057548	19.0742986735369	18.9207519479745	17.7847880144438	17.2847266376246	17.9405846570325	14.4726827631173	13.2099428209552	15.9217260032327	16.4689231641625	16.021599327303	15.2732622041932	14.0244634914621	17.0121629882841	9.0682251052201	14.4530083219038	14.384895277547	14.2739278665007	13.9331808252133	13.7664686380998	13.6044802592637	11.7654536492969	10.6352862681654	11.9017804264437	13.0504150509733	12.1129246699094	11.9882125337108	11.9421170709435	10.1017025766523	12.0203312016977	9.83363508331979	10.3448082696853	2.33856271566294	11.3408484973883	7.23007501731516	10.7913334933904	9.69166433232521	12.9195098213575	7.57858296729233	10.6488801254738	9.29718676978073	9.30215577105036	9.62477446441264	10.0400596705403	10.0112359302457	9.56113705355823	6.53758675249958	9.36295362806431	5.80023272717941	9.19038403838333	9.30671045794441	8.94097436396807	8.51023803686904	8.93376299724014	7.89681045658266	9.37350092451883	8.88939528126845	8.75275576831274	9.00639914542341	9.31411722226351	8.31006842995697	8.74040547996357	8.72237727997437	9.76721128579042	6.76520944799518	13.4884635802806	8.55269621993608	7.92811570686187	6.78216931603315	7.96484814286944	6.306334645574	6.86655810610166	7.25623791652623	12.0717348337137	7.99107985413676	6.80240031126051	6.91819045241809	6.53152946026321	10.2816490134845	7.08997542754375	6.65400323761256	6.51938486752787	6.85437663637146	8.50463707903455	6.24908833817121	6.50522430197442	6.3965982596958	6.27728543403546	6.19822283425242	5.41186520171014	5.14478888133609	6.28084761183182	5.55797597182124	5.51014409525014	2.80740014558805	5.34589286160861	1.98351092800996	5.57731521757426	4.87235741778375	5.37333361589136	4.82176110918019	4.94641636351462	3.41306056022654	3.1503366109495	4.51760188834778	3.41671658461359	3.7590961025184	4.24122589730547	3.79711845215081	2.34467862800877	3.39247852195391	4.21396151490434	4.90009317371702	6.92347772554433	3.76407704156577	4.1156623426125	3.8093744557828	1.69232600267158	5.53905766673389	2.660519905395	3.30475159496369	4.13588007698638	0.946412861543694	2.36910862066214	0.861812360139337	1.80776146080407	0.413071781616968	2.19554269087401	2.08201763050668	1.78148866038696	1.41923143724179	1.63868041346392	1.001870190305	1.28348650193159	0.912468752823365	0.349936075667981	0.578382830534544	0.391965587241162	6.69380149634086	20.3691216065727	27.7861658490306	11.0484984224037	13.0150796034539	22.4399582564262	18.027972252567	5.57319108512809	25.4309821206427	17.5913793719763	9.33319430003963	13.2188849800799	13.4049085148067	17.0997216704502	16.1974939310117	17.0771502033739	12.7485007827004	13.129195986287	11.6873382397586	13.6051208796845	13.2942108862547	11.8928611141421	0	14.4987423361284	15.7361655795763	11.5552054316783	13.9356478155772	10.9094189340958	6.45977666449253	7.78016227978744	0	7.73690374994788	13.2431582145302	12.3718997541592	9.9206378173051	8.86985898966988	10.2806317983382	10.2624818286787	5.32141533129168	8.45814872806613	0	11.7952078783831	9.63363971161891	2.54031619420767	9.769892850586	4.66206267648671	2.32663123264131	10.9555079916368	0	7.71446520746385	9.34642292507058	8.26072607418009	5.52665520513572	9.23614347325362	6.61403796750528	0	5.91202188825322	9.12756811333375	8.5006333423839	6.45036914406413	5.601906050262	9.27819632050504	0	8.82571328248459	0	0	5.67184106462103	0	7.28273076860084	8.2585185135133	7.53029806630683	7.96789408524305	0	0	8.05517212435752	6.61867585109641	5.59672852642132	5.18662835493877	5.33933931450908	2.40769523390372	5.21205217312053	7.14111263179961	5.97638328698153	6.27672302891423	0	6.7535161633118	7.15825872602884	4.28609646870353	6.78320288822046	0	1.61433348445311	0	2.28194819862188	5.57249861808241	1.68663748788599	5.5825242992952	0.253090024437841	6.58947842734789	5.90629082730824	4.31760080049298	3.11260981784773	5.54940143890963	2.21708403877138	0	3.89199606917299	2.39981904021723	4.64904521200278	4.84986770222421	1.76069146877128	0	0	0.352151386679838	1.10461748979524	0	3.45061886214693	4.54237797363543	2.69483822821771	0	0	0	0	0	0	1.56893468988398	0	0.201456504985579	3.16369335581929	3.12427387933925	0	0.353403272436422	0	0	0	2.55483850954946	0	2.7390329140475	0	0	0	0	0	0	0	0	0.642803964093924	0	0	0	0	0	0	0
2800000	-2615.52847361431	-48.4253260207401	-1938.70743694991	-628.395710643654	3.43198533913921	0.752206688983299	1.66517161728531	0.859449956165207	3.07425474034745	1.0519046817663	1.34242179668907	2.29421889067595	1.59459947740993	3.07615263269742	10.8191593530968	2.47221748920158	1.20800534666861	2.03014627909935	1.20912251039344	0.501363523582558	3	2	1.91689679879759	34.2338299192667	0	588.64129908569	34.2338299192667	32.8123650783593	32.8308597718322	16.2493676408003	29.9730837236935	28.8054243740783	29.1385130114832	32.0917369500129	26.060637874992	19.6124076836586	22.987545820084	26.5952637075205	17.631207416279	24.3247610041776	19.5391402484556	17.8556414957868	18.5501396302806	16.8176910245373	17.2338891275308	16.7532383041242	14.7282367166632	13.7775903862151	15.8378950859767	16.5646355818502	16.2129236356919	15.2693220809831	13.9807145767385	14.3657804076949	8.93701246343123	14.4891941947871	15.1351218968048	14.7853820547607	14.1332947961995	13.6573594586187	13.2921155462582	11.6238103477607	10.4954545686406	12.8931726473917	12.219860654813	11.7518518960181	11.9721420511054	11.935551259438	10.0153556459686	12.6296369906	10.3702167955755	11.0659786252977	2.45252580916362	10.9914073318431	7.15175709651745	8.01890863742648	9.99716709622469	11.6228269341192	5.80661152911073	10.8630061807687	9.7611084807677	9.73481587360719	9.25716225360651	9.80878893728298	9.84136592367568	9.97626589605857	6.98617111192478	9.95903537160948	6.07340116069576	8.90194369888495	9.06554696039183	8.9328702758971	9.54580237256197	9.25349049165724	8.04644077217475	9.17124583421639	9.21465623766412	8.31127888592922	8.72429338588155	7.12212593558942	9.82182656385161	9.27802403054952	9.00034797362611	8.60695849052713	7.01467184234843	9.71239404811727	7.49578531232114	9.47435042508696	6.19264275076094	7.55058202106201	6.17674913053058	6.8657908249233	7.51084092376859	7.21708003708523	6.87218314308461	6.76522082274425	7.27649103351416	6.95292764344101	8.98990200425585	6.883496240062	6.70938941943398	6.64995045821982	6.71508619881427	6.64610524500893	6.23684945785353	8.08150549973255	6.38122511480989	6.61814444028639	6.57512870127039	5.96091912732068	5.84293971555211	6.1806683722276	5.1566416157029	5.72214741303302	2.68674971261099	5.2267265295862	2.13905505272595	5.0735344959534	5.42367610978041	5.31918504189428	4.84348327537618	4.78977438041568	3.26363373690469	3.0282240673077	4.9471362613994	4.14021557170885	4.21697414139015	4.43896613737634	3.64954817273955	3.65549672148259	3.12631651876203	4.10546271973404	4.28295663294588	3.70979430086136	3.79115021762824	3.76724877092977	3.35327591721701	1.72251610208515	3.9848753476599	3.33323896550211	4.62851987930288	2.9991921844605	1.18098103303835	2.95638220995769	0.993362968554354	1.87515937370165	0.391606672989644	2.1779234047446	2.06012622064238	1.54536664498269	2.00486090352737	1.06546801225202	1.3461431910725	0.910228491121429	0.701284264918521	0.449303434413763	0.621816609477459	0.0194191468080026	7.76069858836512	20.7145176696845	24.6673896810527	10.8032873849508	12.7457175655845	19.9929779775022	17.3669403384629	5.67692977387786	25.7338838239877	17.1967777941579	9.05376621500202	12.4931646514112	13.5457455593335	16.1429953341752	17.2624593692491	16.9971567220513	12.7877756617838	13.3853003179852	12.3103723437068	13.3552981212808	14.284519415003	12.020612574539	0	14.4952305062428	15.3594951337769	11.2817013997912	13.6161372095355	10.1586091762995	8.34613708933311	8.00735881725006	0	6.73664010049291	12.534847928769	13.2994422795924	9.71192598114668	8.82666766200594	10.1251145074452	10.5406668507983	5.32717976244686	8.47669606888923	0	11.7964657960722	9.84202225416202	2.20345117681866	9.73266921865409	4.46594195057711	2.06481382790587	10.932839967732	0	7.60634108592171	9.03472465470851	7.61872880231101	5.6540039540083	9.53571369570547	6.71679430939844	0	4.68490162882716	9.02853490310774	8.65501395852777	6.34832357973353	6.27433332998602	8.39981317069039	0	8.60268029090979	0	0	5.58925036283962	0	7.21041248029707	8.56170892463312	7.35865563624793	8.23008362703274	0	0	8.04360336000919	7.02300489217647	5.61151130227582	5.15150121868499	6.0358139616547	1.91788284155029	5.6476264945021	6.01659680537579	6.07854674178912	6.56090262652498	0	6.79420055142538	6.87451784149732	4.05814423399176	6.71080159603306	0	1.87558255022534	0	2.44939269234632	4.93626131526988	1.91596277832162	5.72418025123192	0.335024679239098	6.58024675956262	5.85551310225369	5.04711019158323	4.3997061252548	5.38970059159622	2.64601934206295	0	4.53798156743495	2.39332850380852	4.99979390775987	4.85457135458321	1.02397688017083	0	0	1.11829998819001	1.23946119428851	0	3.45692619422792	4.52643762167475	2.71734655293281	0	0	0	0	0	0	1.04062684722067	0	0.0346392187328846	2.88939879320636	3.0138964604389	0	0.413232582316342	0	0	0	2.53369457811159	0	2.9915088989251	0	0	0	0	0	0	0	0	0.513565216435798	0	0	0	0	0	0	0
