	ts	te
T3	33.42	31.83
T4	33.33	28.56
T5	33.12	22.18
T6	33.0	32.49
T7	33.0	28.12
T8	32.96	29.57
T9	32.56	27.36
T10	32.19	30.7
T11	31.79	30.16
T13	31.21	30.28
T14	30.63	21.14
T16	29.69	24.72
T17	29.03	25.01
T18	27.97	24.5
T21	27.18	25.51
T22	27.06	25.8
T23	27.03	18.65
T24	26.68	0.0
T26	25.03	24.39
T27	24.86	20.98
T30	23.64	17.67
T31	22.39	19.25
T32	22.1	16.81
T33	21.28	11.62
T34	20.79	16.65
T35	19.72	17.9
T36	19.71	18.54
T37	18.79	16.82
T40	17.61	12.36
T41	17.43	14.18
T42	17.24	9.34
T43	16.64	13.72
T44	16.58	4.94
T46	15.93	10.16
T47	15.44	14.07
T48	15.28	0.0
T49	14.95	14.17
T50	14.9	13.58
T51	14.7	11.71
T52	14.4	13.9
T53	14.38	13.34
T54	14.33	11.59
T57	13.75	11.41
T58	13.74	9.84
T59	13.45	12.97
T60	13.38	11.41
T61	13.33	11.91
T62	13.33	3.9
T64	12.97	12.3
T68	12.57	10.26
T69	12.52	5.33
T70	12.44	0.0
T71	12.31	3.33
T73	12.2	9.71
T74	12.13	11.19
T76	11.82	6.89
T77	11.73	3.29
T78	11.69	11.29
T79	11.63	5.48
T81	11.27	9.73
T82	11.21	0.0
T83	11.14	7.08
T84	11.01	5.66
T85	10.85	9.75
T86	10.8	7.68
T87	10.74	8.44
T89	10.35	5.77
T90	10.31	6.69
T91	10.13	3.78
T92	10.07	6.75
T93	9.64	8.93
T94	9.34	5.29
T95	9.34	9.04
T96	9.05	4.92
T97	8.84	0.98
T98	8.82	6.02
T100	8.41	0.32
T101	8.38	5.53
T102	8.33	0.43
T103	8.24	6.11
T104	8.02	1.47
T105	7.89	5.0
T107	7.79	6.06
T109	7.77	6.73
T110	7.76	7.2
T111	7.65	5.07
T113	7.45	5.77
T114	7.45	7.08
T115	7.11	2.0
T117	6.97	6.04
T119	6.84	5.45
T121	6.74	5.25
T123	6.63	5.66
T124	6.56	0.21
T125	6.54	4.99
T126	6.52	6.24
T127	6.52	0.14
T128	6.49	4.4
T129	6.45	5.19
T131	6.26	2.14
T132	6.2	3.87
T133	6.17	5.17
T134	6.15	0.88
T135	6.12	5.02
T138	5.95	0.0
T139	5.82	2.73
T141	5.56	2.93
T143	5.51	2.37
T146	5.03	4.75
T147	4.94	4.48
T148	4.82	0.0
T149	4.69	1.63
T151	4.51	2.09
T152	4.51	0.0
T153	4.5	2.32
T154	4.5	0.0
T155	4.48	0.0
T159	3.95	1.71
T160	3.95	0.0
T161	3.94	0.74
T163	3.86	0.0
T164	3.85	0.0
T165	3.81	0.0
T168	3.72	0.0
T169	3.69	0.88
T171	3.56	0.0
T172	3.49	0.0
T173	3.43	3.02
T176	3.24	1.73
T177	3.19	0.36
T178	3.18	1.58
T180	3.11	1.44
T181	3.0	0.0
T182	2.97	0.0
T183	2.94	0.0
T184	2.91	1.57
T185	2.87	1.59
T186	2.79	0.0
T187	2.71	2.41
T188	2.56	0.0
T189	2.54	1.37
T190	2.52	0.0
T191	2.48	1.05
T192	2.36	0.68
T194	2.27	0.0
T195	2.27	0.0
T197	2.25	2.11
T201	2.15	0.0
T203	2.04	0.0
T205	1.95	0.75
T209	1.82	0.0
T210	1.7	0.0
T211	1.69	0.0
T217	1.37	1.07
T219	1.35	0.0
T220	1.34	0.03
T224	1.18	0.06
T225	1.11	0.0
T228	0.99	0.57
T229	0.87	0.0
T232	0.8	0.29
T233	0.8	0.0
T236	0.76	0.0
T238	0.67	0.0
T239	0.66	0.0
T241	0.6	0.0
T242	0.59	0.12
T244	0.51	0.0
T246	0.49	0.0
T249	0.46	0.0
T253	0.25	0.0
T255	0.19	0.0
T256	0.11	0.0
T259	0.09	0.0
