	ts	te
T0	35.0	31.12
T1	34.72	22.79
T2	34.47	31.56
T3	33.58	32.97
T4	33.48	26.74
T5	33.39	31.06
T6	31.78	30.51
T8	31.23	27.63
T9	31.12	28.89
T10	30.82	28.7
T11	29.66	28.03
T13	28.88	24.83
T15	28.45	27.51
T16	28.05	27.31
T18	27.79	25.71
T19	27.65	26.87
T20	27.59	18.55
T21	27.39	18.26
T22	26.95	24.7
T23	26.76	22.63
T24	26.73	12.78
T25	26.57	20.81
T26	26.04	24.88
T27	25.96	20.23
T29	25.7	22.4
T31	25.54	20.33
T32	25.38	22.24
T33	24.83	12.63
T34	24.53	20.73
T35	23.68	17.3
T36	23.55	18.86
T37	23.43	12.09
T38	23.26	20.01
T39	23.25	22.69
T40	23.02	18.24
T41	21.94	16.87
T42	21.92	19.98
T44	21.68	5.51
T45	21.65	13.38
T46	21.56	20.11
T47	21.23	8.99
T48	21.09	18.57
T49	21.05	18.12
T50	20.43	14.9
T53	19.81	19.49
T55	19.56	16.85
T56	19.52	15.38
T57	19.49	16.59
T58	19.42	13.31
T60	19.03	0.0
T61	18.92	14.77
T62	18.86	17.94
T63	18.66	15.38
T65	18.21	3.8
T66	18.19	0.0
T67	18.17	17.34
T68	17.81	16.81
T69	17.78	15.7
T71	17.51	14.15
T72	17.48	15.49
T73	17.41	16.67
T74	17.24	0.0
T75	16.89	15.96
T76	16.62	13.99
T78	16.5	14.15
T79	16.42	14.47
T81	15.94	0.0
T82	15.6	0.0
T83	15.48	14.29
T84	15.3	0.0
T85	15.11	12.27
T86	15.11	0.0
T87	14.96	12.9
T88	14.7	8.78
T89	14.67	14.31
T91	13.02	7.49
T92	12.89	10.18
T93	12.48	7.19
T94	12.45	11.52
T95	12.38	10.42
T98	11.7	9.86
T99	11.16	1.07
T100	10.89	7.77
T101	10.69	0.0
T102	10.6	9.01
T103	10.47	10.18
T104	10.45	1.65
T105	10.4	8.79
T106	10.3	2.51
T108	10.02	0.0
T109	9.98	2.14
T110	9.97	0.0
T112	9.67	8.61
T113	9.25	5.52
T114	8.81	8.18
T116	8.68	5.94
T118	8.65	4.79
T119	8.51	6.71
T120	8.21	5.85
T121	8.09	5.97
T122	7.64	0.21
T123	7.59	1.05
T124	7.56	2.29
T125	7.55	0.0
T129	7.13	4.8
T130	7.12	6.58
T131	7.03	0.0
T133	6.57	5.68
T134	6.46	1.86
T137	6.18	4.01
T138	6.17	4.74
T139	6.16	0.0
T140	6.09	4.54
T141	6.0	5.14
T142	5.85	1.83
T143	5.85	3.95
T145	5.68	2.1
T146	5.21	1.9
T147	5.09	0.0
T149	5.0	0.0
T150	4.91	0.0
T151	4.61	3.78
T152	4.5	2.68
T153	4.49	2.3
T154	4.45	0.0
T156	4.36	0.0
T157	4.31	0.0
T158	4.3	1.73
T159	4.3	0.83
T160	4.29	3.27
T161	4.28	2.83
T162	4.28	0.0
T163	4.04	2.71
T164	3.97	0.0
T165	3.82	2.89
T166	3.61	2.13
T167	3.32	0.0
T169	3.2	2.84
T170	3.17	0.0
T171	3.13	0.94
T175	2.53	0.0
T178	2.34	0.0
T181	2.22	0.0
T182	2.18	0.79
T183	2.04	0.0
T185	1.99	0.23
T186	1.93	0.0
T187	1.89	1.16
T188	1.86	0.69
T189	1.8	0.0
T192	1.59	0.0
T193	1.58	0.06
T194	1.47	0.0
T196	1.32	0.0
T197	1.31	0.27
T198	1.27	0.0
T199	1.21	0.0
T201	0.96	0.58
T203	0.75	0.0
T206	0.62	0.0
T207	0.58	0.0
T209	0.4	0.0
T210	0.32	0.0
T212	0.14	0.0
