	ts	te
T0	35.0	27.87
T3	33.03	11.97
T4	32.96	31.43
T6	32.22	29.67
T8	31.64	19.42
T9	31.36	0.0
T12	30.27	17.91
T14	30.16	29.08
T16	29.78	22.84
T18	29.25	21.08
T21	28.41	27.74
T22	28.4	25.55
T23	28.34	25.77
T24	28.22	25.69
T25	27.95	23.24
T26	27.91	26.99
T27	27.48	0.0
T29	27.4	26.96
T30	27.37	21.01
T31	27.23	24.76
T32	27.17	22.86
T35	26.2	24.1
T37	25.89	10.27
T38	25.57	20.37
T39	25.52	25.1
T40	25.48	25.11
T41	25.41	20.09
T42	25.3	22.61
T43	25.29	20.88
T44	25.05	24.51
T45	24.88	23.81
T46	24.81	24.22
T48	24.33	23.61
T49	24.32	21.48
T57	22.6	21.08
T60	22.44	19.22
T62	22.33	0.0
T64	22.01	21.28
T65	22.0	0.0
T66	21.72	0.0
T67	21.46	16.15
T70	21.0	18.89
T71	20.77	20.48
T73	20.01	16.95
T78	19.28	16.63
T80	19.0	17.37
T81	18.96	0.0
T82	18.74	13.19
T86	18.2	14.66
T88	17.84	12.86
T91	17.66	12.78
T92	17.61	14.81
T95	17.3	17.02
T96	17.27	0.0
T99	16.76	6.76
T101	16.56	14.95
T102	16.54	12.39
T104	16.21	12.8
T105	16.16	0.0
T106	15.93	12.7
T107	15.81	7.37
T108	15.7	12.26
T109	15.63	14.68
T110	15.53	9.4
T111	15.33	4.08
T112	15.22	0.0
T113	15.21	14.28
T114	15.15	0.0
T116	14.96	6.14
T117	14.86	11.84
T118	14.82	14.37
T119	14.82	6.84
T123	14.52	13.25
T124	14.35	8.86
T125	14.23	1.3
T127	14.19	3.15
T128	13.83	11.41
T130	13.72	9.49
T131	13.71	0.0
T132	13.64	11.28
T135	13.17	11.22
T136	13.05	11.11
T137	12.99	0.0
T139	12.39	9.15
T142	11.72	9.92
T143	11.67	8.55
T144	11.58	8.9
T148	10.95	8.76
T149	10.94	0.0
T151	10.88	0.0
T153	10.8	8.54
T154	10.71	7.65
T155	10.58	9.46
T156	10.42	5.93
T157	10.34	8.08
T158	10.22	10.16
T159	10.13	4.56
T160	10.13	0.0
T161	10.07	0.0
T162	9.86	5.19
T163	9.79	7.3
T164	9.71	0.0
T165	9.71	8.12
T166	9.63	1.03
T168	9.43	7.03
T169	9.37	4.75
T170	9.18	0.0
T171	8.98	2.39
T172	8.96	8.0
T173	8.93	5.94
T174	8.63	0.0
T176	8.34	8.26
T177	8.21	7.2
T179	8.15	1.88
T180	8.11	0.36
T181	8.08	0.0
T182	8.06	7.1
T183	8.05	5.43
T184	7.99	5.55
T187	7.72	0.2
T189	7.45	6.65
T190	7.36	4.0
T193	7.15	6.22
T194	7.01	4.5
T195	7.0	2.06
T197	6.89	0.82
T198	6.87	0.0
T199	6.79	0.0
T200	6.71	6.56
T201	6.58	2.85
T202	6.52	5.83
T205	6.3	0.0
T206	6.02	0.0
T208	5.76	4.66
T209	5.61	0.05
T210	5.57	0.0
T212	5.41	0.0
T213	5.38	0.0
T214	4.99	0.0
T215	4.78	4.23
T216	4.73	4.62
T217	4.55	2.95
T220	4.06	0.24
T221	3.36	0.06
T222	3.35	2.16
T223	3.32	0.0
T227	2.84	2.06
T231	1.99	0.0
T232	1.92	0.0
T233	1.92	0.6
T234	1.72	0.0
T237	1.5	0.37
T238	1.42	0.69
T240	1.17	0.0
T243	0.73	0.0
T244	0.45	0.23
