	ts	te
T0	35.0	31.96
T1	34.17	32.18
T2	33.66	31.88
T3	33.03	27.41
T4	32.83	31.64
T5	32.38	29.65
T6	32.12	28.18
T7	31.58	29.17
T8	30.79	20.02
T9	30.57	25.28
T11	30.02	28.16
T13	29.26	21.24
T14	29.15	23.28
T15	29.04	28.4
T16	28.94	25.62
T17	28.04	11.67
T18	27.93	24.1
T19	27.29	24.11
T20	26.86	22.62
T21	26.78	16.23
T22	26.28	12.46
T23	26.03	22.45
T24	26.0	21.81
T25	25.92	25.11
T26	25.85	24.08
T27	25.49	21.09
T28	25.3	0.0
T29	25.13	0.0
T30	24.98	0.0
T31	24.88	12.31
T32	24.56	23.11
T33	24.16	0.73
T34	23.96	23.22
T36	23.09	21.37
T37	22.93	9.03
T38	22.82	20.48
T40	22.71	21.76
T41	22.51	21.37
T42	22.49	19.57
T43	22.34	18.89
T44	21.65	11.31
T45	21.39	20.93
T46	21.27	17.92
T47	21.18	11.04
T48	21.18	17.07
T49	21.01	20.05
T50	20.91	20.22
T51	20.4	16.05
T53	20.0	9.83
T54	19.95	18.84
T55	19.87	17.32
T56	19.82	0.0
T60	19.35	0.0
T61	19.33	17.31
T62	19.17	11.44
T63	19.16	12.3
T67	18.51	14.28
T68	18.33	6.55
T70	18.17	14.44
T71	18.14	14.25
T72	18.1	6.32
T73	18.04	14.08
T74	18.02	15.72
T75	17.77	0.0
T77	17.6	16.24
T78	17.53	15.5
T80	17.37	8.96
T81	17.36	15.49
T82	17.24	15.11
T83	17.24	0.0
T84	17.15	13.07
T85	16.88	14.41
T86	16.8	16.12
T87	16.69	15.73
T88	16.66	15.92
T89	16.65	14.13
T90	16.31	14.24
T92	16.23	1.66
T93	16.19	3.39
T95	16.03	0.0
T96	15.96	11.36
T97	15.93	15.14
T99	15.57	10.3
T100	15.52	15.07
T101	15.51	11.94
T102	15.38	7.13
T103	15.3	0.0
T104	15.06	12.48
T105	14.76	13.28
T106	14.71	9.87
T108	14.64	10.12
T109	14.62	14.23
T110	14.57	2.15
T111	14.57	10.94
T112	14.55	13.47
T114	14.5	8.95
T115	14.32	0.0
T116	14.21	0.0
T118	14.11	11.86
T119	14.02	12.1
T120	13.94	10.93
T121	13.74	12.4
T122	13.61	0.0
T123	13.55	11.75
T124	13.55	11.66
T125	13.42	6.44
T126	13.39	11.31
T127	13.33	0.0
T128	13.3	10.93
T130	13.06	4.78
T131	13.03	7.78
T133	12.96	12.18
T135	12.69	0.0
T136	12.51	0.0
T137	12.39	0.0
T138	12.35	10.29
T139	12.34	6.73
T141	12.19	6.04
T142	12.19	10.75
T143	12.17	0.0
T144	12.09	1.84
T145	12.06	4.92
T147	11.7	10.66
T148	11.62	9.67
T149	11.58	6.61
T150	11.55	0.0
T151	11.5	8.04
T152	11.47	7.1
T153	11.15	0.0
T154	11.15	9.19
T155	11.06	9.45
T156	11.03	10.25
T157	10.93	0.0
T158	10.9	9.79
T159	10.7	9.27
T161	10.31	6.52
T162	10.29	7.53
T164	9.88	9.31
T166	9.8	0.0
T167	9.72	0.0
T168	9.56	8.68
T169	9.53	0.0
T171	9.34	0.0
T172	9.24	0.0
T173	9.13	7.08
T174	9.07	7.57
T175	9.01	2.35
T176	8.79	8.38
T177	8.78	3.97
T178	8.59	0.0
T179	8.48	7.05
T180	8.47	2.51
T181	8.22	2.5
T182	8.12	5.16
T183	7.94	3.41
T184	7.86	0.0
T185	7.85	0.0
T187	7.7	4.54
T188	7.55	3.82
T189	7.49	2.11
T190	7.47	4.15
T191	7.38	0.26
T193	7.19	0.0
T195	6.98	0.0
T196	6.87	0.0
T197	6.77	0.0
T199	6.35	2.54
T200	6.28	2.51
T201	6.18	0.0
T202	6.04	0.0
T204	4.96	1.55
T205	4.91	2.09
T206	4.87	0.0
T207	4.74	4.16
T208	4.43	3.19
T209	4.41	1.95
T211	4.13	0.12
T212	4.05	1.57
T213	4.03	3.29
T215	4.0	3.29
T216	3.6	0.0
T217	3.04	0.0
T219	2.86	0.0
T220	2.83	1.84
T221	2.82	0.02
T222	2.6	0.0
T223	2.59	0.0
T224	2.47	0.0
T225	1.62	0.0
T226	1.52	0.0
T227	1.52	0.74
T228	1.44	0.0
T229	1.33	0.0
T230	1.33	0.84
T231	1.12	0.0
T232	1.12	0.76
T235	0.78	0.0
