it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	q_4	q_5	q_6	q_7	q_8	q_9	q_10	q_11	q_12	q_13	alpha	hypQ	k_birth	k_death	RJ_hp	root_age	death_age	tot_length	T0_TS	T4_TS	T5_TS	T8_TS	T10_TS	T11_TS	T12_TS	T15_TS	T16_TS	T17_TS	T20_TS	T23_TS	T24_TS	T25_TS	T26_TS	T28_TS	T32_TS	T33_TS	T37_TS	T48_TS	T49_TS	T51_TS	T52_TS	T53_TS	T54_TS	T56_TS	T57_TS	T60_TS	T61_TS	T63_TS	T64_TS	T67_TS	T68_TS	T71_TS	T73_TS	T74_TS	T75_TS	T76_TS	T77_TS	T78_TS	T81_TS	T83_TS	T86_TS	T87_TS	T88_TS	T91_TS	T92_TS	T93_TS	T96_TS	T97_TS	T98_TS	T99_TS	T100_TS	T101_TS	T102_TS	T103_TS	T104_TS	T105_TS	T106_TS	T107_TS	T108_TS	T111_TS	T112_TS	T113_TS	T114_TS	T117_TS	T118_TS	T119_TS	T120_TS	T121_TS	T122_TS	T123_TS	T125_TS	T126_TS	T129_TS	T130_TS	T132_TS	T133_TS	T135_TS	T137_TS	T139_TS	T141_TS	T142_TS	T143_TS	T148_TS	T150_TS	T152_TS	T154_TS	T156_TS	T160_TS	T161_TS	T162_TS	T163_TS	T166_TS	T167_TS	T168_TS	T170_TS	T171_TS	T173_TS	T177_TS	T179_TS	T180_TS	T181_TS	T183_TS	T185_TS	T186_TS	T188_TS	T190_TS	T191_TS	T192_TS	T195_TS	T196_TS	T197_TS	T200_TS	T201_TS	T202_TS	T203_TS	T205_TS	T206_TS	T209_TS	T210_TS	T212_TS	T217_TS	T221_TS	T0_TE	T4_TE	T5_TE	T8_TE	T10_TE	T11_TE	T12_TE	T15_TE	T16_TE	T17_TE	T20_TE	T23_TE	T24_TE	T25_TE	T26_TE	T28_TE	T32_TE	T33_TE	T37_TE	T48_TE	T49_TE	T51_TE	T52_TE	T53_TE	T54_TE	T56_TE	T57_TE	T60_TE	T61_TE	T63_TE	T64_TE	T67_TE	T68_TE	T71_TE	T73_TE	T74_TE	T75_TE	T76_TE	T77_TE	T78_TE	T81_TE	T83_TE	T86_TE	T87_TE	T88_TE	T91_TE	T92_TE	T93_TE	T96_TE	T97_TE	T98_TE	T99_TE	T100_TE	T101_TE	T102_TE	T103_TE	T104_TE	T105_TE	T106_TE	T107_TE	T108_TE	T111_TE	T112_TE	T113_TE	T114_TE	T117_TE	T118_TE	T119_TE	T120_TE	T121_TE	T122_TE	T123_TE	T125_TE	T126_TE	T129_TE	T130_TE	T132_TE	T133_TE	T135_TE	T137_TE	T139_TE	T141_TE	T142_TE	T143_TE	T148_TE	T150_TE	T152_TE	T154_TE	T156_TE	T160_TE	T161_TE	T162_TE	T163_TE	T166_TE	T167_TE	T168_TE	T170_TE	T171_TE	T173_TE	T177_TE	T179_TE	T180_TE	T181_TE	T183_TE	T185_TE	T186_TE	T188_TE	T190_TE	T191_TE	T192_TE	T195_TE	T196_TE	T197_TE	T200_TE	T201_TE	T202_TE	T203_TE	T205_TE	T206_TE	T209_TE	T210_TE	T212_TE	T217_TE	T221_TE
2500000	-1697.98849711156	-47.3477050122365	-1209.28498609014	-441.355806009187	4.91667259007508	0.52278565307329	5.55410840515196	5.29098258394465	2.76174785634561	1.48061536986914	1.6883264601098	2.05590547392559	3.50097995759695	2.45109959598553	4.97188539051009	3.5376442931778	3.90973697961922	2.55870323554798	1.19041108942181	0.397343286390317	2	2	1.30991192787068	34.9996285508052	0	324.551183185816	34.9996285508052	31.469333573219	28.4491104454139	21.4614681158607	20.6146935327925	20.5283411056134	16.7830570159781	18.8232174386072	18.8348139093093	18.9372846820448	16.8327453994622	17.0907042073778	18.2496905940438	18.4505450110532	18.6590366253675	17.4822645228556	16.8449255981691	17.4844575467356	17.1044442730512	15.9674063698089	16.2667063940847	15.5351648739897	15.0637668243566	15.4542610455942	14.1602587106995	14.3507461969544	12.8755344110855	12.8964009582078	10.6827756338461	13.1793903642374	13.8350514935985	11.6033322845434	12.7950476492402	12.9153171612927	10.3786611926807	12.5425767628799	11.3245754694618	12.126738398505	12.720282456602	9.92517418036426	8.43340949036246	10.466805994683	10.3046956385011	10.6827259552059	2.32849060502921	8.63295865758244	10.9884605444432	10.6212469649111	6.53837439693951	7.12223412317319	9.0482074343147	4.24658789140737	8.03353582191311	9.66321099263735	9.2038348640092	7.88256942468998	8.9379865458807	8.46051946321084	8.71299407339012	9.72708181050042	8.24046954160746	7.36838525241556	7.39342889214622	7.97036850588576	7.61733894399614	6.25696371057489	7.04615493474846	6.53886472632011	7.53514356083258	6.15845430185589	7.04978922319536	6.24194429672036	5.79823099539235	6.32466392384693	6.31679875503236	8.05376164857112	5.51407267930434	6.89098771553982	4.25123873484943	6.81584139526412	6.66962089804006	5.39595968544845	5.26196790628931	5.27119700215793	4.6142757873822	5.13374664965206	3.40936302394565	4.86207126150249	4.26704414310244	4.39056551094914	5.70645088779565	3.12676952830315	4.53963563468554	3.87758530378312	4.4295668131876	4.52741685528937	2.97467452192546	4.1641306887959	3.65179637330742	2.67595885706155	3.95208995967383	2.3763210190114	3.53039044208731	3.31474148946163	2.24090508036728	2.7268894279123	3.37802387401917	3.10732542506573	1.65417592596101	2.21938568789621	3.25469743609865	3.51409031786725	1.66090701027987	1.58556473030625	1.01243173797467	1.48646314405929	0.713035858256448	0.959199323610012	1.07264618052649	0.454123625011152	0.698528224881719	0.256002142592247	1.04192324356518	0.475268314085856	32.0944304472795	31.0790539386842	13.7656500520852	17.9112240516212	19.3122691584639	18.3486390127571	16.6965088692776	17.7283972906889	17.4554772287825	15.0321523893531	11.3483676703885	16.9989859906392	18.196217627375	18.3874980979397	17.9000148434218	16.9877536277968	16.3499480209687	14.9725281176696	15.419693358185	9.31223309964723	12.1812017295811	13.4254938471905	14.9506156438767	12.2021971440902	0	10.7244613865941	12.4771811785919	7.6233357900402	9.67137029766762	12.5828787938892	12.6431417293183	11.2368367701963	8.07384434723206	9.336619266185	9.83627235165897	11.5375903000652	9.99771822489477	0	7.82608727907453	5.51251161775791	7.95927057414726	0	9.40967940807942	10.5391161603595	0	6.33058070775068	8.06258638750934	8.97615945109552	6.44073597204876	6.14510264453363	8.59432318230842	1.15579328626972	7.84562023021641	2.98031701512009	8.79666186650385	3.82010161731812	0	7.29522199790045	3.86568336820782	0	5.31979710813431	7.21008486600827	3.75042879862507	6.85472947816259	3.94129223218626	6.03938373895978	5.80149036189838	0	4.29231692950576	0.999407458976325	3.70472728590874	5.61740793213676	4.19833662861681	6.04439718132438	4.46577083943089	3.18295057910439	0	3.59898466433973	4.07387647752558	3.64127309513327	3.8710207232216	4.56419372748526	3.19425650131907	4.32916416274316	2.8822690315596	0.916399190899871	0	3.14614996447031	4.1874490387213	0	0	2.95402575828146	0	3.74045317610738	3.99313898789053	0.781966038795676	0	0	0.7452671301734	0	0	0	0	2.15519563979497	0	0	0	1.51747007749336	0	0	0.0261671184594839	0.220675333074662	0	0	0	0	0	0	0.886235461269985	0	0	0	0	0
2580000	-1696.27172926589	-45.1421394362833	-1207.37109478933	-443.758495040279	4.45638932967891	1.1708068252286	6.96389346815477	3.64643421783011	2.70446717643157	1.23241750301219	1.82398977588157	2.18242790659728	3.6186437150785	2.83190017506087	7.57292665606014	4.13488401637267	4.81866251330969	0.715408804794761	1.40106429594462	0.381486509570433	1	2	3.18995828910183	35.1553175340555	0	315.90167400204	35.1553175340555	32.0702417154014	29.0767905818944	21.5333667540553	20.4219515193354	20.2758788145866	16.9409256179376	19.2796993798671	18.8753783637236	19.1703339612245	17.8387578435024	17.1015896015866	18.4096860406301	18.4637220687425	18.2833016142029	17.3183390633259	16.9286866470527	17.8178856424726	17.1362166707659	16.3809425739532	15.7907901088478	15.2637351942481	15.0348761782587	15.3533958627743	14.2601450319933	14.5107432097548	12.8140643899662	12.9371231484968	11.1220155347985	13.3387928369675	13.219276478252	11.7105059207024	13.1231539140587	12.5479424278717	10.3360948123268	12.5314614681548	12.0449553522163	10.9913979940733	11.064049001896	9.87563667855717	8.46859170141838	10.802139305624	10.2718397328895	10.595208364353	2.06511246369413	7.22408629182826	10.1685127560444	10.8823821919706	6.78775415882677	6.74240546945252	9.78800417215311	4.42869731480943	7.95209598918337	10.1028661642311	9.62237457420454	8.4609721257369	9.40450649420999	8.02170452238781	8.53059991031179	8.58779116229458	8.09708306117489	7.98104452745673	6.91315910951903	7.97975933395581	7.23578427524391	6.24425565103726	7.52074407229839	6.60030948652684	6.75125007120383	7.46573124720316	6.47203929589112	6.22068729746483	5.32175138248468	6.38675042440462	6.22029678465732	6.16996994060723	5.88123075389069	5.57974622607711	4.37249633621843	5.89995267920285	6.46671839548461	6.14898101975802	5.47818165984789	5.33057232939745	5.15788497302575	6.08915753900427	4.34386748961661	5.04182703769038	4.29227624761078	4.75658520074127	4.87337916886834	3.08946519531795	4.20902278395593	3.89538788316779	4.05758237584279	4.95954461974917	3.13187329161092	3.73049426038385	4.12031166192019	2.5715427721626	4.75081727650594	1.34268989570348	3.94694533527212	3.94505708063382	2.34563314054175	3.20541123686918	3.29731384191973	3.68264508336571	1.70188432757677	2.46546650291629	1.73074559295806	2.1330403405125	1.53535104286064	1.68214769619923	0.917066613027435	1.54799188959236	0.924020858652379	1.17429268229263	1.08797257957141	0.422933117355055	1.07803410128573	0.42694295646212	0.656401641273604	0.511731723596686	32.2990064109182	31.3053708073387	15.7616640471798	17.6929254496848	18.8502692384423	18.553632674835	16.5897926288199	17.7306649775805	17.2211262865539	15.3872880224177	11.3004900592251	16.9870881965677	18.0614225446561	18.1713490018413	17.3426124573444	16.4691730010528	16.7450346877195	16.1307781735138	15.2143108645037	9.5691554231552	12.2946334747715	13.5746820586275	14.9564920891941	12.2695573003289	0	11.1009666365502	12.6964222723756	7.93239481841233	10.2250354851687	12.963730814451	11.6786729487771	10.6797274155935	7.30250433880799	9.25219703595542	9.67556056252153	11.4894509671127	11.0077366992078	0	7.85361465597842	5.958623340299	8.13421968747022	0	9.23604347726399	10.3897132427923	0	5.64885647131209	8.82113950455203	8.4825863951612	6.17343582883237	6.22302253903046	8.84053198787568	0.604439730926279	7.924878467123	2.92588976485002	8.81423041143916	3.85182524491978	0	7.9367735335129	3.84737859028829	0	4.95906888003133	7.10926611166644	3.52697049602709	6.89543995282474	3.87706775254393	6.11844973552467	5.91101866406756	0	4.50772515679995	2.02155233875107	4.22689200956395	5.73002845384792	4.94037681777602	6.13072391473803	4.62579633846428	2.67402799156306	0	3.67801392968639	4.18421519986255	4.49168341993718	3.44745920938047	4.89406610329656	3.21497593499319	4.14350788038888	3.16306737605185	1.00245072089184	0	3.09813925837325	4.0498137280793	0	0	2.8829541838423	0	3.75609157636352	4.00333496522394	1.4162347589223	0	0	0.564227696643743	0	0	0	0	2.27929192492321	0	0	0	1.93215642982383	0	0	0.0440515616331629	0.448218455414002	0	0	0	0	0	0	0.827891161980316	0	0	0	0	0
2650000	-1692.89113405294	-47.4197567125036	-1206.07595606148	-439.395421278963	2.65513724930787	0.333241088118908	2.05965870922257	3.00340416998669	3.31077478338766	1.78207684673652	1.63167776610784	1.2799897434349	2.84408773075312	2.73756267980839	6.36869868599853	3.49654101200134	2.39886419401033	0.642952322634276	1.19056949541547	0.555878547631757	2	3	2.44157433661199	35.0152518080777	0	327.761556506257	35.0152518080777	31.7179934372554	28.7324473894369	21.6830476398654	20.4739594748437	20.1045862213924	16.9166147977587	18.7776520466023	19.004112017374	18.9303332945611	17.046828272279	17.121882098837	18.304015100457	18.7553040651318	18.2763293810583	17.2103844267783	17.0414051658256	17.5509666541519	17.0232814064652	15.7916905871311	17.0022182590555	15.2630387357269	15.0122433813575	15.5399539827398	14.2197479397976	14.0656315891496	12.8511360559565	12.7634936394278	10.5693747464419	13.2364047345743	13.47738679792	11.4685903739044	12.7980241890819	12.7826480412683	10.2835113064957	12.8857814608573	11.4713259059496	10.4679365700282	11.3125126787396	9.93999060919271	8.54857875145617	11.114002796903	10.3901617119657	10.6031839155841	2.05064421762747	8.07998151622422	10.0498060965438	10.4321677904545	6.57839380525686	6.62868976996976	9.79412928585588	6.37188056351985	7.97726438981143	9.80367867066644	9.25023875521219	7.60847133783789	8.87563885547024	9.09407082262376	9.11622149120021	8.59375539643436	7.62607625986694	7.340282549213	6.65810488493325	7.68803696489677	7.15729115616026	6.43767731922452	7.27315702483362	7.25403344093281	6.32749364828279	6.14550436149707	6.40809960899801	6.20631056742412	5.27731842730416	6.2748427015376	6.38105161936849	6.47843705864118	5.50558628207845	5.64170518188249	4.27161123824298	7.32367378482274	5.81527348287487	5.4512613991931	5.94552608605736	6.4866551026671	5.12681316691109	4.77112097540039	2.959348804175	4.8744694531591	4.70162895520813	6.98694943654315	7.22912057560131	3.69091185994196	5.26024268878817	3.82523025530698	4.44738593201755	4.10780371222466	4.33026985337432	3.76918665476266	3.69421658817297	2.37143082306499	4.73090186063721	1.46497309131104	3.64378301322597	3.32013131806992	3.01478384699349	2.86799407656303	2.9278430659233	4.05380875569779	1.79360032038615	2.21489201299999	2.31409863915517	2.33508872030575	1.49852820207374	1.60241048416367	0.901074298445006	1.64560861565136	0.71453724123931	0.992971176705238	1.11155548931454	0.514954104262609	0.702891946860933	0.800051322852824	0.633202335538724	0.612205740288609	32.0989685143173	31.0792949366337	15.0071037211403	17.0000938109865	16.6830759860706	18.0681493642429	16.7325112822487	17.6753962489164	17.7350282775237	15.1667850719183	8.53113833203774	16.9723501145645	18.1655828522821	18.382291812781	17.6734927803348	16.6507644899002	16.4689649578699	15.5864899606317	15.4419762753834	9.48726130262141	11.7526382354074	13.4957684020887	14.9297865095075	12.1915279158403	0	10.5327260183663	12.7672832042093	8.03950427661235	10.1954635277382	12.8679992598027	12.4972679592731	11.3511248335232	7.65038927999272	8.78565541069904	9.95367391250006	11.3716259660892	10.9604771578014	0	7.02477018290721	6.02883010300449	8.19316898873806	0	9.46332203487488	10.5247761568211	0	6.1956021951248	8.82792525200045	8.64254311562493	6.37571098875772	6.58945085536206	7.26291184661701	0.734183891630244	7.46539264535767	3.14883822993711	8.76102674754414	3.8448918151963	0	6.55707324605449	3.77689674325269	0	5.22990713778547	7.32765970824229	3.11022836462855	6.87848331159799	3.88061301224137	6.2264887005923	5.58091651926388	0	4.69683500479367	2.25892559723267	3.6945174103673	5.71887581107935	4.73661771686023	6.01274758980298	4.1913046517684	3.33589885152794	0	4.08514447497848	4.23067800954193	4.50287570332098	4.09575559965701	3.80860171555173	3.1847843793093	4.07114178671249	3.19531013984976	0.205102953137955	0	3.21454526734458	4.18907238959542	0	0	2.76531762397757	0	3.76785692842005	3.88467693683952	1.34945496593231	0	0	0.343378294145455	0	0	0	0	2.17491807925501	0	0	0	1.56295754598381	0	0	0.186597701463686	0.30338857511276	0	0	0	0	0	0	0.652943822983738	0	0	0	0	0
2730000	-1713.96386374173	-37.2278621373651	-1221.53660465226	-455.199396952107	4.64498613888291	0.53047199245192	2.08700319968986	2.80775102771727	2.58852454358053	1.74256426457648	1.11582160583618	1.82281185193896	3.40169095249678	2.65382140873797	4.81852850405051	3.58813150735686	3.53136081865682	0.843211535303822	1.41773954574547	0.520276362637075	1	1	2.96415149662867	35.4535572117558	0	332.644121466906	35.4535572117558	31.4951660397101	28.3869877584914	23.4091002358289	20.5325073457328	20.359017113039	16.8464863237347	18.9711986868919	19.536386600049	18.8462668698176	17.6840874338987	17.0916254129604	18.3834294015084	18.4434756828879	18.2218599574507	17.2256500310828	16.917073887905	17.5606241825556	17.19537392981	15.803161504612	15.19338859639	15.2876723366814	15.2846047515702	15.2614952596991	14.2130289119147	14.4932095963112	13.5940669106869	12.8174863851014	10.8489614506663	13.4593821371484	13.6639180036486	11.3700198815815	13.8448404650916	12.788617896465	10.0756246371825	12.5279556597917	11.430633829531	11.5454186904743	12.5544091174627	10.1678091085465	8.33749124524308	11.2745891318469	10.4285758090263	10.8204541215542	2.07258347285536	7.1662955472531	10.1520544502567	10.9968865263977	6.53838131210624	6.80490789315331	9.01259715549387	4.25171983362421	8.11809210864666	10.648941914081	9.08892490478644	8.71018526486198	8.77013938382149	8.03396684431094	8.73513399845215	9.38715178965406	7.61475957492738	7.86186304987289	6.46531391818024	7.83160050964427	7.16770761856266	6.24990925053232	7.04251191458329	7.99273582414124	6.40172550023522	7.87061668184004	7.00146209562979	7.5111126649004	5.39294818866597	6.53734464024961	6.67818829440181	6.25684270895861	6.9046686946604	6.18173462417	4.4884463431079	5.84594531701493	7.67833263424117	6.98938376177228	5.60118369568609	5.37919181198261	4.95373483685033	5.16742795836646	5.00772852304648	4.85728643855295	4.28368739722213	4.40384610408905	4.80632812027546	3.03761017459544	4.43455061022862	3.82450249008161	4.25042551909028	4.46831304582565	2.76042298014224	3.7382873357004	3.87357554032391	3.27031018175562	3.11175610327267	1.53947675006507	6.52160565245825	3.35406283027808	2.22485717212615	2.83374201648668	2.56033761125634	4.01497925812775	1.78180231356307	2.06831853989575	2.39726545773437	1.92023331906839	1.57996286375664	1.62676429889379	0.936766686288008	1.33822423397108	1.91352996562997	1.10321185788817	1.14285996680035	0.578974045095916	0.757591953260855	0.267562868164009	0.614783105983106	0.649586828862563	32.0863447634318	31.1642442990835	15.7485704072275	18.0159168118923	19.2105164717507	18.3901984673034	16.6465921097732	17.4050099915278	17.3679084766876	15.4364832362375	11.4776007687159	17.0148450927975	18.1024487995321	18.2377558855601	17.8084952983776	16.8475978547461	16.2913637239059	15.9421439506944	15.2184508023753	9.51781277803987	8.32208905191393	13.4123178319528	14.5749414533535	11.651137385503	0	11.0248704348458	12.6748189346643	7.94593730878909	10.0117081312978	12.9572401999407	12.6115933215035	11.3422608705373	7.96661188844815	8.65443948664532	9.82961404309624	10.8047115987658	10.7677370791847	0	7.77987338343237	5.5023127490581	8.14425726113531	0	9.70386338779526	10.2362473558808	0	5.86712926058921	8.40424795273652	8.82740934412779	6.47698538102665	6.46942134434695	8.80137459668456	1.03754914936289	7.87048754249581	2.69296389298006	9.04955004262117	4.03945270836436	0	7.65570486327032	3.92554082112464	0	5.28008170522836	7.25408567783321	3.72213440352327	6.98172110508373	3.9752219145403	6.23247292202895	5.78741290487407	0	4.76369284893096	2.13045614940836	4.04372880574712	5.41506573049802	5.08153552688433	6.23610609482005	4.54510860867839	2.77765446874494	0	4.09109523353727	3.87461144717563	1.6822365925747	3.89550248777634	3.42735279416771	2.97396196911667	4.19560617853961	2.71723439066227	0.917129649351196	0	2.78568786003647	3.7567539765867	0	0	2.91750832052636	0	3.5374652225263	3.95152650543436	0.79284980434592	0	0	0.707072755077397	0	0	0	0	2.15419506485566	0	0	0	1.8772138608495	0	0	0.211884782089314	0.00315132010074992	0	0	0	0	0	0	0.749133619933266	0	0	0	0	0
2800000	-1718.04371683609	-54.6727817011108	-1222.04175464266	-441.329180492322	4.75577761071645	1.74072812270371	1.8917373281387	2.61295143521462	3.54951975217192	1.20126471504865	1.20324092272249	1.92546957305989	3.56537075720355	2.57560867994611	7.13832791876823	4.29659702386985	4.08822292272274	1.97833176968671	1.12577568400905	0.530599031034081	3	3	1.75036201349737	35.1498171339637	0	325.830907765508	35.1498171339637	32.1012795636937	29.0993607460164	21.403902581642	20.946483291652	20.1887722817657	16.8465776125089	18.8764259793247	19.0007563892955	18.8172403441996	17.7336711548824	17.1164057592195	18.2815228233268	18.4187684281063	18.5258842004791	17.8611292559917	16.8400912962599	17.6580195400832	17.2022566231557	16.1832811997734	15.5994322283116	15.2211046980095	15.3729096096257	15.1938178509711	14.1620466679043	14.3528780736362	12.883422145929	12.9482016768359	10.5977702168904	13.4938345528165	13.5174789974745	11.4591009772717	12.7530075209608	12.444584895067	11.1621300494629	12.8247754498379	11.3143301465549	9.87985319971267	11.1284012112676	9.8630650928457	8.63166855859808	10.6338620001038	12.7620967876665	10.6963364559652	2.07043715500318	9.2672484754292	10.0299473359335	10.9134153756859	6.83217683246152	6.91883982975278	9.06430003112104	6.01360727083637	8.07270425625182	9.5651909202013	9.75688042022958	7.63919069683277	9.10485509015849	8.04454551782859	8.93239832255541	8.31147264948077	7.72417457856741	7.67953130067172	7.61049487277255	8.02750277377125	7.17700146852249	6.34724037564316	7.21188891975191	6.53185773341372	6.41284008027784	6.91162412488794	6.49970243057905	6.63236271736735	6.21281853696149	6.27395766585726	6.22798230383864	6.50871137164258	5.73877630798432	5.78759864310228	4.59596274702656	6.65022828440748	5.84806143511072	6.48178502896606	5.54681326055371	5.173434498364	4.99851277097284	5.41624284565834	3.22561871597309	4.85353263668514	4.23064032159322	5.49953325003367	5.51422380673432	3.1212411661288	4.98199613366908	3.88512211888297	4.08683087444475	4.16131706494642	2.18475018954456	3.7425536483405	4.06982679067396	3.09934022166614	3.03874321696518	1.52690485738643	3.7685782237313	3.59419991447245	3.29532065276221	2.66479674382625	3.77553406846155	3.23289002717278	1.97864916047097	2.71613341208789	3.35199008405681	1.83585390473977	1.60495396948801	1.53514245208923	0.97349802277123	1.69385489979948	0.806377829704312	0.878704387326109	0.946185767529063	1.10176155730929	1.50263255656514	0.649742310691927	0.694484438213567	0.431872595872228	32.1500756667718	30.7925307092036	15.2469701971552	17.81793425617	19.2833232988979	18.6008958644201	16.5478012366758	17.6731564810165	17.7547172875181	15.4832270233729	11.3758571924979	17.0735418561026	17.2098339785365	18.3506605575569	17.847615690037	16.5059002055316	16.3833944018122	16.0246382590824	15.4502261025269	8.95243671611794	12.089460158751	13.6481542922052	14.854277362738	11.6631706973962	0	10.7507312911744	12.5459700061667	7.82443242629965	10.5077420526801	11.823361664663	12.5746927485933	11.2917350631486	7.33853796234913	8.51129946205385	8.85584155390566	10.9871864594241	11.1141471516639	0	7.76888057169561	5.78770138341601	8.04386259503785	0	9.30947545325472	10.0636197424936	0	6.51855060333798	8.84098534399928	8.56120153979372	5.26265548388652	6.489956840514	8.68531168930783	1.2029787215863	7.73747729319333	3.1025669530977	8.61889101877474	3.16273448245596	0	7.79148033962003	3.86352871502843	0	4.62282880387148	5.80450774846009	3.5329993452999	7.12429368788017	3.99667132777022	6.00729377889121	6.12878964500032	0	4.6189030315732	2.21622689465175	4.27739915845259	5.28752104493087	4.96321384244109	6.07806734345308	4.57636815028813	3.04881191921075	0	3.58031850982529	3.80834373108464	4.31848083749503	3.90017564119943	4.81546522461461	3.26301445817796	4.05949821636997	2.9065983546731	1.17257071635616	0	3.19483195014581	4.18740051601728	0	0	2.94813497294291	0	3.66377223320304	4.00867303363859	1.25134254725349	0	0	0.522902854285739	0	0	0	0	2.28174129637602	0	0	0	1.29128175488865	0	0	0.0887464192098747	0.204318602922829	0	0	0	0	0	0	0.867653055231795	0	0	0	0	0
2880000	-1699.99574917964	-57.9845233300657	-1193.13521648411	-448.876009365463	4.62740740302966	0.237283454783755	4.27357204245751	3.67823991545775	2.5905521486859	1.75917376247808	1.69424133038181	1.99341407823732	4.50380342310395	4.148992222281	5.96359227723912	4.54852576364542	3.58709394688861	1.0422253091497	1.00499991767781	0.378349889995577	4	2	1.63643174836097	36.0078970169712	0	321.539274249187	36.0078970169712	31.4574348079369	28.5209041495839	21.4704871020074	20.6489357271483	20.1505948146949	17.2391661994194	18.9117121507598	18.8588175230431	18.971144599153	16.6878579457231	17.1138950274518	18.3811409228114	18.4057087364923	18.2703541207134	17.3746903273907	17.2241587023537	17.8257471837171	17.110335807608	15.7951550130897	15.2609363978238	15.5244208633851	15.1466742619792	15.5985117353255	14.1394699873594	15.0149171277232	12.8070616125351	12.79388345754	10.8291080474237	13.5162280649608	13.3123986690968	11.3823337980498	12.8387459753563	12.4372797814265	10.3104249829762	12.3883005854334	11.586981315743	10.0189791324851	11.03057545762	9.89248019449367	8.39663128649083	10.6632854972794	10.7092241389898	10.6263683848126	2.22648178024516	7.17137072807925	10.0724858703049	10.1660224296483	6.91352658193764	6.7274140190211	9.03134866549532	5.60697642580501	7.94541204998949	9.65887600297422	9.31109490680511	7.59651141351685	8.89918278085255	8.09992277900198	8.55800735531523	8.62957136468708	7.80470585691968	7.51734699729146	6.69344535942693	7.69964737588313	7.06716338160297	6.28950043327307	7.36745002374063	7.37297716456157	10.7725458784211	6.99582132919933	8.33302143387069	6.36476539898161	5.15645403102827	6.82112257209327	6.33907130546616	7.16813575286008	5.3292625997105	5.56544623107214	4.30060518637317	5.63309341260021	6.31938147227825	5.96116980418079	5.35901998967903	5.42921719315666	4.73404221051839	6.1989557630168	3.2053603546437	4.9292061091772	4.25204898013265	4.92235251310353	5.06583288888958	3.4557350019919	4.49242505434284	3.91699422256811	4.05614958607679	4.37951259263344	3.66791461177691	3.71478705892176	3.64510300236378	2.6217865416373	3.19987957595755	1.23482122026558	3.62996376775909	3.46550355778478	4.48518046147875	3.14911141313054	2.92851941999385	2.86607383414027	1.73381218661633	2.04615865207863	2.39795508808667	2.89451380996087	1.5399869866361	1.81424688499738	0.926263241531332	1.36246776103262	0.78126731867455	0.847056757272337	1.0562142134005	0.443743145303186	0.908932068455509	0.282543723629157	0.492439816779849	0.358687715568424	32.2594302088123	31.1886672746415	15.4575961645251	18.05742858241	19.2812907515702	18.0794717697035	16.4379977366031	17.009638735429	17.7529452608325	14.9623455300385	10.9043300929855	17.0739441721539	18.0866199251831	18.405586697065	17.6197629385343	16.5577288982533	16.5057378859017	15.959260313437	15.4254702127961	9.40079392377861	11.7979066297556	13.662151786218	14.9172688845773	11.8413610275692	0	11.055757525323	12.728676664915	7.89163553254459	10.4028569036809	12.8469359393673	12.5026713124472	11.3650003527245	7.6169881832281	8.13946490180831	9.81293910678748	11.4352090072352	10.6966731391079	0	4.59869507307488	5.16923273375748	8.18479813091798	0	9.67376154675485	10.4273518594865	0	6.64882738505678	8.15645318274784	8.95404593932247	6.28874722586994	5.58569615991787	7.83672853044107	0.661218462961576	7.86563659531495	2.5204743449659	9.04986393359775	4.03761970678755	0	7.88998626371549	3.79598811348648	0	5.25760463960549	7.21923058055751	2.97156873608483	6.98908883477872	4.00960898492268	6.19043390051241	6.00794671076908	0	4.47406829618908	1.71937352787918	4.26309015672923	4.88201136311561	5.1067227417888	5.64955661209655	4.62983082290871	2.88826169267049	0	3.06466891205933	3.77873229865914	4.43162696194593	3.97213388339092	4.12341133637964	3.17236979747874	3.30251911923331	3.31543684518575	1.03516267456287	0	3.26578258188694	4.21860078148887	0	0	2.87191698532653	0	3.54508998113816	3.98906901139049	0.697656932504813	0	0	0.742047687404089	0	0	0	0	2.21667065012654	0	0	0	1.78074566751569	0	0	0.0967549641445085	0.269090796874558	0	0	0	0	0	0	0.857654205443637	0	0	0	0	0
