	ts	te
T0	35.0	15.06
T1	30.79	22.66
T2	30.13	15.81
T3	30.11	17.94
T4	29.97	14.57
T5	29.93	13.2
T6	29.17	15.61
T7	28.46	20.97
T8	28.14	10.15
T9	28.07	27.51
T10	27.85	22.12
T11	27.83	22.58
T12	27.71	10.35
T13	27.66	14.56
T14	27.25	18.93
T15	26.91	24.46
T16	26.72	16.35
T17	26.56	17.25
T18	26.34	18.66
T19	26.28	14.23
T20	26.19	15.95
T21	26.05	17.06
T22	25.81	12.88
T23	25.68	21.09
T24	25.58	21.43
T25	25.55	21.22
T26	25.51	16.06
T27	25.38	17.56
T28	25.11	22.95
T30	24.82	22.35
T32	24.71	16.59
T33	24.69	23.49
T34	24.56	17.14
T36	24.39	15.04
T37	24.39	14.2
T38	24.36	18.69
T39	24.3	15.24
T40	24.2	15.23
T41	24.1	15.16
T42	23.95	12.47
T43	23.92	17.58
T44	23.88	20.37
T45	23.86	13.36
T46	23.86	12.05
T47	23.79	17.0
T48	23.77	10.91
T49	23.77	18.47
T50	23.69	16.32
T51	23.61	15.02
T52	23.57	16.37
T53	23.46	11.43
T54	23.29	12.19
T56	23.24	15.13
T57	23.24	11.11
T58	23.22	17.25
T59	23.02	12.29
T60	22.92	19.09
T61	22.79	9.13
T62	22.57	11.37
T63	22.43	10.54
T65	22.35	21.05
T66	22.27	18.36
T67	22.2	16.04
T68	22.16	16.38
T69	22.14	15.08
T70	22.12	17.64
T71	22.11	14.92
T72	22.07	20.94
T73	21.96	19.22
T74	21.91	16.38
T75	21.9	13.05
T76	21.88	12.81
T77	21.75	14.39
T78	21.71	15.72
T79	21.69	20.18
T80	21.68	17.42
T81	21.65	15.08
T82	21.64	12.99
T83	21.62	17.23
T84	21.49	9.76
T85	21.44	12.69
T87	21.42	18.96
T88	21.39	10.64
T89	21.31	14.78
T90	21.31	18.09
T91	21.19	15.98
T92	21.18	20.42
T93	21.15	14.53
T94	21.14	18.24
T96	21.03	14.42
T97	20.96	20.43
T98	20.88	16.49
T99	20.88	13.97
T100	20.86	14.75
T101	20.82	16.23
T102	20.82	8.52
T103	20.82	19.51
T104	20.77	12.5
T105	20.77	10.83
T106	20.74	19.38
T108	20.66	16.14
T109	20.65	15.27
T110	20.54	16.6
T112	20.5	10.43
T113	20.46	15.75
T115	20.3	13.18
T116	20.28	13.91
T121	20.14	13.32
T122	20.11	15.62
T124	19.95	9.31
T125	19.88	2.53
T126	19.86	17.02
T127	19.82	5.46
T128	19.76	19.14
T130	19.71	7.41
T131	19.69	13.79
T132	19.63	16.06
T133	19.6	12.81
T134	19.56	12.01
T135	19.54	16.9
T136	19.46	9.34
T137	19.45	15.19
T140	19.24	17.91
T141	19.05	12.15
T142	19.04	11.01
T143	19.02	15.81
T144	18.96	15.6
T145	18.78	13.25
T146	18.75	6.44
T149	18.63	13.6
T150	18.62	14.04
T151	18.58	10.56
T152	18.53	13.67
T157	18.25	14.21
T158	18.14	16.23
T159	18.13	11.92
T162	17.99	13.7
T163	17.95	13.8
T164	17.82	15.62
T165	17.8	10.49
T167	17.72	15.97
T168	17.65	9.12
T169	17.64	15.36
T170	17.6	10.26
T171	17.54	13.74
T172	17.29	9.97
T173	17.26	10.66
T174	17.25	15.48
T176	17.16	9.8
T179	17.08	9.96
T181	16.96	16.49
T182	16.88	6.94
T184	16.62	10.94
T185	16.62	10.28
T186	16.55	15.01
T187	16.51	14.42
T188	16.5	15.77
T189	16.44	10.49
T190	16.36	12.93
T192	16.05	10.11
T193	15.99	11.34
T194	15.94	6.88
T195	15.86	11.01
T197	15.77	11.82
T198	15.51	11.52
T200	15.32	11.94
T201	15.25	9.22
T203	15.06	8.65
T206	14.78	8.61
T207	14.65	10.59
T209	14.59	7.6
T210	14.56	10.72
T211	14.53	12.94
T212	14.5	11.49
T213	14.44	10.22
T214	14.41	10.64
T216	14.1	11.89
T219	13.79	12.01
T220	13.66	11.54
T221	13.63	10.39
T222	13.38	11.37
T223	13.18	9.53
T224	13.17	12.25
T226	13.14	7.35
T227	13.1	12.69
T228	13.01	9.16
T232	12.73	6.95
T237	11.93	11.1
T238	11.75	6.13
T239	11.69	10.22
T241	11.59	9.95
T243	11.29	9.86
T244	11.28	7.78
T245	10.85	10.64
T246	10.72	0.0
T249	10.28	9.61
T252	9.52	6.19
T253	7.49	5.03
T254	4.15	0.0
T255	3.72	2.0
