scientificName	cont_trait_0	cat_trait_0	ResPvr0	ResPvr1
T0	0.360279274787557	1	-0.032239262381469	0.120517446466036
T2	-0.178120249046427	1	-0.0204953612670979	0.140469112676164
T3	0.953570933508844	1	-0.00213811236948325	0.155408981500885
T5	-0.265529618684103	1	-0.0236709381379889	0.129865664320782
T6	0.166293893766505	1	-0.0954281106465944	0.0930665528391886
T7	-0.399555429616594	0	-0.0339783741869655	0.12739648852531
T8	0.162509334297987	1	-0.0309156465493453	0.121553040902008
T9	0.0829663261393037	1	-0.0568580656358088	0.0962430557001435
T10	0.621695437462006	1	-0.00338178575068995	0.118651522636118
T11	0.389847437974986	1	-8.38154217442581e-05	0.11901225547623
T12	0.407375356859917	0	0.0112240714570231	0.125861250404272
T13	0.296985691273772	0	0.258816132664539	0.0428677030015842
T14	1.04095017016142	0	-0.107216468225357	0.0861114578792108
T15	0.289179260612077	0	-0.474594764844966	0.0379991889610472
T16	-0.0540898123235503	1	-0.0409478634341459	0.112907309815929
T19	0.272261260902433	1	-0.0754616045215091	0.0832040093896034
T21	0.378400054609726	1	0.469258580788693	0.742326352525149
T22	0.0551361786628771	0	-0.588326335698549	0.0498002448195786
T23	0.174207297074691	0	0.319225061898692	0.0494435059757167
T24	0.757904978841485	1	-0.0890950502698301	0.0992632235424631
T25	-0.0309690722629798	0	-0.451547141180337	0.0376472906227027
T26	-0.242391477378407	0	0.501417979529645	-0.238432217729292
T28	-0.328858977112164	0	-0.413311411953082	0.0718366957112162
T29	-0.192761755440166	1	0.306213629038465	0.259653241447517
T31	0.269764275253532	1	0.315310755820333	0.294734492793541
T32	-0.101516298680269	1	0.282248671178814	0.0446628762515803
T33	0.222856958836602	0	-0.384059893703107	0.0654659675076588
T34	0.537422435905601	0	-0.665589886005187	0.0404115727420875
T35	0.475783279883636	1	-0.224268695195504	-0.0519219294565597
T38	-0.243388902942564	0	0.454415651100616	-0.148899967498393
T40	0.821072046355767	1	-1.7442950737227	-0.155482341581388
T48	0.897686733377207	1	0.436559854083738	0.631050263037306
T49	-0.0831659579204461	1	0.270965536153802	0.0328328241808532
T50	-0.15646598629991	0	-0.464818975427194	0.0493218633862793
T51	-0.761989654592296	0	0.631694397464997	-0.436896642654879
T56	0.252633870915427	0	-0.637759958844407	-0.0843604338342684
T59	-0.59486618111233	0	-0.469497038675968	0.0448738709678143
T61	-0.253226831973039	0	0.691525262291672	-0.509546432358688
T63	0.127280919664039	0	-0.468089064676216	0.043538596125192
T64	0.283831822177827	1	0.280713871972875	0.0415253031224727
T65	-1.50957123386585	0	0.602182405451753	-0.489762127565593
T67	-0.792288874685896	0	0.754481837081	-0.696172004692367
T69	-0.0903784998469987	0	0.799577937293519	-0.793334481016768
T70	-0.9628594732899	1	0.234749331783048	-0.018026724029095
T72	0.220755909471059	1	0.616842927107911	1.28590079562732
T73	-0.942273560224471	0	0.886004708221132	-0.868899382012057
T76	-1.7754283069644	0	0.266807603266146	0.0303034344641799
T77	-0.0740954856422578	1	0.561628557179743	1.00373952013638
T78	-0.909942656301493	1	0.286104790479117	0.0455179969121687
T80	-0.685995506032948	0	0.925824935166891	-1.00940842962357
T81	0.214909711309015	1	0.384048961604194	0.672853953252729
T82	0.0464080958644635	1	-0.224714710684551	-0.0518819736126629
T83	0.719644661862288	1	-1.27861172226496	-0.0457968492005492
T84	0.0551941969057089	1	-0.224612373173674	-0.0518911045535029
T86	0.742629306450475	1	0.573407357978798	1.13501783752445
T87	-0.602623058293739	0	0.92493205859886	-0.902069690317365
T89	-0.102345843589586	1	-0.664369996296316	-0.085488057074052
T92	-0.307564689226143	1	-0.11476518766938	0.054646825041889
T94	0.101243190012955	1	0.273665117747708	0.0351821893087224
T95	-0.681987855772896	0	-0.506277964353798	0.027782853927933
T96	-0.21226889329499	0	0.810842715507987	-0.757775133575437
T97	-0.972911273197227	0	1.20255072346834	-1.48087437932464
T100	-0.44823012443983	0	-0.508192886685696	0.0259890841988898
T102	-1.07050798275012	1	0.242298715059125	-0.00889325180006755
T103	-0.597512651923626	1	0.968910564857692	-0.966084043964429
T104	0.300516160302321	0	0.754821735733678	-0.896209447337817
T105	0.913412786374901	1	-1.69639263993869	-0.182825385333719
T106	-0.112486057611018	1	0.26296255592978	0.0229561988590855
T107	2.15298921128102	0	-0.728759676169131	-0.0320579963332227
T108	0.41384838877306	1	-1.588536823412	-0.17371439862113
T109	-0.423144322504304	1	0.894562340257723	2.00929546942954
T110	-0.511133989337511	0	-0.658689846715986	-0.0697245148666586
T111	-0.0423981629055661	1	0.554221111164631	1.13251352672229
T114	-0.399190211932268	0	0.81285850981845	-0.823703506365691
T115	0.37631619761047	1	0.594721822633765	1.15041074770671
T116	0.664765943239124	1	0.384719815169078	0.674180296652521
T117	0.943591885551618	1	-1.58764036277017	-0.126635750770682
T118	-0.396356667896733	0	0.243811976344461	-0.00794223610977116
T119	-1.16292571041735	0	-0.68520138355199	-0.0169867082899274
T120	0.421367317096292	0	0.83424502392038	-1.00921143875129
T121	1.37435151046561	1	-1.62747886019178	-0.106014588006315
T122	-1.3173462331893	0	-0.692986181598478	-0.0238742554052862
T127	0.88436964693645	1	-1.63251514312403	-0.177259118654245
T129	2.28975164696705	1	-0.731016086409203	-0.0333165279728453
T130	2.49457314295013	0	-0.736515427222558	-0.0381974414145705
T131	0.548269145397394	1	1.1472482545092	-1.41510211419263
T132	-1.46370448830784	0	1.25748610426287	-1.53986246585187
T135	0.748837151098118	0	0.774258775944127	-0.920060590198723
T136	0.905715992953854	1	0.835252319809835	1.9021368472401
T137	1.57973180406845	1	-1.87250247777175	-0.152062285514648
T138	1.39126990689672	1	-1.64357742531751	-0.157674245809483
T140	0.551377677246326	1	-1.82079301787142	-0.194586381466018
T141	-1.77077903025018	0	1.21140854253475	-1.459112893452
T144	-0.83517401100273	0	1.27849374262563	-1.62017537689764
T146	0.170673702223897	0	-0.680239001445039	-0.0861817700625595
T147	-0.88603426704424	1	0.913471993374365	2.03026936315412
T148	1.30707090716626	1	-1.59596282020386	-0.145887897865707
T149	1.55047565061921	1	-1.87544883779724	-0.152750293785545
T151	1.27218188902662	1	0.835252319809835	1.90213684724011
T152	-0.700613324745489	0	1.31482297869082	-1.66240579878204
T153	1.48694801543195	1	-2.01730440641994	-0.212726230792836
T154	-1.41705300082594	0	-0.631200599267948	-0.0443896480791931
T157	0.29831590552084	0	-0.655750126934213	-0.0851330493873418
T158	1.09612992333558	1	1.26300390111557	-1.61452858679346
T159	0.261200260878461	1	-1.80721135034041	-0.193370969897584
T161	-1.90498148498025	1	1.02467426467521	2.42161901234407
T162	-0.815488989675748	0	1.27665310364576	-1.63459461648599
T163	1.50750824296127	1	-1.98787537031984	-0.187653285983274
T165	-1.91731212781464	0	1.25958660224868	-1.52910349824856
T166	0.760170319850867	1	-1.98194834116944	-0.20950294705776
T167	-1.94358815786479	0	0.98417174528267	2.31067829600687
T169	1.53517145505809	1	-1.64851751467608	-0.161498333681725
T171	0.433562314111922	1	-1.6477871018601	-0.178568770498661
T172	1.17749951793991	0	-2.03297878061432	-0.208539571053454
T173	-1.99431095303056	0	0.988083516628138	2.30629158189933
T174	-1.49510800556305	0	1.00270350257721	2.36146039880162
T175	1.54646682291457	1	-2.00713904804019	-0.197614390368959
T178	-1.20578323994543	0	1.20131738992866	-1.52765491459603
T180	-1.17569427424317	0	1.32762717781594	-1.70686551954627
T181	-1.17734339898972	0	1.02216196195713	2.41471051579326
T185	1.68703611137293	1	1.25326638147297	-1.60087552317848
T186	0.147878813648147	1	-1.82079301787142	-0.194586381466018
T187	-0.346748624265345	0	1.31599349705496	-1.69039242835562
T188	0.729906196737506	1	-1.69639263993869	-0.182825385333719
T189	-0.0317091135669393	1	-0.664369996296316	-0.0854880570740519
T194	1.49574780063374	0	-2.0379661772209	-0.211951781907068
T196	0.663060548101058	1	1.27050733750227	-1.62504414625395
T200	-2.92210993004291	1	1.01960523372312	2.40277261070967
T201	-2.80711767194121	1	1.02009016133936	2.40907726651776
T202	1.02338294634532	1	1.27024108047844	-1.62467119564267
T203	1.19324038274826	1	1.27050733750227	-1.62504414625395
T205	-1.27788621019405	0	1.01737579710736	2.40162570020787
T209	-1.40848984458705	1	1.02467426467521	2.42161901234407
T210	-0.665728915005713	1	1.32762717781594	-1.70686551954627
T214	-1.54394094860782	0	1.02216196195713	2.41471051579326
