feature1,feature2,feature1_state,feature2_state,posterior_probability,magnitude_effect,magnitude_lwr_CI,magnitude_upr_CI,shap,lwr_shap,upr_shap,delta_lik,lwr_delta_lik,upr_delta_lik,rank
cont_trait_0,none,none,none,0.9946666666666667,62.94797765139487,0.7242331824220117,117.3795547616521,0.1345323120299401,0.055270910356227526,0.20244352770754329,-186.86136194970226,-375.0834248208649,-47.55657518428842,1.0
cat_trait_0,none,0_1,none,0.5333333333333333,1.0850829770422754,0.1464999431624428,2.2078860044949837,0.07352196210180069,0.03616797792724926,0.10891391432164603,-73.11391403530581,-128.7960680109764,-27.775081945840725,4.0
pvr_0,none,none,none,0.9493333333333334,6.998778274464958,0.19760015372397008,20.07858451946324,0.09562650018386382,0.031092907085092363,0.15618640723975563,-102.21365217344359,-207.9042900545679,-21.975910147335412,3.0
pvr_1,none,none,none,0.9693333333333334,24.37118963541666,0.22407328589242487,76.85532067063242,0.12271129899520654,0.054761590060904315,0.20278735908874373,-118.88992813858077,-246.78468744851,-22.581678091000384,2.0
time,none,none,none,0.56,1.0898608614728327,0.5077319771326618,1.6999815604702424,0.029736860528840368,0.010522770861211488,0.05423559874632251,-16.764332639840358,-41.14431767586444,1.3505632378864334,5.0
cont_trait_0,cat_trait_0,none,none,0.9933333333333333,0.12244804835259201,0.0001085558095499633,1.7798635516191803,0.11247130906482777,0.03325264298108861,1.21462378602539,-36.03094182189657,-119.36132069766413,48.32073845023723,2.0
cont_trait_0,pvr_0,none,none,0.8186666666666667,0.073899662789878,0.00044185829549461315,0.26335215583813504,0.1471105420669246,0.02469716272686412,1.1113822173919379,-80.17296744123904,-198.69996247143172,10.359324988107915,1.0
cont_trait_0,pvr_1,none,none,0.7866666666666666,0.08221684655813619,5.668790561067596e-05,0.2664417519316707,0.10662955967750032,0.03842820295876927,1.2529018181594729,-73.93996660534548,-189.2111277723645,13.190984453517842,3.0
cont_trait_0,time,none,none,0.5986666666666667,0.10051509300466697,8.137094887473354e-05,0.303489339789183,0.05265116418047518,0.0108605728905503,0.954381161987047,-7.275805314761136,-44.428166940305886,24.742415945532713,9.0
cat_trait_0,pvr_0,none,none,0.9213333333333333,5.479447431405675,0.01956257451622897,97.03892796667374,0.07591515669098411,0.023315747534692653,0.8441153457268209,-31.42550474543037,-88.45178768488682,19.69303134429481,6.0
cat_trait_0,pvr_1,none,none,0.9573333333333334,12.561854418825988,0.009387571945847785,245.59813031787036,0.10230178745481194,0.021951401356562032,0.9556607732559496,-18.45874585203514,-84.64899610382173,44.64571817180172,4.0
cat_trait_0,time,none,none,0.6786666666666666,1.0359984239792954,0.005601868774536058,15.463364287251235,0.05348911642921725,0.005863585694574618,0.7952661657914702,-9.300803569957928,-33.12006582133654,11.643586687658768,8.0
pvr_0,pvr_1,none,none,0.7213333333333334,0.1991470074298496,0.000413064859073736,0.6077772906092352,0.09088988510186413,0.02013097072666799,0.9531505243681505,-55.464534417770025,-151.17789542572308,20.57230300972725,5.0
pvr_0,time,none,none,0.668,0.3377869058052555,0.003172759953581867,0.9307094310497661,0.04869843321970288,0.009216329563994716,0.7777066801776836,-6.666135030343541,-45.3249179426133,28.12193387140897,10.0
pvr_1,time,none,none,0.6586666666666666,0.19045787780030268,0.00029388071135777607,0.6236358429323355,0.06027119551747649,0.009427574468773355,0.9909119447140332,-13.374027409167706,-50.61522071926464,19.333069171663226,7.0
