NMDS1	NMDS2	Africa	America	Eurasia	Island	Temperature	Humans	PVR1	PVR2
-0.0810981217987767	-0.799016239637565	1	0	0	0	1.04794499242837	0	-0.794554187570943	0.314563017265361
-0.0184602625500703	-0.567317586836067	1	0	0	0	0.252003651070391	0	-0.887705840114595	0.332534762611175
0.142035802312936	-1.56118648538441	0	1	0	0	-0.0777514857153596	0	-0.947324419991175	0.393957546362891
0.194266825002114	-1.63273240063768	0	1	0	0	-0.504534653586701	0	-0.947062651807972	0.393690161992452
0.263965938334339	-0.170495841571779	0	0	1	0	-0.572555508444858	0	0.767688997725631	0.0191490523359669
0.263965938334339	-0.170495841571779	0	0	1	0	-0.747961319055046	0	0.772445271436734	0.0194428051993095
0.242329146842273	-0.175542130996932	1	0	0	0	1.09342201502387	0	0.782452349552669	0.0200833096277911
0.134814355994058	-0.243390226809055	0	0	1	0	-0.435275640065413	0	0.75218094364951	0.0181684046810356
0.19495139849217	-0.223090670725096	1	0	0	0	0.904505479378887	0	0.773391037434796	0.0195018103998763
0.100421214012633	-0.386225089427438	0	0	0	1	0.157078153563701	0	0.770379664287966	0.0193112150811812
0.13077149655276	-0.207110947575169	1	0	0	0	0.801870692082892	0	0.780811238216282	0.0199788483879942
0.217094065020907	-0.238321888268395	0	0	1	0	-0.389549428305012	0	0.770540915170679	0.0193245210299817
0.29186712293248	-0.180649591666838	0	0	1	0	0.157078153563701	0	0.783998413429678	0.0201816463395887
0.28098057105069	-0.175243889773299	1	0	0	0	0.896796189589582	0	0.784131557524467	0.0201893693030434
-0.666339184502935	-0.978623531843796	0	0	1	0	-0.351688249561983	0	-0.898072203436792	0.342395104507083
-0.530823275802624	-1.09025744803064	1	0	1	0	0.443092804746902	0	-0.875765948524069	0.321137754743181
-2.45263487793742	1.08959153900003	1	0	0	0	0.801870692082892	0	-0.996798784316178	1.14443297758506
-1.73451104900531	1.13340697049122	1	0	0	0	1.16241626505744	0	-1.06560287842175	1.45366191132775
-0.346161952688902	-0.497534449635795	0	0	1	0	-0.584954226831253	0	-0.805271011244751	0.325166063430681
-0.0984097137815234	-0.870448273676343	0	0	1	0	-0.394657806185602	0	-0.799845340368022	0.319765406086363
-0.974507467842991	-0.283534196697913	0	0	1	0	-0.671460245428654	0	-0.798137125450059	0.31809724801273
-0.369716114281058	-0.53141789121383	0	0	1	0	-0.351688249561983	0	-0.801784969147531	0.321676146438693
-0.0282152712225646	-0.68239770389694	1	0	0	0	1.24589463530122	0	-0.800255017002422	0.320173076731113
-0.414583843029675	-0.53445284639467	0	0	1	0	-0.528137539800218	0	-0.804609010726113	0.324499947488846
0.43787219068675	-0.560068068712387	0	1	0	0	0.680679099162743	0	-1.14380845507464	-2.70382208382048
-1.71873449869772	1.66982240067779	1	0	0	0	1.03875614197243	0	-1.20252089829321	2.00686872187786
-1.6866405917305	1.90822505694254	0	0	1	0	-0.560298516396004	0	-1.19931598006904	1.99373880394419
-1.68664059173146	1.90822505694352	0	0	1	0	0.157078153563701	0	-1.19477733898075	1.97505929879426
-1.67311018539467	1.73061536594545	0	0	1	0	-0.584954226831253	0	-1.19856019672549	1.99063217540191
-1.68664059173608	1.90822505694826	0	0	1	0	-0.50996697738167	0	-1.20697908295706	2.02527550564654
1.37285055676594	0.648309788828526	1	0	0	0	0.968827432570459	0	1.35301687831314	-0.118764855628687
1.06234113213693	0.616778334033209	1	0	0	0	1.07800343544526	0	1.3137094984614	-0.109976927843898
1.37285055676594	0.648309788828526	0	0	1	0	0.188024332980566	0	1.35968448458389	-0.120224788786091
1.37285055676594	0.648309788828527	0	0	1	0	1.67154087760768	0	1.36714074966701	-0.121864773212976
1.30741179705183	0.635066864936334	0	0	1	0	-0.00430297935907564	0	1.3686010639113	-0.122184587500048
1.06000256094101	0.733434697159816	1	0	1	0	0.344120579030942	0	1.3197130731302	-0.111272168958837
-0.815959002114192	1.10228837072399	1	0	0	0	0.814844102980853	0	-0.857453162012459	0.438140181963766
-0.70665578525507	-0.734049517803922	1	0	0	0	1.05433046477911	0	-0.735966501612782	0.283341223610012
-0.0396905546967406	-1.27754260390367	0	1	0	0	-0.761152770472301	0	-1.00609275814089	-1.91246247909889
0.356160389552288	-1.10612747792026	0	1	0	0	0.152265687816438	0	-1.07727043302671	-2.31879020212633
0.423212791123226	-1.18916153862621	0	1	0	0	-0.537287454449141	0	-1.08081517407183	-2.33763101475261
-0.343765582145374	-1.0365355480159	1	0	1	0	0.0562032647448588	0	0.23087543270254	0.0781652460857242
-0.370101165135938	-0.851733865646352	0	0	1	0	-0.747961319055046	0	0.0367052150805437	0.0770800258360347
-0.447344999291067	-0.877743982550461	1	0	0	0	1.01227979320108	0	-0.532630140616953	0.0739933210510119
-0.307519002546884	-0.826177802592687	0	0	1	0	0.12831237933977	0	0.386854576143381	0.072980347599049
-0.370101165135938	-0.851733865646352	0	0	1	0	-0.351688249561983	0	0.231838804725875	0.0789700023315872
-0.399408460837228	-0.839437818975207	0	0	1	0	-0.143942357643732	0	0.0941089361132491	0.0762359160272003
-0.370101165135938	-0.851733865646352	0	0	1	0	-0.34612821632	0	-0.184875126964899	0.0765808337961548
-0.57789663886497	-0.763704961138203	0	0	1	0	-0.747961319055046	0	0.229751868737986	0.0772211075373513
-0.370101165135938	-0.851733865646352	0	0	1	0	-0.61980021667891	0	0.229563662027873	0.0770685335864716
-0.100356671834941	-1.33411877387726	0	1	0	0	-1.37601146055706	0	0.403415821464008	0.0743562104706342
-0.350217659449109	-1.10061656866568	0	0	1	0	-0.525918198800267	0	0.431557487363081	0.0726799955918897
-0.444332803618098	-1.11884892485171	0	0	1	0	-0.428010218476099	0	0.322581564068287	0.0749935293728086
-0.399408460837228	-0.839437818975207	0	0	1	0	-0.36332226869857	0	0.182379357785552	0.0757778170354773
-0.404282214879937	-1.05941177694698	0	0	1	0	-0.351688249561983	0	0.324760513631129	0.0762509381669048
-0.370101165135938	-0.851733865646352	0	0	1	0	-0.351688249561983	0	0.333919820721337	0.0748631803592109
-0.223422809527815	-0.396749683668074	0	0	1	0	-0.671460245428654	0	-0.756155723740833	0.305684484801179
0.151002162174363	-1.42219607157858	0	0	1	0	-0.471454791945321	0	-0.961190205653848	0.408801488127365
0.170683466246357	-1.44908740346427	0	1	0	0	-0.0281784162217099	0	-0.959920392539342	0.407465112860208
0.300060328236166	-1.36857456152947	1	0	0	0	0.801870692082892	0	-0.964089452760412	0.411839928515553
0.0980591364424912	-1.19886651941199	0	0	1	0	-0.351688249561983	0	-0.959905223004486	0.407459033554534
-2.20167075377711	0.483958968833103	1	0	0	0	1.24589463530122	0	-0.769854499259888	0.3238869595856
1.04878505394002	0.863758290508446	1	0	0	0	1.14777640161917	0	1.33903493374836	-0.115919014503404
1.08299254011512	0.669883789413162	1	0	0	0	0.88115956949168	0	1.41760645675179	-0.134497799444362
1.27222745085973	0.587721096377361	1	0	0	0	0.853951227548417	0	1.40770475244358	-0.132189340200704
0.925248582959033	0.636195851535037	1	0	0	0	0.716476680133888	0	1.3526327181434	-0.119195318170018
1.08299254011512	0.669883789413162	1	0	0	0	1.11366863467255	0	1.41760645675179	-0.134497799444362
1.02839671264375	0.73507046434162	1	0	0	0	1.09342201502387	0	1.38772994678909	-0.127465856731664
-0.239250630511692	1.69602367332516	0	1	0	0	-1.25640066140179	0	-0.904683714137731	0.502056086399118
-0.539360890058233	1.80141832356426	1	0	1	0	-0.0371440347174187	0	-0.898422072142755	0.493523892908817
-0.96188790502483	1.54173471109299	1	0	1	0	0.00546731248164183	0	-0.902083970930094	0.498515293776654
1.12192988625783	0.556943356837852	1	0	0	0	0.904505479378887	0	1.37654868498926	-0.124167858073865
1.30539697666393	0.821895143121385	0	1	0	0	-1.23975171032145	0	1.41178180662652	-0.132241105284965
1.13783525334634	0.966247957669062	0	0	0	1	-0.394657806185602	0	1.3983296042925	-0.129106921481587
1.21401142690682	0.947028098839172	0	0	0	1	-0.399439123287252	0	1.41185554567175	-0.132258048990124
1.17218857430516	0.721349911109801	0	0	1	0	-0.465499170904048	0	1.39052329650256	-0.127338259478001
1.20089888930885	0.872512673167317	0	0	0	1	-0.345692135281413	0	1.39920719076463	-0.129306065734193
1.28699654356522	0.794307984511626	1	1	1	0	-0.135185694645679	0	1.39232713482873	-0.127746414613435
1.20912952757134	0.674248570396191	0	1	1	0	-1.06550099531943	0	1.40987193875721	-0.131801193705472
1.18450236810203	0.587199497869649	0	0	1	0	-0.625765182313867	0	1.40907212377142	-0.131617675633842
1.12951613361097	0.607002383911984	0	0	1	0	-0.305588254054222	0	1.38217106615624	-0.125434081563189
0.945999231421686	0.532412806128064	1	0	0	0	0.739277488722861	0	1.35807874871655	-0.119982770979322
1.30539697666393	0.821895143121385	0	0	1	0	-0.631311198665324	0	1.40944053424355	-0.131702232830108
-0.0396905546967406	-1.27754260390367	0	1	0	0	-0.0724873646067032	0	-0.961429182310977	-1.64126691202038
-0.0396905546967406	-1.27754260390367	0	1	0	0	-0.761152770472301	0	-0.963552375796105	-1.65020060666186
-0.100356671834941	-1.33411877387726	0	1	0	0	0.152265687816438	0	-0.964914760411393	-1.65594599207459
-0.64275858523332	1.43198601115371	0	0	1	0	-0.351688249561983	0	-0.87082235703098	0.455337368030374
-0.452822722860624	1.41345946393699	0	0	1	0	-0.671460245428654	0	-0.869951677849829	0.454220608305907
-0.452822722860624	1.41345946393699	0	1	1	0	-0.85597755402484	0	-0.871006426275947	0.455577483838875
-2.11487309386108	-0.391416894911771	1	0	0	0	0.807165961837162	0	-0.973357873450607	1.06921442422573
-2.11487309386108	-0.391416894911771	1	0	0	0	0.713097052084839	0	-0.965417409111786	1.0477804320007
-2.11487309386108	-0.391416894911771	1	0	0	0	0.801870692082892	0	-0.965734742980093	1.04862674894138
-2.03095105017118	-0.318131194873546	1	0	0	0	0.801870692082892	0	-0.966059226298348	1.04949189014903
-2.39453275452371	1.54527619317039	1	0	0	0	0.801870692082892	0	-0.965956426421241	1.04973061586514
-2.58450581371261	1.43379047467902	1	0	0	0	0.925375071939833	0	-1.00304526686882	1.16230166800125
1.42643254115916	0.755016500591651	0	0	1	0	-0.585661301086676	0	1.4474412874065	-0.141727200709446
1.10694786145604	0.531745382584057	0	0	0	1	-0.394657806185602	0	1.44752754502163	-0.141747867641002
1.17778725653356	1.07580209066219	0	0	0	1	-0.919095092919363	0	1.44482369867094	-0.141097094448929
1.25096881371257	1.00106896117298	0	0	0	1	-0.345692135281413	0	1.43856749586596	-0.139593394049629
1.4264325411591	0.755016500591618	1	0	0	0	1.00527134793808	0	1.42467240292424	-0.136242398433856
1.12938793782752	0.803549572015277	0	0	0	1	-0.394657806185602	0	1.44780865968658	-0.141815498051819
1.20535391880801	0.779527740164358	0	0	0	1	-0.345692135281413	0	1.44783012055867	-0.141820604650012
1.42643254115915	0.755016500591647	0	0	1	0	-0.202984615403841	0	1.43566509781858	-0.138897265203625
1.37285055676594	0.648309788828526	0	0	1	0	-0.351688249561983	0	1.43532683707584	-0.138811012233471
1.42643254121173	0.755016500620209	1	0	0	0	0.894086257421221	0	1.42271507075941	-0.135782769342486
1.02656866378845	0.773109487997718	0	0	0	1	-0.394657806185602	0	1.44074042884131	-0.140112253074148
-1.43887051413826	-0.825341287886961	1	0	0	0	0.807165961837162	0	-0.802743355921907	0.506401921367548
-0.271570012928229	-1.12023492382837	0	0	1	0	-0.351688249561983	0	1.06681188117244	-0.0541253241611303
-0.261534417821888	-1.26369296261025	0	0	1	0	-0.351688249561983	0	1.07112701073238	-0.0546654180435891
0.00782404247883269	-1.35262480520825	0	1	0	0	-0.191007961165507	0	0.405509633035125	0.075310097419249
-1.43887051413826	-0.825341287886961	1	0	0	0	1.16241626505744	0	-0.781568345678577	0.427426218294996
-1.43887051413827	-0.825341287886963	1	0	0	0	0.807165961837162	0	-0.777299297462341	0.421698713029533
0.944778975027732	-0.299854252259367	0	0	1	0	0.157078153563701	0	1.33452815527987	-0.114602663174933
-0.330346187668827	-1.46225544260505	0	0	1	0	-0.351688249561983	0	-0.895581220315917	0.340077354012824
-0.330346187668827	-1.46225544260505	0	0	1	0	-0.319908843874961	0	-0.900814356087713	0.345008497609198
-0.330346187668827	-1.46225544260505	0	0	1	0	-0.351688249561983	0	-0.903683806355248	0.347722071002885
-0.330346187668827	-1.46225544260505	0	0	1	0	-0.351688249561983	0	-0.904792139974111	0.348771664448838
0.892148798427036	0.574403550907141	1	0	0	0	1.09342201502387	0	1.21104175210044	-0.0866981598400295
-1.94339585412745	1.14912017838805	0	0	1	0	-0.50996697738167	0	-1.13891798275069	1.7437960688806
-1.9433958541274	1.14912017838802	1	0	0	0	0.846164066145079	0	-1.13218304333239	1.71847632135845
-1.94339585412738	1.14912017838801	0	0	1	0	0.0837698161126767	0	-1.13549883118893	1.73093827528234
-0.298141242446881	-0.544071998628314	1	0	0	0	0.791186706637512	0	-0.830979215795095	0.277177081880784
-0.307814608648706	-1.37287531267069	0	0	1	0	-0.351688249561983	0	-0.92068121468951	0.366539720105361
-0.242622660617342	-1.35519082716484	0	0	1	0	0.12831237933977	0	-0.927292333209882	0.37346499551717
-0.242622660617342	-1.35519082716484	1	0	0	0	1.24589463530122	0	-0.923884998026096	0.369856070698493
-0.242622660617342	-1.35519082716484	0	0	1	0	-0.351688249561983	0	-0.925302519324874	0.371254330107032
-0.0256151895693261	-1.46318553656085	0	1	0	0	0.398028501705784	0	-1.1144968071296	-2.53086926446326
0.00782404247883269	-1.35262480520825	0	1	0	0	0.0940955921335029	0	-1.10610800551422	-2.48415471398741
0.142035802312936	-1.56118648538441	0	1	0	0	-0.761152770472301	0	-0.865708619585196	0.310252843416199
0.121922736553118	0.309083250195692	0	0	1	0	-0.351688249561983	0	-0.877399687812229	0.463952249266696
0.0666798982682849	-0.184415859422627	0	0	1	0	1.67154087760768	0	-1.14776729959653	-2.72885028934411
-0.259337277918984	0.359433558906997	0	0	1	0	-0.351688249561983	0	-1.14431589385523	-2.70872043568692
-0.0613708780116003	0.0761512925137987	0	0	1	0	-0.351688249561983	0	-1.13212622448212	-2.63671675757047
0.203607469733747	-0.110935432744233	0	0	1	0	-0.351688249561983	0	-1.15169332328937	-2.7519261239448
-0.189096596868158	0.862855576252312	0	0	1	0	-0.351688249561983	0	-1.11022984176337	-2.50896911536456
-0.0122892941850751	0.0846158961735526	0	0	1	0	-0.625765182313867	0	-1.13095870071025	-2.63003170641457
0.150667251530403	-0.188139912946148	0	0	1	0	-0.351688249561983	0	-1.15048973876645	-2.74486705102307
0.870417481611804	-0.689078861984018	1	0	0	0	1.08049532709432	0	1.279974220288	-0.102291600820053
0.838990872842343	0.657016624459716	0	0	1	0	-0.625765182313867	0	0.572118362242916	0.187078685603134
0.769062963503208	0.623536793280301	0	0	1	0	0.157078153563701	0	0.601441984540935	0.213225171104432
0.823608451001982	0.602238937244872	0	0	1	0	0.64229618060569	0	0.600027836017527	0.211994680169463
0.816099824028656	0.754935378509766	0	0	0	1	1.67154087760768	0	0.613485620161962	0.224038285472761
0.823608451001982	0.602238937244872	0	0	1	0	0.157078153563701	0	0.6071504045425	0.218345054383205
0.769062963503208	0.623536793280301	0	0	1	0	-0.351688249561983	0	0.606856344032642	0.218086301675234
0.823608451001982	0.602238937244872	0	0	1	0	0.157078153563701	0	0.601608110216054	0.213369746731579
0.769062963503208	0.623536793280301	1	0	0	0	1.08002809741012	0	0.578908076114049	0.193393847960162
0.69553586390048	0.285167399264128	0	0	0	1	1.35709530014089	0	0.60837060302302	0.219447661816244
