cat_trait_0,time,mean,lwr,upr
0.0,0.5,0.11210148692919987,0.04369882241765056,0.1869009001992876
0.0,0.8555577453906951,0.11495200762763622,0.04611017516365823,0.1887701192411889
0.0,1.21111549078139,0.11789773850585086,0.04738117332817312,0.18835272798548627
0.0,1.566673236172085,0.12093615714057133,0.050891003573794696,0.19085565565893597
0.0,1.9222309815627798,0.12406431777287855,0.051876770967154984,0.19225004880093471
0.0,2.277788726953475,0.12727897653810358,0.05521522114441603,0.1949782461568495
0.0,2.63334647234417,0.13057671816894315,0.05632855137538114,0.19599068277742757
0.0,2.9889042177348646,0.13395406477094063,0.06501432140322676,0.20370273583754808
0.0,3.3444619631255597,0.13740755192920381,0.06045396653378422,0.19794184418377592
0.0,3.7000197085162547,0.1409337667319912,0.06403604921855126,0.1999436610037071
0.0,4.05557745390695,0.14452935117439702,0.07057496115873033,0.20548611494459063
0.0,4.411135199297645,0.14819097992122618,0.07287647875590714,0.2077029726079297
0.0,4.76669294468834,0.15191532344832664,0.08122133886756835,0.21496222068354195
0.0,5.122250690079034,0.15569900698255232,0.08547908141881287,0.21740475424590214
0.0,5.477808435469729,0.15953857311141656,0.08880707600950076,0.22145571468712857
0.0,5.833366180860424,0.16343045250518368,0.10443995236927005,0.2346072928299537
0.0,6.188923926251119,0.16737094440701442,0.10863741957401411,0.23814245778048196
0.0,6.544481671641814,0.17135620720536016,0.11120236776096087,0.24147446999226013
0.0,6.9000394170325094,0.17538225900534804,0.11589728800362922,0.24643117095359615
0.0,7.2555971624232045,0.17944498776803913,0.12158623907819671,0.2504626444486749
0.0,7.6111549078139,0.18354017001115988,0.11919068548852907,0.24915849516352323
0.0,7.966712653204594,0.1876634965275107,0.12567251270515517,0.2549047846240125
0.0,8.32227039859529,0.19181060329113644,0.1327213488345436,0.2631514388844178
0.0,8.677828143985986,0.1959771055974074,0.13493346430492534,0.26716464819203184
0.0,9.03338588937668,0.20015863329755296,0.1374384415792444,0.2733322527013973
0.0,9.388943634767374,0.2043508647018837,0.13028822719402516,0.2676775011261109
0.0,9.744501380158068,0.2085495566591138,0.13513971333667485,0.2727946562387306
0.0,10.100059125548764,0.2127505689100426,0.13979649017550136,0.2780221104441951
0.0,10.455616870939458,0.2169498821285669,0.14632932021666215,0.286372188697412
0.0,10.811174616330154,0.2211436106294326,0.1489799261838131,0.28960358457560487
0.0,11.166732361720848,0.2253280118808659,0.15150779169975187,0.29533604823190374
0.0,11.522290107111544,0.22949949530456593,0.1581520515571927,0.30434961660499843
0.0,11.877847852502239,0.2336546323639343,0.1615009739049108,0.3112376629243058
0.0,12.233405597892935,0.23779016890504984,0.16374701852234255,0.31897257163219545
0.0,12.588963343283629,0.24190303950388853,0.1715821640215241,0.33039436596965704
0.0,12.944521088674325,0.24599038252773245,0.1752148204789314,0.33767309030205733
0.0,13.300078834065019,0.25004955393994477,0.1745563640074454,0.3443653799877158
0.0,13.655636579455715,0.2540781376168654,0.16084741100180583,0.335238809001339
0.0,14.011194324846409,0.25807395008925543,0.17092265019339084,0.34885548146067324
0.0,14.366752070237105,0.2620350381795597,0.17221990228755366,0.3546371841508153
0.0,14.7223098156278,0.26595966899135565,0.17299609396792834,0.36028385884708236
0.0,15.077867561018493,0.26984631299697587,0.17315284635629274,0.36622455974606194
0.0,15.433425306409188,0.27369362223990734,0.1860117355735399,0.38283441704322224
0.0,15.788983051799883,0.2775004065168272,0.18736785558962984,0.3873268517934475
0.0,16.14454079719058,0.28126561057166966,0.1885140110986815,0.39189525844802825
0.0,16.500098542581274,0.2849882948351839,0.1900368695515821,0.402110609733022
0.0,16.855656287971968,0.288667621307837,0.18351272704146818,0.4017605951525907
0.0,17.211214033362666,0.29230284510372145,0.17863201224057204,0.40374213005535187
0.0,17.56677177875336,0.29589331118538387,0.1832229508552393,0.41349565909063274
0.0,17.92232952414405,0.29943845507224776,0.18210678666337082,0.4170241414388944
0.0,18.277887269534748,0.3029378058715425,0.18068541012623016,0.42116834695558514
