it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	q_4	q_5	q_6	q_7	q_8	q_9	q_10	q_11	q_12	q_13	alpha	hypQ	k_birth	k_death	RJ_hp	root_age	death_age	tot_length	T0_TS	T1_TS	T2_TS	T4_TS	T5_TS	T6_TS	T7_TS	T8_TS	T9_TS	T10_TS	T11_TS	T12_TS	T13_TS	T15_TS	T16_TS	T17_TS	T18_TS	T19_TS	T20_TS	T21_TS	T22_TS	T23_TS	T24_TS	T25_TS	T26_TS	T27_TS	T28_TS	T29_TS	T31_TS	T32_TS	T33_TS	T34_TS	T37_TS	T38_TS	T39_TS	T40_TS	T41_TS	T43_TS	T44_TS	T45_TS	T46_TS	T47_TS	T48_TS	T49_TS	T50_TS	T53_TS	T54_TS	T55_TS	T57_TS	T58_TS	T59_TS	T60_TS	T61_TS	T62_TS	T63_TS	T64_TS	T65_TS	T66_TS	T67_TS	T68_TS	T69_TS	T70_TS	T71_TS	T72_TS	T73_TS	T75_TS	T76_TS	T77_TS	T78_TS	T79_TS	T80_TS	T82_TS	T83_TS	T84_TS	T85_TS	T86_TS	T87_TS	T88_TS	T89_TS	T90_TS	T91_TS	T92_TS	T93_TS	T94_TS	T95_TS	T96_TS	T98_TS	T99_TS	T100_TS	T101_TS	T102_TS	T103_TS	T104_TS	T105_TS	T106_TS	T107_TS	T108_TS	T109_TS	T110_TS	T111_TS	T112_TS	T113_TS	T114_TS	T115_TS	T116_TS	T117_TS	T118_TS	T119_TS	T120_TS	T121_TS	T122_TS	T124_TS	T125_TS	T126_TS	T127_TS	T128_TS	T129_TS	T130_TS	T131_TS	T132_TS	T133_TS	T134_TS	T135_TS	T136_TS	T137_TS	T138_TS	T139_TS	T140_TS	T141_TS	T142_TS	T143_TS	T144_TS	T145_TS	T147_TS	T148_TS	T149_TS	T151_TS	T152_TS	T153_TS	T154_TS	T157_TS	T158_TS	T159_TS	T160_TS	T161_TS	T164_TS	T167_TS	T168_TS	T169_TS	T172_TS	T173_TS	T174_TS	T175_TS	T176_TS	T177_TS	T178_TS	T179_TS	T181_TS	T182_TS	T183_TS	T184_TS	T185_TS	T186_TS	T188_TS	T194_TS	T0_TE	T1_TE	T2_TE	T4_TE	T5_TE	T6_TE	T7_TE	T8_TE	T9_TE	T10_TE	T11_TE	T12_TE	T13_TE	T15_TE	T16_TE	T17_TE	T18_TE	T19_TE	T20_TE	T21_TE	T22_TE	T23_TE	T24_TE	T25_TE	T26_TE	T27_TE	T28_TE	T29_TE	T31_TE	T32_TE	T33_TE	T34_TE	T37_TE	T38_TE	T39_TE	T40_TE	T41_TE	T43_TE	T44_TE	T45_TE	T46_TE	T47_TE	T48_TE	T49_TE	T50_TE	T53_TE	T54_TE	T55_TE	T57_TE	T58_TE	T59_TE	T60_TE	T61_TE	T62_TE	T63_TE	T64_TE	T65_TE	T66_TE	T67_TE	T68_TE	T69_TE	T70_TE	T71_TE	T72_TE	T73_TE	T75_TE	T76_TE	T77_TE	T78_TE	T79_TE	T80_TE	T82_TE	T83_TE	T84_TE	T85_TE	T86_TE	T87_TE	T88_TE	T89_TE	T90_TE	T91_TE	T92_TE	T93_TE	T94_TE	T95_TE	T96_TE	T98_TE	T99_TE	T100_TE	T101_TE	T102_TE	T103_TE	T104_TE	T105_TE	T106_TE	T107_TE	T108_TE	T109_TE	T110_TE	T111_TE	T112_TE	T113_TE	T114_TE	T115_TE	T116_TE	T117_TE	T118_TE	T119_TE	T120_TE	T121_TE	T122_TE	T124_TE	T125_TE	T126_TE	T127_TE	T128_TE	T129_TE	T130_TE	T131_TE	T132_TE	T133_TE	T134_TE	T135_TE	T136_TE	T137_TE	T138_TE	T139_TE	T140_TE	T141_TE	T142_TE	T143_TE	T144_TE	T145_TE	T147_TE	T148_TE	T149_TE	T151_TE	T152_TE	T153_TE	T154_TE	T157_TE	T158_TE	T159_TE	T160_TE	T161_TE	T164_TE	T167_TE	T168_TE	T169_TE	T172_TE	T173_TE	T174_TE	T175_TE	T176_TE	T177_TE	T178_TE	T179_TE	T181_TE	T182_TE	T183_TE	T184_TE	T185_TE	T186_TE	T188_TE	T194_TE
2500000	-3726.99219892766	-44.6496357868358	-3066.36049209829	-615.982071042542	1.17703269445984	2.14347882477598	0.980051200719732	3.01872230444254	1.79338637458957	0.980170049889354	1.07247806250248	0.611944309815971	2.42426197297418	2.79505145570718	2.73777174327633	3.15750913587208	0.688578063385389	0.743678756579027	2.31837522966038	0.797466071052523	3	2	1.89538070246875	33.0637193486108	0	808.065350335524	33.0637193486108	27.8012544977416	31.6455812046007	24.0070979045644	28.9537697705062	20.2879976748582	27.4358994881447	22.6370669860401	23.2987990042432	19.7406327890622	21.4087877569637	21.7831644397339	19.2476960185089	19.3431481913628	21.0226561544881	21.3841210504447	18.5460974313397	17.9769270083688	17.1462818553521	16.5540529028577	16.0312147918781	15.5907741577588	15.9017817409255	16.5045869873689	14.8340296047781	13.3732653909918	13.8473537859652	13.1683153117603	13.8316810715866	11.8882279773095	6.71722467195251	12.2402626798925	12.8370098664318	12.6467201421709	11.364542525844	12.6144419251414	12.2306200588341	11.193960894066	11.1304063043373	10.6792713002952	10.4630561245065	11.9527100533483	10.510834602505	10.2378994372491	12.053075345053	8.07588000543602	9.49517654443111	9.25964088211844	8.78518245950975	8.51629287582358	5.0470877081279	9.66450865289359	8.55685233924626	8.55324952687845	6.45972539550502	5.74472524706214	5.70998406180878	7.01412757926126	7.63226177950988	7.52756448505184	8.94594471419897	5.79079412903807	7.99257562295713	5.77363062337017	6.956661442518	5.03736362717093	6.72959504233015	5.76149035570736	3.90527038958968	6.21670843080041	7.87423523576552	5.75124347266531	6.28601686600217	6.3554431184728	6.08468911655436	9.74615583542178	5.56823511633911	6.2220042848009	4.46346393688856	6.50710941562084	5.57500006398356	5.00363784315943	6.03240677153012	4.73748607137269	5.17249950257327	5.65458805246933	7.4844819005562	6.46315489163277	6.59791330923528	6.67536714489194	4.83918285155427	6.02264694444624	5.23701661402453	4.6049063491118	2.21713518431085	4.2120382060845	5.22926101308109	4.61430790935766	4.69222791408387	4.78045944895059	4.30689154587918	4.4500954236535	5.94473838284329	4.21827463024604	4.1743269292867	6.25976100322601	4.35820107756416	3.19082405593531	2.97805676776954	3.00189882393112	3.94758839301975	3.43072230910845	3.48980686061686	3.6841221267435	2.61976786946896	2.78736732802544	3.49066923515225	2.69795511181958	1.9130180207913	3.13112047980808	2.72573040995696	3.22552342757722	3.12653510238985	2.80775845078616	4.78677926924269	4.21015473051233	2.88687389246141	3.01490972253146	3.38320870145033	3.7067778006813	3.05868576404685	2.87268988653267	2.54057440002221	2.53612990296712	2.44803307107195	4.32036183239289	2.14556619181861	2.66662938793665	2.34259781854263	2.01846221401888	4.09259895191516	2.0794970957277	2.65975755037571	1.88934658145427	2.71242483478228	2.08869641233926	1.76216315984845	1.74282009419668	1.82824906641837	0.804248959226532	1.68469679068134	1.23146211606321	1.41309502618529	1.43925732625458	1.91217954168991	1.50660496940216	1.96229034544703	1.23859313731444	0.495328372790356	1.30096567236133	3.5844304674025	0.738704969887071	0.117917919133084	0.905035306096735	0.631407702621219	32.4171759586877	24.4351194936976	31.5748259682164	19.348845912421	18.5434868523668	19.1026282533726	22.525261184552	16.7348085124931	16.3404275564256	0	4.75429245938547	4.42438678282965	7.04271291486092	13.1482987247578	18.2758867539534	7.87854517550655	13.1457027824375	17.3341965504592	15.0012775898995	0	13.7046513014052	13.8572458325047	0.833377024338059	0	0	11.8534865581333	12.7091008838818	10.0201675223449	0.919991185417433	0	0	0	11.625249862825	9.0372189849966	0	4.66239306857338	0	0	8.87595273656929	9.6354620352841	3.10337909342531	0	0	0	3.38849634415374	0	0	0	0	0	4.40885256647097	0	0	0	0	5.59666808236423	1.9456477049955	0	0	6.89705897549201	0	0	6.18526837797058	0	0	0	5.04540181284894	0	0	0	0	4.175634918434	0	6.00154318631223	0	0	0	0	0	0	0	0	2.02304987156545	0	0.151842384523197	4.51055981860405	0	0	0.454574280905999	0	0	3.89382028544574	0	0	0	2.71589524842614	0	2.38286010442506	0	0	0.650916933680877	0	0.397189614932205	0	0	1.14715764915395	0	0	2.50461234853527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.42720011835959	1.39329124774679	0	0	0.240664701364072	0	0	0	0	0	0	1.82371515594027	0	0	0	0	0.222232943725454	0	0	0.844204866724257	0	1.3463218618274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2580000	-3732.39819801087	-50.0155679833728	-3059.4263121735	-622.956317853997	2.18015966253996	1.93406042136533	0.737119245394019	3.6762764116809	2.16358899726917	0.695147574719233	0.86030048011267	0.609035674783771	2.5536667318924	2.58444501202308	2.61875418041428	3.13569386475479	0.615259394112838	0.767130503679453	3.14002674618002	1.04476821603872	3	3	2.87758167956978	32.873670710029	0	817.020907736518	32.873670710029	29.9477983519943	31.8842239058596	23.8505025538234	29.0843119710333	20.6523384676151	24.9102405479731	21.6948289569418	22.4054052591948	19.708146208639	21.6216629560409	21.0218399427727	18.9604734260311	19.4530452440891	19.2463417363229	21.9330575984347	18.8313877660454	18.2568449560334	17.0534712351341	16.5797519949396	15.856824881996	15.9018543901173	15.3852240858002	14.5783043631742	15.5031777528055	13.1415259109193	13.2763887131617	13.4533202042161	13.196228551223	12.04799706101	6.60711959994689	11.5681670450928	13.7423377766427	13.0414839377218	12.1034662715153	12.1632603366222	11.7984083676543	10.7463837814832	11.2127862132892	10.4261345045153	11.7332034639601	14.1399264669764	12.127905060668	9.86450096130052	10.5593998860821	9.78750031505676	9.07368826670538	10.4243982329192	11.9188730902406	9.90307659683429	4.61980770071498	7.77717601782931	8.08446483977165	8.43488458796969	8.04941302385772	6.62391648224658	4.88084117764103	6.97985573637168	8.21047645240244	10.317169704505	7.5574937932158	5.22782780610519	6.93691675305897	5.60256393495595	7.32707088075242	5.78489741917874	6.00869422127411	5.93168947750106	3.96147708430529	6.03496558443485	4.90269936976814	6.19629285357223	6.19237815272559	6.65853962990767	6.06020827175752	5.69224642748545	5.36299904476451	6.59411310819301	4.67165160805891	7.71175387339529	5.51823143103264	5.65564022634174	8.57258696689705	6.49511623483701	6.16504237958462	7.56752811427198	5.52379795253752	5.44083831136342	6.19375064443529	5.05998604862658	4.50102562378893	5.71427434702229	4.63180717802489	6.0328930174763	2.3674291384492	4.62980468889469	4.96283669415507	4.52584447569814	4.57376483116439	7.87994837794509	3.93772763466248	4.54081666069325	7.09406136007242	4.09067081159772	4.13849425639146	6.35376722398753	4.9328152324449	2.83437018169656	2.85751592643656	3.49695528591417	3.5957878107376	3.45428184407738	4.28355758317991	3.56559632470645	2.54335706863136	3.45797599983422	3.1796207648597	2.75728009809132	1.92735237552332	3.35127176867949	2.58583790409869	2.81107886898929	2.86437670955187	2.91838266566721	2.08365019102059	2.80117213503908	4.27505562886254	3.02129377581503	3.25625655456764	3.54352332462076	3.18070059786016	2.63784488501671	2.93441921179417	2.4100717580748	2.31313884807715	2.64782107902173	3.96275899507086	2.10537395331084	2.51011560016482	1.47959258374838	2.27230956032836	2.36945812037284	2.33054892291158	1.68011701515242	1.95054530297978	2.75144787606907	1.71136904647766	2.42271649527437	1.57585247268874	0.776013362027927	1.74337179803216	1.62277766539356	1.17430127841682	1.42397984814087	1.67710575430838	1.36031915493757	1.45758618728254	1.44697613526531	0.260507178581393	0.726726756823743	0.968480900930881	0.792485901510739	0.246745397927188	0.88888363657246	0.945647921710659	32.3614967343004	24.6381406671248	31.5693143829618	19.4174839103759	18.6202904619319	18.2095484074205	20.4447169920858	16.6945095931346	15.9382224806721	0	4.72652499105001	4.34569492741374	4.57915299629061	12.0001618846271	18.6972547712412	8.60086532022585	12.8339531731851	17.6312649988061	15.4382854096091	0	13.7180809159804	14.0115617476727	0.218741847739345	0	0	12.1487225629848	12.7336792723946	10.0963517362584	0.756806005245664	0	0	0	11.5229115145881	5.80686315039569	0	4.62802840713869	0	0	8.52468918579619	7.68903899833265	2.58229712885782	0	0	0	3.15122838201008	0	0	0	0	0	4.17064447699199	0	0	0	0	5.42889772602153	1.70772111399269	0	0	6.51613204402079	0	0	6.70896010335832	0	0	0	4.65637796882739	0	0	0	0	4.12751270962791	0	5.48988204414933	0	0	0	0	0	0	0	0	1.8218974966951	0	0.00933117967091701	4.88568293288721	0	0	0.69829929418406	0	0	3.52163776200589	0	0	0	2.85547465070632	0	2.20128678058621	0	0	1.64968018992886	0	0.459560678166563	0	0	0.678520275634618	0	0	2.81045858447186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.50855332948051	1.01241750959886	0	0	0.761212374361975	0	0	0	0	0	0	1.89506204712674	0	0	0	0	0.912915399046151	0	0	0.54367181755758	0	1.58227556810371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2650000	-3721.29152453282	-44.3857638673767	-3058.41303215076	-618.492728514689	0.690633004199342	1.34216717678329	0.891534863428428	3.24559068016156	2.28185101178943	1.30761446228833	0.819838517314036	0.53094657800448	2.73456151080057	3.14813589598829	3.01300439837358	3.1145668355201	0.741759078948656	0.374935086080026	2.81354527335388	0.747193050973218	3	2	1.5237830469611	33.0502193996374	0	804.798054970795	33.0502193996374	28.2586092027276	31.7748695667819	24.8558700224035	29.0435796331456	20.0868641742138	24.5210253541367	22.1136440358994	22.6054638372987	19.6716341607311	21.3388333769314	21.882135784313	19.0689314140409	20.5023750669708	19.6689362742686	20.7284314970584	18.5357581737153	18.0197623021493	17.1890002838981	16.2760107927242	16.1597619457043	15.8509215640923	15.4276058647485	15.6127339567964	15.0446374916716	12.8103842723724	13.6354482372582	13.2258972491893	12.366335338968	13.5451984717546	6.33457818723446	12.9238618598881	11.8182269938757	10.5712894321129	11.9412446182938	12.4789124591726	10.9970142388093	10.668577294368	11.2223417549574	10.5695726378682	10.5184067644637	11.3069222187597	10.717386907243	10.7520646536125	9.82417797428258	7.53035471103269	9.09072893115611	9.64176439082252	9.04436519182665	9.51788591290355	5.22844528545414	8.0339079053966	8.07194688603844	8.32756922070353	6.40017757006704	6.31394703417093	4.82746401118668	7.33050184323595	7.860124466371	7.39261869492725	9.554853291596	5.57645118446167	6.85001895197009	5.63815259066405	6.90046552533984	5.25342440891315	5.63236378330186	8.07361097971336	6.80791853281179	6.3812267866497	6.22711799191943	5.51871976338736	6.36923984334938	6.88792011032517	6.1715949556472	6.39660918990813	5.89888880988153	9.96456194845439	5.14509887529052	7.85050936455228	6.63297360107779	9.09993953448585	6.57532631211742	5.84905848492395	5.69237006568871	6.6159289492419	5.52249591742445	5.85611419287511	6.56536531144292	5.66385636708532	5.02640943002554	5.9690748492462	4.40645931223509	4.98845766159687	2.64157724232204	7.84038709855802	7.74972479815993	4.69086148301902	5.64278364436842	4.49537782090787	4.80931322874643	4.32724675680903	5.25079868377988	5.00324506534702	4.19425658121247	4.00397354954802	5.886650007868	2.87567952004996	3.0008029965954	2.89199006320267	4.25443782887751	3.48223989299975	3.23191898874621	3.64033931997781	2.67113111170143	2.69037610029236	3.27604254612704	2.33390802033408	2.06538246675298	3.19202478165995	2.44101338322766	3.09124771378165	2.80022603417313	3.61534616480848	1.70619923636267	2.78908478389713	3.15496805862993	3.48218906243284	3.28352280435661	2.9556138801842	2.92646881313578	2.85180968180005	2.50452690891961	2.50758829616808	2.47394895715646	2.77849504271139	1.83057084411568	1.62090030124741	2.3890909136359	1.58926037364273	2.32779592636021	2.58032620773444	2.25353337855188	1.61628523081174	2.23900251215526	2.30576941759848	1.60185281168287	1.85023893379362	1.56757867141163	0.828987790855378	1.97323144575318	1.06239664261376	1.18700493458052	1.34279544693458	1.75850756322678	2.50176987852005	0.977747900121803	1.64886898114985	0.42844176395858	1.01347391656123	1.86815170531895	1.01910563784078	0.552612379534674	1.48434987777537	0.695672795833587	32.4170135691863	24.206241621675	31.5287568908657	19.4707120180746	18.525959965298	18.549523744533	22.4800251942026	16.8802160444285	16.385609624607	0	4.54252918497857	4.3959606737272	11.0187573979491	12.2619954156348	18.0451874019447	8.81228294936408	13.2840585475419	15.849764085637	15.3694443938049	0	12.0473218905623	13.299110945406	0.739291438777133	0	0	11.4596516827601	12.7823271731205	11.1607605293685	0.0649043343438538	0	0	0	11.6880269768387	8.97180661372432	0	4.57740840198207	0	0	5.72500773210942	9.82204147215563	2.97390583069047	0	0	0	3.30789784915359	0	0	0	0	0	3.66195991447243	0	0	0	0	5.50211655904897	1.51463557705385	0	0	7.3324094865712	0	0	5.25688747387582	0	0	0	5.05115507032678	0	0	0	0	4.16259026262465	0	4.23582312591536	0	0	0	0	0	0	0	0	2.09630665393974	0	0.150419626610491	4.537540885249	0	0	1.20218887905893	0	0	3.86576561137863	0	0	0	2.31258268817095	0	2.53495988486904	0	0	0.885135168776567	0	0.123385670261617	0	0	1.21896837750508	0	0	2.31799444962221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.56169136055873	1.27536285431518	0	0	0.544693781679517	0	0	0	0	0	0	2.13650962101681	0	0	0	0	1.17926608315738	0	0	0.844453864265489	0	1.36351878090531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2730000	-3699.0785303821	-45.6545154825606	-3035.3570438363	-618.066971063246	0.485071264141229	3.13767717635099	0.928163798728087	3.21378764206152	2.2024666758276	1.14920884148535	0.767427092754625	0.533730545165165	2.72265490282001	2.50593395486596	2.60926276949371	2.96140318698214	0.800123730961446	0.828201107264632	3.43120736847395	0.919671600208581	3	2	3.25406909641572	33.250480209774	0	802.553241919386	33.250480209774	29.8887336074454	31.7541852186689	23.4371900090097	29.0620037498027	20.4380330882844	24.6862560694926	22.0417273135341	21.9325863488276	19.6984171723191	21.327171062547	21.4596199782289	19.3832539936783	19.3869675021715	24.092711278211	19.7271631207537	18.6780105840997	17.8547897582706	17.0688801275379	16.4394728693544	15.981955196775	15.798528016225	15.4368728007476	14.7822513477786	14.7883265938175	12.5209846233951	13.3729012724962	14.2679504383834	12.4777612915262	11.7773707678112	6.61654589744521	11.2491726837589	12.108682652018	11.2366985770917	11.676235288556	11.9462592723271	10.9497119955961	11.196754365363	11.9329210049319	10.4112209073556	10.4494393374319	11.0680122285952	10.3856359353723	11.0578552423478	10.6823781600715	9.71368549342722	9.3446132415036	10.0233609621743	9.38471591226025	8.60618816051511	4.95323608376561	7.68977871911122	11.9293252829545	9.42534800139662	7.1934020469011	5.78228215940905	4.87338974564183	7.35743219343823	8.38182052715452	7.39660401445388	9.10959696584943	8.87095929790887	8.67154566818509	5.71299170407652	7.63787008767631	4.85878645379438	6.60224451595906	5.53934301448591	4.0771417217703	6.98318373014188	7.13493663990061	5.44572478289331	6.94148849941862	6.19162899974999	5.92112606215937	5.94283246042701	8.52974307990677	6.3934805566717	4.39870751491811	8.56088363356209	5.5262274206477	6.43218485746559	5.81190899960473	4.71640186544315	5.30571944365264	5.60883626616835	6.20751276060963	5.27161535920311	5.22512283181688	6.31948617366141	4.59871534012664	11.2299960303374	4.35033179024339	6.78990143191522	2.13494578292967	4.80337869637522	4.59149540406171	4.4405020703153	4.9238977332802	4.95032728501297	4.84129467350448	4.27445997844177	5.2912141798303	4.00888022309046	4.89202176416707	4.0733611953755	3.64970524607711	2.9316850762388	2.94028048034949	3.21089190201285	3.52268874895552	3.58516300926701	3.69098349049328	3.62423312028973	2.88516646465044	3.02333396533275	3.07777332312017	2.44397525901522	2.04640544626437	3.14445560532753	2.77674323779299	2.83182451464238	2.84565954683918	3.32973043521227	1.74908188632774	2.73379226723844	2.86352407815865	3.38582579082587	3.02359745464594	3.34480438447986	2.86316443826843	2.73454410916845	3.36855474317504	2.53660838424544	2.35092228223241	4.8883168834811	2.16982112890077	1.73568126580613	2.29184659789848	1.58238237372723	2.24460312926745	2.00856090727643	2.11436438392597	2.2928029385967	2.04544329440643	1.91050241275571	1.69884565609807	1.7335800587255	1.4676770913246	1.15733241178289	1.62879329927422	1.07923534333304	2.88517547124674	2.86198101858025	1.76408999951441	2.26595093035101	1.3546248985484	1.80092931387449	0.513053792265917	1.30144880146958	1.1043889130799	1.23034026141703	0.0764046521086259	0.805073111483038	0.746511112623689	32.1634746546239	24.4823050743668	31.570564089514	19.5123596112528	18.451374273222	18.905035124049	22.0256869990939	16.6370822271142	15.480326685474	0	4.69471581847222	4.26986256918891	10.5860029096121	13.247049000954	18.6703655991364	6.61672764663798	13.422161162691	17.8230072023845	15.2115355592023	0	13.3354736671748	14.0150135843141	0.239343700536161	0	0	11.6073744692687	12.745820386315	9.39028180859646	0.938766904565775	0	0	0	11.2627263597906	9.03720705063118	0	4.05678988715283	0	0	6.78435976282794	10.3953025798242	3.09117810095203	0	0	0	3.40875644811209	0	0	0	0	0	4.34975759050574	0	0	0	0	5.6784641337948	2.07559993713	0	0	7.25799899546142	0	0	5.49739600870163	0	0	0	5.04207192965938	0	0	0	0	4.00023990123173	0	6.16663107248801	0	0	0	0	0	0	0	0	2.00232156547887	0	0.232660787244987	4.45696556020928	0	0	1.15740136626314	0	0	4.01945441774691	0	0	0	1.62721401672337	0	2.54783280671638	0	0	1.34472964825406	0	0.127109681434935	0	0	1.3559092260484	0	0	2.80606910335035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.02774608964794	1.34080937203235	0	0	0.734897548226834	0	0	0	0	0	0	1.80771991796842	0	0	0	0	1.11692065687383	0	0	0.313854647141355	0	1.53504777709108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2800000	-3716.09140771998	-35.0604035175951	-3053.41329526062	-627.617708941769	1.27083571933623	2.90819955980329	1.90039618811592	3.28811810161705	1.77140270383569	0.874170288984191	0.935174676084162	0.581444326750936	2.51512101454428	2.69854030859	2.35357008160817	2.58282147090014	0.599375189047628	1.03986363665416	2.36936206260828	1.016987742709	2	1	0.934658848687387	33.0975762276152	0	808.142363927295	33.0975762276152	27.4892184487724	32.5738548644315	24.2009344748398	29.1755158082851	20.8955644897584	24.8038392148257	21.8416487975929	22.0562321225496	21.0533992485616	21.6043186635603	21.5906658684456	18.8357588406344	19.374005027353	19.8093831141252	20.2483788850177	19.3522832680319	17.9159096365654	17.0528251032021	16.8719139785224	16.142945873667	16.1645299791001	16.2763851078396	14.9172346082616	14.9735019806943	12.1935985870345	13.3293878319077	13.9949161621063	12.6393897391822	12.0591686040143	8.43126494774181	12.4302560990085	11.7905195065363	11.5056111189974	11.7899725402476	12.0063495722462	11.271034045464	10.4671154569006	11.3893226459724	11.3731963476943	10.3609185190996	11.7197705250178	10.6511565758545	13.1448228950179	10.3728730711364	9.64885085775369	9.43613343725911	9.80707973324188	8.74897409310698	10.2491920904863	4.56894140173856	8.44550738381292	8.40677276014338	8.4303089336406	6.67176365089719	6.73320596837545	5.18965858191776	7.58284478679238	8.36660078704393	7.44533447373265	7.63889721152935	5.08136371996327	7.24120936396191	6.24958291917256	7.08229375510496	4.72198481664778	7.09007173691124	7.55333813771921	4.0954713527121	6.53453374110806	6.21631085387157	6.16535533797032	6.39348138235076	8.06292463098975	6.14967146936448	6.34669416850367	6.10369038573544	5.95201487305946	4.71472845938797	9.19738400809103	5.77473694765514	6.20999965095818	5.18627307828805	4.7582564913967	6.92471965632163	6.4185633375073	7.61220191671897	7.04926886800399	5.79169295548821	5.55765254474321	7.03553165318052	6.50818596878431	4.83515176966629	5.0872090786133	2.1346819818468	4.76218314071487	4.9720273488638	4.44426433970512	4.88908101836187	4.67506467730407	4.26314619540027	4.37380830766931	6.64132474332537	4.00512045008587	4.13730437310402	4.04331897727707	7.10041093824741	3.1196704311507	3.51412463935303	2.86192949859793	3.61776798438725	3.38437718334257	4.00109686550757	3.58760837599269	2.67984606662576	3.29065801679609	3.13222342628353	3.15026636770319	1.7453685948215	3.14866597879729	4.41196921904946	3.35923941580615	2.70950580216726	2.75104881265843	2.51528686110267	3.19722800843028	3.12289859574792	3.00339421084394	3.445879034853	3.25457623605393	3.37323671058286	2.95695548957289	3.0098096421981	2.68971677241352	2.18221232533297	2.91112580803935	1.86330742256065	1.65270905983701	2.73730608872497	1.40543826326366	2.71409706440576	2.10637599548159	2.42463244316748	1.68031470552323	1.82690762297896	2.02668658900423	1.98881907147529	2.84056844742481	1.52304127000929	0.700984171625664	1.95673886907028	2.03197722155441	1.61624133435802	1.42013316945195	1.32175077206434	1.59074397804045	1.28674743012185	1.54221144171158	0.253138392135475	1.17770711542706	1.16543464675621	0.604588384441667	0.337590770740316	0.905867213379537	1.47009199791495	32.2329404375579	23.9071500887517	31.4193668670726	18.762676640289	18.4301075427075	18.8995713539221	20.6805040012835	16.6008650067294	16.0131925655705	0	4.65870430059777	4.44204652879674	11.0028746698469	12.4843429426055	18.6468128751103	8.21053423756767	13.5570251249417	17.6683856121583	15.4256924886007	0	13.5638934911808	13.3898838655426	0.204153325446849	0	0	12.1751485655866	12.5338816287332	10.6476323310169	1.09879967157757	0	0	0	11.6322965578153	8.97667857380345	0	4.42489838429876	0	0	5.28183499127557	10.3363003282925	3.03653811833585	0	0	0	3.73488616162628	0	0	0	0	0	4.45727240977647	0	0	0	0	5.11127831043235	1.89591401126887	0	0	5.88509491159387	0	0	6.55780326449579	0	0	0	5.00774934735192	0	0	0	0	4.1848415005357	0	6.05800022134295	0	0	0	0	0	0	0	0	2.15887431777145	0	0.143142395013652	4.81983074968935	0	0	1.26835591361274	0	0	3.72000834510096	0	0	0	0.794095482118877	0	2.44648288922045	0	0	0.437697894001732	0	0.726245965744343	0	0	0.760098786585158	0	0	2.69920974561935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.63328182191073	1.34299988554034	0	0	0.501572276438619	0	0	0	0	0	0	2.02281634464102	0	0	0	0	1.29724625411783	0	0	0.304098867117712	0	1.59566230664605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
