feature1,feature2,feature1_state,feature2_state,posterior_probability,magnitude_effect,magnitude_lwr_CI,magnitude_upr_CI,shap,lwr_shap,upr_shap,delta_lik,lwr_delta_lik,upr_delta_lik,rank
NMDS1,none,none,none,0.993,58.37921959971411,0.6765660532121588,208.69485479911933,0.28190391671420933,0.11092175016082588,0.44668345331275777,-239.4227597533115,-480.01748379792383,-38.469095105729366,1.0
NMDS2,none,none,none,0.787,2.828537130403065,0.07875193691010134,7.705243875157211,0.10329554086826896,0.04360112573019302,0.16956410404678066,-70.52457279343363,-145.75078054275662,-12.83609025775445,7.0
PVR1,none,none,none,0.791,1.9662083565823973,0.12003139720220207,4.602371243408396,0.12458235607816723,0.05520786587428457,0.21046935558547417,-101.24800464419603,-214.77186608499596,-17.52295331413586,4.0
PVR2,none,none,none,0.798,3.700218751086857,0.03233530584086042,11.097131424972387,0.12019563592136226,0.044205671466479024,0.2127884102190258,-92.70842065757206,-188.07739888696204,-17.430973306952126,5.0
Geography,none,Africa_America,none,0.776,0.8187079515193085,0.024425369274311312,2.2024859019000886,0.22031848174078264,0.12486771101467557,0.3494709437910741,-132.0407671006627,-240.25139962470416,-43.40538552736848,3.0
Geography,none,Africa_Eurasia,none,0.867,0.6040270793595691,0.03143762592841081,1.3126544582289796,0.22031848174078264,0.12486771101467557,0.3494709437910741,-132.0407671006627,-240.25139962470416,-43.40538552736848,3.0
Geography,none,Africa_Island,none,0.951,0.366120962058499,0.008602196803010642,0.9823387861670543,0.22031848174078264,0.12486771101467557,0.3494709437910741,-132.0407671006627,-240.25139962470416,-43.40538552736848,3.0
Geography,none,America_Eurasia,none,0.569,1.0070700976703186,0.1071476768372749,2.09568791288695,0.22031848174078264,0.12486771101467557,0.3494709437910741,-132.0407671006627,-240.25139962470416,-43.40538552736848,3.0
Geography,none,America_Island,none,0.858,0.6517096342376332,0.012701655509142318,1.6491739688459122,0.22031848174078264,0.12486771101467557,0.3494709437910741,-132.0407671006627,-240.25139962470416,-43.40538552736848,3.0
Geography,none,Eurasia_Island,none,0.844,0.735097398838575,0.07395975461213608,2.0683312159604323,0.22031848174078264,0.12486771101467557,0.3494709437910741,-132.0407671006627,-240.25139962470416,-43.40538552736848,3.0
temp,none,none,none,0.805,4.1160791512140085,0.05194940366987586,14.156373042652445,0.10762503057804251,0.048732682085596044,0.17687657144894992,-33.830535471570634,-66.80643812202607,-4.892472188020065,6.0
grassland,none,0_1,none,0.76,1.6927716843952132,0.2752164486562692,3.550907594492655,0.05357273875882476,0.016386873557419055,0.10561899512272435,-106.31917041387965,-262.78566215487155,-8.686668592859519,8.0
time,none,none,none,0.999,31.058016815611804,0.8703149038070279,98.04131584488977,0.1839068146065975,0.06632536152975664,0.2878234210061079,-225.51012309546607,-447.49612693041826,-15.097951081973235,2.0
NMDS1,NMDS2,none,none,0.721,0.08193791288858385,0.0006789689406195499,0.28640992708426694,0.09648169067241233,0.03244316390742519,0.16962752951748963,-53.72339085950558,-161.33042340968382,28.74787116257278,5.0
NMDS1,PVR1,none,none,0.6,0.08454340359801117,0.001001904761865283,0.2741301946360719,0.11117647565029598,0.04428162221745603,0.2047069971310085,-68.6028028835973,-210.80653535599458,39.299835117369526,3.0
NMDS1,PVR2,none,none,0.743,0.09041359414970396,0.0005018135659752335,0.27454476980119064,0.09346305411594046,0.029994375125482364,0.16271625284865535,-45.26808308491511,-172.6133776787808,66.9354816781796,7.0
NMDS1,Geography,none,Africa_America,0.749,0.19708331399929174,0.00035910511322959055,2.7330744676569076,0.15641948003251824,0.05498228563245481,0.28042482813324204,-46.05531096925517,-154.96836221654172,46.42680602372735,2.0
NMDS1,Geography,none,Africa_Eurasia,0.777,0.051593132071864015,5.807209214371555e-06,1.5491404825374087,0.15641948003251824,0.05498228563245481,0.28042482813324204,-46.05531096925517,-154.96836221654172,46.42680602372735,2.0
NMDS1,Geography,none,Africa_Island,0.675,0.7350264749474484,4.420399930259466e-05,2.7697045623628767,0.15641948003251824,0.05498228563245481,0.28042482813324204,-46.05531096925517,-154.96836221654172,46.42680602372735,2.0
NMDS1,Geography,none,America_Eurasia,0.582,3.9096085623445487,0.007926041121508456,50.99831842438471,0.15641948003251824,0.05498228563245481,0.28042482813324204,-46.05531096925517,-154.96836221654172,46.42680602372735,2.0
NMDS1,Geography,none,America_Island,0.592,1.0153144900312008,0.008798238361095565,5.275676056635042,0.15641948003251824,0.05498228563245481,0.28042482813324204,-46.05531096925517,-154.96836221654172,46.42680602372735,2.0
NMDS1,Geography,none,Eurasia_Island,0.612,0.8303347979246218,0.014818166458230727,2.4165065514963633,0.15641948003251824,0.05498228563245481,0.28042482813324204,-46.05531096925517,-154.96836221654172,46.42680602372735,2.0
NMDS1,temp,none,none,0.582,0.0948607801699427,0.0007503022244483628,0.328828694952673,0.0958237343025012,0.03012808778803172,0.16984060070597506,-21.16451789163921,-69.34168719898418,20.20942555785109,20.0
NMDS1,grassland,none,none,0.709,5.5958248773493695,0.01125552058917044,99.2811188443605,0.03831339804496136,0.013281051274364557,0.0713034916834271,-33.55192438009223,-121.81221735338568,38.560943805134684,17.0
NMDS1,time,none,none,0.991,0.07806764223081863,0.0004574940089728385,0.25456047604600607,0.1457499746074413,0.024151541018525617,0.26228721278980494,-99.99940961414393,-219.86954860719084,1.5758400715508287,1.0
NMDS2,PVR1,none,none,0.7,0.6612773338763243,0.014535853794150535,1.6916118351357599,0.06676986873517697,0.029201145406193722,0.11752778870290805,-41.12336461921487,-111.53122947252291,14.302542681981777,12.0
