	ts	te
T0	35.0	30.1
T7	31.36	22.68
T8	31.21	25.84
T11	30.74	21.77
T12	30.66	26.83
T13	30.63	23.67
T14	30.16	0.0
T15	30.16	24.92
T16	30.0	24.22
T17	29.89	0.0
T19	29.64	24.43
T20	29.22	0.0
T21	28.95	25.49
T23	28.45	26.33
T24	28.36	22.25
T25	27.68	26.91
T26	27.68	24.43
T27	27.56	24.99
T28	27.38	9.96
T33	26.05	24.56
T37	25.5	24.86
T38	25.45	19.45
T48	24.31	23.46
T49	24.29	23.54
T51	24.23	19.8
T52	24.08	21.93
T53	24.01	20.72
T54	23.99	21.11
T56	23.26	20.78
T57	23.25	18.93
T58	23.01	20.73
T60	22.76	0.0
T61	22.75	21.81
T63	22.57	8.91
T64	22.29	0.0
T65	22.07	15.2
T66	21.93	21.07
T67	21.61	18.61
T68	21.34	7.57
T69	21.32	17.08
T71	20.96	18.3
T72	20.95	19.25
T73	20.9	17.7
T76	20.08	18.41
T78	19.81	13.54
T79	19.52	16.79
T81	18.77	18.14
T82	18.65	6.21
T83	18.44	9.25
T84	18.37	0.0
T86	17.88	15.69
T87	17.76	16.14
T88	17.76	14.0
T91	17.05	14.89
T92	17.0	13.81
T93	16.9	8.11
T96	16.69	1.57
T98	16.38	14.83
T99	16.25	6.99
T100	16.01	0.0
T101	15.97	13.87
T104	15.6	13.83
T106	15.3	0.0
T107	15.28	10.09
T108	15.25	0.0
T110	15.15	0.0
T111	14.81	0.0
T112	14.74	13.95
T113	14.31	3.9
T114	14.29	12.75
T117	13.98	12.22
T118	13.98	6.63
T119	13.16	10.55
T120	13.08	0.0
T121	12.94	5.84
T122	12.89	4.71
T125	12.79	10.67
T129	12.64	11.17
T130	12.57	11.29
T131	12.5	6.96
T132	12.5	0.0
T133	12.49	7.04
T134	12.13	8.19
T135	12.08	8.76
T137	11.81	0.0
T139	11.74	0.0
T141	11.47	7.95
T142	11.41	2.65
T143	11.29	0.0
T148	10.88	0.0
T150	10.43	0.0
T152	10.4	8.99
T153	10.35	6.77
T154	10.05	0.0
T155	10.03	0.26
T156	9.82	7.33
T160	9.48	6.23
T161	9.42	0.0
T162	9.37	2.88
T163	9.33	8.14
T165	9.32	0.0
T166	9.1	6.43
T167	8.87	7.87
T168	8.86	2.56
T171	8.84	8.02
T173	8.39	7.22
T174	8.29	0.0
T175	7.61	0.0
T180	7.02	1.41
T181	7.02	0.48
T182	6.93	1.43
T183	6.78	2.28
T184	6.55	5.76
T185	6.52	0.0
T186	6.47	2.77
T187	6.44	0.0
T188	6.35	4.99
T190	6.3	3.91
T191	6.16	0.0
T192	5.92	0.0
T195	5.72	0.0
T196	5.7	4.73
T197	5.63	3.73
T198	5.49	0.0
T200	4.73	0.0
T201	4.66	0.0
T202	4.46	0.83
T203	4.36	0.0
T204	4.25	0.0
T205	4.21	1.32
T207	3.97	2.33
T212	3.66	0.0
T213	3.57	1.42
T214	3.47	0.0
T216	3.4	0.0
T217	3.25	0.0
T218	3.21	0.99
T220	3.14	0.06
T221	3.11	0.0
T223	2.71	0.0
T225	2.6	0.0
T226	2.52	0.0
T228	2.28	0.0
T229	2.21	0.0
T231	1.95	0.42
T232	1.92	0.0
T234	1.72	0.0
T236	1.58	0.0
T241	1.37	0.0
T243	1.33	0.0
T244	1.18	0.43
T246	1.1	0.0
T247	1.08	0.0
T250	0.74	0.0
T251	0.49	0.0
T253	0.35	0.0
