	ts	te
T1	34.54	16.79
T3	31.89	25.94
T4	31.56	28.76
T5	31.0	28.43
T6	30.57	19.13
T8	27.61	6.31
T9	26.98	26.21
T10	25.9	19.99
T11	25.66	23.28
T12	25.4	19.9
T13	25.24	15.54
T15	24.77	22.95
T16	24.3	15.1
T17	24.24	6.42
T18	23.41	22.36
T20	22.82	22.66
T21	22.76	21.74
T22	22.72	17.48
T23	22.54	16.36
T24	22.51	20.01
T25	22.47	21.84
T27	22.2	20.36
T28	22.09	20.94
T29	22.03	21.61
T30	21.89	20.44
T31	21.85	19.09
T32	21.76	18.7
T34	21.61	19.78
T35	21.51	10.92
T36	21.36	18.56
T37	21.16	4.22
T38	21.07	20.26
T39	21.01	20.14
T40	20.93	20.28
T41	20.93	17.79
T42	20.8	18.18
T44	20.53	6.63
T45	20.51	18.77
T46	20.51	0.0
T48	20.2	10.05
T50	19.66	12.49
T52	19.43	18.08
T54	18.94	16.92
T56	18.66	18.02
T57	18.65	13.86
T60	18.42	12.17
T61	18.25	12.07
T62	17.71	16.04
T63	17.7	2.01
T64	17.69	14.37
T66	17.44	13.27
T67	17.38	13.47
T69	17.13	10.49
T70	17.03	14.46
T72	16.84	10.85
T74	16.67	15.14
T75	16.43	15.81
T76	16.33	14.77
T77	16.33	14.78
T78	16.31	8.65
T79	16.26	16.24
T80	16.23	15.8
T82	16.1	0.0
T83	15.96	0.0
T84	15.83	15.51
T88	15.13	14.24
T89	15.02	0.0
T91	14.96	5.09
T92	14.86	13.71
T94	14.53	9.34
T95	14.25	0.0
T97	14.16	0.41
T99	13.98	0.0
T100	13.89	8.04
T101	13.84	6.15
T103	13.73	7.92
T105	13.67	9.57
T107	13.55	8.4
T108	13.55	10.08
T109	13.53	9.19
T110	13.46	12.72
T111	13.45	10.08
T112	13.43	6.9
T113	13.19	1.79
T114	13.16	8.78
T115	13.07	0.0
T117	12.89	12.04
T118	12.74	9.44
T119	12.68	11.47
T120	12.6	10.8
T121	12.58	0.0
T122	12.32	5.77
T124	12.05	11.53
T125	11.96	9.53
T127	11.91	11.0
T128	11.84	0.0
T133	11.24	0.0
T134	11.24	6.25
T140	10.77	1.78
T142	10.62	0.0
T143	10.61	4.08
T144	10.26	5.46
T147	10.14	0.0
T148	10.13	7.95
T149	10.13	2.12
T153	10.02	0.0
T157	9.65	4.33
T163	9.07	0.62
T165	9.01	0.0
T166	8.79	6.52
T168	8.52	3.41
T171	8.26	4.68
T173	8.13	6.56
T174	7.89	0.0
T176	7.75	2.72
T179	7.41	1.4
T180	7.34	5.02
T184	7.12	4.5
T185	7.09	3.22
T186	7.01	5.18
T187	6.86	1.36
T189	6.66	0.0
T190	6.65	0.0
T191	6.53	0.0
T192	6.53	2.75
T193	6.48	0.0
T194	6.35	0.08
T195	6.34	2.68
T196	6.32	0.63
T197	6.17	0.0
T198	6.11	3.67
T200	5.93	3.3
T201	5.75	3.57
T202	5.71	0.0
T203	5.63	0.72
T204	5.57	3.83
T205	5.56	5.03
T208	5.32	4.58
T209	5.32	1.9
T210	5.23	4.86
T214	4.97	0.0
T217	4.84	3.74
T218	4.84	3.05
T219	4.75	0.0
T221	4.5	0.0
T222	4.48	0.0
T223	4.25	0.66
T224	3.73	1.25
T225	3.71	2.14
T228	3.41	1.2
T229	3.38	0.0
T231	3.11	1.48
T232	2.62	2.5
T233	2.45	0.0
T235	2.36	0.0
T236	2.34	0.0
T237	2.32	0.0
T238	2.31	0.0
T239	2.26	1.9
T240	2.22	1.66
T241	1.9	0.0
T242	1.9	0.0
T243	1.77	0.0
T245	1.68	1.16
T246	1.67	0.0
T247	1.56	0.0
T248	1.42	0.0
T249	1.31	0.91
T252	0.92	0.0
T253	0.91	0.0
T254	0.73	0.0
T255	0.53	0.0
