	ts	te
T0	35.0	31.22
T1	32.76	21.53
T3	30.65	26.0
T4	29.95	19.96
T5	29.88	16.68
T6	27.38	15.82
T7	27.34	15.55
T8	27.18	20.16
T9	26.86	12.72
T10	25.9	20.49
T11	25.4	20.45
T12	24.93	23.12
T13	24.18	21.87
T14	23.64	22.03
T15	23.34	14.22
T16	22.64	11.07
T17	22.55	0.0
T18	22.52	18.11
T20	21.03	12.42
T21	20.84	18.34
T22	20.81	0.0
T23	20.64	18.48
T25	20.02	17.03
T26	19.2	8.8
T27	18.88	16.34
T28	18.68	15.72
T29	18.67	16.3
T30	18.66	8.78
T31	18.64	15.53
T32	18.52	0.0
T33	18.26	14.26
T34	18.24	17.54
T35	18.04	0.0
T36	17.3	0.0
T37	17.22	14.72
T38	17.1	11.81
T39	17.03	12.67
T40	16.99	16.61
T41	16.9	9.21
T42	16.73	13.49
T43	16.72	12.54
T44	16.53	0.0
T45	16.5	0.0
T46	16.32	6.54
T47	16.3	0.0
T48	16.16	7.51
T49	15.88	4.6
T50	15.84	13.95
T51	15.8	11.91
T52	15.64	2.46
T53	15.61	0.0
T54	15.47	13.35
T55	15.44	0.0
T56	15.25	0.0
T57	15.24	7.34
T58	14.76	9.46
T59	14.64	8.3
T60	14.37	0.0
T61	14.32	10.66
T62	14.26	10.8
T63	14.07	7.99
T64	13.95	0.0
T65	13.77	12.49
T66	13.45	0.0
T67	13.41	12.35
T68	13.4	6.61
T69	13.33	0.9
T70	13.24	0.0
T71	12.88	7.11
T72	12.63	0.0
T73	12.5	9.05
T74	12.37	6.08
T75	12.31	7.29
T76	12.25	1.79
T77	12.22	8.6
T78	12.07	5.71
T79	11.85	11.16
T80	11.84	2.54
T81	11.62	5.8
T82	11.58	10.41
T84	11.38	7.51
T85	11.37	2.5
T86	11.25	6.56
T88	11.16	0.68
T89	11.15	0.0
T90	11.14	7.73
T91	10.67	3.31
T92	10.6	8.52
T93	10.25	5.42
T94	10.24	6.94
T95	10.15	0.0
T96	10.14	0.0
T98	10.04	4.28
T99	9.75	7.23
T100	9.69	0.0
T101	9.52	0.0
T102	9.42	1.51
T103	9.35	0.0
T104	9.29	0.0
T106	9.0	2.1
T107	8.89	3.6
T108	8.63	0.0
T109	8.61	3.23
T110	8.59	0.39
T112	8.28	4.1
T113	8.25	0.0
T114	8.11	0.0
T115	8.1	0.0
T116	8.03	0.0
T117	7.99	4.91
T118	7.94	3.92
T119	7.85	0.0
T120	7.74	0.0
T121	7.68	0.58
T122	7.61	0.0
T123	7.58	3.71
T124	7.55	0.11
T125	7.5	0.0
T126	7.47	5.77
T127	7.39	0.38
T128	7.28	6.1
T129	7.23	0.0
T130	7.12	0.0
T131	7.06	0.0
T132	7.05	4.99
T133	7.04	0.0
T135	6.74	5.25
T136	6.64	0.0
T137	6.51	4.55
T138	6.49	2.49
T139	6.46	4.12
T140	6.38	5.36
T141	6.34	3.54
T142	6.29	0.0
T143	6.25	0.0
T144	6.09	0.0
T145	5.99	0.0
T146	5.94	4.74
T147	5.63	0.99
T148	5.48	0.0
T149	5.39	0.0
T150	5.34	1.98
T151	5.32	0.0
T153	5.18	2.82
T154	5.15	3.54
T155	5.08	0.0
T156	5.07	0.0
T157	5.01	4.57
T158	4.71	0.0
T160	4.54	0.45
T161	4.42	1.1
T162	4.42	0.0
T163	4.4	0.0
T164	4.39	0.0
T165	4.37	3.71
T168	4.22	0.0
T169	4.03	0.0
T170	3.79	0.0
T171	3.73	0.0
T172	3.73	0.0
T173	3.67	1.8
T174	3.63	3.25
T176	3.23	2.56
T178	3.19	0.0
T179	3.16	0.0
T180	3.15	0.0
T181	3.15	1.73
T182	3.05	0.0
T183	3.05	0.0
T184	3.0	0.0
T185	2.99	0.0
T187	2.95	0.0
T188	2.88	0.99
T189	2.85	0.0
T190	2.8	0.0
T191	2.78	0.0
T193	2.77	0.55
T194	2.71	0.0
T195	2.56	0.0
T197	2.44	0.0
T198	2.31	0.0
T199	2.26	0.0
T201	2.12	0.0
T202	2.05	0.0
T203	1.88	0.0
T204	1.82	0.0
T208	1.59	0.0
T209	1.5	0.5
T210	1.44	0.0
T211	1.37	1.02
T212	1.37	0.0
T213	1.34	0.0
T214	1.34	0.0
T215	1.32	0.0
T216	1.31	0.0
T217	1.3	0.0
T218	1.24	0.0
T219	1.12	0.0
T220	0.98	0.42
T223	0.84	0.0
T225	0.77	0.0
T226	0.69	0.0
T227	0.66	0.0
T229	0.59	0.0
T234	0.44	0.0
T241	0.24	0.0
