	ts	te
T0	35.0	26.52
T1	33.31	32.62
T2	31.0	30.73
T3	30.04	21.81
T4	29.82	16.91
T5	29.6	15.67
T6	28.28	6.59
T7	28.12	2.49
T8	27.25	16.9
T9	25.9	18.85
T10	25.66	9.67
T11	25.51	20.74
T12	24.5	3.91
T13	24.31	12.35
T14	23.96	16.92
T15	23.07	16.6
T16	22.87	21.57
T17	22.51	19.38
T18	22.34	0.0
T19	22.21	20.55
T20	22.15	0.97
T21	22.08	20.43
T22	21.86	10.43
T23	21.61	21.31
T24	21.56	3.48
T25	21.36	15.25
T26	21.06	4.07
T27	21.04	18.48
T28	20.33	9.5
T29	20.09	11.28
T30	19.86	14.66
T31	19.83	17.11
T32	19.67	18.77
T33	19.14	18.78
T34	18.85	16.23
T36	18.7	5.52
T37	18.67	10.73
T38	18.65	0.0
T39	18.62	17.67
T40	18.59	14.14
T41	18.53	12.51
T42	18.5	14.76
T43	18.46	13.19
T45	18.02	13.15
T46	17.95	16.16
T47	17.73	6.55
T48	17.63	11.44
T49	17.18	6.58
T50	16.98	13.12
T51	16.69	11.76
T53	16.25	0.0
T55	16.02	5.27
T56	16.02	14.28
T57	15.94	0.0
T58	15.89	11.2
T60	15.46	0.0
T61	15.44	7.18
T62	15.13	14.14
T63	14.89	11.88
T64	14.83	2.84
T65	14.82	9.62
T66	14.46	9.42
T68	14.32	0.0
T69	14.29	9.27
T70	14.13	13.42
T71	14.03	13.37
T73	13.87	0.0
T74	13.83	13.2
T75	13.52	9.29
T76	13.51	11.6
T77	13.45	9.41
T78	13.39	4.08
T80	13.05	12.2
T81	12.95	12.06
T82	12.9	0.0
T83	12.89	0.0
T84	12.84	9.54
T85	12.68	5.56
T86	12.59	0.0
T87	12.55	6.73
T89	12.48	3.76
T90	12.2	10.44
T93	11.99	0.0
T94	11.95	3.12
T95	11.82	5.93
T96	11.8	0.0
T97	11.79	0.0
T98	11.76	7.08
T99	11.73	7.88
T100	11.61	6.79
T101	11.58	0.0
T102	11.28	0.0
T103	11.28	8.0
T104	11.13	6.84
T105	11.12	3.0
T107	10.93	8.38
T108	10.93	0.0
T109	10.9	2.13
T110	10.88	0.0
T111	10.74	8.59
T112	10.68	2.24
T113	10.68	8.95
T114	10.67	7.32
T115	10.47	6.35
T116	10.3	0.0
T117	10.09	0.0
T118	10.02	8.47
T119	9.81	8.12
T120	9.69	0.0
T122	9.62	0.0
T123	9.56	0.0
T124	9.51	3.22
T125	9.4	7.05
T126	9.25	0.0
T127	9.12	0.0
T128	8.8	3.15
T129	8.79	4.68
T130	8.66	0.0
T132	8.42	4.43
T133	8.12	0.0
T134	8.11	0.0
T135	8.06	0.0
T136	7.96	0.0
T137	7.88	7.4
T138	7.77	0.0
T139	7.76	5.93
T140	7.65	5.9
T141	7.59	2.91
T142	7.3	0.0
T143	7.11	0.0
T144	6.95	0.0
T145	6.91	2.89
T146	6.89	0.0
T147	6.84	2.47
T148	6.72	5.58
T149	6.67	6.5
T150	6.63	0.0
T151	6.6	0.0
T152	6.5	0.0
T153	6.45	0.0
T154	6.43	0.0
T155	6.36	0.0
T156	6.34	0.0
T157	6.29	0.0
T158	6.26	0.0
T159	6.23	0.0
T160	6.2	4.34
T161	6.07	0.82
T162	6.02	3.48
T163	5.89	0.0
T164	5.87	0.65
T165	5.84	2.98
T166	5.83	0.0
T167	5.75	0.0
T168	5.71	0.0
T169	5.52	0.0
T170	5.51	0.0
T171	5.36	0.0
T172	5.3	0.0
T173	5.24	3.14
T174	5.2	0.0
T175	5.03	0.0
T177	4.97	0.0
T178	4.85	0.0
T179	4.79	1.15
T180	4.68	0.0
T181	4.67	0.0
T182	4.53	0.0
T183	4.44	0.0
T184	4.3	0.0
T185	4.26	2.75
T186	4.12	2.89
T187	4.11	0.0
T188	4.09	0.0
T189	4.08	0.0
T190	4.08	0.14
T191	4.04	0.0
T192	4.0	0.78
T193	3.93	0.0
T194	3.86	0.0
T195	3.84	0.0
T196	3.79	2.26
T197	3.77	2.03
T198	3.66	0.0
T199	3.63	1.75
T200	3.58	0.0
T201	3.5	1.51
T202	3.43	2.04
T204	3.38	0.0
T205	3.33	0.0
T206	3.3	0.0
T207	3.23	0.0
T208	3.16	0.0
T209	3.16	0.0
T210	3.1	0.0
T211	3.07	0.0
T212	2.95	0.0
T213	2.85	0.0
T214	2.84	1.53
T215	2.82	0.21
T216	2.81	1.11
T217	2.77	0.0
T219	2.64	0.0
T220	2.61	0.0
T221	2.45	2.12
T222	2.35	0.0
T223	2.33	0.25
T224	2.27	0.0
T225	2.21	0.0
T227	2.1	0.0
T228	2.08	0.0
T229	2.02	0.0
T230	2.01	0.0
T233	1.57	0.0
T234	1.51	0.0
T235	1.43	0.0
T236	1.42	0.0
T237	1.41	0.0
T238	1.39	0.0
T241	1.25	0.0
T244	1.1	0.0
T245	1.09	0.0
T246	1.06	0.0
T248	1.02	0.48
T249	0.99	0.0
T250	0.99	0.0
T251	0.93	0.0
T255	0.72	0.07
T259	0.64	0.0
T260	0.6	0.0
T262	0.56	0.0
T263	0.53	0.0
T264	0.52	0.29
T266	0.07	0.0
