feature1,feature2,feature1_state,feature2_state,posterior_probability,magnitude_effect,magnitude_lwr_CI,magnitude_upr_CI,shap,lwr_shap,upr_shap,delta_lik,lwr_delta_lik,upr_delta_lik,rank
cont_trait_0,none,none,none,0.952,5.58268278468677,0.3323345856023319,12.059117428970211,0.04910913342445652,0.022003512820182987,0.07436074410753879,-70.11350677649015,-135.23191046609168,-19.833845115724102,2.0
cat_trait_0,none,0_1,none,0.9093333333333333,1.3206719388558916,0.8674686658445036,1.843144539765966,0.031445011832240584,0.012982618117949183,0.05429098356914191,-34.51625001320819,-71.69289539957572,-4.357110813428903,5.0
pvr_0,none,none,none,0.7733333333333333,1.5172221740353562,0.49420959894205874,3.1036162907202827,0.0455237320602375,0.015475010918492021,0.07796051794908439,-69.68857830195735,-157.1668858671776,-9.922556481578908,3.0
pvr_1,none,none,none,0.696,1.3532299962599545,0.34073362052807776,2.5444757597478005,0.03556097480732399,0.013486201127878957,0.05942401011891501,-44.056869510016156,-98.35186036063453,-6.0611435755103,4.0
time,none,none,none,1.0,8.197147246815927,2.7354350238571286,17.25529272818834,0.0599319258413163,0.030240542367380243,0.0862562495844246,-101.52734986255713,-177.80276841221712,-32.64485883337136,1.0
cont_trait_0,cat_trait_0,none,none,0.9506666666666667,2.9554435380068815,0.02960567104874514,32.860773600010326,0.036809308643461575,0.007864557279201278,0.8416216787929741,-20.07016427435765,-54.062053713953105,10.434484379517016,8.0
cont_trait_0,pvr_0,none,none,0.7266666666666667,0.35916434315754986,0.02409942540087121,0.9122262980892639,0.05707001658178125,0.017244219433793548,0.7022695132968263,-37.1045664036939,-98.44251354208689,8.7867655034795,1.0
cont_trait_0,pvr_1,none,none,0.884,0.29494247662448414,0.03439627399990449,0.7017068630626877,0.05414217121799036,0.012900388114267702,0.733253814151301,-25.105132916202432,-65.84263376301851,6.425942482135042,4.0
cont_trait_0,time,none,none,1.0,0.1256186209016095,0.021487100342501383,0.2607130476711458,0.035475408296866934,0.007211851684871099,0.683048274430736,-33.63441272447084,-67.97215227740105,-4.466198584515723,2.0
cat_trait_0,pvr_0,none,none,0.92,4.016845096593075,0.0014081112278522489,44.141490207546724,0.040275163934732065,0.007884571856510154,0.7562851610116397,-24.96429629932512,-76.83767328907925,15.652762733967506,6.0
cat_trait_0,pvr_1,none,none,0.832,3.0510115208852637,0.0006078893180035459,38.616824312292785,0.0324891724670661,0.00814387027975388,0.5668212529669578,-12.215900241860105,-46.48851648834989,16.357413214216763,10.0
cat_trait_0,time,none,none,0.6186666666666667,0.8628543934409072,0.005117624662845723,7.174819515372517,0.7268358337717018,0.0023580244249866438,0.7803004401637387,-21.445760436332446,-48.20334865047721,1.0917726462409973,7.0
pvr_0,pvr_1,none,none,0.6426666666666667,0.7814102198162755,0.10875325690594789,1.6667541577830491,0.05011013371687076,0.011321033306124504,0.7278797798295371,-32.07931861398447,-92.32957667788924,8.737656395176145,3.0
pvr_0,time,none,none,1.0,0.14362741685368616,0.010652047442032235,0.3015575042328071,0.03338882546235307,0.007031304700796606,0.6053937870027188,-31.567861009601117,-67.25293691986667,-1.4746115016845351,3.0
pvr_1,time,none,none,1.0,0.1740067895159509,0.04855517144024377,0.33730402326653913,0.025950203639691076,0.007180136278450525,0.635521618900324,-16.00375210849291,-50.627757430136285,12.715656699291912,9.0
