it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	q_4	q_5	q_6	q_7	q_8	q_9	q_10	q_11	q_12	q_13	alpha	hypQ	k_birth	k_death	RJ_hp	root_age	death_age	tot_length	T1_TS	T2_TS	T4_TS	T5_TS	T7_TS	T8_TS	T10_TS	T12_TS	T14_TS	T16_TS	T17_TS	T18_TS	T20_TS	T24_TS	T25_TS	T27_TS	T30_TS	T31_TS	T33_TS	T35_TS	T37_TS	T39_TS	T40_TS	T41_TS	T43_TS	T45_TS	T46_TS	T47_TS	T48_TS	T49_TS	T50_TS	T54_TS	T56_TS	T57_TS	T59_TS	T60_TS	T61_TS	T64_TS	T66_TS	T68_TS	T69_TS	T70_TS	T74_TS	T75_TS	T78_TS	T79_TS	T80_TS	T81_TS	T83_TS	T88_TS	T89_TS	T90_TS	T92_TS	T93_TS	T95_TS	T96_TS	T97_TS	T98_TS	T100_TS	T101_TS	T103_TS	T104_TS	T106_TS	T108_TS	T109_TS	T110_TS	T111_TS	T112_TS	T114_TS	T115_TS	T116_TS	T118_TS	T119_TS	T120_TS	T122_TS	T124_TS	T126_TS	T128_TS	T131_TS	T132_TS	T133_TS	T134_TS	T135_TS	T138_TS	T139_TS	T140_TS	T142_TS	T144_TS	T145_TS	T146_TS	T147_TS	T148_TS	T149_TS	T153_TS	T156_TS	T157_TS	T159_TS	T161_TS	T162_TS	T163_TS	T165_TS	T166_TS	T168_TS	T169_TS	T171_TS	T172_TS	T176_TS	T177_TS	T180_TS	T181_TS	T182_TS	T183_TS	T187_TS	T191_TS	T192_TS	T193_TS	T194_TS	T195_TS	T196_TS	T198_TS	T200_TS	T1_TE	T2_TE	T4_TE	T5_TE	T7_TE	T8_TE	T10_TE	T12_TE	T14_TE	T16_TE	T17_TE	T18_TE	T20_TE	T24_TE	T25_TE	T27_TE	T30_TE	T31_TE	T33_TE	T35_TE	T37_TE	T39_TE	T40_TE	T41_TE	T43_TE	T45_TE	T46_TE	T47_TE	T48_TE	T49_TE	T50_TE	T54_TE	T56_TE	T57_TE	T59_TE	T60_TE	T61_TE	T64_TE	T66_TE	T68_TE	T69_TE	T70_TE	T74_TE	T75_TE	T78_TE	T79_TE	T80_TE	T81_TE	T83_TE	T88_TE	T89_TE	T90_TE	T92_TE	T93_TE	T95_TE	T96_TE	T97_TE	T98_TE	T100_TE	T101_TE	T103_TE	T104_TE	T106_TE	T108_TE	T109_TE	T110_TE	T111_TE	T112_TE	T114_TE	T115_TE	T116_TE	T118_TE	T119_TE	T120_TE	T122_TE	T124_TE	T126_TE	T128_TE	T131_TE	T132_TE	T133_TE	T134_TE	T135_TE	T138_TE	T139_TE	T140_TE	T142_TE	T144_TE	T145_TE	T146_TE	T147_TE	T148_TE	T149_TE	T153_TE	T156_TE	T157_TE	T159_TE	T161_TE	T162_TE	T163_TE	T165_TE	T166_TE	T168_TE	T169_TE	T171_TE	T172_TE	T176_TE	T177_TE	T180_TE	T181_TE	T182_TE	T183_TE	T187_TE	T191_TE	T192_TE	T193_TE	T194_TE	T195_TE	T196_TE	T198_TE	T200_TE
2500000	-3078.53979170372	-50.8134515123437	-2526.81767580784	-500.908664383534	2.61260517228848	3.32324810635248	3.20442816670274	8.18568878044804	2.38515575649501	3.04128928860856	2.33664403031758	6.21717817281518	1.31207036511167	6.91815219912647	1.20990265563215	5.17446003487881	7.46589574017303	4.8942629094994	1.05674601547478	0.382962542385996	2	2	2.66030716242202	34.0720085968374	0	453.100916867728	34.0720085968374	33.2724865558397	32.2618063830191	33.2266586955322	32.7406072753591	32.5346568593611	30.5839999014393	27.4436617038308	26.8170331598565	27.2380058098386	27.6474187833304	27.6016699133175	26.234055965134	27.3757322139229	23.627934487419	27.5271301710495	27.190455242216	26.1258311728426	25.6836356150158	26.2903322175026	26.0392747075859	25.3742499750338	25.7163086955588	24.6773859308064	24.9088905769767	24.8100637301782	24.7666101087013	24.7758020976559	24.688895685713	23.9786655810881	23.0250851460454	23.4290872344313	23.0615397517676	22.8608625205531	22.8016618329326	21.9089359372561	21.9064895937188	20.1684636429288	15.4790558759212	20.1230866386765	19.9080123155618	19.9890529852345	17.4563546092623	18.7751889867835	16.8080801516016	16.6036000562911	16.5128642212899	16.0368578019953	15.446640880046	14.3121099901465	14.5978033113298	14.6220929064471	13.9740132672032	14.5929584531652	11.5115655385824	12.5099832425319	12.6864467178792	11.4689830576194	11.3153276543652	10.3834598457806	10.3511311134939	8.85305084161579	10.0824107989224	8.35708723068875	8.9333414207749	9.77534960297506	9.87096826437638	9.34600371445719	9.3387718384314	6.91538398536594	8.71163814298827	9.07761218808578	8.97915063525137	8.90428136763111	8.73161745209748	10.3868497657269	9.90094006573039	4.3255180573408	6.37166767617178	7.60410418468995	7.16000170005377	6.64471927403968	5.58419741844738	7.45866503652433	6.7241432005789	6.7130776640589	6.58254498416206	6.1712328294925	4.7641723658834	6.29415873616064	3.42068062866094	2.97865707583394	4.85411643807871	2.48773095445292	4.45815772749252	4.53443971089965	4.70203733302879	3.81295815890728	2.84240600387132	2.80517736242601	1.43277298932323	2.22702388387413	2.06107298475269	2.005811030036	2.0985412000506	0.377014691953732	1.55468396681414	3.38466667988972	0.396615055840043	1.43204056727075	1.34743778573554	2.38411792810579	0.941678852743954	0.314166233070402	1.17105314890889	0.131022607968091	0.426035223721898	0.423260607221666	0.486634535649556	0.436256169891647	0.155519691025226	33.893525333448	33.2402150936819	29.4294770636957	30.3077970669869	26.0420951654623	29.3971250943896	27.5393818690551	26.0131063697222	15.5237428253057	26.8707672513091	22.0935449644957	21.9790718278077	24.725396726598	25.5473257041139	23.4684797047631	25.3632081888625	21.1211434841188	26.09862163766	25.5409382262749	23.6850283608908	14.9695006682898	25.0271073388507	0	21.9836015539925	24.4296580309753	23.3162964936785	24.4954139093669	22.791791553665	23.5997877612949	23.6338676684368	22.270558059316	22.5595983995641	0	20.8967951434813	15.1702266200331	20.0670566356202	6.75346090930219	0	14.7623042847562	18.8056204833978	19.2860848802086	17.4512725818289	0	6.7194921664889	16.578044397276	0	12.0193033200362	0	11.1696722789536	4.55952542752728	1.65440983682532	2.73658831198445	0	9.33781994728221	5.05877800628946	5.78374992576128	8.38495738024778	10.9377274710913	10.8765155372384	10.252218871471	8.55278803741911	8.04078086153009	5.85597716652203	7.3498735093637	4.81650810939911	4.14436915153904	8.24445956648986	9.00385131886327	8.86627420711648	6.90489320612706	8.55947847718029	0	8.65020167402644	8.65811207855336	8.66671209366606	5.18278597104037	0	0.583252187375206	5.30977615325658	6.8373442400844	2.35320205048458	0	5.54727195839605	1.40902768899637	5.8510288821102	0	0	5.97276787967474	0	5.12415854312541	2.65311321837806	2.67243028429584	4.58702355063584	0	3.42815084593251	0	2.32110162589621	0	1.39223772538145	0.570230525917012	0	0	0	1.61907797906758	0.846903687351928	0.319411257223428	0	0.29022036970562	0	0	0	0	0	0	0	0	0	0	0	0	0
2580000	-3098.58832887536	-51.5289553033048	-2542.35285493455	-504.706518637512	3.53011553154152	2.06812763114953	2.37284542372094	7.24116548903401	1.7988413518939	2.64323566140561	2.84664539663014	6.86585442859619	1.52576262129737	7.78763609069425	1.59286615001156	4.99678750465271	8.7836109629395	8.051146214681	1.21870099077991	0.309234574270291	2	2	2.67284491005321	33.971471887332	0	458.298061736503	33.971471887332	33.3324613285358	32.2131780930518	33.323550021729	32.8352186302209	33.5641103140059	30.3806337993608	27.4529899670879	27.313616264877	27.583191395964	27.9828662755737	27.9948169819592	26.7146119139929	27.2816168225677	23.6517033246133	27.4187568492333	26.8539450143333	26.1685949668651	25.8927213125483	26.0236558098504	26.1498386039555	25.6654487773611	25.6422327297744	24.7885628347175	24.9777107089449	24.4705822686356	24.8798130566565	25.0673510726287	24.4048637743816	23.9146250258239	22.8534192073172	23.8688661567071	23.7249833094041	22.9453722700764	22.5845154683184	22.2889176722094	21.9980418990277	19.6533425932741	15.396236270725	20.1399710520206	19.8896412650172	19.5454625596164	18.1068249248901	18.3848865479468	16.5992209626884	16.718104984809	16.5197506851788	16.9095358730957	15.5712515473932	13.6692101934194	14.3756037552354	14.4029493559611	14.4338482355119	14.2093487889383	13.4749078339795	13.6199866564805	12.9726422469499	11.5095538063165	11.1603939618913	10.4133523264984	10.4765309296317	8.89838965690643	10.298069481823	8.7074332606952	9.5856921024697	9.47631117469618	10.0402634881188	9.10956926216058	9.86602532486829	7.04696892902747	8.68251590692658	8.24848140103516	8.79586778506056	8.74969030936873	8.74027144641367	8.66847865312097	9.1169590708232	2.588296237034	6.41886001695468	7.31174723197888	7.95087805757118	6.72719387786345	5.58023418384053	6.41797884437703	6.30220849687023	6.68142020002606	6.50525222736988	6.12089999823423	5.47883096243028	6.39360816520303	3.36528482206479	2.93673423754572	5.1470098231646	2.59663271080219	3.90233006677326	3.89787881891528	3.86746708705192	4.14710392260138	2.83082088156237	2.98891093273014	1.78028746845485	2.16502796623254	1.7706714815278	2.06532505436468	2.35941083369179	0.362089658006584	1.86492318734828	2.20840735390207	3.0919381589993	1.85831715790506	1.07238352586414	1.07122003450744	0.935140845362312	0.363793565898223	0.406738351918228	0.155977217617191	0.449104135222372	0.445941071470458	0.587342625545925	0.307614669643665	0.132693069561052	33.8354318819394	32.6544724647567	29.6644787325283	30.6973496764558	25.7546552939734	29.2889338750755	28.028676758	26.0840603935087	14.9210162903236	27.0605785287042	23.202540801471	21.5537125736294	24.7983953559516	25.3040796657586	23.5819753658829	25.0231671400086	20.6677144433234	26.0664970262454	25.3076965869589	23.4500340207769	14.9851762728119	24.8322045911897	0	22.3966517486522	24.6205958409476	23.3938282870915	24.5822871140832	22.6952380743887	23.5491321604035	23.6199159332833	22.2839920249484	22.7550200373212	0	21.1298585456426	14.3483461165031	20.005607970664	6.78999119232608	0	15.0772526917315	18.7971521874846	19.290449297985	17.9044686607	0	6.34908473560381	16.5869287213044	0	12.4402993752547	0	11.2336995935905	4.35837592345646	1.67149228633645	2.06809661213082	0	11.0555917589246	4.0814639350688	5.72867523974785	8.86829679773562	10.0215623793621	11.1014820826111	10.2660484194841	8.83263092348542	8.69461790372369	6.29505922535892	7.62568870805855	3.79319521117123	4.50562815192095	8.12277523644565	9.05693676332524	8.87385871847656	6.76950606436889	8.62163646606837	0	8.27459486868012	8.65190295615068	8.58812674186812	4.78243107966325	0	0.139688682511799	5.18737593007171	6.74024101980462	2.68024941920259	0	5.37540497764183	1.17706743870227	5.75916144043671	0	0	6.06978285725228	0	4.12164156869533	2.0357068479907	2.77686323711524	4.81115495214513	0	3.06891649416748	0	1.48927496062244	0	1.33250471998356	0.473727861813233	0	0	0	1.61325670283848	0.674607491301835	0.299047289556831	0	0.528271525470946	0	0	0	0	0	0	0	0	0	0	0	0	0
2650000	-3129.65804700061	-53.3940230787612	-2561.04752592785	-515.216497994	1.64679036969531	2.82581648241857	2.32023030167612	5.6231048543229	1.92542051650853	2.61474619139556	1.61703607900565	4.87267034657167	1.31069413810363	6.4336851068002	1.40829124474391	4.12782599840418	7.60740642316309	5.7787058775222	0.975429282467445	0.366527882619327	3	2	2.08603763983627	35.3642750552211	0	470.757548111321	33.9280235990456	33.6943866865729	32.6128214103504	35.3642750552211	33.012574162448	32.4739653162207	31.2749073059246	27.6447192247566	27.620890855519	27.2556898882182	29.2634441729961	28.8758350019257	26.2349318558073	27.3839729926029	23.8487231591754	27.5800972193427	26.2264391438596	26.1390090092767	25.6157091775314	26.0544882880338	25.8455364404259	25.5559647286206	25.3980872138073	25.4350206157325	24.7904090866941	24.5723244242157	24.9520774482297	24.5834621030625	24.7926486416244	24.1344334566019	24.2612003915298	23.4969063702467	22.9196773142553	23.0521768843707	22.8980640590158	21.8725422331903	21.9916855379349	20.2980807556206	15.3965283665206	20.2064809148571	19.8878158540761	19.3410913615004	17.6615721064034	18.1603095343149	16.6015423665224	17.8172246861419	16.6200766718385	16.307455959381	15.6588071885688	14.0360537936885	14.5718003706993	14.6257680817086	13.7944384282254	14.1629816375635	13.1129958094561	12.3319152929057	13.0739438522463	11.4096968057096	11.1373195531838	10.3513811295349	10.4362598788468	8.81089403186526	10.1118518944511	8.47970135868227	9.18277848189866	9.81238835271585	9.6347543121446	9.14905105342502	9.60324077835294	6.91418920685029	8.84273624783839	9.50056146127317	8.73582380926282	10.068520031545	11.4957188190274	8.645133114011	8.75071688644774	2.95095419233994	6.37649212380349	6.96438502325372	7.14424522973273	6.36983252427475	5.66072523872353	6.54302779807476	6.38224575694419	6.6917256393125	6.51375123554948	6.11646019516478	6.99930822457357	6.71181107696863	5.08691399916849	2.91367740754141	4.85282401296694	1.78511873608681	3.77849094366772	3.38447084021898	3.80582452083051	3.31927261547906	3.05972687463497	3.14057556218294	2.3179883386138	2.3962011685953	2.01745567038672	2.23093303481944	2.4603341262016	0.390083707680842	1.51999145540161	2.75390040819603	0.416820861777944	2.53891053426419	0.981507562114569	2.56051448229954	0.673218696909258	0.252369353999094	0.395738117157327	0.385860638734245	0.390940534638195	0.551277079831469	0.600315946330749	0.573828334589506	0.312722456023416	33.8409775657792	32.2737667031468	29.5712991818695	30.6270387740498	25.9284615148637	28.9399222365008	27.9446027460333	25.7210994136325	15.0270647972578	27.2078001342221	22.759048061806	22.0337899544982	24.6762405148756	24.8576971428062	23.5587678106062	25.405839115477	21.0374297985703	26.0131207797607	25.4684412208183	23.1708230829534	15.084883933007	24.481637870532	0	22.0685120674021	24.4194298005537	22.6671064624133	24.6597762114327	22.3561053794825	24.1815968284329	23.604970052875	22.186249725876	21.9356614779051	0	21.1420884281981	15.4701559372972	20.3504724175587	6.63194278257812	0	14.8121432423148	18.7974095663962	19.2721751792671	17.9723294341497	0	5.94532468298998	16.5475943882154	0	11.7650795272333	0	11.0784587896879	4.00908756887995	1.48891548661528	2.81780984337623	0	11.3263824557854	5.22942746101217	5.54158229747054	9.35288606046439	11.2933361288473	11.1151337205789	10.2437332213489	8.84899865087751	8.38037261565589	6.07017910776785	7.65332811033418	3.16737582649456	4.5177255974772	7.71249183753969	8.88105875665253	8.30387171167286	6.90350492407443	8.06172076178931	0	8.49050012980962	7.53797084078574	7.72884826227871	4.10756382829458	0	0.468064597903235	5.40148582584348	6.84618252103829	1.42149732533465	0	3.63529232809295	2.61136020012993	5.80828663634073	0	0	5.86585269171886	0	3.95061350983905	3.33573080783924	2.21551878638289	4.80502434976991	0	3.51638887865476	0	2.37746477461943	0	1.37995643886788	0.788673648365092	0	0	0	1.57181215917262	0.897495007874861	0.248450883532491	0	0.488653569899574	0	0	0	0	0	0	0	0	0	0	0	0	0
2730000	-3122.71491147101	-52.2985792580789	-2560.29284368295	-510.123488529988	1.55546129962341	2.17076995061123	2.14743743867995	4.86514759967326	1.82219838516723	2.53512588455307	1.83421930566385	5.06235369415481	1.49402221082436	5.74581488920939	1.6126013458356	4.46823399639621	7.75402594662273	4.55985910713547	0.719223988256215	0.380630666371423	2	3	1.45662722479924	33.938591953115	0	469.461453210967	33.938591953115	33.2674172166446	33.2616376869883	33.7607214343158	32.6362537304897	32.7464848665599	31.8930557354352	28.0484660899752	26.9503848346849	27.3116486429898	27.7172677301542	28.6093961383496	26.4230339465743	27.7309782856936	23.749619671714	27.3256543639653	26.6553700424261	26.5460098856642	25.8470594046499	25.8984055589009	25.9541663183409	25.5573054760858	25.7254826782923	24.7447284384619	24.9768797496417	25.017763215792	24.856327324657	24.7932725929165	24.4444097724377	23.8861939609693	23.888756884693	23.4342354050923	22.7887763923294	22.9378306919007	22.4251318455252	21.9003080203362	22.0405197914363	19.6492672644446	15.4693003794115	20.1036397199606	20.0297770484634	19.7093103645027	17.21511626865	18.1410823490461	16.7776922296666	16.6653502999434	16.6163806525911	16.1641539083544	15.2067116775193	14.9085910146372	14.8966074134336	14.3124087172294	14.6849332162793	14.2255220343415	11.437453318675	12.1359539332874	12.5806170854322	11.5483585536482	11.4298370929636	10.6609559555795	10.889038690425	9.29175570113207	10.1938804990229	8.24910510739534	9.29104934231571	9.42400579791336	9.52177803982408	11.2367082723396	9.29380320573603	6.9190933932975	8.80299566625873	8.27874520863431	8.94768050468364	8.90667948806086	8.97654538774311	8.77859267232909	8.69649900842757	2.80837414898546	7.47914976263267	7.23342481034819	9.64029962861078	6.42338827105154	5.57280604948623	9.38055133103678	6.24280426980715	6.65812650620171	7.03516277431569	6.18597014733789	8.98617614942347	6.21481225704211	4.4348250430192	3.47621772970315	4.87827555097534	1.93806616619942	5.06915419334629	4.47419106999712	4.76815588723677	4.06622271737422	5.81411438204202	2.877211963255	1.61262851045993	2.21963557202188	1.8007219889498	2.58008680423552	2.5042035745616	0.505163757595246	1.62660924723216	3.63233732232842	0.469885704663125	1.32760397146404	1.58382124255841	1.07949862181511	0.712207297003844	0.281447255518733	1.08223413989328	0.305693492137857	0.404682066687298	0.520166874214273	0.506546647114222	0.251247918742663	0.117538099156748	33.8488060208639	33.1021346394766	29.5877958640625	30.4011725196745	26.0393221270676	29.3147535998144	28.0576743116606	26.1603172309319	15.6057446597397	26.979591834576	23.1114175903805	21.8936733931197	24.4676814372749	25.5433868243238	23.3984506176843	25.3909897908383	21.1758181003032	26.072056703968	25.4360878651707	23.061184817958	15.165099315106	25.0779875816973	0	21.9036691305847	24.4518145418105	23.2784980065724	24.589718173369	22.5350125456019	24.2432460620963	22.8555517283561	22.4277655830936	22.4179977647983	0	21.0117787881187	15.2448110663797	20.3590855413872	6.56219353596201	0	14.4120023041098	18.7250986967243	19.1442584612229	17.9633604066904	0	6.68921431653008	16.5805658945807	0	12.129277073371	0	11.0792860513532	4.67323846811791	1.37890804207125	2.82008343853544	0	10.9991487547348	3.80851614881632	5.2074490285313	9.14166959621312	11.2790309356555	11.1060863052463	10.2661103841271	8.79960453463398	7.80142442375768	6.25401052622656	7.52389514912261	4.80337477171329	4.16108180952624	8.35146058318424	8.35847811470501	9.08420898290363	6.86851938885666	8.32268337795939	0	8.56873620867567	8.58836203306097	8.48151463564398	3.73345102706219	0	0.671294131651999	5.06710952991189	6.89958222247277	2.6548485150312	0	5.55850448082644	1.13483405769195	5.88065382773746	0	0	6.0143946772979	0	5.13264429161234	3.30338621157139	2.77812268577021	4.46130230432812	0	3.36152306092413	0	2.62147360554794	0	0.632655776112568	0.00290821402292474	0	0	0	1.46850880087403	0.926681989905192	0.330194829949366	0	0.499487567887279	0	0	0	0	0	0	0	0	0	0	0	0	0
2800000	-3120.07703648004	-44.9785259593821	-2555.89518411728	-519.203326403376	1.74110487216065	2.0421166117507	2.40254190917915	5.31546706420703	1.55028621125282	2.23810296574123	1.98422993543596	5.34079560757552	1.58886644059166	6.01436583035814	0.691275881450663	3.91335329422644	6.4769632510295	7.26183827590112	0.784895204216397	0.354322033572741	2	1	2.4184185212008	34.3308885208202	0	469.87194546361	34.3308885208202	33.3277463292234	32.3845971364199	33.7559954319985	32.7714229018279	33.1949797102713	30.3626310017253	27.589613585185	27.6170175668076	27.617471729104	27.6511402688665	28.3743930848469	26.7106489035694	27.3830512550544	23.6341148899791	27.5642143323862	26.2491161817437	26.446377409478	25.6165496213715	25.9605357367817	25.7313901223162	26.0026957712742	25.6763281158261	25.1998584707134	24.98636112296	24.5476304470973	24.6882059335977	25.3670452331249	24.5314775124636	23.9491531172348	23.3210742728477	23.4466374488257	23.3417703153399	22.957437347036	22.8540006798769	21.9624447442151	21.664315976331	22.6468018096333	15.9400328941867	20.2098337009512	19.9201339765831	19.3001777517868	17.3221772668077	18.0330089674822	16.7728024312202	16.4750830691268	16.5944967374369	16.2220910802086	15.2753621957247	13.707251619205	15.3776994987807	14.9208473020355	13.7863323522268	14.9498907830927	11.0088810276972	12.201672607831	13.8942448310256	11.5401848670321	11.2393777099605	11.2784133409754	11.9554754950455	8.89890222554358	10.5712234216954	8.34026155358423	9.78933984843792	9.59331792018117	9.36764090493467	9.17255432800763	9.43412204644452	7.48553094465629	8.68379740729902	8.38187453052674	9.53911487619195	8.81030047560677	8.72835022818036	9.20683450363039	9.19399976881369	2.56996959660387	6.52765205032127	6.94209297298193	7.73525386947011	6.36415208719005	6.31487353688981	6.54199620860143	6.37111401643522	6.65911043179029	6.5088663364929	6.18143107269806	11.2430531176278	6.85155344319845	3.47698208980195	2.9367686971127	4.88976354390968	2.07245854329195	3.72789260346169	3.62196465791105	4.70657826133321	3.26011627593217	3.1272543883321	3.49919152916784	1.51266026107676	2.49686027337887	4.08796596934866	1.79018438100014	2.28112143588922	0.360995591166096	2.6540330974245	1.79822974727303	2.18785812507143	1.28083686014268	0.966753339166977	1.32974420910193	0.855288560250354	0.358094864474414	0.346623171383887	0.400837057036309	0.394901534726737	0.629466787711819	0.445651916076081	1.0584750293701	0.171828259232119	33.6942860996856	32.8234785444578	29.6680364589784	30.0394832844184	26.0451458372565	28.9649464458336	27.5619719926457	26.1309670525383	15.0836535862778	26.6613400142654	23.107904736466	21.7810586593457	24.548887615296	25.5442143992366	23.4947372023805	25.2621685073953	21.1382206338924	25.9860918323118	25.5359790844286	23.6700227531996	15.1744528705742	24.9856273511984	0	22.2207297282805	24.4910404743683	23.3797522514162	24.6183417706873	22.8331111024351	24.2773407967782	23.5993411652573	22.0716407528378	22.5510291963094	0	20.8745446245872	14.9022885359431	20.0845832607676	6.80031682827084	0	14.8031285450406	18.7981894736546	19.2648720283073	17.9276087888775	0	6.47872929855429	16.522726091162	0	11.9472847440797	0	11.2617743940297	4.44665404482291	1.71377375812763	2.59647342105156	0	10.3836687193437	5.18093755332244	5.26150496402831	8.48440385887788	10.9617000067153	10.337000529335	10.2669169385914	8.71671839189101	8.04735551617294	6.27199469891721	7.29312440559332	4.14176120470248	4.44964153365534	8.45376851642491	7.89347064720107	9.08541884714342	6.74336802441634	8.17757247607438	0	8.63953510046055	8.63972643922779	7.35857749026244	5.50358164338003	0	0.709558100016194	5.3892593763991	6.93533049452443	1.95010800331119	0	5.12853407141845	1.53010524055281	5.46515154282319	0	0	6.01392006681715	0	4.62124762489052	3.34422177628633	2.84798911358362	4.79466010035913	0	3.35307683713652	0	2.37141379001042	0	0.663105053807868	0.447370310665209	0	0	0	1.54492719412657	0.889465991005547	0.340549890469557	0	0.206632743908343	0	0	0	0	0	0	0	0	0	0	0	0	0
2880000	-3152.00937385762	-56.9134089816977	-2580.66733507712	-514.428629798806	1.80002546556739	3.12921958916767	3.79066269412551	11.7773506020855	1.81267777775882	2.73948731467304	2.35711384299878	6.31340867079348	1.46145755629827	6.57888923684599	1.18827541994771	5.10643919282774	8.85091688797198	7.98741985526355	0.882757067631292	0.373753537695754	2	3	2.26866848331885	34.0228004944564	0	473.238040032164	33.916846753035	33.9969764637801	34.0228004944564	33.653900722158	32.6253633356127	32.9062662635001	30.3522165304622	27.9591700970394	27.6974252763184	27.2276044968169	28.1481740468164	27.5497877699577	26.7749805369965	27.3064934131674	23.8046673730423	27.6507938325804	27.0414863953477	26.2386360802351	25.6615022094042	26.9560490521377	25.8123117978985	25.3959242184588	25.5861684090049	25.0592400388319	25.2667270397646	25.7599957983641	24.8883336554703	25.0001103489582	24.6199113562734	23.9265504471724	22.8592907495622	23.6610331965335	24.127229805328	23.2143892674705	23.2877928894742	23.4975649575271	22.9382779665939	19.3589910127964	15.5467667760186	20.2599151091267	20.1905597410186	19.4641993936548	17.1688137563731	19.6114787775728	16.6439818996125	16.6233448702079	16.6424853713145	16.301585965556	15.386499697642	14.9415979515802	14.9975688665287	14.7132842504967	13.8879975990441	14.8462037095555	14.1387276177463	13.7847826859641	13.1252569106804	11.3547493577287	11.2740346389349	10.8338958465637	10.3885575011432	9.09711585325577	10.5054142332534	8.4104377905389	9.43918061006861	11.0579866778866	9.42346485407257	9.34286169911271	9.31542053163079	6.99049672291572	8.81665673409681	7.90822655055344	8.90321022529245	8.82467660549183	8.8263585358969	8.56402217603289	8.44512956410693	3.11060636029825	7.5159366167734	7.02018430514931	7.16853878307896	6.36143216161904	5.57842629080808	7.01325398887141	6.25200604632443	6.79266482403235	6.54090347499931	6.46580227106075	5.08298850958574	6.38671750780656	3.45550986890064	3.09147075748705	5.6268832723206	3.21951242833454	3.59453053149618	3.7380362573091	3.79872369365945	5.16873201346462	2.95758514134516	2.89895883636484	2.49047330959099	2.03672731179243	2.61050657744762	2.11180974496816	1.99126315540473	0.532410464600834	2.10282760649851	2.28111061695509	0.457647848240546	1.27428480613866	1.33225140084276	1.12625575342139	0.916988016744393	0.295026352950554	0.473359871101272	0.158661585769522	0.446971789526233	0.519027301830635	0.71231450937229	0.226037405753675	0.464410112908878	33.6499166938624	32.707601381925	29.6863345064874	30.8083581490283	25.9410263644985	29.41727808105	28.0886534254812	26.1533111506569	15.1230485508847	27.1321678122672	23.281919512812	21.3706986756831	23.6960267681751	24.8091244289332	23.5267116592676	25.3238827796971	21.1089025487478	25.8539449085131	25.3919761864405	23.7014507698323	14.9819945441175	25.1676773129649	0	21.9324540234204	24.702278415478	22.6047766216472	24.6752776033873	21.9734721525544	23.1990902058851	23.6144339721388	22.1384973353763	22.6595274835697	0	20.1500034177859	14.0840158355736	20.3885790348879	6.63808659405218	0	14.9388751468254	18.7704671250053	19.2078535122092	17.8677391196397	0	6.48394959565235	16.5403562250543	0	11.9375606367887	0	11.1648457124071	4.65014003308984	1.84060602961746	2.51876440179745	0	9.95760457375968	5.26574640381909	5.45948472235315	9.03942500411357	10.9345154746545	10.5402082504489	10.1692442595632	8.43271843563813	8.63589150128427	6.1848278799691	7.55976410006512	3.92280144773904	4.02675112402348	8.00842357103146	7.51920116498267	9.27372410372224	6.8563246192746	8.56235961219659	0	8.03504741851781	8.72007033716725	8.62290243019986	5.20944523069672	0	0.61457698707078	5.48441730438705	6.82481649190713	1.68456071911581	0	5.53802203499265	1.86332407671532	5.88248904069918	0	0	5.83721815742801	0	4.79707055680207	3.27814093125842	2.82202516527706	4.65395167572252	0	3.11648581256071	0	2.25475374255547	0	1.31528682299365	0.708394266842883	0	0	0	1.24700517055896	0.975603811420774	0.238500847468492	0	0.232879481235654	0	0	0	0	0	0	0	0	0	0	0	0	0
