it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	q_4	q_5	q_6	q_7	q_8	q_9	q_10	q_11	q_12	q_13	alpha	hypQ	k_birth	k_death	RJ_hp	root_age	death_age	tot_length	T0_TS	T1_TS	T3_TS	T5_TS	T6_TS	T7_TS	T8_TS	T10_TS	T11_TS	T13_TS	T14_TS	T16_TS	T17_TS	T19_TS	T21_TS	T22_TS	T23_TS	T24_TS	T25_TS	T26_TS	T27_TS	T28_TS	T29_TS	T30_TS	T31_TS	T32_TS	T33_TS	T34_TS	T35_TS	T36_TS	T37_TS	T38_TS	T40_TS	T41_TS	T42_TS	T43_TS	T44_TS	T45_TS	T46_TS	T47_TS	T49_TS	T50_TS	T51_TS	T52_TS	T54_TS	T56_TS	T57_TS	T58_TS	T59_TS	T60_TS	T61_TS	T62_TS	T63_TS	T64_TS	T65_TS	T66_TS	T67_TS	T68_TS	T69_TS	T70_TS	T71_TS	T74_TS	T75_TS	T76_TS	T79_TS	T80_TS	T81_TS	T82_TS	T83_TS	T84_TS	T85_TS	T87_TS	T88_TS	T89_TS	T92_TS	T94_TS	T95_TS	T96_TS	T97_TS	T98_TS	T99_TS	T100_TS	T102_TS	T103_TS	T104_TS	T105_TS	T106_TS	T107_TS	T108_TS	T109_TS	T110_TS	T111_TS	T113_TS	T114_TS	T115_TS	T117_TS	T119_TS	T120_TS	T121_TS	T122_TS	T123_TS	T125_TS	T127_TS	T128_TS	T129_TS	T130_TS	T131_TS	T133_TS	T134_TS	T135_TS	T136_TS	T140_TS	T141_TS	T142_TS	T143_TS	T145_TS	T146_TS	T147_TS	T149_TS	T150_TS	T151_TS	T153_TS	T155_TS	T156_TS	T157_TS	T158_TS	T159_TS	T160_TS	T161_TS	T162_TS	T163_TS	T164_TS	T166_TS	T169_TS	T170_TS	T171_TS	T172_TS	T173_TS	T174_TS	T175_TS	T177_TS	T178_TS	T179_TS	T180_TS	T181_TS	T182_TS	T183_TS	T184_TS	T185_TS	T186_TS	T187_TS	T188_TS	T189_TS	T190_TS	T191_TS	T192_TS	T193_TS	T194_TS	T195_TS	T196_TS	T200_TS	T201_TS	T202_TS	T203_TS	T204_TS	T205_TS	T209_TS	T211_TS	T0_TE	T1_TE	T3_TE	T5_TE	T6_TE	T7_TE	T8_TE	T10_TE	T11_TE	T13_TE	T14_TE	T16_TE	T17_TE	T19_TE	T21_TE	T22_TE	T23_TE	T24_TE	T25_TE	T26_TE	T27_TE	T28_TE	T29_TE	T30_TE	T31_TE	T32_TE	T33_TE	T34_TE	T35_TE	T36_TE	T37_TE	T38_TE	T40_TE	T41_TE	T42_TE	T43_TE	T44_TE	T45_TE	T46_TE	T47_TE	T49_TE	T50_TE	T51_TE	T52_TE	T54_TE	T56_TE	T57_TE	T58_TE	T59_TE	T60_TE	T61_TE	T62_TE	T63_TE	T64_TE	T65_TE	T66_TE	T67_TE	T68_TE	T69_TE	T70_TE	T71_TE	T74_TE	T75_TE	T76_TE	T79_TE	T80_TE	T81_TE	T82_TE	T83_TE	T84_TE	T85_TE	T87_TE	T88_TE	T89_TE	T92_TE	T94_TE	T95_TE	T96_TE	T97_TE	T98_TE	T99_TE	T100_TE	T102_TE	T103_TE	T104_TE	T105_TE	T106_TE	T107_TE	T108_TE	T109_TE	T110_TE	T111_TE	T113_TE	T114_TE	T115_TE	T117_TE	T119_TE	T120_TE	T121_TE	T122_TE	T123_TE	T125_TE	T127_TE	T128_TE	T129_TE	T130_TE	T131_TE	T133_TE	T134_TE	T135_TE	T136_TE	T140_TE	T141_TE	T142_TE	T143_TE	T145_TE	T146_TE	T147_TE	T149_TE	T150_TE	T151_TE	T153_TE	T155_TE	T156_TE	T157_TE	T158_TE	T159_TE	T160_TE	T161_TE	T162_TE	T163_TE	T164_TE	T166_TE	T169_TE	T170_TE	T171_TE	T172_TE	T173_TE	T174_TE	T175_TE	T177_TE	T178_TE	T179_TE	T180_TE	T181_TE	T182_TE	T183_TE	T184_TE	T185_TE	T186_TE	T187_TE	T188_TE	T189_TE	T190_TE	T191_TE	T192_TE	T193_TE	T194_TE	T195_TE	T196_TE	T200_TE	T201_TE	T202_TE	T203_TE	T204_TE	T205_TE	T209_TE	T211_TE
2500000	-3587.30485291476	-43.8229715784489	-2803.68790326778	-739.793978068525	0.97321579024817	2.84813318310109	2.6182306976885	3.9661440280551	5.9069027983024	1.78221906681079	1.91235336185102	0.711976743924334	1.22114193818409	2.31782014880911	2.90252688009479	4.23068163025451	1.6800322052687	0.299706743817513	1.45569027848007	0.507000352987498	2	2	1.89117418057789	34.8373628366119	0	764.662834154234	34.8373628366119	34.0577130520666	33.4133914350741	30.9180999537727	29.9408074729407	31.0607256166384	28.2044721797901	28.3156103425385	29.7592945449463	30.3197555856038	27.0232250582463	29.9977459346342	28.8734906610726	26.4821425430551	29.9463694357351	27.4690960209741	27.7656333089622	27.8826120315016	23.5730162013272	24.6243144695126	23.2895620112937	24.6342328414073	20.8163896515661	21.1613303054319	19.4260724205482	20.1794022497818	20.5371680224139	20.2592419016111	19.8445282725738	20.2940814148495	19.6881616228057	19.1787404584092	18.7798893266055	17.8537485763021	17.7062504269848	18.2922355364507	18.8962999448852	17.1663613921159	17.1729515676503	17.7556755392675	17.3196885575757	16.6962011503707	18.7799918644494	15.2338064261912	15.8607445180519	15.5806733636689	15.4713082233364	15.0861773935304	14.0750905470467	14.9175342675752	14.084035672065	15.0775015591136	14.4012954119217	14.2265353890059	15.0613648316051	15.7576989370164	14.483111428296	13.6853650305511	15.2276180023186	13.6909653602612	14.1470057183489	13.3868395435647	13.8810532950865	13.0995944675178	14.1876015379711	12.3719818238983	11.1484425169535	12.297897728918	12.367173251381	13.4453192531375	12.1663089040599	10.1218580204906	11.7580009175188	11.1030231838258	12.3191414599148	11.7477194175033	13.1570238895598	11.6525657712083	10.9507181919136	10.8057754325032	10.9130561166722	11.4583796968572	8.03060054259156	10.0352522605965	0.868944632539244	9.71275440355798	4.82111741693859	10.4752874694694	9.48395565543793	8.42657051978879	9.40940594934496	10.9536885747369	9.34920046926826	9.15773283274845	9.40838428304352	9.02145687119079	8.88587411933948	6.15187798185345	9.61218679447863	7.32100517037805	7.29124227648434	9.67718762162337	7.26148446443907	7.64340835428662	7.8640167478773	7.60139539149821	7.62093265067335	4.38079386860107	7.52891292038198	2.00756507673734	4.64410647143375	8.18461300059782	3.55388057303336	8.16659472984397	6.53350723047547	6.07693448392077	5.42025396703465	3.37092246091613	6.5522557163268	4.0399859702268	3.95452392791631	6.31417613193466	5.56900095645422	4.97919275592365	5.46474325465532	5.09787760647453	5.13599673850212	3.36395162371211	4.96533806666607	4.77904889716891	6.18151580443425	1.05343019598346	2.73654472440726	4.3663298900532	3.39700056101149	3.42262781028934	2.40166793270431	1.90285679489991	4.89877737053239	2.99632018984484	2.54308328164858	3.17838061781667	2.80188916510279	6.02034508355967	2.80539457063329	3.06180991417311	2.60992154195633	2.93873704700353	2.42946820597462	2.83369715833877	2.43558890041339	1.87048330235005	2.34545981315034	2.05986518727395	1.87854710968333	1.64756067472728	1.89511629746913	1.48242369452047	2.06322725331624	1.79339066925976	1.55455858753731	1.30722630671659	1.35397688658822	1.06702267504185	0.78387534202074	0.820642140978	0.163840682775439	0.43953926873856	25.7718026305672	33.9080403303922	29.5829948904819	3.07589023785995	25.6890002924007	21.1364926856443	22.6185090023523	27.4797421652661	28.7027223178127	24.9164833655981	23.9959138139787	27.0147952553871	18.3624805930441	3.80465641330853	24.8721404282471	26.9148441791541	24.5740034820258	12.5686026258529	23.1663188934273	21.2717612340128	23.0349296355863	18.0532983457737	13.4962894443841	17.3713117120612	18.9705768001851	11.2333710355412	2.93979667002928	17.2444289225165	13.5110531171158	14.150592502497	15.6917542926728	13.6296305531834	17.5509000347422	12.6178924373847	17.0501876120344	0	11.4536629026116	5.94705220866553	13.8236934259022	10.4121289830912	15.0397387386537	15.075839683248	10.4793261479841	0	11.5964669985191	13.9280966212099	13.7860763945372	6.64914354632905	0	12.2936642279273	13.4827993285333	12.3450177907118	10.0271313742494	13.9303645354756	12.3759976214914	10.5331347750013	12.3998451753276	9.74669306581274	5.1942340954599	7.11107191940151	0	9.60176330860837	0	12.6816941850716	0.671821129898355	9.85526564002776	9.90454179234952	8.84113025867949	11.8487012483495	7.96836072528113	10.31741459242	7.19957943205186	3.48074968506641	10.8745632963485	8.9115085089704	10.819022117018	0	7.5544827660883	8.51120387491185	10.46757499817	9.89765377805412	3.22713869480112	5.67520613656293	9.24078022298488	0	7.24978447750944	0	4.09457150498677	6.5183985579319	3.56946379812824	8.4971599118173	0	6.23435502614815	8.01285306265527	4.27256300324708	5.42023746210685	0	4.5857203711668	0	0.327960899909673	6.63876222533859	4.17997305655211	0	0	0	0	0	2.08954972426329	0	0	0	3.9664127141208	0	0	3.81373486211612	3.30975288873057	0	0	0	0	0	0	0	0	0	4.99279510553805	0	0	0	2.21174814796773	0	0	1.37633208203181	2.00444718509655	0	0	0	0.778340763077551	0	0	0	0	0.538844332273741	0	0	1.43708776845091	0	0	0	1.86937557052991	0.398596106422569	0	0	0	0	0.850482301720018	1.57309696426057	0.22444766282954	0.919549101018219	0.537898080205606	0	0	0	0	0	0	0	0
2580000	-3549.05034018225	-42.5840443377689	-2773.68915070524	-732.777145139243	1.09661276670227	3.20294566835689	1.91198234294957	4.34516168585273	5.79057634767677	1.92051874630544	2.11226133979988	0.673929633719417	1.33942960997713	1.81800915304405	2.84624053084531	4.37047903513836	1.36985457690237	0.949827618863147	1.33168965551866	0.593364153075538	2	2	2.17344675153714	35.7267363866695	0	746.813187602067	34.729687047727	35.7267363866695	33.2453093626287	30.686164771796	30.360115493422	31.4557686764622	28.7274918940882	28.7114817001899	29.6029079944759	30.4149188543309	27.284431143371	29.6155724405898	28.3080254063139	26.7046161969616	28.5977625317121	27.4506246568337	27.5918752724278	26.1057075050356	23.3031089523172	24.9125637238875	23.2960135701823	23.8037471557279	21.5070389942357	21.2593548024526	19.305255699928	19.8949129827461	20.4360716865631	19.5625505453809	20.0225550433774	20.2714931320975	19.3944622317178	19.1529633049841	17.7594506729484	17.8047933439714	18.0997029639242	17.7261270028406	17.9992804176499	17.5073584000343	17.08919931846	16.2413263710658	17.149946429806	16.7253512749028	16.2202659654264	16.0220848862304	15.873894059379	15.546730410775	15.4364749240445	15.057008604852	14.3530293608408	15.0982086439143	14.1870819046031	15.0269733921217	16.1058134716564	14.4543121906681	14.4567744279897	14.461162271309	14.3825799421136	14.2852889743087	13.8250184315198	13.8215571066592	13.8504949734377	13.6306609966366	13.550945809415	13.1881588566498	13.7025871857008	13.277958102354	10.0083446662496	11.6353686300744	12.7381697732854	12.5734291019954	12.679655776254	9.31714944405617	11.4982666891834	11.0975817745128	11.5022154552801	11.5091247337784	11.4597310881173	11.4042328995972	11.6561153085769	12.0336643297452	11.7231404910146	13.2467916878743	8.2165017031303	9.63791103376429	0.889305850161459	10.0817454572397	3.6050680447296	7.48976160643339	11.9442934085897	8.61319507698595	9.11019616215512	11.5285192444598	9.70060682113486	9.58121135714193	9.32345239710266	10.0569348039636	8.79145457078731	6.64392556829701	10.2222874190552	6.1634864162872	7.2895905610611	7.73005535521554	7.31465741539456	7.65990395342461	7.85004748989204	7.30242739831375	7.42132029694636	3.78508101712319	8.24818945475899	2.02234483260682	2.5714232899998	7.2188213017371	6.64846996697838	6.64959108750527	6.67230308210509	6.48521301160771	7.10705068470692	3.67279783010688	5.82778452466371	5.20088196503893	4.32700165977178	6.66186015142583	5.58037898690154	4.85062223318088	5.12306284960463	5.79574363052082	2.94304243294734	2.70301810565109	4.95185658772182	4.44875981968771	4.37604376254027	0.901505705935249	2.3539876122484	3.22548956680118	6.02925413401246	2.81340320561682	3.07260661639063	2.40755599620646	2.67488408529015	4.25777647456419	3.42543805620896	2.82415095103217	2.70696354579967	3.67205563654735	3.01150174365276	3.23672593710878	3.2793252744695	2.57184003861111	2.96243391031153	2.53100821516852	2.6243168859444	2.63295560906925	2.27293692667573	2.18340947067029	2.30328462872405	1.30021645312506	2.82872851124055	7.8761603562194	1.2465717974376	1.6133907815654	6.84375470612267	1.33607587879554	1.56036124973923	1.18780483821781	0.885078266798821	0.693682615428069	0.28458554089812	0.36197207526666	25.7821215229506	33.79350109147	29.830749056078	4.55125956899317	25.6596328240892	21.3103122814933	21.966551234666	27.5833346787349	28.6856552140225	25.0440444668354	23.8630126476292	26.6804069517151	18.0991774985613	7.95664503715189	26.3856945059944	26.2408039199707	24.4749009124465	11.2875045738396	23.1475185081265	20.9823833542396	22.9663847214723	19.1389425053708	13.4293028503917	17.2521699883395	19.2110164724353	11.3943557279054	2.77817456726397	16.6448008304462	12.609961483441	14.024098600065	15.669922153057	13.6501733445389	17.4985645223267	12.6893427420466	17.0063376631302	0	11.2083690108466	5.0695352988298	13.790288000448	11.9072426290328	14.9504779796159	15.0764731448121	10.5139985096815	0	10.9894758701327	14.3542410309984	14.6802939995328	6.99624810375252	0	11.7139422261615	13.8547051424198	12.540961585784	10.3226986024624	13.4536260016796	12.7584300457	10.342627733497	13.2026860668599	10.6124637191193	4.47034484844008	6.94918468747474	0	9.84173902986725	0	12.8144386013376	0.509607112333746	10.6692793780331	9.70851383248762	9.8113551249584	11.9942304727555	8.05030360550952	9.64028912846278	8.27453189991412	4.7208334952859	11.0856148682387	9.04757229106728	10.7700244894676	0	7.73926977117921	8.3627726496689	10.0353851161571	9.95809478200951	2.10868938487337	7.42354196556771	9.18129480628227	0	7.04767214118509	0	6.23985611478187	6.75010234089966	3.96705568374748	8.70220586923188	0	6.11797384486202	7.8810117338605	5.7566309602015	5.20576912104804	0	5.28724534379837	0	0.290036510185415	7.10029056879061	4.16737888980755	0	0	0	0	0	3.2336653270494	0	0	0	5.40911014789135	0	0	3.46877533622855	3.2960834438617	0	0	0	0	0	0	0	0	0	4.70015696677502	0	0	0	2.33232024924515	0	0	1.27939698946224	2.74478944991107	0	0	0	0.664382556388833	0	0	0	0	0.246583422900029	0	0	0.667458774834649	0	0	0	1.74474234290743	0.334003055903697	0	0	0	0	1.09738318431553	1.3181711725287	1.01361592845508	1.16506206305442	0.63769587675498	0	0	0	0	0	0	0	0
2650000	-3564.99541820332	-33.7551875428334	-2788.34582127752	-742.894409382966	1.04342841984198	3.42966989996384	1.88106041534955	3.84555636079495	5.38296351603865	1.90157289267488	1.65479521396082	0.785443792656816	1.27443118542292	2.14546187049271	2.39906880531474	4.17958428308643	1.12909603513591	0.736375680787398	1.72102097002669	1.11238890758307	1	1	1.2518868105133	34.522177806863	0	754.47806074338	34.2970841381151	34.522177806863	33.1157659766999	28.0430297452401	29.3005706791484	27.7874782562898	28.7285103252732	30.1108073026786	29.7437821705193	33.2700983292977	27.0248134188605	29.7885022078186	28.0217714653353	27.0610201035448	27.6091867223046	27.3668441756614	27.3183573574139	25.9912686726444	23.4337573688274	24.615780471185	23.4103622665993	24.9928170851559	19.9003256093417	21.0998567837602	19.2254847398734	25.9001486395686	21.0278883129247	20.4342698961475	21.3273770345616	20.0251461477603	19.5559007601589	19.1260270919069	17.716006704968	18.3502382421109	17.8518461029661	19.4343470515324	18.2676657587722	17.0813208735543	17.4488631963555	16.2388406808426	16.7565423788048	16.9066435620985	15.9995140290667	15.6081551504816	15.9576592564176	16.2130883235389	15.570055255998	15.104136716028	14.4724005495903	14.9613277665145	14.878209237304	14.9571149382282	15.249597720594	14.1988234294642	14.4849825889945	15.6532036202947	14.1992111396189	14.2978708171446	13.8396130142263	13.606796287757	13.8228507811901	13.6407095648777	13.2772989904855	13.2474437636424	12.8911001049095	11.7231738047255	9.9107434402737	11.8463193020105	13.0451962377641	12.4818736320207	12.1993134512778	9.49146715191524	11.9605871384095	11.1009264097433	11.3888612395029	12.9628421694591	12.0350708182475	11.513647428599	11.0853570342353	10.8954022270339	11.183358138844	10.4718065378516	8.17912590306155	9.71509010143383	0.871477095501928	9.88660304355614	3.61840442865994	7.674287385135	9.73286916712092	10.3308417950391	9.51800674295813	10.1489632996061	9.12110930119473	9.1769238340987	8.89181368232616	9.16427528516172	8.74667598014487	6.4300973383122	11.7109507494867	7.290828986934	8.20775582357131	8.33607068165139	8.10979789412928	8.05291938528209	8.15657645312114	6.61595979854568	7.34938139616358	5.11582214989014	8.33557868028114	1.94199473108952	3.74178847811782	6.77457995020975	7.11024947324118	6.7657223991616	6.515197258471	6.96526820489883	5.36878771401675	3.65850306708753	5.83622982067828	3.61053447630259	3.99645678267759	4.92167480792785	5.51462648523722	5.34399157018758	5.03432422911112	5.08636537231241	2.93529865071553	4.66628383835084	4.87837561989384	4.44103767211749	6.45680695443044	0.825916365500362	3.17337849301299	3.27103773644726	4.56708481151719	2.91925981637231	2.54448274405471	2.02317246668482	2.59454408443312	3.06229335542257	3.52151450635676	2.85785184456264	3.23677099575352	2.98348909861087	2.79187865255532	2.86058694433357	2.45566562858706	2.4531684720011	2.31722173490235	3.52302814393627	2.62144871821146	2.18380492514235	2.35788777008734	2.2618350500284	1.98657425235909	1.58957571968287	2.25462217519153	4.30333350719791	1.72725162456692	1.81173987281831	1.86321389924076	1.22131104858	1.12753043236511	0.945897428731618	0.911666869012604	0.760737484099477	0.413887106989673	0.323137594566857	24.8729618573014	33.8739603441016	29.2637746669715	4.2898383201916	25.7432527142006	21.1523920118824	22.1814183811182	27.0320950600295	28.5845834129313	24.8451264267147	23.230449771283	27.5041035090458	18.3999787824543	8.04602102645713	27.1248226191217	27.0819489948971	24.5776723048378	9.8381865837716	23.1335896948707	21.3028582279071	23.1498296515038	19.3021442643496	13.4234998059467	16.9685326806437	19.2137902378826	11.0913676660091	3.76732644468235	17.2028813441458	12.3373482742577	13.9913762483989	15.605910210853	13.8555964774129	17.7137798477256	10.8759062807047	16.6414184956609	0	11.7627662951153	5.61231441182645	12.2508214730558	12.078899094705	15.0750424085762	15.0145268398053	9.37258425713789	0	11.5501642032732	14.2957781351115	14.3938176403375	7.38588387818259	0	11.9865202412574	13.7318613333234	12.0059010830958	8.6997437509286	14.1378415444011	12.2217776134303	8.48932981214102	12.8936510050693	10.1671228289716	4.12110973843973	4.45410468518054	0	8.76227871507783	0	12.560542800412	0.313113817785175	8.53476869916738	9.88560372519782	9.81118810957528	12.2684416885792	7.27705363175665	10.7741000555073	8.15000085852128	4.66055881086545	11.0150645831666	8.8905168891873	10.213618116181	0	7.60480530216832	8.25879555485763	9.90583119278315	6.64961482366847	3.58573591224565	6.94584299167059	9.36073497360483	0	6.79456863811281	0	6.22085934984404	7.02590959411547	3.96649967066722	7.18909790020943	0	6.05457907017735	8.15729553141887	5.06782089636018	6.16978992886486	0	5.63783827772196	0	0.721730648065809	7.12290348597387	3.45818773444512	0	0	0	0	0	2.93456035675496	0	0	0	5.59760258116624	0	0	3.65408344037917	2.61095665113913	0	0	0	0	0	0	0	0	0	5.01449104734485	0	0	0	1.87397460328801	0	0	0.761625118349431	2.75840637742657	0	0	0	0.665774615114522	0	0	0	0	0.0815492909580664	0	0	0.301207243846165	0	0	0	2.00930523053942	0.262957683565758	0	0	0	0	0.628689806056894	1.44818983750306	0.930391359348966	1.12619759823332	0.281119658305209	0	0	0	0	0	0	0	0
2730000	-3566.92254462545	-37.8147866549671	-2792.46804313261	-736.639714837878	0.746950577249171	2.25316202182468	1.41653759938718	3.67095558081952	5.43329149752273	2.1002191542653	1.67640651545815	0.698558882701921	1.07475972987644	1.75898512802257	2.47089251541752	4.14209386943241	1.73695114140287	0.39915481385373	1.45574948495427	0.671421020857395	2	1	2.23249054011454	34.2419894439718	0	744.690262006623	34.2419894439718	34.2117130473944	33.1517369964788	29.3645438027482	30.1533300580243	28.601385492939	28.0855942735849	28.7588191585826	30.2820912099734	31.2094570451823	27.1341490449793	32.4055962491385	28.5438787519322	26.9945083824737	29.4719036072407	27.6541215501638	28.9260935623299	26.1340152187451	25.3317789736091	24.812421087395	23.2635937811157	23.7523159615569	19.6680343309662	21.3131441562348	19.6396611888021	22.0618111392376	19.7296738901491	19.4301267901415	19.9969117022593	20.4351423011149	19.4191039742121	19.0349461375028	17.7588617627285	17.8014367122058	18.1497615202431	17.1791601957661	18.7737269197851	17.3740956775775	17.6341869238595	16.405591966872	17.2612890639289	16.6526629071442	17.0593150752504	16.6569914930697	15.8530921275643	15.6731064003937	15.8368042102671	15.1533764043853	14.0659255802949	14.946394759573	14.1106630571738	14.9631003678518	14.22053768312	14.3246344099969	14.5088291975462	14.5922942760315	14.0812732069563	13.7572638718088	14.7888321741333	13.7875643211693	13.8654006174667	13.4527753762407	13.822606459686	13.1619980002783	12.7663599412223	11.8595516627821	9.9651012714761	11.4517562045222	12.3809669783996	14.1234409096447	12.5009708365668	10.0669856362977	11.4329538638342	11.3044590613083	11.8785286809751	12.2658317872825	11.8059712467503	11.5067234290651	11.2152910393499	11.4616902810822	10.8148358943618	10.7798914434397	8.00861112820649	10.3136048420479	0.916516617832003	9.64749440049595	3.51264750183935	7.85808699673043	10.1820623481094	8.84098418147379	9.22936392065951	9.46189948839964	9.35056275222663	9.47720750690396	8.92850846903532	8.94010888158629	8.89446540059371	6.49409171548687	10.9133366770927	7.64568273901642	7.51378945004134	8.9740290224726	7.27759619944264	7.25042795971496	7.58427168685395	7.98574236529953	7.42544430037608	3.91647874883204	8.08433270899249	2.00004130348469	2.56837109804746	7.16358695312629	4.13387532195484	7.69752642734453	7.1811112902802	6.00193293360151	5.65902698989522	3.38294135002919	6.30577583559737	3.94511413951503	3.99378820285869	4.909445089194	5.62949678499582	4.99701495468559	5.70280772783865	5.19654551732073	2.68663175637515	2.90669523899649	4.46739132368343	4.01980632751305	4.43590630860126	2.17535238616829	2.39953344063373	3.52960267413034	3.90522077045991	2.7628873970309	2.92662762482649	3.93417901020515	2.8761486079155	3.27052691975533	3.29439765946908	2.93400355524448	4.2379409679468	5.45633198765889	2.88372544061454	5.37247687439844	3.98420012702061	2.33700117409737	2.75514005908407	2.53190221095208	2.43126609586	1.92583716150053	2.54462955800108	2.91681648135361	1.77415241128743	1.44464418923971	4.96591297815881	1.61866124726147	1.22944281379614	1.67983862805559	1.31399153054568	1.27170614338317	1.35426731138819	1.17807738803758	0.581225495643481	0.862787711450098	0.227959061046033	0.281534831460132	25.5879878117797	33.708991258042	28.660959353192	3.87288279271003	25.6166416770137	21.0886814969701	22.18883989548	27.1968351340752	28.7485964150775	24.8667745226236	22.9209051718249	26.7704601660066	18.3235586426514	7.82571042729824	26.8450630134821	27.0717365554077	24.2874838156337	13.1143527867561	22.2042257709437	20.7936221075423	22.7036775480618	18.6809272660493	12.3985580443807	17.2033421382934	19.0510273242902	10.0820656273669	2.8365091097277	17.267412462834	12.7141461229319	13.6000309582164	15.6875239280458	13.8459641799051	17.4642733079774	12.6993531499948	16.941008985689	0	11.2671562819797	5.01669366538977	13.7327887620398	10.8849606171196	14.9337629533447	14.9662944247683	10.6986347811985	0	11.6562914990058	14.3717849268909	13.9671333428558	5.93690798335889	0	12.1120140758989	12.4522418971107	12.5543064745698	10.091963992061	12.7649327758568	12.4638094292229	10.4654788692263	13.2266182608781	10.794140982433	3.86126500013784	7.32053628200525	0	9.22861777012302	0	12.8445766015625	1.28799883976621	10.6356425973222	9.89847288541932	7.93589347845126	12.271240010559	7.6672491891394	10.96481675984	8.18617960753432	4.2825519663803	10.8996630100892	8.46245219609334	10.638575356886	0	7.44237724993438	8.50047991029774	10.0232251433145	9.71885052573809	2.67266006407719	7.29142974368411	9.19770397258885	0	6.91310299008797	0	7.07576654874406	5.9024381444127	4.06324406555066	8.80427579171024	0	4.72963718498429	7.83537442634887	4.947167553776	7.67352450824851	0	5.82758138900638	0	0.721804944652102	4.67388514124185	3.97109263359341	0	0	0	0	0	2.98913342751671	0	0	0	5.06074027023073	0	0	3.90033185846365	3.25625981239648	0	0	0	0	0	0	0	0	0	4.58888036571967	0	0	0	1.94412669725198	0	0	1.46408491392896	2.90414975736695	0	0	0	0.381402260157502	0	0	0	0	0.418549366274466	0	0	0.9627694286339	0	0	0	2.01049889125122	0.104656486491221	0	0	0	0	1.12424724066162	1.611982403107	0.488372212671665	0.978690497786508	0.772049665371916	0	0	0	0	0	0	0	0
