	ts	te
T0	35.0	25.28
T1	33.97	26.26
T2	31.16	28.18
T3	30.78	24.91
T4	30.33	4.15
T6	27.92	24.85
T7	26.59	23.07
T8	26.16	2.57
T9	26.1	7.39
T10	26.07	17.2
T11	25.85	6.42
T12	25.62	3.58
T13	25.61	24.61
T14	25.24	10.18
T15	24.91	24.01
T17	24.62	20.75
T19	22.84	16.15
T20	22.44	21.68
T22	22.29	18.63
T23	22.17	9.79
T24	22.05	0.0
T25	21.98	18.95
T26	21.25	20.78
T27	21.09	19.57
T28	20.9	16.48
T29	20.85	13.48
T30	20.76	8.84
T31	20.47	0.0
T32	20.44	2.13
T33	20.38	12.08
T34	20.32	5.54
T35	20.26	19.08
T36	20.14	18.83
T38	19.47	16.21
T40	19.14	5.5
T41	18.23	17.9
T42	18.14	17.01
T44	17.49	6.02
T45	17.45	13.57
T46	17.05	15.88
T47	16.1	15.38
T48	15.45	12.25
T49	15.29	14.16
T50	15.26	13.23
T52	14.71	10.95
T53	14.61	11.22
T54	14.5	11.95
T55	14.18	0.0
T56	13.57	0.0
T57	13.46	5.23
T60	12.84	3.75
T61	12.57	11.2
T64	12.41	0.0
T65	12.22	0.0
T68	11.87	6.98
T69	11.65	0.0
T71	11.56	0.0
T72	11.09	4.84
T73	10.92	7.55
T75	10.77	5.35
T76	10.66	5.26
T77	10.43	8.11
T80	10.35	9.76
T81	10.29	6.43
T82	10.2	2.83
T83	10.15	0.0
T84	10.06	7.69
T86	9.86	0.0
T87	9.6	0.0
T89	9.14	0.0
T90	9.1	0.0
T91	8.89	0.0
T93	8.61	5.66
T94	8.52	0.0
T95	8.31	7.17
T96	8.21	0.0
T97	8.2	0.0
T101	8.05	4.74
T102	7.96	0.0
T103	7.94	2.33
T104	7.92	4.48
T105	7.89	4.26
T106	7.81	6.53
T107	7.79	5.25
T111	7.71	0.0
T112	7.58	0.0
T113	7.57	3.84
T115	7.41	2.59
T116	7.21	0.0
T118	7.04	3.51
T119	7.01	4.15
T121	6.87	5.47
T122	6.86	0.0
T123	6.73	3.38
T124	6.7	0.0
T125	6.65	3.12
T126	6.41	0.0
T127	6.3	6.19
T128	6.29	0.0
T129	6.28	0.0
T130	6.18	0.0
T131	6.15	2.33
T132	6.12	0.0
T133	5.93	0.0
T134	5.69	0.0
T135	5.64	4.41
T136	5.62	0.0
T137	5.58	0.0
T138	5.5	0.0
T139	5.49	0.0
T140	5.37	0.0
T141	5.3	0.0
T142	5.23	0.0
T143	5.2	0.0
T144	5.19	4.1
T146	5.09	1.26
T147	5.07	0.0
T150	4.87	0.0
T151	4.78	0.0
T153	4.58	2.57
T154	4.5	0.0
T155	4.39	0.0
T157	4.37	0.0
T158	4.36	0.0
T159	4.3	0.0
T160	4.28	0.0
T161	4.04	3.4
T162	4.04	0.08
T163	4.01	2.2
T164	3.98	0.0
T165	3.95	0.0
T168	3.83	0.0
T169	3.81	0.0
T171	3.76	0.0
T172	3.56	0.0
T174	3.47	0.0
T175	3.41	0.0
T176	3.38	0.0
T177	3.36	0.0
T179	3.32	0.0
T180	3.3	0.0
T181	3.07	0.0
T182	3.05	0.0
T183	2.94	0.0
T184	2.9	0.0
T185	2.88	0.0
T186	2.84	0.0
T187	2.83	0.0
T188	2.78	0.0
T190	2.43	0.0
T193	2.12	0.0
T195	2.04	1.39
T199	1.87	0.0
T200	1.76	0.0
T201	1.68	0.38
T202	1.63	0.0
T203	1.6	0.0
T204	1.58	0.0
T205	1.5	0.0
T206	1.49	0.0
T207	1.45	0.0
T208	1.44	0.0
T209	1.34	0.0
T210	1.17	0.0
T212	1.09	0.56
T214	1.07	0.0
T215	1.03	0.0
T216	1.01	0.0
T218	0.92	0.0
T219	0.86	0.0
T220	0.82	0.0
T222	0.74	0.0
T223	0.71	0.0
T226	0.59	0.0
T227	0.53	0.0
T232	0.28	0.0
T233	0.26	0.0
T235	0.25	0.0
