it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	q_4	q_5	q_6	q_7	q_8	q_9	q_10	q_11	q_12	q_13	alpha	hypQ	k_birth	k_death	RJ_hp	root_age	death_age	tot_length	T0_TS	T2_TS	T3_TS	T4_TS	T5_TS	T6_TS	T7_TS	T8_TS	T9_TS	T10_TS	T11_TS	T12_TS	T13_TS	T14_TS	T15_TS	T16_TS	T17_TS	T19_TS	T20_TS	T21_TS	T22_TS	T23_TS	T24_TS	T25_TS	T26_TS	T27_TS	T28_TS	T30_TS	T31_TS	T32_TS	T33_TS	T34_TS	T35_TS	T37_TS	T38_TS	T39_TS	T40_TS	T41_TS	T42_TS	T43_TS	T44_TS	T45_TS	T46_TS	T47_TS	T48_TS	T49_TS	T50_TS	T51_TS	T52_TS	T53_TS	T54_TS	T55_TS	T56_TS	T57_TS	T58_TS	T59_TS	T60_TS	T61_TS	T62_TS	T63_TS	T64_TS	T65_TS	T66_TS	T67_TS	T68_TS	T69_TS	T70_TS	T71_TS	T72_TS	T73_TS	T74_TS	T75_TS	T76_TS	T77_TS	T78_TS	T79_TS	T80_TS	T81_TS	T82_TS	T83_TS	T84_TS	T87_TS	T89_TS	T90_TS	T91_TS	T92_TS	T93_TS	T94_TS	T95_TS	T96_TS	T97_TS	T98_TS	T99_TS	T100_TS	T101_TS	T102_TS	T103_TS	T104_TS	T105_TS	T106_TS	T107_TS	T108_TS	T109_TS	T110_TS	T111_TS	T112_TS	T113_TS	T114_TS	T115_TS	T116_TS	T117_TS	T118_TS	T119_TS	T120_TS	T121_TS	T122_TS	T123_TS	T124_TS	T125_TS	T126_TS	T127_TS	T128_TS	T129_TS	T130_TS	T131_TS	T132_TS	T133_TS	T134_TS	T135_TS	T136_TS	T137_TS	T138_TS	T139_TS	T140_TS	T141_TS	T142_TS	T143_TS	T144_TS	T145_TS	T146_TS	T147_TS	T148_TS	T149_TS	T151_TS	T152_TS	T153_TS	T154_TS	T155_TS	T156_TS	T157_TS	T158_TS	T160_TS	T161_TS	T162_TS	T163_TS	T164_TS	T165_TS	T166_TS	T167_TS	T168_TS	T169_TS	T170_TS	T171_TS	T173_TS	T174_TS	T175_TS	T176_TS	T177_TS	T178_TS	T179_TS	T180_TS	T181_TS	T182_TS	T183_TS	T184_TS	T185_TS	T186_TS	T187_TS	T188_TS	T190_TS	T191_TS	T192_TS	T193_TS	T194_TS	T195_TS	T196_TS	T197_TS	T199_TS	T200_TS	T201_TS	T202_TS	T203_TS	T204_TS	T205_TS	T206_TS	T208_TS	T210_TS	T211_TS	T214_TS	T215_TS	T216_TS	T217_TS	T219_TS	T220_TS	T221_TS	T223_TS	T224_TS	T225_TS	T227_TS	T228_TS	T229_TS	T230_TS	T231_TS	T0_TE	T2_TE	T3_TE	T4_TE	T5_TE	T6_TE	T7_TE	T8_TE	T9_TE	T10_TE	T11_TE	T12_TE	T13_TE	T14_TE	T15_TE	T16_TE	T17_TE	T19_TE	T20_TE	T21_TE	T22_TE	T23_TE	T24_TE	T25_TE	T26_TE	T27_TE	T28_TE	T30_TE	T31_TE	T32_TE	T33_TE	T34_TE	T35_TE	T37_TE	T38_TE	T39_TE	T40_TE	T41_TE	T42_TE	T43_TE	T44_TE	T45_TE	T46_TE	T47_TE	T48_TE	T49_TE	T50_TE	T51_TE	T52_TE	T53_TE	T54_TE	T55_TE	T56_TE	T57_TE	T58_TE	T59_TE	T60_TE	T61_TE	T62_TE	T63_TE	T64_TE	T65_TE	T66_TE	T67_TE	T68_TE	T69_TE	T70_TE	T71_TE	T72_TE	T73_TE	T74_TE	T75_TE	T76_TE	T77_TE	T78_TE	T79_TE	T80_TE	T81_TE	T82_TE	T83_TE	T84_TE	T87_TE	T89_TE	T90_TE	T91_TE	T92_TE	T93_TE	T94_TE	T95_TE	T96_TE	T97_TE	T98_TE	T99_TE	T100_TE	T101_TE	T102_TE	T103_TE	T104_TE	T105_TE	T106_TE	T107_TE	T108_TE	T109_TE	T110_TE	T111_TE	T112_TE	T113_TE	T114_TE	T115_TE	T116_TE	T117_TE	T118_TE	T119_TE	T120_TE	T121_TE	T122_TE	T123_TE	T124_TE	T125_TE	T126_TE	T127_TE	T128_TE	T129_TE	T130_TE	T131_TE	T132_TE	T133_TE	T134_TE	T135_TE	T136_TE	T137_TE	T138_TE	T139_TE	T140_TE	T141_TE	T142_TE	T143_TE	T144_TE	T145_TE	T146_TE	T147_TE	T148_TE	T149_TE	T151_TE	T152_TE	T153_TE	T154_TE	T155_TE	T156_TE	T157_TE	T158_TE	T160_TE	T161_TE	T162_TE	T163_TE	T164_TE	T165_TE	T166_TE	T167_TE	T168_TE	T169_TE	T170_TE	T171_TE	T173_TE	T174_TE	T175_TE	T176_TE	T177_TE	T178_TE	T179_TE	T180_TE	T181_TE	T182_TE	T183_TE	T184_TE	T185_TE	T186_TE	T187_TE	T188_TE	T190_TE	T191_TE	T192_TE	T193_TE	T194_TE	T195_TE	T196_TE	T197_TE	T199_TE	T200_TE	T201_TE	T202_TE	T203_TE	T204_TE	T205_TE	T206_TE	T208_TE	T210_TE	T211_TE	T214_TE	T215_TE	T216_TE	T217_TE	T219_TE	T220_TE	T221_TE	T223_TE	T224_TE	T225_TE	T227_TE	T228_TE	T229_TE	T230_TE	T231_TE
2500000	-9453.07182356839	-54.280021493875	-8365.03549625722	-1033.7563058173	5.2186506454364	1.70803979908833	0.751676558861795	1.92530171199199	1.99363229300847	2.6344349444369	0.707552197654374	3.12167265682093	1.13224136181626	2.74896250319992	2.68103185270774	2.40508860678377	1.855793042933	3.46161001578603	3.46603698547185	0.707453421219764	4	3	2.57581100088299	34.8739018506109	0	1745.45264051401	34.8739018506109	33.9035631356919	31.5172683699028	29.8532262021546	28.2514463976606	27.1048455547957	25.9542532697275	25.5483919251122	26.395930616938	25.2096656613842	26.157936088692	25.83963923567	25.1307844056721	24.6466568989804	24.5420368506697	24.4249192863388	23.7982765401696	23.7782934066495	24.0249022469791	24.3043755020739	23.8980641546785	21.7664328257483	21.7780658759005	23.8012425062545	23.1220724598349	20.7617584140935	17.0948465652188	23.5808509301974	21.8229956741155	23.0317661221788	19.8678417451921	22.6655412743469	22.498446311233	18.1694493639351	23.6709367312644	22.5641214678349	20.6231025656753	22.3821303052166	21.2618213188851	13.8625934381366	22.7085027816612	23.6635323533797	22.244485686905	22.0682509106728	23.3513315796742	22.0878761008245	22.2278531808043	22.2718377287609	18.5881116984385	21.164874646187	22.8680559789107	23.4111974434989	20.8027416513807	20.9806806906332	21.5116285847688	20.822893117626	18.9028042092988	20.8925146197011	21.1319488643373	22.4464867877332	20.8350928276278	18.2446468212817	21.8001267599008	21.4549511468051	21.4766220441844	21.0109206981868	20.7697096429836	22.2155995270726	20.2311894414863	21.4927316995474	22.0114246056185	21.5887917831127	20.3986135787439	21.9922296545066	23.3582574636684	20.0789398276596	22.800320218769	19.9332701210794	20.3137968877058	20.5437679896766	19.6116141656418	20.7582161350594	20.2072364142193	19.7828332129317	23.9929878432135	20.7803788306789	20.6141314539558	21.9663663279864	19.0465585388232	20.1313877980018	19.3763807045043	21.360054506341	19.3859236520433	20.6523324931129	21.2851360011639	19.9799237110244	20.0209423718256	20.0491006360909	19.2831732210519	20.1040696813574	20.568266496386	20.7494303531199	21.6062557087786	20.4118385493613	20.3795623495129	19.2062130299452	20.170692065117	16.0327379377746	19.8659670019496	18.9093794612912	16.6646238714225	19.1993344495428	18.8748600790142	19.4903870914872	19.2073574397397	18.9608076828476	20.2786441488062	18.4781485897968	19.4284514915274	19.0990424889829	17.6181440141156	17.3956100713424	19.7362089143327	19.0995351769108	18.9372689541892	18.3549371349422	18.6338119355762	18.8776968596085	19.0053609221318	18.0510957572775	18.0250867302376	17.5972447196222	17.8961157080799	16.5295510668753	17.1217969720305	18.5496637315187	17.0811893843247	17.6120054941454	18.0908957089257	16.9637385944453	16.8167112738464	17.5565060448206	17.5250816456051	16.7810891984761	17.387088466068	17.4545504395715	17.1355304420201	17.7145834054957	18.570161879709	17.7776481736262	17.3175916723067	17.5781667491875	16.9348749867487	17.6820091046222	18.2507618733015	16.5044765028263	16.9727016770702	16.4285903130447	16.6239781698649	16.4030293412584	16.0508829880033	16.1294915385528	16.1922003733522	18.1349440606143	15.263690356929	15.279563016554	15.7343144200471	13.4064308392656	16.4482723868374	14.6319922848508	14.7156826315582	15.4459670779873	14.5082607847248	15.3745646714166	14.6429647374409	14.650061562992	14.9734169162109	13.340374321419	14.0111947113147	13.7022117340835	15.6190380070979	14.237485123539	13.4070987971111	13.9673152152893	13.8182051821315	13.8165057480077	14.4164446794325	15.3630050805662	13.4123371870116	15.7370307816119	14.6307195880233	14.1534288357074	13.1747654818194	13.9274642100057	13.3281707879871	13.1703563719957	13.5065551861687	12.8044707800605	12.3437602489604	12.6043850038674	12.8041783072254	12.1603876918143	11.9113863341564	10.5604767662201	11.9725468651768	8.00185555830928	10.8038186810689	10.2250087461087	10.9757534563677	8.470553183561	10.3934978824619	4.44582579618085	4.34349064541887	0.823759942371726	0	12.2984752524402	28.1499730319727	17.2439368187881	0	13.6825044879426	15.4579003530244	11.3393997344339	23.3881180675017	21.5214769775224	16.457705196597	10.8509608081462	14.9897506284323	23.8073377121499	5.36410435831892	0	14.6645067066523	15.2433682487827	11.9206026820773	23.1792064521052	15.3689367934974	19.3593592672744	13.8888543108224	18.8377238987853	0	14.6624524570124	22.165836480744	18.6209253264838	12.6727742958118	17.932558743749	11.6912802731125	17.6402614259259	14.0146423815872	0	13.7181911150811	14.9099043743326	10.0949588573016	2.98247213372828	13.3240242637844	18.1410288252341	10.6987288576324	11.6933101303466	0	14.6204314346239	0	14.9090067020137	12.8743783182963	17.7030658865834	18.9628241114798	17.3846179271665	14.661662483822	13.9623484652433	14.3552563974584	13.4140916788053	11.8758657036536	0	14.7064335569379	15.1194284858812	0	12.7309527200623	13.0410863703314	19.4234848764461	0	0	14.7122115139749	14.6898108036735	13.86096521531	8.31701938623013	16.3784684463246	0	10.0595183842906	16.4848275691403	13.9430395395374	11.7302761977996	13.3005396733088	14.8840759096016	19.4731384437909	13.7693124754042	10.2470803771541	14.8363520579869	11.9714913871155	12.4822535027664	10.6572837041595	14.8228814493596	12.3987096514368	11.4829031074965	11.3833433579324	0	11.9386997129282	11.6897708986415	12.614454463699	10.7290723225283	11.6762247996149	16.9248742666813	18.2915933222767	13.7581006621045	12.9963484730761	12.7966657256686	13.5704160861427	13.6975650822782	13.6455968971352	11.2656374880834	0	0	13.419250259694	12.0583488813813	0	0	16.2854692857891	11.7647316581026	13.3104749247479	14.3174790670996	10.7558874876847	11.7337878825559	0	11.1372305651793	0	14.3624378992373	11.0756545364074	10.6244256018443	14.5875150409092	16.6410600173226	11.9099304855632	12.9934919586131	14.9779550487593	13.6768196950453	10.9422044383894	11.5907825217576	15.0502321857213	14.8189632032864	11.8905956508553	12.9344835892556	16.3313643098156	11.0136535118505	13.7074344935109	0	10.2197640649474	13.9185444740453	12.7922170711595	14.3500165756454	14.4389217763158	10.1388631555904	14.7072907695676	0	11.9008437954049	15.5377007779246	0	15.041939936485	12.6383090135632	0	0	11.8653905659959	12.8291959583777	15.5123823257286	13.7002663271081	14.0261415390157	12.8190291122953	13.6755852577652	13.5480440147258	0	12.4173322266702	13.3384353562367	12.9581735277319	13.4608793545445	13.8410946122901	12.1524990465753	12.522600630971	14.2152937899621	12.8224194534493	11.7525208719827	12.5127865643197	0	13.6512495242764	10.9124417520195	11.8290331034453	0	10.1861622656855	0	12.428105066746	11.229787240458	13.8247304771739	13.2121296702084	8.81162124691483	12.2131311141865	13.7695788414157	12.4859722455444	12.346393235703	11.9162475818195	0	10.831417163984	13.0450284972727	11.2029398933698	12.0053473277258	0	0	0	0	0	0	0	0	10.0268071213893	0	11.0176562496444	0	0	0	7.89831024605199	0	0	0	0
2580000	-9467.87648994225	-52.3457913483274	-8383.37348189672	-1032.15721669719	5.2476615331497	1.47003709274219	0.843523902119663	2.03741432623965	2.17492912427822	2.62012578090904	0.678118808591159	3.23461531951217	1.16205461012418	3.38895547751905	3.39543633070662	2.29178482802019	1.46960980331482	5.50389791106169	3.42214601704656	0.589058251519446	3	3	5.01008878911338	34.7239204961855	0	1771.69054132671	34.7239204961855	33.999922690018	31.867765766572	29.1761449980507	28.5470561816956	27.3640979616461	26.4052870191868	26.9455384378833	26.3838438256234	25.8849720350133	26.5363975286603	25.4271425363426	24.1655595492328	26.0669015544722	24.4684031147153	24.5069358913671	25.5531166910158	25.7258783317718	24.0886825163651	23.8826229231117	24.2098735715956	22.0147052396305	22.4008406335653	22.7698155753783	23.4510125257988	21.3986010814462	18.8998107642482	23.4000634463563	24.0072727239613	23.8604015052038	19.9242477958299	22.7589109502857	22.4932806575282	19.6833817386843	22.4203251955441	23.1865325968312	20.7175804883719	22.9506968164685	21.3198108469578	13.8991704121001	20.2863440330057	23.2135299464929	21.8463460530554	22.5917969027303	22.0629590050554	21.5169699253515	22.8271976693032	23.292177366837	18.8104773576306	21.0423496435698	21.7926939850313	21.4666021092579	21.9481238085512	21.0087523409319	22.6925398379334	21.2461951672126	18.580635028378	20.9090789666407	21.2218863003223	21.9962373238938	20.7038541066552	22.3702431100943	21.6166023587804	21.2795127406608	20.7064888500691	20.7689064716965	20.4217072226089	20.4177501570189	20.4748652024306	20.4634439912365	21.1488651042256	21.697622459542	19.9868331099789	21.0916751109393	21.1282077255576	20.0025984475449	21.2784183756734	19.8909232442313	20.3648249467134	20.6312786035133	20.196766231872	20.169881421478	19.9213650675056	22.7062592818092	21.353558483989	20.4810492184722	20.2563953022137	20.6577038841534	18.8156442682863	23.0360751639812	19.4075949159291	20.2853094469836	19.2756055540453	20.4929184738601	21.4511698155865	19.9317352580183	20.0269094497538	20.3172455407949	19.349832791726	21.2240115589897	20.5319762038247	20.1434593039845	19.8656640552766	20.37962839781	20.3230672144409	19.2506660297175	21.5530179592059	15.8534503507643	20.3781762737648	18.8254622493101	17.5449691498291	20.1894551259772	19.3547574409727	19.148954727011	19.1915597034505	19.4175277765011	19.1330689580371	18.398436864557	19.2344568940343	18.9667152631851	17.9365968588937	18.7984810376482	18.7631576792945	18.7359354384311	18.7812225155419	19.6671500858417	18.7066093390129	18.9661872566276	18.5537553056057	18.4858978244336	18.101790582924	18.6036359347604	18.4992634933156	16.6582257734323	19.0467138815521	17.730813618817	17.4855585750573	17.0349197258728	17.9367362383803	18.0571280864777	16.3416297202961	18.8377556593305	17.3890339644283	16.9380542937935	18.3452143104617	18.5561495597896	17.3483719239049	17.0508119554265	16.2481650173396	17.0110993438923	17.5703252720499	18.7633594402326	16.8224439156489	17.4939811083856	16.9492097360508	16.5447978268755	17.5203761839072	16.764530537489	16.377463310513	16.3808546515736	16.4934319625588	15.9933138301166	15.7309224497393	16.2582477732985	15.5613907043019	20.17232208264	15.4151592992635	13.8484512466795	15.5977052642446	14.6995785971823	14.9500992899451	15.0488287599904	14.7620868384519	16.7125199028554	14.452802224806	14.1898054439499	14.2353319032999	13.3792324145948	13.7939698844098	13.0286708591038	14.0769725948009	15.2490349617341	14.4325192210932	14.6828932775268	13.6266349576527	14.2380298838502	13.6329557451578	13.1684108636711	14.2918998696418	12.533018813469	13.9739607693402	13.7907899371055	14.4025395756128	13.2364670605246	12.9399647842803	13.1647437582234	10.5408944670228	13.3207929156274	12.8944805217948	12.2235030720282	12.7460107181352	11.9225863067726	12.3293923057588	11.6587243144709	11.9186429045617	11.0510620107115	11.9519173331034	13.7605616098686	9.77579840518875	10.6012990521943	9.9808288512224	4.34395739767413	4.97589510963507	1.32736767801996	0	12.3835427799732	28.3862799706473	17.4537410230615	0	12.8944646135486	15.5891625115296	10.9786003626933	23.4406352800182	21.4488914987615	15.7985806598471	10.8086868496722	13.6157727184507	24.186096102027	5.86223664928334	0	14.4257387625277	15.0560057478883	12.2344576683562	22.7896842614132	15.5117004258731	19.3358831143896	13.9816129532811	18.7637313026797	0	14.3991523603232	20.9637331002834	18.4072224073181	12.4531055771833	17.7664393466052	10.9654091650366	14.3723109535417	14.1539260842528	0	14.0778412740499	15.6536138871645	11.3882730516601	3.02260608525294	13.5367221754346	17.9329993508412	10.4893041374728	11.9515705813315	0	14.2381950089997	0	15.302746907186	12.7685005100871	17.9262223768445	18.0337199836284	17.4455216621959	14.4508322702158	17.5280013303067	14.0880360736778	13.560235643017	11.9022047242333	0	15.0226101553631	13.7613097501433	0	12.9445355051009	11.9094322475829	18.8282863470138	0	0	15.0368798756492	14.8015957253265	13.816026798433	11.0206406297057	17.0562840691364	0	9.93902237828866	16.7372172568448	12.9714603548408	11.7486867675269	13.9959011914848	15.6472545102364	19.6023695012057	13.6302167905495	10.7911678385019	14.2422373362078	12.936235834824	12.1181159479284	10.7589457267457	15.9125850295441	12.6640892349397	10.2579771398803	10.3257570632644	0	11.9230985958118	11.8100844358427	11.400389266362	10.9226474291502	10.6169638516488	16.7423092046255	18.3452265217735	14.0267131581916	13.0276894538767	12.6351074304161	13.7041277573743	13.6136790364892	13.4725714850971	11.5888929390656	0	0	15.2358548170493	10.0135861175955	0	0	15.5657910263867	10.1515005184236	13.9141439189791	14.39286469872	11.1972623699106	12.0360694761783	0	10.6600107620907	0	14.4061875457849	12.3045796582613	10.9198000677366	13.3538958812188	15.5710532219658	12.2722656505582	12.4455509817859	14.3491807169316	13.4715844838961	10.5177218447122	10.5521044583851	14.5399925200085	13.1980908920858	12.3381921761681	12.4237581512564	15.8156212658967	10.9464755809225	14.301425222595	0	11.6378846543881	13.7956357613168	12.0847108474657	14.1328711795167	14.4205496675877	10.8118773067312	14.7469566156812	0	12.2988797262476	16.0429603842578	0	13.5225028857295	12.7893525358089	0	0	11.8077302656855	12.0654389552181	15.6931985881984	13.8209068923953	11.6971842388314	12.994165091507	13.898248591679	13.2645149201432	0	12.3615841511978	13.6255548408341	12.9860768881468	13.7939590117477	13.851238366295	12.1534061840152	12.5982833937935	14.2198180967378	12.8719738055043	10.9059255844776	12.6132095798972	0	13.5979939041252	11.2597277048432	13.0856702538206	0	10.4669713207517	0	12.8004181874031	12.0239893612055	13.6580182501147	13.0554361245712	8.78236716855801	10.6929072306897	13.5693549963277	12.6601681344703	12.8279247184867	12.0966674331766	0	10.8241168627212	13.0085716622853	10.6284579448577	11.5220434308332	0	0	0	0	0	0	0	0	10.1786259171022	0	11.202512526689	0	0	0	7.49869285000573	0	0	0	0
2650000	-9435.36608500674	-51.9931745109804	-8374.70144152478	-1008.67146897098	5.05085998474181	1.28941213889414	0.839041477890006	1.91423773583474	2.1527095491516	2.60477267251511	0.702366148120038	2.97876980808986	1.25419761214114	3.36931824623968	3.47269237299802	2.56466138603976	1.98840515454673	4.29412150064959	2.5714219516787	0.491764420446042	3	3	1.67084665924391	35.384477820812	0	1779.74239575547	35.384477820812	33.9374485627579	31.0420543434798	29.440570200457	28.8532463832205	26.6514359813825	26.2897873973805	25.5201701252217	26.0684538215282	25.1821792542076	25.4786774571539	25.4620274931329	24.1893968723786	24.8549055074252	24.4156974011614	24.3501519052407	23.6657054020365	24.9821335375099	24.8922010573673	23.7158737197006	24.8071127870313	21.6933801505026	22.1634501111707	23.2404432618101	23.1406405000493	20.5385943622757	16.6364737645488	23.4674578721559	24.5310090524508	22.9809104839822	20.9343846751854	22.6920096777413	22.3612713463251	21.6132848780909	23.5251710506856	23.2385177187725	20.7176512462528	22.6732846229949	22.2383533896938	13.7549413667442	22.6055031788822	21.6454556521106	23.0492668548551	22.0870715382066	21.7470045667245	21.662593314129	22.1170291042145	23.7124963057637	19.9672347916169	21.2372687063505	22.5970747120155	21.4646401300889	20.8199902856977	20.6861680488774	21.4190590026276	21.3153886860903	18.832870162023	21.7125859141278	21.0370876017215	21.9684445050071	20.6338257458685	20.3324816004979	21.3361047133783	22.2696971486802	23.0288777513055	21.9799036517361	21.4589093881061	20.1960360538089	21.304695971811	21.7841388904209	21.255499994159	21.0965894236819	20.5644994222531	20.7206680103583	21.0911955046044	20.1592886219122	24.3615946201134	19.8562022543057	21.6613304361157	20.8123667515148	20.3203799646814	19.5097518408927	21.1879251511523	21.1179080504214	20.2874020701562	20.1369388840195	21.1467214695339	19.9006434224339	18.8386998509837	20.3589343063565	20.1586817584328	20.0028830905699	21.4356103300791	20.540374533236	21.4865398475522	20.4073322947502	20.0586889953306	19.9411867734678	19.9197349506803	20.2474906617232	20.4695619604101	19.9353850818025	20.6528022681632	21.1180569168486	20.1775475790021	20.1072235575068	20.0129839554016	22.318038230496	19.9394673705939	19.7945472690557	16.4397059082635	20.3392046555099	18.9558853867326	20.2853183649373	19.5413336769288	20.1534017041283	19.431061624844	18.5919777190766	20.1623799979004	19.1666363991054	19.2533912319747	17.4486684628052	18.9388746471063	18.7406520353816	18.6341411345804	23.6347713303072	18.3423552600503	17.9603621323828	18.617126825437	17.1958234913957	20.3619926507099	17.5472465762363	17.8239468452777	16.3832718196139	17.2185906374124	18.2439335091745	17.7280838784725	17.4081143380473	18.4146690857419	17.4001828921679	16.3557518734897	18.1964169053361	17.5143344706038	16.7908599708508	17.5727949034297	17.9725733147741	16.9568342239784	16.7743690276995	18.0040150387402	17.1394816574569	18.9617574227813	17.5254165414297	16.7398843290154	16.4934159365923	16.9677721235948	16.5712115348149	16.3949649446431	16.886180905854	16.223353908208	16.2440952644208	15.8792011609528	16.2830436698937	15.7205158306109	18.8899662755673	15.6156924961967	15.7975622712499	16.0448909760755	13.6558594673346	15.4389863921466	14.5859224226164	15.0455596097737	15.3401430857323	14.6312654327273	15.5010991433251	16.1433478538012	14.5655721196955	14.8053906950685	13.3612496212772	14.2903709295678	12.9520826757488	13.9004213975489	13.9124171921439	13.3932499838107	14.0760537980381	13.9728181812554	13.8220955282453	13.3586522210682	13.1705941758361	12.9841396144631	14.3171999711011	14.1327564378536	15.5303938776695	13.6018736380961	13.3493357770638	13.3341119732511	13.1425169867324	10.7228274104053	14.207534488164	13.0834792832642	12.2893119494234	12.522326384745	12.2095263188827	12.0433488907679	10.8558653061126	12.1207539307903	11.6051391213811	10.9728854556548	11.180665795475	10.3897942617452	11.1913114040389	11.2914890677506	9.87173751690893	3.81228393638651	1.60185951201399	0	12.4378966466567	28.0657818413867	16.7144889220853	0	12.2091335191297	14.4257608395378	11.2657498257943	23.4309238114074	20.2180149204025	16.5841475229237	10.7261588334352	14.615079162307	24.1709468679271	5.78769643200275	0	13.9782000165014	15.141048341313	12.0629828730474	22.9110793291159	14.4031047481021	18.6134570853997	13.3203723952313	18.6055479922166	0	14.4279182859702	21.9466251135565	18.8826592999759	12.6016034180987	16.9260430594301	11.0090348266484	18.0215530963555	13.6709020877263	0	14.5474814592207	14.4861323831323	9.80595284115212	3.13631595811688	13.7407423489141	17.8336666168904	9.97018806036099	12.2130745305277	0	14.0188231275562	0	15.5120126656656	12.3023615443875	18.481351172038	18.4982548174429	16.93072860113	14.4396284277066	16.6857477770069	14.3087183782155	13.7688431104398	11.9635708560601	0	15.4093467192371	14.8260679646046	0	12.7523224920098	10.0129409281656	19.9029379225254	0	0	14.0738233665198	14.4835729932753	13.9244647752365	11.8911915854632	17.0118189573906	0	9.97136745826323	14.3285140236491	13.9102116499926	10.1451107994672	14.1235144936894	15.9947147689427	19.7775892667019	13.7759430834338	10.0133805451869	14.4820767464427	12.5819217770027	11.4055564133966	10.6619295851625	14.5625373711317	12.6243985124	11.4781381798276	12.0365447516913	0	12.291524145088	11.7376088960994	12.7527394878028	9.86779069710588	12.1350831077964	17.1507331975924	18.7243405906094	14.1402555248863	12.8422297259345	12.9613726649018	13.2503091457472	13.5759456370656	13.9750280816417	11.221966357753	0	0	14.4869284940363	11.9227113045894	0	0	14.5064032348238	10.7373069886386	13.8170732443931	12.678396490533	11.1796888224777	12.0170127940088	0	11.1966602749666	0	13.392940350633	12.3804695770994	11.0248916267362	14.4264304216496	16.8099797572354	12.2749079423282	12.6098541070236	14.935164334788	13.6591064707897	10.6977245971338	10.8560590745979	14.583506433278	15.2870701122302	12.1802793113193	13.0700105447561	16.3696409370078	10.3632491584892	14.2318726601757	0	11.4802164646802	13.9488711031358	13.1601789807676	14.2980688666991	14.502738446611	10.826657093971	14.4817799591095	0	12.1171987127455	15.9841400680671	0	13.5465185503433	12.79417307934	0	0	10.1307238815563	12.8042072206509	15.6176416974878	13.6823105027564	14.191650266232	12.648593066233	13.6332909103643	13.5276001683842	0	12.1429719109062	13.4101492100511	12.7564993834822	13.3618197611508	13.9573362059201	12.143243922767	12.6398016826986	14.4786481697199	12.6998183821049	10.2956268116627	12.5944917132258	0	13.3778359253339	11.3159715001237	12.9999180623493	0	10.5274863233824	0	12.4634978928371	11.6690044845278	13.684552451881	13.0331882202334	8.87016235087472	11.7790536051167	13.7940573412642	11.6184794066611	12.8390906097425	12.0624355642413	0	12.3053186472652	13.0355965132313	10.998085899588	12.0252777513525	0	0	0	0	0	0	0	0	10.2013839815391	0	11.1765081230536	0	0	0	8.72790457723698	0	0	0	0
