	PFT	tooth_type	transversal_lophs	hypsodonty_categorical	body_size_cat	acute_lophs	obtuse_lophs	occlusal_topography	horizodonty_Probosc	enamel_folding_or_ptychodonty	skull_shape	upper.tusks	lower.tusks	mandible	mandibular.symphysis	pattern.of.mastication_POM	teeth.replacement	foot.posture
Chilgatherium_harrisi	2	bil	1	bra	3	1	0	0	1	0						POM_dein	P4 present	subunguligrade
Daouitherium_rebouli	2	bil	0	bra	1	1	0	0	1	0			low_tsk_short	mandb_short_noTusks	symph_reduced	POM_dein	P4 present	plantigrade
Deinotherium_bozasi	2	bil	1	bra	7	1	0	0	1	0	skull_non_bathyceph_domed	up_tsk_strong_up_curve	low_tsk_conical	mandb_reduced	symph_reduced	POM_dein	P4 present	subunguligrade
Deinotherium_giganteum	2	bil	1	bra	7	1	0	0	1	0	skull_non_bathyceph_flat	up_tsk_strong_up_curve	low_tsk_conical	mandb_reduced	symph_reduced	POM_dein	P4 present	subunguligrade
Deinotherium_indicum	2	bil	1	bra	7	1	0	0	1	0	skull_non_bathyceph_flat	up_tsk_strong_up_curve	low_tsk_conical	mandb_reduced	symph_reduced	POM_dein	P4 present	subunguligrade
Deinotherium_levius	2	bil	1	bra	6	1	0	0	1	0	skull_non_bathyceph_flat	up_tsk_strong_up_curve	low_tsk_conical	mandb_reduced	symph_reduced	POM_dein	P4 present	subunguligrade
Deinotherium_proavum	2	bil	1	bra	7	1	0	0	1	0	skull_non_bathyceph_flat	up_tsk_strong_up_curve	low_tsk_conical	mandb_reduced	symph_reduced	POM_dein	P4 present	subunguligrade
Losodokodon_losodokius	2	blm	2	bra	2	1	0	0	2	0	skull_non_bathyceph_flat	up_tsk_down_curved				POM_mammuth		
Numidotherium_koholense	2	bil	1	bra	2	1	0	0	1	0	skull_non_bathyceph_domed	up_tsk_down_curved	low_tsk_short	mandb_short_noTusks	symph_reduced	POM_dein	P4 present	plantigrade
Numidotherium_savagei	2	bil	1	bra	2	1	0	0	1	0	skull_non_bathyceph_domed	up_tsk_down_curved	low_tsk_short	mandb_short_noTusks	symph_reduced	POM_dein	P4 present	plantigrade
Omanitherium_dhofarensis	2	bil	1	bra	2	1	0	0	1	0		up_tsk_down_curved	low_tsk_short	mandb_long_straight	symph_reduced	POM_dein	P4 present	plantigrade
Phosphatherium_escuilliei	2	bil	1	bra	1	1	0	0	1	0	skull_non_special	up_tusk_incisor_like	low_tsk_short	mandb_short_noTusks	symph_reduced	POM_dein	P4 present	
Prodeinotherium_bavaricum	2	bil	1	bra	5	1	0	0	1	0	skull_non_bathyceph_flat	up_tsk_lost_upsent	low_tsk_conical	mandb_reduced	symph_long_parall	POM_dein	P4 present	subunguligrade
Prodeinotherium_hobleyi	2	bil	1	bra	5	1	0	0	1	0	skull_non_bathyceph_flat	up_tsk_lost_upsent	low_tsk_conical	mandb_reduced	symph_long_parall	POM_dein	P4 present	subunguligrade
Prodeinotherium_pentapotamiae	2	bil	1	bra	5	1	0	0	1	0	skull_non_bathyceph_flat	up_tsk_lost_upsent	low_tsk_conical	mandb_reduced	symph_long_parall	POM_dein	P4 present	subunguligrade
Afrochoerodon_kisumuensis	3	bun	0	bra	4	0	1	0	3	0	skull_non_bathyceph_domed	up_tsk_gentle_up-curve				POM_gomph	P4 absent	subunguligrade
Afromastodon_coppensi	3	bun	0	bra	5	0	1	0	3	0						POM_gomph	P4 absent	subunguligrade
Aphanobelodon_zhaoi	3	bun	0	bra	3	0	1	0	3	0	skull_non_bathyceph_flat	up_tsk_strong_up_curve	low_tsk_flat_shovel	mandb_long_straight	symph_long_broad	POM_gomph	P4 absent	subunguligrade
Archaeobelodon_filholi	3	blm	0	bra	4	0	1	0	3	0	skull_non_bathyceph_flat	up_tsk_down_curved	low_tsk_flat_shovel	mandb_long_straight	symph_long_parall	POM_gomph	P4 absent	subunguligrade
Choerolophodon_anatolicus	3	bun	0	bra	4	0	1	0	3	0	skull_non_bathyceph_flat	up_tsk_gentle_up-curve	low_tsk_absent	mandb_long_straight	symph_long_parall	POM_gomph	P4 absent	subunguligrade
Choerolophodon_chioticus	3	bun	0	bra	4	0	1	0	3	0	skull_non_bathyceph_domed	up_tsk_gentle_up-curve	low_tsk_absent	mandb_long_straight	symph_long_parall	POM_gomph	P4 absent	subunguligrade
Choerolophodon_corrugatus	3	bun	0	bra	3	1	0	0	1	0	skull_non_bathyceph_flat	up_tsk_strong_up_curve	low_tsk_absent	mandb_long_straight	symph_long_parall	POM_gomph	P4 absent	subunguligrade
Choerolophodon_guangheensis	3	bun	0	bra	4	0	1	0	3	1	skull_non_bathyceph_flat	up_tsk_gentle_up-curve	low_tsk_absent	mandb_long_straight	symph_long_parall	POM_gomph	P4 absent	subunguligrade
Choerolophodon_ngorora	3	bun	0	bra	4	0	1	0	3	1			low_tsk_absent	mandb_long_straight	symph_long_parall	POM_gomph	P4 absent	subunguligrade
Choerolophodon_pentelici	3	bun	0	bra	4	0	1	0	3	1	skull_non_bathyceph_flat	up_tsk_strong_up_curve	low_tsk_absent	mandb_long_straight	symph_long_parall	POM_gomph	P4 absent	subunguligrade
Eritreum_melakeghebrekristosi	3	bun	0	bra	3	0	1	0	2	0						POM_gomph	P4 present	subunguligrade
Gomphotherium_angustidens	3	bun	0	bra	5	0	1	0	3	0	skull_non_bathyceph_domed	up_tsk_down_curved	low_tsk_conical	mandb_long_straight	symph_long_parall	POM_gomph	P4 absent	subunguligrade
Gomphotherium_annectens	3	bun	0	bra	4	0	1	0	3	0		up_tsk_down_curved	low_tsk_conical	mandb_long_straight	symph_long_parall	POM_gomph	P4 absent	subunguligrade
Gomphotherium_basal	3	bun	0	bra	3	0	1	0	2	0		up_tsk_down_curved	low_tsk_conical	mandb_long_straight	symph_long_parall	POM_gomph	P4 absent	subunguligrade
Gomphotherium_browni	3	bun	0	bra	5	0	1	0	3	0		up_tsk_down_curved	low_tsk_conical	mandb_long_straight	symph_long_parall	POM_gomph	P4 absent	subunguligrade
Gomphotherium_connexum	3	bun	0	bra	4	0	1	0	3	0		up_tsk_down_curved	low_tsk_conical	mandb_long_straight	symph_long_parall	POM_gomph	P4 absent	subunguligrade
Gomphotherium_cooperi	3	bun	0	bra	4	0	1	0	2	0		up_tsk_down_curved	low_tsk_conical	mandb_long_straight	symph_long_parall	POM_gomph	P4 absent	subunguligrade
Gomphotherium_hannibali	3	bun	0	bra	4	0	1	0	3	0		up_tsk_down_curved	low_tsk_conical	mandb_long_straight	symph_long_parall	POM_gomph	P4 absent	subunguligrade
Gomphotherium_inopinatum	3	bun	0	bra	4	0	1	0	3	0	skull_non_bathyceph_flat	up_tsk_down_curved	low_tsk_conical	mandb_long_straight	symph_long_parall	POM_gomph	P4 absent	subunguligrade
Gomphotherium_mongoliense	3	bun	0	bra	4	0	1	0	3	0		up_tsk_down_curved	low_tsk_conical	mandb_long_straight	symph_long_parall	POM_gomph	P4 absent	subunguligrade
Gomphotherium_steinheimense	3	bun	0	bra	6	0	1	0	3	0	skull_non_bathyceph_domed	up_tsk_down_curved	low_tsk_conical	mandb_long_straight	symph_long_parall	POM_gomph	P4 absent	subunguligrade
Gomphotherium_subtapiroideum	3	bun	0	bra	3	0	1	0	3	0	skull_non_bathyceph_domed	up_tsk_down_curved	low_tsk_conical	mandb_long_straight	symph_long_parall	POM_gomph	P4 absent	subunguligrade
Gomphotherium_sylvaticum	3	bun	0	bra	4	0	1	0	2	0		up_tsk_down_curved	low_tsk_conical	mandb_long_straight	symph_long_parall	POM_gomph	P4 absent	subunguligrade
Gomphotherium_tassyi	3	bun	0	bra	4	0	1	0	3	0	skull_non_bathyceph_domed	up_tsk_down_curved	low_tsk_conical	mandb_long_straight	symph_long_parall	POM_gomph	P4 absent	subunguligrade
Gomphotherium_wimani	3	bun	0	bra	4	0	1	0	3	0		up_tsk_down_curved	low_tsk_conical	mandb_long_straight	symph_long_parall	POM_gomph	P4 absent	subunguligrade
Hemimastodon_crepusculi	3	bun	0	bra	3	0	1	0	2	0								subunguligrade
Paratetralophodon_exoletus	3	bun	0	bra	5	0	1	0	4	0	skull_non_bathyceph_domed	up_tsk_down_curved	low_tsk_conical	mandb_long_angled	symph_long_parall	POM_gomph	P4 absent	subunguligrade
Progomphotherium_maraisi	3	bun	0	bra	3	0	1	0	3	0	skull_non_bathyceph_flat					POM_gomph	P4 absent	subunguligrade
Tetralophodon_longirostris	3	bun	0	bra	5	0	1	0	3	0	skull_non_bathyceph_domed	up_tsk_down_curved	low_tsk_conical	mandb_long_angled	symph_long_parall	POM_gomph	P4 absent	subunguligrade
Tetralophodon_xiaolongtanensis	3	bun	0	bra	5	0	1	0	3	0	skull_non_bathyceph_domed	up_tsk_down_curved	low_tsk_conical	mandb_long_angled	symph_long_parall	POM_gomph	P4 absent	subunguligrade
Eozygodon_morotoensis	4	zygo	2	bra	5	1	0	0	2	0	skull_non_bathyceph_flat	up_tsk_down_curved				POM_mammuth	P4 absent	subunguligrade
Mammut_americanum	4	zygo	3	bra	6	1	0	0	3	0	skull_non_bathyceph_flat	up_tsk_gentle_up-curve	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_mammuth	P4 absent	subunguligrade
Mammut_borsoni	4	zygo	3	bra	7	1	0	0	3	0	skull_non_bathyceph_flat	up_tsk_nearly_straight	low_tsk_conical	mandb_short_noTusks	symph_reduced	POM_mammuth	P4 absent	subunguligrade
Mammut_obliquelophus	4	zygo	3	bra	7	1	0	0	3	0	skull_non_bathyceph_flat	up_tsk_nearly_straight	low_tsk_conical	mandb_long_straight	symph_long_parall	POM_mammuth	P4 absent	subunguligrade
Miomastodon_gobiensis	4	zygo	3	bra	5	1	0	0	3	0	skull_non_bathyceph_flat	up_tsk_down_curved	low_tsk_conical	mandb_short_noTusks	symph_reduced	POM_mammuth	P4 absent	subunguligrade
Miomastodon_metachinjiensis	4	zygo	3	bra	5	1	0	0	3	0		up_tsk_down_curved	low_tsk_conical	mandb_short_noTusks	symph_reduced	POM_mammuth	P4 absent	subunguligrade
Miomastodon_proavus	4	zygo	3	bra	5	1	0	0	3	0		up_tsk_down_curved	low_tsk_conical	mandb_short_noTusks	symph_reduced	POM_mammuth	P4 absent	subunguligrade
