	PFT	tooth_type	transversal_lophs	hypsodonty_categorical	body_size_cat	acute_lophs	obtuse_lophs	occlusal_topography	horizodonty_Probosc	enamel_folding_or_ptychodonty	skull_shape	upper.tusks	lower.tusks	mandible	mandibular.symphysis	pattern.of.mastication_POM	teeth.replacement	foot.posture
Stegodon_bombifrons	7	lam	4	bra	5	0	1	0	4	0	skull_bathyceph	up_tsk_nearly_straight	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_eleph	P4 absent	subunguligrade
Stegodon_elephantoides	7	lam	5	bra	5	0	1	0	5	0	skull_bathyceph	up_tsk_nearly_straight	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_eleph	P4 absent	subunguligrade
Stegodon_florensis	7	lam	6	bra	3	0	1	0	6	0	skull_bathyceph	up_tsk_nearly_straight	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_eleph	P4 absent	subunguligrade
Stegodon_ganesa	7	lam	5	bra	5	0	1	0	5	0	skull_bathyceph	up_tsk_nearly_straight	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_eleph	P4 absent	subunguligrade
Stegodon_huananensis	7	lam	4	bra	5	0	1	0	4	0	skull_bathyceph	up_tsk_nearly_straight	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_eleph	P4 absent	subunguligrade
Stegodon_insignis	7	lam	5	bra	5	0	1	0	5	0	skull_bathyceph	up_tsk_nearly_straight	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_eleph	P4 absent	subunguligrade
Stegodon_kaisensis	7	lam	4	bra	5	0	1	0	4	0	skull_bathyceph	up_tsk_nearly_straight	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_eleph	P4 absent	subunguligrade
Stegodon_luzonensis	7	blm	4	bra	4	0	1	0	4	0	skull_bathyceph	up_tsk_nearly_straight	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_eleph	P4 absent	subunguligrade
Stegodon_orientalis	7	lam	6	bra	5	0	1	0	6	0	skull_bathyceph	up_tsk_nearly_straight	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_eleph	P4 absent	subunguligrade
Stegodon_pinjorensis	7	lam	5	bra	5	0	1	0	5	0	skull_bathyceph	up_tsk_nearly_straight	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_eleph	P4 absent	subunguligrade
Stegodon_sompoensis	7	lam	5	bra	3	0	1	0	5	0	skull_bathyceph	up_tsk_nearly_straight	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_eleph	P4 absent	subunguligrade
Stegodon_sondaari	7	lam	4	bra	2	0	1	0	4	0	skull_bathyceph	up_tsk_nearly_straight	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_eleph	P4 absent	subunguligrade
Stegodon_timorensis	7	lam	4	bra	2	0	1	0	4	0	skull_bathyceph	up_tsk_nearly_straight	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_eleph	P4 absent	subunguligrade
Stegodon_trigonocephalus	7	lam	5	bra	5	0	1	0	5	0	skull_bathyceph	up_tsk_nearly_straight	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_eleph	P4 absent	subunguligrade
Stegodon_zdanskyi	7	lam	4	bra	7	0	1	0	4	0	skull_bathyceph	up_tsk_nearly_straight	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_eleph	P4 absent	subunguligrade
Stegoloxodon_celebensis	7	lam	5	mes	2	0	1	1	5	0	skull_non_bathyceph_domed					POM_eleph	P4 absent	subunguligrade
Elephas_atavus	8	lam	7	hyp	6	0	1	1	7	1	skull_bathyceph_hypsiceph	up_tsk_gentle_up-curve	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_eleph	P4 absent	subunguligrade
Elephas_ekorensis	8	lam	5	hyp	5	0	1	1	5	0	skull_bathyceph	up_tsk_gentle_up-curve	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_eleph	P4 absent	subunguligrade
Elephas_hysudricus	8	lam	7	hyp	6	0	1	1	7	1	skull_bathyceph_hypsiceph	up_tsk_gentle_up-curve	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_eleph	P4 absent	subunguligrade
Elephas_hysudrindicus	8	lam	7	hyp	6	0	1	1	7	1	skull_bathyceph_hypsiceph	up_tsk_gentle_up-curve	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_eleph	P4 absent	subunguligrade
Elephas_maximus	8	lam	7	hyp	5	0	1	1	7	1	skull_bathyceph_hypsiceph	up_tsk_gentle_up-curve	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_eleph	P4 absent	subunguligrade
Elephas_planifrons	8	lam	6	hyp	4	0	1	1	6	0	skull_bathyceph	up_tsk_gentle_up-curve	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_eleph	P4 absent	subunguligrade
Loxodonta_adaurora	8	lam	5	mes	7	0	1	1	5	0	skull_bathyceph	up_tsk_gentle_up-curve	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_eleph	P4 absent	subunguligrade
Loxodonta_africana	8	lam	6	hyp	5	0	1	1	6	0	skull_bathyceph	up_tsk_gentle_up-curve	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_eleph	P4 absent	subunguligrade
Loxodonta_atlantica	8	lam	6	hyp	6	0	1	1	6	1	skull_bathyceph	up_tsk_gentle_up-curve	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_eleph	P4 absent	subunguligrade
Loxodonta_cyclotis	8	lam	6	hyp	5	0	1	1	6	0	skull_bathyceph	up_tsk_gentle_up-curve	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_eleph	P4 absent	subunguligrade
Loxodonta_exoptata	8	lam	5	mes	6	0	1	1	5	0	skull_bathyceph	up_tsk_gentle_up-curve	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_eleph	P4 absent	subunguligrade
Mammuthus_africanavus	8	lam	5	mes	5	0	1	1	5	0	skull_bathyceph_hypsiceph	up_tsk_gentle_up-curve	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_eleph	P4 absent	subunguligrade
Mammuthus_columbi	8	lam	7	hyp	7	0	1	1	7	0	skull_bathyceph_hypsiceph	up_tsk_strong_up_curve	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_eleph	P4 absent	subunguligrade
Mammuthus_creticus	8	lam	6	mes	1	0	1	1	6	0	skull_bathyceph_hypsiceph		low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_eleph	P4 absent	subunguligrade
Mammuthus_exilis	8	lam	7	hyp	2	0	1	1	7	0	skull_bathyceph_hypsiceph	up_tsk_strong_up_curve	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_eleph	P4 absent	subunguligrade
Mammuthus_gromovi	8	lam	6	mes	6	0	1	1	6	0	skull_bathyceph_hypsiceph	up_tsk_strong_up_curve	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_eleph	P4 absent	subunguligrade
Mammuthus_lamarmorai	8	lam	7	hyp	2	0	1	1	7	0	skull_bathyceph_hypsiceph		low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_eleph	P4 absent	subunguligrade
Mammuthus_meridionalis	8	lam	6	hyp	7	0	1	1	6	0	skull_bathyceph_hypsiceph	up_tsk_strong_up_curve	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_eleph	P4 absent	subunguligrade
Mammuthus_primigenius	8	lam	7	hyp	5	0	1	1	7	0	skull_bathyceph_hypsiceph	up_tsk_strong_up_curve	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_eleph	P4 absent	subunguligrade
Mammuthus_protomammonteus	8	lam	7	hyp	5	0	1	1	7	0	skull_bathyceph_hypsiceph		low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_eleph	P4 absent	subunguligrade
Mammuthus_rumanus	8	lam	5	mes	6	0	1	1	5	0	skull_bathyceph_hypsiceph		low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_eleph	P4 absent	subunguligrade
Mammuthus_trogontherii	8	lam	7	hyp	7	0	1	1	7	0	skull_bathyceph_hypsiceph	up_tsk_strong_up_curve	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_eleph	P4 absent	subunguligrade
Palaeoloxodon_antiquus	8	lam	7	hyp	7	0	1	1	7	1	skull_bathyceph_hypsiceph	up_tsk_gentle_up-curve	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_eleph	P4 absent	subunguligrade
Palaeoloxodon_creutzburgi	8	lam	5	hyp	5	0	1	1	5	1		up_tsk_gentle_up-curve	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_eleph	P4 absent	subunguligrade
Palaeoloxodon_cypriotes	8	lam	5	hyp	1	0	1	1	5	1	skull_bathyceph	up_tsk_gentle_up-curve	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_eleph	P4 absent	subunguligrade
Palaeoloxodon_falconeri	8	lam	6	hyp	1	0	1	1	6	0	skull_bathyceph_hypsiceph	up_tsk_gentle_up-curve	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_eleph	P4 absent	subunguligrade
Palaeoloxodon_jolensis	8	lam	7	hyp	7	0	1	1	7	1	skull_bathyceph_hypsiceph	up_tsk_gentle_up-curve	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_eleph	P4 absent	subunguligrade
Palaeoloxodon_lomolinoi	8	lam	5	hyp	2	0	1	1	5	1		up_tsk_gentle_up-curve	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_eleph	P4 absent	subunguligrade
Palaeoloxodon_mnaidriensis	8	lam	7	hyp	3	0	1	1	7	0	skull_bathyceph_hypsiceph	up_tsk_gentle_up-curve	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_eleph	P4 absent	subunguligrade
Palaeoloxodon_namadicus	8	lam	7	hyp	7	0	1	1	7	1	skull_bathyceph_hypsiceph	up_tsk_gentle_up-curve	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_eleph	P4 absent	subunguligrade
Palaeoloxodon_naumanni	8	lam	7	hyp	6	0	1	1	7	1	skull_bathyceph_hypsiceph	up_tsk_gentle_up-curve	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_eleph	P4 absent	subunguligrade
Palaeoloxodon_recki	8	lam	7	hyp	7	0	1	1	7	1	skull_bathyceph_hypsiceph	up_tsk_gentle_up-curve	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_eleph	P4 absent	subunguligrade
Palaeoloxodon_tiliensis	8	lam	5	hyp	2	0	1	1	5	0		up_tsk_gentle_up-curve	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_eleph	P4 absent	subunguligrade
