Africa	America	Eurasia
Stegodon_trigonocephalus	0	0	1
Stegodon_zdanskyi	0	0	1
Stegolophodon_hueiheensis	0	0	1
Stegolophodon_latidens	0	0	1
Stegolophodon_lydekkeri	0	0	1
Stegolophodon_nasaiensis	0	0	1
Stegolophodon_pseudolatidens	0	0	1
Stegolophodon_stegodontoides	0	0	1
Stegoloxodon_celebensis	0	0	1
Stegomastodon_aftoniae	0	1	0
Stegomastodon_mirificus	0	1	0
Stegomastodon_platensis	0	1	0
Stegomastodon_primitivus	0	1	0
Stegotetrabelodon_orbus	1	0	0
Stegotetrabelodon_syrticus	1	0	1
Tetralophodon_euryrostris	0	0	1
Tetralophodon_longirostris	1	0	1
Tetralophodon_xiaolongtanensis	0	0	1
Torynobelodon_barnumbrowni	0	1	0
Torynobelodon_loomisi	0	1	0
Zygolophodon_aegyptensis	1	0	0
Zygolophodon_chinjiensis	0	0	1
Zygolophodon_turicensis	0	0	1
