Species	NMDS1	NMDS2
Afrochoerodon_kisumuensis	-0.0810981217987767	-0.799016239637565
Afromastodon_coppensi	-0.0184602625500703	-0.567317586836067
Amebelodon_floridanus	0.142035802312936	-1.56118648538441
Amebelodon_fricki	0.194266825002114	-1.63273240063768
Anancus_arvernensis	0.263965938334339	-0.170495841571779
Anancus_kazachstanensis	0.263965938334339	-0.170495841571779
Anancus_kenyensis	0.242329146842273	-0.175542130996932
Anancus_lehmanni	0.134814355994058	-0.243390226809055
Anancus_osiris	0.19495139849217	-0.223090670725096
Anancus_perimensis	0.100421214012633	-0.386225089427438
Anancus_petrocchii	0.13077149655276	-0.207110947575169
Anancus_sinensis	0.217094065020907	-0.238321888268395
Anancus_sivalensis	0.29186712293248	-0.180649591666838
Anancus_ultimus	0.28098057105069	-0.175243889773299
Aphanobelodon_zhaoi	-0.666339184502935	-0.978623531843796
Archaeobelodon_filholi	-0.530823275802624	-1.09025744803064
Barytherium_grave	-2.45263487793742	1.08959153900003
Chilgatherium_harrisi	-1.73451104900531	1.13340697049122
Choerolophodon_anatolicus	-0.346161952688902	-0.497534449635795
Choerolophodon_chioticus	-0.0984097137815234	-0.870448273676343
Choerolophodon_corrugatus	-0.974507467842991	-0.283534196697913
Choerolophodon_guangheensis	-0.369716114281058	-0.53141789121383
Choerolophodon_ngorora	-0.0282152712225646	-0.68239770389694
Choerolophodon_pentelici	-0.414583843029675	-0.53445284639467
Cuvieronius_hyodon	0.43787219068675	-0.560068068712387
Daouitherium_rebouli	-2.35806128739032	2.05149700751569
Deinotherium_bozasi	-1.71873449869772	1.66982240067779
Deinotherium_giganteum	-1.6866405917305	1.90822505694254
Deinotherium_indicum	-1.68664059173146	1.90822505694352
Deinotherium_levius	-1.67311018539467	1.73061536594545
Deinotherium_proavum	-1.68664059173608	1.90822505694826
Elephas_atavus	1.37285055676594	0.648309788828526
Elephas_ekorensis	1.06234113213693	0.616778334033209
Elephas_hysudricus	1.37285055676594	0.648309788828526
Elephas_hysudrindicus	1.37285055676594	0.648309788828527
Elephas_maximus	1.30741179705183	0.635066864936334
Elephas_planifrons	1.06000256094101	0.733434697159816
Eozygodon_morotoensis	-0.815959002114192	1.10228837072399
Eritherium_azzouzorum	-2.1042754038977	-1.33531833673532
Eritreum_melakeghebrekristosi	-0.70665578525507	-0.734049517803922
Eubelodon_morrilli	-0.0396905546967406	-1.27754260390367
Gnathabelodon_buckneri	0.356160389552288	-1.10612747792026
Gnathabelodon_thorpei	0.423212791123226	-1.18916153862621
Gomphotherium_angustidens	-0.343765582145374	-1.0365355480159
Gomphotherium_annectens	-0.370101165135938	-0.851733865646352
Gomphotherium_basal	-0.447344999291067	-0.877743982550461
Gomphotherium_browni	-0.307519002546884	-0.826177802592687
Gomphotherium_connexum	-0.370101165135938	-0.851733865646352
Gomphotherium_cooperi	-0.399408460837228	-0.839437818975207
Gomphotherium_hannibali	-0.370101165135938	-0.851733865646352
Gomphotherium_inopinatum	-0.57789663886497	-0.763704961138203
Gomphotherium_mongoliense	-0.370101165135938	-0.851733865646352
Gomphotherium_productum	-0.100356671834941	-1.33411877387726
Gomphotherium_steinheimense	-0.350217659449109	-1.10061656866568
Gomphotherium_subtapiroideum	-0.444332803618098	-1.11884892485171
Gomphotherium_sylvaticum	-0.399408460837228	-0.839437818975207
Gomphotherium_tassyi	-0.404282214879937	-1.05941177694698
Gomphotherium_wimani	-0.370101165135938	-0.851733865646352
Hemimastodon_crepusculi	-0.223422809527815	-0.396749683668074
Khamsaconus_bulbosus	-1.79914042964896	-0.528987465097521
Konobelodon_atticus	0.151002162174363	-1.42219607157858
Konobelodon_britti	0.170683466246357	-1.44908740346427
Konobelodon_cyrenaicus	0.300060328236166	-1.36857456152947
Konobelodon_robustus	0.0980591364424912	-1.19886651941199
Losodokodon_losodokius	-2.20167075377711	0.483958968833103
Loxodonta_adaurora	1.04878505394002	0.863758290508446
Loxodonta_africana	1.08299254011512	0.669883789413162
Loxodonta_atlantica	1.27222745085973	0.587721096377361
Loxodonta_cookei	0.925248582959033	0.636195851535037
Loxodonta_cyclotis	1.08299254011512	0.669883789413162
Loxodonta_exoptata	1.02839671264375	0.73507046434162
Mammut_americanum	-0.239250630511692	1.69602367332516
Mammut_borsoni	-0.539360890058233	1.80141832356426
