Taxon,Africa,America,Eurasia,Island
Mammuthus_creticus,0.0,0.0,0.0,1.0
Mammuthus_exilis,0.0,0.0,0.0,1.0
Mammuthus_gromovi,0.0,0.0,1.0,0.0
Mammuthus_lamarmorai,0.0,0.0,0.0,1.0
Mammuthus_meridionalis,1.0,1.0,1.0,0.0
Mammuthus_primigenius,0.0,1.0,1.0,0.0
Mammuthus_protomammonteus,0.0,0.0,1.0,0.0
Mammuthus_rumanus,0.0,0.0,1.0,0.0
Mammuthus_subplanifrons,1.0,0.0,0.0,0.0
Mammuthus_trogontherii,0.0,0.0,1.0,0.0
Megabelodon_joraki,0.0,1.0,0.0,0.0
Megabelodon_lulli,0.0,1.0,0.0,0.0
Megabelodon_minor,0.0,1.0,0.0,0.0
Miomastodon_gobiensis,0.0,0.0,1.0,0.0
Miomastodon_metachinjiensis,0.0,0.0,1.0,0.0
Miomastodon_proavus,0.0,1.0,1.0,0.0
Moeritherium_andrewsi,1.0,0.0,0.0,0.0
Moeritherium_chehbeurameuri,1.0,0.0,0.0,0.0
Moeritherium_lyonsi,1.0,0.0,0.0,0.0
Moeritherium_trigodon,1.0,0.0,0.0,0.0
Numidotherium_savagei,1.0,0.0,0.0,0.0
Omanitherium_dhofarensis,1.0,0.0,0.0,0.0
Palaeoloxodon_antiquus,0.0,0.0,1.0,0.0
Palaeoloxodon_creutzburgi,0.0,0.0,0.0,1.0
Palaeoloxodon_cypriotes,0.0,0.0,0.0,1.0
Palaeoloxodon_falconeri,0.0,0.0,0.0,1.0
Palaeoloxodon_jolensis,1.0,0.0,0.0,0.0
Palaeoloxodon_lomolinoi,0.0,0.0,0.0,1.0
Palaeoloxodon_mnaidriensis,0.0,0.0,0.0,1.0
Palaeoloxodon_namadicus,0.0,0.0,1.0,0.0
Palaeoloxodon_naumanni,0.0,0.0,1.0,0.0
Palaeoloxodon_recki,1.0,0.0,0.0,0.0
Palaeoloxodon_tiliensis,0.0,0.0,0.0,1.0
Palaeomastodon_beadnelli,1.0,0.0,0.0,0.0
Paratetralophodon_exoletus,0.0,0.0,1.0,0.0
Paratetralophodon_hasnotensis,0.0,0.0,1.0,0.0
Pediolophodon_campester,0.0,1.0,0.0,0.0
Phiomia_major,1.0,0.0,0.0,0.0
Phiomia_serridens,1.0,0.0,0.0,0.0
Platelephas_platycephalus,0.0,0.0,1.0,0.0
Platybelodon_dangheensis,0.0,0.0,1.0,0.0
Platybelodon_danovi,0.0,0.0,1.0,0.0
Platybelodon_grangeri,0.0,0.0,1.0,0.0
Platybelodon_tongxinensis,0.0,0.0,1.0,0.0
Primelephas_korotorensis,1.0,0.0,0.0,0.0
Prodeinotherium_bavaricum,0.0,0.0,1.0,0.0
Prodeinotherium_hobleyi,1.0,0.0,0.0,0.0
Prodeinotherium_pentapotamiae,0.0,0.0,1.0,0.0
Progomphotherium_maraisi,1.0,0.0,0.0,0.0
Protanancus_brevirostris,0.0,0.0,1.0,0.0
Protanancus_chinjiensis,0.0,0.0,1.0,0.0
Protanancus_macinnesi,1.0,0.0,0.0,0.0
Protanancus_tobieni,0.0,0.0,1.0,0.0
Rhynchotherium_falconeri,0.0,1.0,0.0,0.0
Rhynchotherium_tlascalae,0.0,1.0,0.0,0.0
Serbelodon_barbourensis,0.0,1.0,0.0,0.0
Sinomammut_tobieni,0.0,0.0,1.0,0.0
Sinomastodon_bumiajuensis,0.0,0.0,1.0,0.0
Sinomastodon_huananensis,0.0,0.0,1.0,0.0
Sinomastodon_intermedius,0.0,0.0,1.0,0.0
Sinomastodon_jiangnanensis,0.0,0.0,1.0,0.0
Sinomastodon_praeintermedius,0.0,0.0,1.0,0.0
Sinomastodon_sendaicus,0.0,0.0,1.0,0.0
Sinomastodon_yangziensis,0.0,0.0,1.0,0.0
Stegodibelodon_schneideri,1.0,0.0,0.0,0.0
Stegodon_aurorae,0.0,0.0,1.0,0.0
Stegodon_bombifrons,0.0,0.0,1.0,0.0
Stegodon_elephantoides,0.0,0.0,1.0,0.0
Stegodon_florensis,0.0,0.0,0.0,1.0
Stegodon_ganesa,0.0,0.0,1.0,0.0
Stegodon_huananensis,0.0,0.0,1.0,0.0
Stegodon_insignis,0.0,0.0,1.0,0.0
Stegodon_kaisensis,1.0,0.0,0.0,0.0
Stegodon_luzonensis,0.0,0.0,0.0,1.0
Stegodon_orientalis,0.0,0.0,1.0,0.0
Stegodon_pinjorensis,0.0,0.0,1.0,0.0
Stegodon_sompoensis,0.0,0.0,0.0,1.0
Stegodon_sondaari,0.0,0.0,0.0,1.0
Stegodon_timorensis,0.0,0.0,0.0,1.0
Stegodon_trigonocephalus,0.0,0.0,0.0,1.0
Stegodon_zdanskyi,0.0,0.0,1.0,0.0
Stegolophodon_hueiheensis,0.0,0.0,1.0,0.0
Stegolophodon_latidens,0.0,0.0,1.0,0.0
Stegolophodon_lydekkeri,0.0,0.0,1.0,0.0
Stegolophodon_nasaiensis,0.0,0.0,1.0,0.0
Stegolophodon_pseudolatidens,0.0,0.0,0.0,1.0
Stegolophodon_stegodontoides,0.0,0.0,1.0,0.0
Stegoloxodon_celebensis,0.0,0.0,0.0,1.0
Stegomastodon_aftoniae,0.0,1.0,0.0,0.0
Stegomastodon_mirificus,0.0,1.0,0.0,0.0
Stegomastodon_platensis,0.0,1.0,0.0,0.0
Stegomastodon_primitivus,0.0,1.0,0.0,0.0
Stegotetrabelodon_orbus,1.0,0.0,0.0,0.0
Stegotetrabelodon_syrticus,1.0,0.0,1.0,0.0
Tetralophodon_euryrostris,0.0,0.0,1.0,0.0
Tetralophodon_longirostris,1.0,0.0,1.0,0.0
Tetralophodon_xiaolongtanensis,0.0,0.0,1.0,0.0
Torynobelodon_barnumbrowni,0.0,1.0,0.0,0.0
Torynobelodon_loomisi,0.0,1.0,0.0,0.0
Zygolophodon_aegyptensis,1.0,0.0,0.0,0.0
Zygolophodon_chinjiensis,0.0,0.0,1.0,0.0
Zygolophodon_turicensis,0.0,0.0,1.0,0.0
