	ts	te
T0	35.0	27.2
T1	34.43	23.94
T2	30.18	22.14
T3	30.09	0.0
T4	29.66	21.82
T5	29.37	23.97
T6	28.65	24.2
T7	28.48	22.19
T8	28.29	13.92
T9	28.05	22.28
T10	27.96	24.16
T12	27.58	0.0
T13	27.3	19.98
T14	26.9	26.46
T15	26.55	16.15
T16	26.31	17.09
T17	26.17	22.47
T19	25.37	0.0
T21	24.07	20.8
T22	23.87	8.53
T23	23.49	0.0
T24	23.16	8.53
T25	22.8	0.0
T26	22.71	17.45
T27	22.7	0.84
T28	21.1	5.69
T29	20.93	0.0
T30	20.81	15.66
T31	20.62	14.27
T32	20.02	15.2
T33	19.43	2.69
T34	19.28	7.69
T35	19.08	11.02
T36	18.99	4.36
T37	18.94	4.67
T38	18.55	9.23
T39	18.45	17.28
T40	18.16	0.52
T41	18.09	12.54
T42	17.99	16.6
T43	17.94	17.24
T44	17.63	12.04
T45	17.34	3.52
T46	17.09	10.7
T47	16.77	8.8
T48	16.71	0.0
T49	16.56	14.12
T50	15.85	4.17
T51	15.83	6.6
T52	15.54	13.69
T53	15.19	10.07
T54	14.98	10.92
T55	14.65	13.92
T56	14.62	8.35
T57	14.46	9.78
T58	14.25	0.0
T59	13.91	11.09
T60	13.85	0.42
T61	13.8	0.0
T62	13.66	11.74
T63	13.41	6.32
T65	13.02	8.82
T66	12.82	0.62
T67	12.8	0.0
T68	12.64	11.8
T69	12.61	0.0
T70	12.39	3.13
T72	12.13	0.0
T73	11.98	7.9
T74	11.98	8.29
T75	11.79	0.13
T76	11.39	0.0
T77	11.37	0.0
T78	11.27	3.1
T79	11.16	0.06
T81	11.03	8.58
T82	10.36	2.33
T83	10.29	4.61
T85	10.23	2.06
T86	10.05	5.82
T87	9.98	0.0
T88	9.9	0.0
T89	9.87	0.0
T90	9.82	8.62
T91	9.74	0.97
T92	9.68	0.0
T94	9.52	0.0
T95	9.4	0.0
T96	9.32	3.43
T97	9.28	6.09
T98	9.2	7.16
T99	9.17	0.0
T100	9.17	6.61
T101	8.91	0.0
T102	8.86	8.2
T103	8.62	0.0
T104	8.61	0.0
T105	8.54	0.0
T106	8.52	0.0
T107	8.38	0.0
T108	8.2	0.85
T109	8.12	3.19
T110	8.05	0.55
T111	7.9	1.5
T112	7.82	0.0
T113	7.81	4.36
T114	7.59	6.83
T115	7.23	1.82
T116	7.23	0.0
T117	7.19	0.0
T118	6.84	1.14
T119	6.63	0.0
T120	6.55	0.0
T121	6.41	5.22
T122	6.35	2.24
T123	6.31	4.49
T124	5.92	4.23
T127	5.84	0.0
T128	5.73	0.0
T129	5.73	1.43
T130	5.64	2.95
T131	5.49	0.0
T132	5.48	2.99
T133	5.36	3.48
T134	5.31	1.99
T135	5.29	2.4
T137	5.09	1.21
T138	5.06	0.0
T140	4.97	0.42
T141	4.65	0.0
T142	4.32	0.0
T143	4.29	0.0
T144	4.27	0.0
T145	4.25	3.92
T146	4.13	0.0
T147	4.08	0.0
T149	3.92	0.0
T150	3.87	0.0
T151	3.84	0.0
T152	3.84	0.0
T153	3.77	0.0
T154	3.65	0.48
T155	3.59	2.69
T156	3.52	1.37
T157	3.46	0.0
T158	3.38	0.0
T159	3.37	0.0
T160	3.31	0.97
T161	3.31	0.0
T162	3.27	1.47
T163	3.23	0.0
T164	3.19	0.0
T166	3.09	0.0
T167	3.01	0.0
T168	3.0	0.94
T169	2.92	2.13
T170	2.9	0.0
T171	2.85	0.0
T172	2.83	0.0
T173	2.75	1.42
T174	2.73	0.0
T175	2.66	0.35
T176	2.65	0.0
T178	2.49	0.0
T179	2.41	0.0
T181	2.24	0.0
T182	2.14	0.0
T183	2.13	1.24
T184	2.09	0.0
T185	1.93	0.0
T186	1.89	0.45
T187	1.87	0.0
T188	1.85	0.0
T189	1.84	1.08
T190	1.72	0.7
T191	1.67	0.0
T192	1.55	0.09
T194	1.45	0.0
T195	1.41	0.0
T196	1.4	0.0
T197	1.36	0.0
T198	1.35	0.0
T199	1.3	0.0
T200	1.27	0.0
T201	1.26	0.0
T203	1.12	0.0
T204	1.07	0.0
T206	1.05	0.0
T207	0.99	0.0
T208	0.94	0.0
T210	0.8	0.0
T213	0.54	0.0
T215	0.45	0.0
T216	0.45	0.0
T217	0.42	0.0
T218	0.39	0.0
T219	0.26	0.0
