NMDS1	NMDS2	Africa	America	Eurasia	Island	Grassland	Temperature	Humans	PVR1	PVR2
-0.0810981217987767	-0.799016239637565	1	0	0	0	1	1.07177370632259	0	-0.714775804402033	0.236923420067129
-0.0184602625500703	-0.567317586836067	1	0	0	0	1	0.459998732153548	0	-0.875245473873121	0.463699509676281
0.142035802312936	-1.56118648538441	0	1	0	0	1	-0.0531596300036183	0	-0.92084484724225	0.525112044692777
0.194266825002114	-1.63273240063768	0	1	0	0	1	-0.396184089820656	0	-0.920716595746656	0.524939727760474
0.263965938334339	-0.170495841571779	0	0	1	0	1	-0.399563717869705	0	0.827457117914585	-0.0129830269510351
0.263965938334339	-0.170495841571779	0	0	1	0	1	-0.538206339494734	0	0.831366174477986	-0.0131263706416383
0.242329146842273	-0.175542130996932	1	0	0	0	1	1.11211120239188	0	0.845248467559184	-0.0136594103786211
0.134814355994058	-0.243390226809055	0	0	1	0	1	-0.310431868447098	0	0.824067141016261	-0.0128527947742514
0.19495139849217	-0.223090670725096	1	0	0	0	1	0.931293314606369	0	0.833266188307278	-0.013198980531553
0.100421214012633	-0.386225089427438	0	0	0	1	1	0.280302195610121	0	0.83162552454923	-0.0131356282004406
0.13077149655276	-0.207110947575169	1	0	0	0	1	0.833486567380444	0	0.844132141924609	-0.0136170107245337
0.217094065020907	-0.238321888268395	0	0	1	0	1	-0.21189312804926	0	0.830223401750026	-0.0130853113145859
0.29186712293248	-0.180649591666838	0	0	1	0	1	0.280302195610121	0	0.84411722277413	-0.0136156609634469
0.28098057105069	-0.175243889773299	1	0	0	0	1	0.940341996157048	0	0.847200994794652	-0.0137336672789554
-0.666339184502935	-0.978623531843796	0	0	1	0	1	-0.173128638583443	0	-0.875381247777563	0.46295682749759
-0.530823275802624	-1.09025744803064	1	0	1	0	1	0.513551041124303	0	-0.853690204681566	0.435613262384387
-2.45263487793742	1.08959153900003	1	0	0	0	1	0.833486567380444	0	-1.0221339634295	1.23759518243256
-1.73451104900531	1.13340697049122	1	0	0	0	1	1.18203991179385	0	-1.00364114806862	1.20523605328611
-0.346161952688902	-0.497534449635795	0	0	1	0	1	-0.35137676310585	0	-0.723603757404936	0.243912110882109
