	ts	te
T0	35.0	28.37
T1	34.93	30.62
T2	34.02	30.42
T3	32.37	18.84
T4	31.7	26.99
T5	31.68	30.24
T6	30.96	29.21
T7	30.82	28.76
T8	30.41	29.85
T9	30.09	29.55
T10	29.96	26.1
T13	27.88	26.22
T15	27.27	26.91
T16	27.11	26.81
T17	26.9	25.14
T18	26.35	24.4
T21	25.26	0.0
T22	23.26	18.53
T23	22.88	19.72
T24	22.68	20.17
T25	22.64	15.08
T26	22.06	2.28
T27	21.99	20.76
T29	21.78	19.58
T30	21.74	20.1
T31	21.52	18.7
T32	21.36	18.05
T34	21.26	20.96
T37	20.92	15.44
T38	20.86	17.09
T39	20.83	20.35
T40	20.81	18.26
T42	20.58	16.72
T43	20.57	15.06
T44	20.51	19.94
T45	20.46	18.98
T46	19.44	17.98
T47	19.38	18.7
T48	19.15	18.91
T50	18.6	7.31
T51	18.44	16.05
T52	18.34	18.01
T55	17.8	14.02
T56	17.72	16.59
T58	17.37	16.61
T59	17.27	6.26
T60	17.17	10.11
T61	16.91	0.0
T62	16.87	7.82
T63	16.68	0.0
T65	15.83	0.0
T66	15.73	13.16
T67	15.71	14.56
T68	15.51	7.65
T69	15.48	8.97
T70	15.45	11.63
T71	15.38	0.0
T72	15.23	4.11
T74	14.13	11.37
T75	14.1	13.01
T76	13.31	9.81
T77	13.15	10.6
T78	13.0	1.28
T80	12.61	3.73
T81	12.46	0.0
T82	11.54	8.09
T83	11.1	10.08
T84	11.02	5.4
T85	10.7	0.0
T86	10.7	10.63
T87	10.64	0.0
T88	10.52	9.63
T89	10.46	0.0
T90	10.22	5.24
T92	9.94	9.28
T94	9.45	7.05
T95	8.98	6.54
T96	8.96	0.0
T97	8.77	6.78
T98	8.76	6.23
T100	8.24	5.06
T101	8.2	5.48
T102	8.08	5.11
T103	7.93	5.54
T104	7.89	6.84
T105	7.86	5.19
T106	7.72	7.59
T107	7.68	0.0
T109	7.31	1.66
T110	7.27	2.08
T111	7.24	1.23
T112	7.03	6.78
T113	7.0	6.06
T117	6.66	3.35
T118	6.49	3.85
T119	6.46	1.7
T121	6.23	0.0
T122	6.12	0.0
T123	6.08	1.09
T124	5.84	2.05
T125	5.74	1.3
T127	5.6	4.75
T128	5.55	3.4
T129	5.55	0.0
T130	5.48	0.0
T131	5.29	2.45
T132	5.27	4.63
T133	5.25	3.58
T134	5.07	1.36
T135	5.02	2.64
T136	4.97	4.06
T137	4.9	4.24
T139	4.76	0.0
T140	4.76	0.0
T141	4.43	3.61
T143	4.36	0.0
T145	4.35	0.0
T146	4.26	3.62
T147	4.24	1.22
T148	4.19	2.1
T149	4.04	0.0
T150	4.02	2.69
T151	4.0	1.91
T153	3.92	1.65
T155	3.88	2.93
T157	3.85	0.24
T158	3.83	3.12
T159	3.78	0.0
T162	3.68	0.0
T163	3.6	2.84
T164	3.58	0.0
T165	3.51	0.0
T166	3.47	1.52
T168	3.43	1.14
T170	3.39	3.02
T172	3.33	3.15
T173	3.3	1.57
T174	3.26	0.93
T175	3.22	2.5
T176	3.21	0.36
T178	3.13	0.7
T179	3.08	2.63
T180	3.06	0.22
T182	2.97	0.0
T183	2.92	1.75
T185	2.75	0.0
T186	2.68	0.0
T187	2.61	0.0
T188	2.53	1.81
T189	2.52	1.75
T190	2.47	0.0
T191	2.31	0.0
T192	2.3	0.0
T193	2.23	0.0
T196	1.92	0.0
T198	1.92	0.0
T200	1.92	0.0
T201	1.89	0.0
T202	1.85	0.0
T204	1.8	0.0
T207	1.71	0.67
T208	1.69	0.0
T211	1.46	0.0
T212	1.35	0.94
T213	1.31	0.0
T215	1.2	0.0
T217	1.05	0.06
T218	1.04	0.0
T219	1.04	0.76
T220	1.04	0.0
T221	1.01	0.0
T223	0.92	0.0
T224	0.88	0.0
T225	0.76	0.0
T226	0.73	0.2
T227	0.65	0.0
T228	0.57	0.0
T229	0.52	0.08
T230	0.5	0.0
T232	0.45	0.0
T234	0.38	0.0
