	ts	te
T0	35.0	29.45
T1	32.39	18.31
T2	32.2	12.61
T3	32.1	28.75
T4	31.62	17.85
T5	30.21	14.76
T6	29.68	12.42
T7	29.16	22.55
T8	29.06	11.02
T9	28.54	17.04
T10	28.18	13.83
T11	28.08	18.78
T12	28.04	0.0
T13	27.86	0.0
T14	27.74	0.0
T15	27.6	11.67
T16	27.48	15.4
T17	27.39	13.88
T18	27.32	12.72
T19	27.25	20.07
T20	26.94	0.0
T21	26.59	17.02
T22	26.58	11.61
T23	26.45	11.54
T24	26.2	10.6
T25	26.05	11.74
T26	25.99	10.46
T27	25.95	16.24
T30	25.44	16.52
T31	25.4	13.62
T32	25.32	12.72
T33	25.2	13.98
T34	25.12	12.6
T35	25.02	14.96
T36	24.76	22.9
T37	24.59	21.69
T38	24.56	21.94
T39	24.45	17.2
T40	24.2	15.7
T41	24.18	19.64
T42	24.12	19.08
T43	24.0	12.53
T44	23.94	22.27
T46	23.82	21.44
T47	23.78	17.91
T48	23.75	19.82
T49	23.67	14.49
T50	23.65	14.74
T51	23.63	0.0
T52	23.57	0.0
T54	23.29	15.0
T55	23.26	22.4
T56	23.25	22.18
T57	23.2	15.86
T59	23.1	13.54
T60	23.09	14.82
T61	23.04	13.97
T62	22.97	13.09
T63	22.94	14.54
T64	22.85	13.61
T65	22.84	21.09
T66	22.77	14.64
T67	22.66	12.43
T69	22.54	0.0
T70	22.43	14.51
T71	22.4	15.76
T72	22.38	0.0
T73	22.36	10.75
T74	22.35	21.84
T75	22.34	14.78
T76	22.24	0.0
T77	22.23	0.0
T78	22.19	15.62
T79	22.19	13.71
T80	22.09	20.71
T81	22.08	13.26
T82	22.06	17.09
T83	22.01	13.64
T85	21.95	20.86
T86	21.94	0.0
T87	21.87	10.46
T88	21.86	11.21
T89	21.79	12.43
T91	21.68	14.1
T92	21.64	0.0
T93	21.63	21.02
T94	21.57	17.84
T95	21.53	12.3
T96	21.53	14.72
T97	21.51	19.65
T98	21.49	13.97
T99	21.48	15.73
T100	21.48	0.0
T102	21.45	0.0
T103	21.37	0.0
T104	21.36	11.85
T105	21.3	14.72
T106	21.28	11.04
T107	21.26	14.95
T109	21.22	0.0
T110	21.09	15.01
T111	21.08	0.0
T112	21.01	13.31
T113	20.96	14.61
T114	20.92	0.0
T115	20.9	13.51
T116	20.86	13.52
T117	20.85	15.74
T118	20.85	17.87
T119	20.73	12.9
T120	20.71	14.45
T121	20.66	14.51
T122	20.64	16.92
T124	20.6	0.0
T125	20.57	13.64
T126	20.55	0.0
T127	20.53	15.81
T128	20.51	11.76
T129	20.49	17.76
T130	20.43	14.14
T131	20.41	14.34
T132	20.38	13.36
T133	20.37	0.0
T134	20.31	0.0
T135	20.26	12.77
T136	20.22	12.44
T139	20.19	19.21
T140	20.15	12.13
T141	20.13	14.84
T142	20.11	14.14
T143	20.1	14.42
T144	20.08	14.08
T145	20.08	13.58
T146	20.05	14.16
T147	20.04	12.02
T148	19.96	8.59
T149	19.91	17.14
T150	19.91	12.54
T151	19.9	14.1
T152	19.84	14.88
T153	19.69	15.62
T155	19.66	14.2
T156	19.62	13.41
T157	19.6	11.82
T158	19.51	14.53
T159	19.46	15.0
T160	19.42	13.98
T161	19.35	0.0
T162	19.33	12.67
T163	19.28	12.71
T164	18.97	0.0
T165	18.81	0.0
T166	18.58	18.48
T167	18.51	0.0
T168	18.49	0.0
T169	18.45	14.28
T170	18.29	12.66
T171	18.12	0.0
T172	18.11	10.71
T173	18.07	13.91
T174	18.05	11.71
T175	17.96	0.0
T176	17.75	11.13
T177	17.7	14.77
T178	17.68	0.0
T179	17.67	0.0
T180	17.62	10.31
T181	17.59	13.67
T182	17.58	0.0
T183	17.55	12.01
T184	17.54	14.82
T185	17.44	0.0
T187	17.4	14.15
T188	17.39	14.21
T189	17.22	12.7
T190	17.21	14.13
T191	17.2	16.43
T192	17.19	13.72
T194	17.08	14.6
T195	17.07	11.06
T196	17.05	14.19
T197	17.04	14.64
T198	17.0	13.38
T199	16.79	0.0
T200	16.72	13.35
T201	16.39	13.67
T202	16.37	14.43
T203	16.29	13.92
T204	16.25	13.09
T205	16.23	0.0
T206	16.21	15.34
T207	16.16	0.0
T208	16.16	14.27
T209	16.12	14.82
T210	16.08	11.52
T212	15.87	14.14
T213	15.87	13.85
T214	15.84	0.0
T217	15.64	12.68
T219	15.45	0.0
T220	15.45	0.0
T221	15.44	0.0
T226	15.01	12.26
T229	14.87	6.02
T231	14.78	0.0
T232	14.62	0.0
T234	14.55	11.26
T236	14.5	0.0
T237	14.28	10.42
T238	14.1	10.48
T240	14.02	12.83
T241	13.99	0.0
T242	13.95	0.0
T243	13.92	0.0
T244	13.9	0.0
T246	13.49	11.32
T247	13.41	12.26
T248	13.41	12.33
T249	13.35	12.7
T250	13.34	11.97
T251	13.31	0.0
T252	13.22	11.05
T254	13.13	0.0
T255	13.12	0.0
T257	12.89	12.23
T262	12.22	10.16
T263	12.19	1.56
T264	12.14	11.56
T265	11.93	0.0
T267	11.55	0.0
T268	11.54	0.0
T269	11.54	0.0
T271	11.48	0.0
T272	11.43	10.29
T273	11.36	0.0
T276	10.71	0.0
T277	10.6	0.0
T278	10.42	0.0
T279	9.79	0.0
T280	9.58	0.0
T281	8.94	0.0
T282	6.86	0.0
T283	5.52	0.0
T284	4.87	0.0
