sp	hmin	hmax
T0	28.84606379147316	28.84606379147316
T0	34.252363676198286	34.252363676198286
T0	33.18361658774385	33.18361658774385
T0	31.79971840379322	31.79971840379322
T0	32.55129951729866	32.55129951729866
T0	32.63137803456341	32.63137803456341
T0	25.699181041261035	25.699181041261035
T0	27.32638985909423	27.32638985909423
T0	25.442578917708055	25.442578917708055
T0	24.044600121033024	24.044600121033024
T0	24.893926586350506	24.893926586350506
T0	28.01062544333061	28.01062544333061
T0	24.2410192008056	24.2410192008056
T0	20.813713066767317	20.813713066767317
T0	22.767609426397453	22.767609426397453
T0	21.706890742947692	21.706890742947692
T0	21.655289205647684	21.655289205647684
T0	20.924594809932977	20.924594809932977
T0	22.34144457276745	22.34144457276745
T0	21.23001095627058	21.23001095627058
T0	22.083703153570443	22.083703153570443
T0	17.053787564341132	17.053787564341132
T0	19.52639909745239	19.52639909745239
T0	20.093030342957867	20.093030342957867
T0	18.544760846336725	18.544760846336725
T0	19.23468036543896	19.23468036543896
T0	19.36952415859564	19.36952415859564
T0	17.181588727153972	17.181588727153972
T0	16.016753905630836	16.016753905630836
T0	16.804924305732936	16.804924305732936
T0	19.215347799985704	19.215347799985704
T0	18.6172320213664	18.6172320213664
T0	16.29720527697365	16.29720527697365
T0	15.337742394309993	15.337742394309993
T0	15.424044927801075	15.424044927801075
T0	14.444603384404	14.444603384404
T0	15.93504658259223	15.93504658259223
T0	14.88021745841525	14.88021745841525
T0	14.47143400691982	14.47143400691982
T1	31.12305663134244	31.12305663134244
T2	28.163953665325558	28.163953665325558
T2	29.57499304054748	29.57499304054748
T2	29.207715545043268	29.207715545043268
T2	31.062588920964917	31.062588920964917
T2	23.129728242853655	23.129728242853655
T2	24.98742229220366	24.98742229220366
T2	24.959664365337634	24.959664365337634
T2	24.1172068877653	24.1172068877653
T2	27.051679146583357	27.051679146583357
T2	24.560833863598518	24.560833863598518
T2	23.619240594773352	23.619240594773352
T2	25.99530065264034	25.99530065264034
T2	21.292535937369195	21.292535937369195
T2	21.917213898058	21.917213898058
T2	22.736946575186348	22.736946575186348
T2	22.309892741327175	22.309892741327175
T2	21.236540658130757	21.236540658130757
T2	22.913801286323167	22.913801286323167
T2	21.5046379384456	21.5046379384456
T2	22.295331013141954	22.295331013141954
T2	22.947254502667754	22.947254502667754
T2	21.51865855350155	21.51865855350155
T2	22.728249579682508	22.728249579682508
T2	20.178296849101276	20.178296849101276
T2	18.719398576046785	18.719398576046785
T2	16.672930549339625	16.672930549339625
T2	16.108920891821924	16.108920891821924
T2	19.805827402980274	19.805827402980274
T2	19.111442966320446	19.111442966320446
T2	17.74703249112373	17.74703249112373
T2	19.55534868568337	19.55534868568337
T2	16.56767967277121	16.56767967277121
T2	18.425969140371915	18.425969140371915
T2	18.64667255250272	18.64667255250272
T2	17.965081951363494	17.965081951363494
T2	18.84961294542453	18.84961294542453
T2	16.508594010201666	16.508594010201666
T2	14.956090296829634	14.956090296829634
T2	15.16505707804077	15.16505707804077
T3	28.669769938372166	28.669769938372166
T3	28.57640918235069	28.57640918235069
T3	29.42679158065004	29.42679158065004
T3	28.558348852527565	28.558348852527565
T3	24.901396280405024	24.901396280405024
T3	25.92367735909517	25.92367735909517
T3	26.30060230785885	26.30060230785885
T3	22.43357305755406	22.43357305755406
T3	20.971186363337402	20.971186363337402
T3	21.924594025451537	21.924594025451537
T3	20.701166975358746	20.701166975358746
T3	22.30341454741242	22.30341454741242
T3	20.60891754799222	20.60891754799222
T3	21.63607926230988	21.63607926230988
T3	21.41719866103564	21.41719866103564
T3	21.24619530835596	21.24619530835596
T3	19.436779321225142	19.436779321225142
T3	16.978486807871253	16.978486807871253
T3	18.892750373498135	18.892750373498135
T3	18.0077948254766	18.0077948254766
T3	17.825918526252657	17.825918526252657
T3	18.024493221155982	18.024493221155982
T3	20.083786969671312	20.083786969671312
T3	19.381067517563345	19.381067517563345
T3	20.33550656898899	20.33550656898899
T3	19.032352698809575	19.032352698809575
T3	17.91337775719789	17.91337775719789
T3	18.20339579714036	18.20339579714036
T3	18.102746816877705	18.102746816877705
T3	16.451850936294672	16.451850936294672
T3	19.08334403939106	19.08334403939106
T3	19.258784282395272	19.258784282395272
T3	16.89832580458619	16.89832580458619
T3	14.542961593679001	14.542961593679001
T3	14.707790228125898	14.707790228125898
T3	15.81053590497971	15.81053590497971
T3	15.855698830291397	15.855698830291397
T3	12.497402366724728	12.497402366724728
T3	11.816878186594046	11.816878186594046
T3	10.05170442290662	10.05170442290662
T3	9.741236225892486	9.741236225892486
T3	8.339485489955779	8.339485489955779
T3	8.622717054390078	8.622717054390078
T3	8.055499918851508	8.055499918851508
T3	9.027098897074065	9.027098897074065
T3	8.532365240359473	8.532365240359473
T3	10.01113633001294	10.01113633001294
T3	4.0467338310372725	4.0467338310372725
T3	5.080624474431729	5.080624474431729
T3	3.7210310773315642	3.7210310773315642
T3	4.462453607220351	4.462453607220351
T3	5.010047775457196	5.010047775457196
T3	4.558260926527794	4.558260926527794
T3	4.946865821452758	4.946865821452758
T3	3.198923088032622	3.198923088032622
T3	2.9306874391850437	2.9306874391850437
T3	3.108424165891458	3.108424165891458
T3	2.304486596091598	2.304486596091598
T3	1.8368636052130012	1.8368636052130012
T3	2.0420643065989403	2.0420643065989403
T3	1.3098267116675908	1.3098267116675908
T3	0.22554916421698756	0.22554916421698756
T3	0.0	0.0
T4	28.173961790188933	28.173961790188933
T4	28.696027139474843	28.696027139474843
T4	24.306395517925942	24.306395517925942
T4	27.38790612702984	27.38790612702984
T4	24.25911144776167	24.25911144776167
T4	26.663349243726532	26.663349243726532
T4	27.81960307950287	27.81960307950287
T4	25.457522106168167	25.457522106168167
T4	27.832499929689998	27.832499929689998
T4	26.560227180405953	26.560227180405953
T4	21.80614010387529	21.80614010387529
T4	22.153457041203236	22.153457041203236
T4	22.977742039969396	22.977742039969396
T4	22.2650071984772	22.2650071984772
T4	22.438611891251238	22.438611891251238
T4	22.507027353148715	22.507027353148715
T5	28.24400728745163	28.24400728745163
T5	29.048229917617903	29.048229917617903
T5	27.082927825941404	27.082927825941404
T5	26.14280763060607	26.14280763060607
T5	26.08383789275321	26.08383789275321
T5	24.294530866043324	24.294530866043324
T5	21.688210486252324	21.688210486252324
T5	22.144147246220253	22.144147246220253
T5	21.2199089072552	21.2199089072552
T5	20.858519115881855	20.858519115881855
T5	22.526392490345717	22.526392490345717
T5	20.512410400176083	20.512410400176083
T5	22.8874495412255	22.8874495412255
T5	21.653534402309155	21.653534402309155
T5	21.75911869933742	21.75911869933742
T5	22.544582227220136	22.544582227220136
T5	21.102621414805995	21.102621414805995
T5	21.97181553222538	21.97181553222538
T5	21.242989517153255	21.242989517153255
T5	18.618549203320473	18.618549203320473
T5	20.222175167581494	20.222175167581494
T5	17.434945739971113	17.434945739971113
T5	18.87705625669806	18.87705625669806
T5	19.272100979705776	19.272100979705776
T5	18.79271252344327	18.79271252344327
T5	20.044367337693433	20.044367337693433
T5	16.37289460995642	16.37289460995642
T5	16.689071305498405	16.689071305498405
T5	20.022128642201213	20.022128642201213
T5	17.12635948416247	17.12635948416247
T5	18.62020671763605	18.62020671763605
T5	14.217935945083372	14.217935945083372
T5	15.460136582528845	15.460136582528845
T5	14.16601804144438	14.16601804144438
T5	14.65614159714387	14.65614159714387
T5	13.428404551455882	13.428404551455882
T5	12.604443526806666	12.604443526806666
T5	13.530145261327593	13.530145261327593
T6	28.295353660570335	28.295353660570335
T6	27.13309267397577	27.13309267397577
T6	25.354974154563447	25.354974154563447
T6	27.526004390152302	27.526004390152302
T6	26.957414822973792	26.957414822973792
T6	24.201755289372958	24.201755289372958
T6	22.38383759032617	22.38383759032617
T6	22.48536599683829	22.48536599683829
T6	22.18740967290335	22.18740967290335
T6	20.824343946290114	20.824343946290114
T6	22.996912512102973	22.996912512102973
T6	21.258613250385455	21.258613250385455
T6	20.827679711842794	20.827679711842794
T6	22.59238724430363	22.59238724430363
T6	21.37513897575155	21.37513897575155
T6	19.185116207072028	19.185116207072028
T6	20.072423069986584	20.072423069986584
T6	17.767152623892144	17.767152623892144
T6	16.763237614701136	16.763237614701136
T6	17.19440853706194	17.19440853706194
T6	18.772027511011093	18.772027511011093
T6	16.44960738049181	16.44960738049181
T6	19.0687430126616	19.0687430126616
T6	19.751930855600246	19.751930855600246
T6	18.126708901755432	18.126708901755432
T6	19.732676543947342	19.732676543947342
T6	18.74361378391599	18.74361378391599
T6	14.639393373880667	14.639393373880667
T6	14.634402192496458	14.634402192496458
T6	15.682670845128238	15.682670845128238
T6	15.459640241166777	15.459640241166777
T6	14.15591429915358	14.15591429915358
T6	15.75621772523284	15.75621772523284
T6	14.426841719963015	14.426841719963015
T6	15.43210130347553	15.43210130347553
T6	13.14831356785385	13.14831356785385
T6	12.897796647209997	12.897796647209997
T7	24.63686665106289	24.63686665106289
T7	27.484436692012093	27.484436692012093
T7	25.749515857802926	25.749515857802926
T8	28.419813756194205	28.419813756194205
T8	21.884890701291255	21.884890701291255
T8	21.3627905768845	21.3627905768845
T8	22.229792228500706	22.229792228500706
T8	21.04987014736918	21.04987014736918
T8	20.568405162354825	20.568405162354825
T8	16.678841934991983	16.678841934991983
T8	20.265806519416948	20.265806519416948
T8	18.789271799166524	18.789271799166524
T8	20.388957399253677	20.388957399253677
T8	17.558820078230504	17.558820078230504
T8	16.347366290738094	16.347366290738094
T8	20.292186972543966	20.292186972543966
T8	17.216858835551985	17.216858835551985
T8	19.197119776564	19.197119776564
T8	16.58666492475298	16.58666492475298
T8	19.28030204137716	19.28030204137716
T8	17.516679306838633	17.516679306838633
