	ts	te
T0	35.0	29.56
T1	33.1	26.18
T2	32.98	30.57
T3	32.79	26.21
T4	31.46	30.82
T5	31.29	30.59
T6	31.1	30.22
T7	30.89	4.57
T8	30.66	22.9
T9	30.43	29.93
T10	28.79	27.67
T11	28.53	28.3
T12	27.84	21.42
T13	27.15	16.08
T14	26.87	25.89
T15	26.49	25.03
T17	26.27	25.72
T18	25.78	21.43
T19	25.57	19.52
T20	25.5	25.15
T21	25.21	22.61
T24	24.58	23.94
T25	24.17	22.59
T26	23.9	22.06
T27	23.67	21.47
T28	23.55	20.25
T29	23.46	23.03
T30	23.41	20.75
T31	23.31	11.2
T32	23.01	22.96
T33	22.71	16.55
T34	22.58	19.72
T35	22.4	20.07
T36	22.3	18.13
T37	22.29	19.3
T40	21.68	21.52
T42	20.97	16.73
T43	20.93	19.52
T44	20.86	18.01
T45	20.72	18.59
T46	20.5	17.77
T47	19.42	12.95
T48	19.41	12.68
T49	19.32	8.73
T50	19.23	14.25
T51	18.62	3.07
T52	18.62	17.6
T53	18.23	17.68
T54	17.96	6.32
T55	17.95	11.72
T56	17.57	6.45
T57	17.12	13.7
T58	17.08	6.49
T59	16.79	14.16
T61	16.5	9.63
T62	16.33	7.15
T63	16.22	8.87
T64	16.08	14.18
T65	16.07	13.73
T67	15.86	14.4
T68	15.86	14.72
T70	15.79	13.91
T71	15.42	5.53
T72	15.02	11.13
T73	14.98	13.77
T74	14.91	13.77
T75	14.81	8.94
T78	14.44	13.74
T79	14.34	0.0
T81	13.87	8.7
T82	13.77	4.94
T83	13.68	12.73
T84	13.59	12.6
T85	13.48	5.35
T87	13.21	13.09
T88	13.17	11.03
T89	13.15	10.22
T90	13.13	11.66
T91	13.11	5.69
T92	12.86	11.26
T93	12.85	2.8
T94	12.41	8.73
T95	12.24	10.14
T96	12.19	9.92
T97	11.37	6.77
T98	10.96	0.46
T99	10.75	8.24
T100	10.33	8.89
T101	10.28	8.93
T102	10.09	3.69
T103	9.95	0.0
T104	9.93	0.0
T105	9.72	8.13
T106	9.7	7.71
T107	9.46	8.55
T108	9.16	3.74
T110	9.01	0.0
T111	8.91	0.0
T112	8.9	4.14
T113	8.74	0.56
T114	8.64	4.49
T115	8.53	2.41
T116	8.43	0.2
T117	8.23	0.0
T118	8.18	0.0
T119	8.1	3.13
T121	7.79	0.04
T122	7.71	0.8
T126	6.64	0.84
T127	6.52	4.38
T128	6.46	5.86
T130	6.38	0.0
T132	5.49	0.0
T135	5.09	0.56
T136	4.93	4.01
T137	4.8	2.75
T138	4.53	0.0
T141	3.91	0.0
T143	3.61	0.0
T144	3.59	2.49
T145	3.39	0.0
T149	3.06	0.0
T151	2.92	0.72
T155	2.64	0.0
T156	2.55	2.2
T157	2.21	0.0
T158	2.2	0.0
T159	2.2	1.11
T160	2.19	0.0
T162	2.13	0.0
T163	2.08	0.0
T164	2.0	0.0
T165	1.91	0.0
T166	1.76	1.14
T167	1.6	0.0
T169	1.53	0.0
T170	1.48	1.24
T171	1.33	0.0
T172	1.32	0.0
T173	1.21	0.0
T175	1.03	0.0
T179	0.96	0.0
T184	0.78	0.0
T186	0.76	0.0
T187	0.58	0.0
T192	0.32	0.0
T193	0.28	0.0
T195	0.22	0.0
T198	0.1	0.0
