	ts	te
T0	35.0	31.82
T1	34.45	32.11
T3	33.66	25.89
T4	33.62	32.7
T5	33.06	32.2
T6	33.0	29.91
T7	32.68	28.68
T8	32.39	22.29
T9	32.28	19.71
T11	31.76	28.94
T13	31.63	30.12
T14	31.56	29.21
T15	31.45	20.4
T16	31.29	29.62
T17	31.27	28.48
T19	30.62	26.73
T21	29.91	27.78
T22	29.85	8.95
T23	29.68	25.99
T26	28.53	25.01
T27	28.26	22.94
T28	27.87	27.38
T29	27.65	23.65
T30	27.31	6.46
T32	27.1	22.52
T33	26.93	25.26
T34	26.87	26.3
T36	26.71	7.75
T37	26.24	22.84
T38	26.05	23.78
T39	26.04	25.29
T40	25.87	22.87
T42	25.5	23.78
T44	25.39	24.58
T45	25.37	21.57
T46	25.01	22.93
T47	24.93	5.32
T50	24.69	24.09
T51	24.42	20.88
T52	24.16	22.02
T53	24.02	20.59
T54	23.91	9.03
T55	23.68	22.82
T56	23.64	21.56
T57	23.56	18.95
T59	23.08	22.96
T60	23.0	17.42
T61	22.82	6.2
T62	22.24	19.06
T63	22.22	13.08
T64	22.18	12.63
T65	21.66	20.65
T67	20.62	19.73
T68	20.51	15.87
T69	20.42	12.86
T70	19.94	5.65
T71	19.77	18.66
T72	19.55	0.0
T73	19.32	13.35
T74	19.23	15.56
T75	18.79	17.95
T76	18.48	14.46
T77	18.46	13.64
T80	17.35	13.96
T81	17.29	9.61
T82	17.1	8.3
T83	16.87	12.51
T85	16.65	12.96
T86	16.6	13.27
T87	16.31	14.59
T88	16.13	12.9
T91	16.0	0.0
T95	15.52	11.64
T96	15.33	7.68
T97	15.1	7.58
T98	15.03	13.49
T100	14.67	0.0
T101	14.53	8.29
T102	14.5	11.53
T103	14.37	8.21
T104	13.94	11.66
T105	13.86	10.86
T106	13.81	10.93
T107	13.76	10.23
T109	13.64	5.49
T112	13.29	13.04
T113	13.19	11.55
T115	12.98	10.55
T117	12.82	12.04
T118	12.48	0.0
T119	12.37	5.92
T120	12.33	8.63
T121	12.31	0.0
T122	12.3	10.29
T123	12.29	0.21
T124	12.26	2.54
T125	12.04	0.0
T126	11.97	10.58
T127	11.91	10.37
T128	11.89	11.61
T129	11.51	10.66
T130	11.5	9.18
T132	11.36	0.0
T133	11.31	8.56
T134	11.28	9.66
T135	11.15	8.59
T136	11.02	5.9
T137	10.99	7.73
T138	10.82	8.21
T140	10.66	8.87
T141	10.57	9.55
T143	10.36	9.52
T145	10.2	0.0
T146	10.15	4.8
T147	10.04	9.8
T148	10.0	7.37
T149	9.99	9.36
T150	9.92	9.11
T151	9.92	6.71
T152	9.81	2.21
T153	9.75	6.1
T154	9.73	9.52
T155	9.7	0.0
T157	9.18	8.3
T158	9.05	0.0
T159	8.98	8.01
T160	8.93	3.72
T161	8.84	5.4
T162	8.59	0.13
T163	8.58	7.27
T164	8.43	0.0
T165	8.43	4.68
T166	8.32	5.89
T168	7.99	5.03
T169	7.92	6.28
T170	7.83	0.0
T172	7.67	5.76
T173	7.33	6.09
T174	7.24	0.0
T177	6.81	5.94
T179	6.67	6.2
T180	6.54	0.0
T183	6.42	0.0
T185	6.25	4.24
T186	6.11	0.0
T187	6.1	4.69
T188	5.9	0.0
T189	5.79	0.0
T192	5.51	0.0
T193	5.33	5.1
T194	5.31	1.64
T197	5.04	0.0
T198	4.8	4.16
T199	4.71	4.34
T201	4.27	2.48
T202	4.22	0.0
T204	3.86	0.0
T206	3.08	0.0
T207	3.06	0.0
T210	2.14	0.0
T211	1.72	0.84
T213	1.39	0.0
T215	1.3	0.0
T219	1.12	0.0
T220	1.05	0.0
T221	1.01	0.0
T222	0.88	0.0
T223	0.86	0.0
T224	0.82	0.05
T225	0.7	0.0
T226	0.66	0.0
T228	0.45	0.0
T229	0.23	0.0
T230	0.18	0.0
T231	0.14	0.0
T232	0.14	0.0
