	ts	te
T0	35.0	24.28
T1	33.0	25.31
T2	32.98	16.14
T3	31.47	9.51
T4	30.69	18.63
T5	30.08	23.3
T7	28.33	9.12
T8	26.39	9.93
T10	26.17	24.7
T12	25.12	2.41
T13	24.61	7.29
T14	24.21	0.0
T15	23.72	14.39
T16	23.49	16.71
T17	22.97	19.32
T18	22.72	20.75
T19	22.42	11.85
T21	21.66	16.64
T22	21.62	19.02
T23	21.33	17.23
T24	21.23	17.21
T25	20.63	14.78
T26	20.35	18.87
T27	19.62	8.84
T28	19.39	17.64
T29	19.07	9.05
T30	19.04	16.9
T33	18.68	15.43
T34	18.67	0.77
T35	18.17	8.17
T36	17.92	15.35
T37	17.88	11.71
T39	17.35	15.76
T40	17.28	10.75
T41	17.22	13.01
T42	16.67	3.13
T43	16.67	7.9
T44	16.13	4.84
T45	16.08	8.84
T46	16.0	15.19
T47	15.97	15.75
T48	15.97	15.88
T49	15.91	11.25
T50	15.87	14.55
T51	15.84	10.71
T53	15.51	11.14
T54	15.5	7.89
T55	15.35	12.29
T56	15.31	7.59
T57	15.22	8.04
T58	15.17	13.07
T60	15.08	0.6
T61	15.07	14.56
T62	14.94	11.65
T63	14.72	1.8
T64	14.53	13.03
T65	14.11	0.62
T66	13.82	9.14
T67	13.81	11.93
T69	13.14	11.13
T70	13.04	5.43
T71	13.04	9.69
T72	12.94	8.05
T73	12.86	12.77
T75	12.55	10.96
T76	12.19	10.28
T78	12.09	9.8
T79	12.04	5.92
T80	11.94	0.0
T81	11.49	9.66
T82	11.42	4.1
T83	11.39	2.91
T85	11.17	6.3
T86	11.04	9.13
T87	10.93	9.79
T88	10.88	8.29
T89	10.8	4.19
T91	10.74	9.71
T92	10.64	3.53
T94	10.36	3.81
T95	10.27	5.64
T97	9.85	8.5
T98	9.69	5.42
T99	9.66	6.87
T100	9.56	4.94
T101	9.55	0.0
T102	9.4	6.51
T103	9.37	0.0
T104	9.36	8.95
T105	9.25	2.31
T106	9.1	3.81
T107	9.1	0.0
T109	8.96	0.32
T110	8.88	1.73
T111	8.79	0.0
T112	8.76	8.11
T113	8.69	7.86
T114	8.59	5.48
T115	8.32	2.19
T116	8.32	0.0
T118	8.22	0.0
T119	8.21	4.67
T120	8.19	6.91
T121	8.12	0.0
T122	8.12	2.52
T123	8.05	4.18
T124	7.95	4.95
T125	7.94	7.09
T126	7.88	6.36
T127	7.76	0.0
T128	7.72	5.64
T129	7.69	3.68
T130	7.67	0.75
T131	7.57	0.0
T133	7.41	3.5
T134	7.41	5.3
T135	7.27	0.0
T136	7.26	0.0
T137	7.18	4.46
T138	7.16	6.3
T139	7.12	0.0
T140	6.64	5.33
T141	6.61	0.0
T142	6.6	4.55
T143	6.5	2.08
T144	6.3	0.0
T145	6.24	1.23
T147	6.05	4.58
T149	5.98	0.0
T150	5.82	3.8
T151	5.76	0.0
T152	5.75	4.91
T153	5.72	0.0
T154	5.47	4.59
T156	5.08	0.73
T157	4.57	3.2
T158	4.48	0.73
T159	4.44	4.12
T161	4.25	3.61
T162	4.12	0.0
T163	4.09	3.77
T164	4.08	0.0
T165	4.07	3.13
T166	4.06	2.17
T167	4.04	2.5
T168	4.04	1.26
T170	3.95	0.0
T171	3.75	3.39
T174	3.62	0.0
T175	3.58	0.0
T176	3.46	0.0
T177	3.44	2.66
T178	3.39	0.0
T179	3.34	1.45
T181	3.24	0.0
T183	3.12	0.0
T185	3.1	0.0
T186	3.05	0.76
T187	2.92	1.41
T188	2.91	0.47
T191	2.74	0.0
T194	2.56	0.0
T195	2.55	0.0
T197	2.52	1.1
T199	2.43	2.24
T201	2.39	0.0
T202	2.34	0.0
T204	2.28	0.61
T206	2.25	0.0
T207	2.15	1.54
T209	2.09	0.22
T210	2.08	0.87
T212	1.98	0.0
T213	1.97	0.0
T214	1.96	1.12
T216	1.85	0.0
T217	1.81	0.0
T218	1.79	0.0
T220	1.7	0.26
T221	1.64	0.0
T224	1.38	0.0
T226	1.24	0.0
T227	1.18	0.0
T228	1.17	0.0
T230	1.07	0.0
T231	1.02	0.0
T233	0.97	0.0
T237	0.79	0.0
T243	0.58	0.0
T248	0.45	0.0
T249	0.44	0.0
T250	0.37	0.0
T253	0.29	0.0
T255	0.2	0.0
T256	0.18	0.0
T257	0.1	0.0
