cat_trait_0,temp,mean,lwr,upr
0.0,-2.335557817056028,0.07067768962849116,0.017794850588058762,0.1234263025076832
0.0,-2.288550132908446,0.07045611952401598,0.019232835172819998,0.12469204563510619
0.0,-2.241542448760864,0.0702499837522913,0.01968528553723649,0.12370580170210589
0.0,-2.194534764613282,0.07006059318577117,0.01929545273965788,0.12265443192670578
0.0,-2.1475270804657005,0.06988947974367424,0.020408384663977527,0.12340875186343968
0.0,-2.1005193963181186,0.06973828701863134,0.015889346075119482,0.11901552224670399
0.0,-2.0535117121705366,0.06960867176066694,0.016060570799363457,0.11816227731060538
0.0,-2.0065040280229547,0.069502267428695,0.01742957082798043,0.11891308521951822
0.0,-1.9594963438753727,0.06942068925964763,0.017472161712053028,0.1186683311777854
0.0,-1.9124886597277908,0.06936555292382254,0.020439378635699074,0.12155898900932999
0.0,-1.865480975580209,0.06933852389742878,0.02046154454260937,0.1205298583751286
0.0,-1.8184732914326271,0.06934136785589466,0.020641870161865923,0.1193997941502346
0.0,-1.7714656072850454,0.0693759737566244,0.02012575605963087,0.11907922315561568
0.0,-1.7244579231374635,0.06944443261362375,0.020574399287679127,0.11950667250722437
0.0,-1.6774502389898815,0.0695491576379786,0.022308117464207574,0.12105969312866736
0.0,-1.6304425548422996,0.06969297539008232,0.022079964618425534,0.12078241347889017
0.0,-1.5834348706947177,0.06987916261527712,0.022927497055497133,0.12133691049120295
0.0,-1.536427186547136,0.07011139337807287,0.023056933926549342,0.12179010037137633
0.0,-1.489419502399554,0.07039360324594844,0.02031087209324187,0.1191801648128494
0.0,-1.4424118182519723,0.07072987827219894,0.020073952810745005,0.1188757374384029
0.0,-1.3954041341043903,0.07112440405455049,0.021276174436264287,0.12034032977610498
0.0,-1.3483964499568084,0.07158154519309404,0.018449790018402676,0.11816110493334528
0.0,-1.3013887658092265,0.07210609050707156,0.022253501221141104,0.12230148484993264
0.0,-1.2543810816616445,0.07270347575038653,0.02401570572423671,0.12480768606648049
0.0,-1.2073733975140628,0.07337969389189523,0.022996228202692866,0.1238648636733152
0.0,-1.1603657133664809,0.07414098144046792,0.024576325031329522,0.1256892508544207
0.0,-1.113358029218899,0.07499373228575003,0.025490752991107684,0.12701494582106734
0.0,-1.0663503450713172,0.07594479960912714,0.025598225231892095,0.12676410380316286
0.0,-1.0193426609237353,0.07700201331590502,0.026527765074063122,0.12790223205506282
0.0,-0.9723349767761533,0.0781746463263242,0.026556722710280107,0.1289941148100305
0.0,-0.9253272926285714,0.07947354825802169,0.025684125451814987,0.13046378840335798
0.0,-0.8783196084809897,0.08091106038899551,0.025800122217087964,0.13255457411595692
0.0,-0.8313119243334077,0.08250116312485578,0.028383248189363813,0.13596333033939606
0.0,-0.7843042401858258,0.08425975609012276,0.029990185254161184,0.13774493891344577
0.0,-0.7372965560382441,0.08620438129759339,0.03308367475428009,0.14117803754964278
0.0,-0.6902888718906621,0.08835291789322419,0.034434644421265106,0.1434469633248069
0.0,-0.6432811877430802,0.09072107419339917,0.03760511239233719,0.14627340692033464
0.0,-0.5962735035954982,0.09331921439715336,0.041325503113606214,0.15035374395144888
0.0,-0.5492658194479165,0.09615036533924945,0.04277588989468128,0.1513690117521045
0.0,-0.5022581353003346,0.09920992645599971,0.04445091819872341,0.1533779880758695
0.0,-0.45525045115275264,0.10248734541977433,0.049816980885599146,0.16048846443426049
0.0,-0.4082427670051709,0.10596723733369712,0.047615768692279466,0.1603044646133764
0.0,-0.361235082857589,0.10962486046921086,0.0544823167060814,0.16713145604689872
0.0,-0.31422739871000704,0.1134187651698029,0.057591057054493154,0.1714945136919466
