	ts	te
T0	35.0	31.21
T1	34.28	18.36
T2	33.78	11.2
T3	32.64	22.45
T4	32.54	12.52
T5	30.39	22.13
T6	30.25	17.36
T7	29.94	26.71
T8	29.31	15.42
T9	29.24	27.63
T10	29.23	12.93
T11	29.19	25.34
T12	27.63	21.3
T13	27.08	25.34
T14	26.83	11.14
T15	26.81	16.32
T16	26.76	8.98
T17	26.71	16.49
T18	26.52	19.19
T19	26.43	19.16
T20	26.17	15.63
T21	26.02	16.23
T22	25.75	21.44
T23	25.67	7.79
T24	25.56	25.01
T25	25.37	18.08
T26	25.35	16.99
T27	25.07	23.72
T28	25.03	11.83
T29	24.85	16.32
T30	24.83	16.53
T31	24.78	22.55
T32	24.69	18.7
T33	24.64	19.05
T34	24.4	14.22
T35	24.24	15.76
T36	24.22	17.98
T37	24.13	12.05
T38	24.09	13.81
T39	23.97	21.54
T40	23.86	15.86
T41	23.49	16.04
T42	23.37	16.78
T43	23.35	15.92
T44	23.32	9.92
T46	22.93	19.71
T47	22.81	14.12
T48	22.81	9.01
T49	22.8	18.8
T50	22.77	20.27
T51	22.69	21.51
T52	22.69	15.3
T54	22.53	15.51
T55	22.46	18.29
T56	22.41	9.86
T57	22.38	18.03
T58	22.31	2.76
T59	22.3	19.14
T60	22.3	16.29
T61	22.18	15.66
T62	22.1	18.26
T63	22.08	7.76
T64	22.06	2.69
T66	21.93	11.73
T67	21.93	16.99
T68	21.85	13.29
T70	21.82	13.26
T71	21.75	20.4
T72	21.73	17.78
T73	21.72	9.79
T74	21.67	12.76
T75	21.63	12.8
T77	21.6	0.0
T78	21.58	14.22
T79	21.56	18.27
T80	21.54	2.15
T81	21.47	16.37
T83	21.27	15.51
T84	21.26	13.12
T85	21.26	14.55
T87	21.19	11.6
T89	21.14	18.59
T90	20.86	14.9
T91	20.66	18.22
T92	20.61	15.24
T93	20.55	15.06
T94	20.43	0.69
T95	20.38	18.63
T96	20.2	8.58
T97	20.14	12.38
T98	20.11	12.86
T99	20.05	14.73
T100	20.04	8.82
T101	19.9	15.41
T102	19.83	9.55
T103	19.75	16.46
T104	19.45	8.88
T105	19.27	16.98
T106	19.21	18.32
T107	19.19	10.23
T108	19.09	15.71
T109	19.03	15.28
T110	18.87	16.29
T111	18.87	16.1
T112	18.84	16.94
T113	18.82	10.95
T114	18.78	18.29
T115	18.75	13.08
T116	18.68	15.21
T117	18.68	11.9
T118	18.67	10.48
T119	18.64	11.56
T120	18.58	16.72
T121	18.55	9.6
T122	18.48	9.85
T123	18.45	17.4
T124	18.35	6.75
T125	18.35	9.87
T126	18.33	7.63
T127	18.28	16.94
T128	18.23	17.79
T129	18.19	17.38
T130	17.97	12.89
T131	17.95	11.5
T132	17.91	8.03
T133	17.72	16.34
T134	17.69	14.44
T135	17.62	13.84
T136	17.61	14.72
T137	17.51	8.71
T138	17.5	14.48
T139	17.45	10.11
T140	17.3	5.74
T141	17.19	14.8
T142	17.18	8.33
T143	17.09	15.42
T144	17.07	9.8
T147	16.89	15.5
T148	16.78	6.12
T149	16.78	8.31
T150	16.56	9.73
T151	16.5	10.78
T152	16.49	14.91
T154	16.33	10.06
T155	16.18	0.53
T156	16.17	11.39
T157	16.01	8.76
T158	15.97	11.04
T161	15.81	11.83
T162	15.74	13.36
T163	15.61	6.12
T164	15.55	12.67
T165	15.41	7.48
T166	15.38	10.55
T167	15.26	14.6
T170	15.02	12.57
T171	15.02	6.77
T172	14.81	10.91
T173	14.57	11.54
T174	14.49	10.2
T175	14.47	9.75
T177	14.21	12.37
T178	14.14	11.01
T179	13.67	12.77
T180	13.58	10.8
T181	13.55	11.93
T183	13.28	10.77
T184	13.17	12.04
T185	13.16	0.0
T186	13.15	9.55
T187	13.02	7.24
T188	12.95	9.48
T189	12.82	7.44
T190	12.76	11.46
T191	12.76	11.81
T192	12.65	10.5
T197	12.11	5.91
T198	12.01	7.14
T199	11.92	8.53
T200	11.9	10.59
T201	11.74	7.2
T202	11.66	9.2
T203	11.65	0.0
T204	11.51	6.27
T206	10.8	8.56
T207	10.68	0.0
T208	10.65	2.75
T209	10.01	3.95
T210	9.95	4.45
T212	9.76	4.59
T213	9.54	5.75
T214	9.25	7.01
T216	9.02	6.35
T217	8.84	7.44
T219	8.46	8.32
T220	8.27	6.37
T221	8.26	8.01
T222	8.04	5.97
T223	7.97	6.36
T226	6.26	0.07
T229	5.55	0.0
T230	5.53	0.0
T234	2.85	2.25
T235	2.4	0.78
T236	2.16	1.67
T237	0.53	0.0
