NMDS1	NMDS2	Africa	America	Eurasia	Island	Grassland	Temperature	Humans	PVR1	PVR2
-0.0810981217987767	-0.799016239637565	1	0	0	0	0	1.12236718237346	0	-0.712278530886257	0.11893098255619
-0.0184602625500703	-0.567317586836067	1	0	0	0	0	0.635398486082645	0	-0.849697607043942	0.125297566424337
0.142035802312936	-1.56118648538441	0	1	0	0	1	0.033406493943281	0	-0.912605525039972	0.147992464914951
0.194266825002114	-1.63273240063768	0	1	0	0	1	-0.209193001935999	0	-0.913690679883471	0.148385159354528
0.263965938334339	-0.170495841571779	0	0	1	0	1	-0.241666330228074	0	0.835110723062953	0.00337826739216423
0.263965938334339	-0.170495841571779	0	0	1	0	1	-0.32180919967076	0	0.836674306269443	0.00339186792795673
0.242329146842273	-0.175542130996932	1	0	0	0	0	1.16818453276362	0	0.85146240489004	0.00353038562202746
0.134814355994058	-0.243390226809055	0	0	1	0	1	-0.199017200875533	0	0.818936062632395	0.00322850549437621
0.19495139849217	-0.223090670725096	1	0	0	0	0	0.991139092057948	0	0.840050387181662	0.00342309949927184
0.100421214012633	-0.386225089427438	0	0	0	1	1	0.3281372860439	0	0.837024333497443	0.00339491612533104
0.13077149655276	-0.207110947575169	1	0	0	0	0	0.866134962597402	0	0.850425613756982	0.00352072198728736
0.217094065020907	-0.238321888268395	0	0	1	0	1	-0.0895504773083432	0	0.839175822783271	0.00341510920136339
0.29186712293248	-0.180649591666838	0	0	1	0	1	0.3281372860439	0	0.853999610020411	0.00355405532473204
0.28098057105069	-0.175243889773299	1	0	0	0	0	1.01560000809276	0	0.853775012829833	0.00355184334579034
-0.666339184502935	-0.978623531843796	0	0	1	0	1	-0.0662368697202906	0	-0.853057034205766	0.126297837356805
-0.530823275802624	-1.09025744803064	1	0	1	0	1	0.556912839951942	0	-0.80158438839536	0.108721444094594
-2.45263487793742	1.08959153900003	1	0	0	0	0	0.866134962597402	0	-1.14226350742716	1.51586436187425
-1.73451104900531	1.13340697049122	1	0	0	0	0	1.24347196286463	0	-1.14883460672946	1.59502619984525
-0.346161952688902	-0.497534449635795	0	0	1	0	1	-0.190318653174619	0	-0.723448040246539	0.123166792237827
-0.0984097137815234	-0.870448273676343	0	0	1	0	1	-0.307674059656776	0	-0.714746271110006	0.119850331022819
-0.974507467842991	-0.283534196697913	0	0	1	0	1	-0.20035947677076	0	-0.715827693587769	0.120274867271706
-0.369716114281058	-0.53141789121383	0	0	1	0	1	-0.0662368697202906	0	-0.693704088230987	0.111794354971587
-0.0282152712225646	-0.68239770389694	1	0	0	0	0	1.3067613961368	0	-0.71952740992794	0.121669126106028
-0.414583843029675	-0.53445284639467	0	0	1	0	1	-0.189823735805429	0	-0.722787759543083	0.122912974044231
0.43787219068675	-0.560068068712387	0	1	0	0	1	0.736613962268196	0	-1.08331406045043	-2.53803290735249
-1.71873449869772	1.66982240067779	1	0	0	0	0	1.11824287096354	0	-1.26884726891603	2.01757198852941
-1.6866405917305	1.90822505694254	0	0	1	0	1	-0.195429049948906	0	-1.2707930788128	2.02501159769242
-1.68664059173146	1.90822505694352	0	0	1	0	1	0.3281372860439	0	-1.2631358566083	1.99732536228391
-1.67311018539467	1.73061536594545	0	0	1	0	1	-0.190318653174619	0	-1.26834857387236	2.01624801875426
-1.68664059173608	1.90822505694826	0	0	1	0	1	-0.194536698934761	0	-1.27811299052268	2.05118011149751
1.37285055676594	0.648309788828526	1	0	0	0	0	1.05727804957697	0	1.34807009327424	0.0312047913239453
1.06234113213693	0.616778334033209	1	0	0	0	0	1.1728337565348	0	1.28309560024944	0.0277769543925417
1.37285055676594	0.648309788828526	0	0	1	0	0	0.35606262366304	0	1.3621450713443	0.0319436077505763
1.37285055676594	0.648309788828527	0	0	1	0	1	1.51402679135512	0	1.36540631053527	0.0321145165617101
1.30741179705183	0.635066864936334	0	0	1	0	1	0.237514916246017	0	1.36680123353419	0.0321876440966422
1.06000256094101	0.733434697159816	1	0	1	0	1	0.445667663313144	0	1.32055211429557	0.0297483492723538
-0.815959002114192	1.10228837072399	1	0	0	0	0	0.988589517731818	0	-0.863610554896675	0.459645700947047
-0.70665578525507	-0.734049517803922	1	0	0	0	0	1.18610654052671	0	-0.769060355342177	0.374340448894756
-0.0396905546967406	-1.27754260390367	0	1	0	0	1	-0.388833009455905	0	-0.963544338212749	-1.91330739524473
0.356160389552288	-1.10612747792026	0	1	0	0	1	0.196421777107217	0	-1.01766532812604	-2.19345418609925
0.423212791123226	-1.18916153862621	0	1	0	0	1	-0.33486451997015	0	-1.02170958763614	-2.21296338730685
-0.343765582145374	-1.0365355480159	1	0	1	0	1	0.261560901557163	0	0.197581560270435	-0.018272649708638
-0.370101165135938	-0.851733865646352	0	0	1	0	1	-0.32180919967076	0	0.0407554103219223	-0.0198724922761855
-0.447344999291067	-0.877743982550461	1	0	0	0	0	1.08847284133197	0	-0.55249235948417	-0.0270213317728573
-0.307519002546884	-0.826177802592687	0	0	1	0	0	0.327634869926692	0	0.430540762297759	-0.0132494371029898
-0.370101165135938	-0.851733865646352	0	0	1	0	1	-0.0662368697202906	0	0.197891418723024	-0.0183365918004773
-0.399408460837228	-0.839437818975207	0	0	1	0	1	0.0663634914825193	0	0.178335952252142	-0.0177970530683578
-0.370101165135938	-0.851733865646352	0	0	1	0	1	-0.14477125771311	0	-0.0425902223655913	-0.020985156502234
-0.57789663886497	-0.763704961138203	0	0	1	0	1	-0.32180919967076	0	0.196726790633683	-0.0180955137192361
