it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	q_4	q_5	q_6	q_7	q_8	q_9	q_10	q_11	q_12	q_13	alpha	hypQ	k_birth	k_death	RJ_hp	root_age	death_age	tot_length	T0_TS	T1_TS	T2_TS	T5_TS	T6_TS	T8_TS	T9_TS	T10_TS	T11_TS	T12_TS	T13_TS	T14_TS	T15_TS	T16_TS	T17_TS	T20_TS	T21_TS	T22_TS	T23_TS	T24_TS	T26_TS	T30_TS	T32_TS	T34_TS	T35_TS	T36_TS	T37_TS	T40_TS	T41_TS	T42_TS	T44_TS	T45_TS	T46_TS	T48_TS	T49_TS	T50_TS	T51_TS	T52_TS	T53_TS	T54_TS	T55_TS	T56_TS	T57_TS	T58_TS	T59_TS	T62_TS	T64_TS	T66_TS	T74_TS	T75_TS	T77_TS	T78_TS	T79_TS	T80_TS	T81_TS	T82_TS	T83_TS	T85_TS	T87_TS	T88_TS	T89_TS	T90_TS	T92_TS	T93_TS	T94_TS	T95_TS	T96_TS	T97_TS	T98_TS	T99_TS	T101_TS	T103_TS	T104_TS	T105_TS	T108_TS	T109_TS	T111_TS	T112_TS	T114_TS	T115_TS	T117_TS	T120_TS	T122_TS	T123_TS	T124_TS	T128_TS	T129_TS	T130_TS	T131_TS	T132_TS	T134_TS	T135_TS	T136_TS	T138_TS	T140_TS	T143_TS	T144_TS	T145_TS	T146_TS	T147_TS	T152_TS	T153_TS	T155_TS	T156_TS	T160_TS	T161_TS	T162_TS	T163_TS	T165_TS	T167_TS	T168_TS	T170_TS	T171_TS	T174_TS	T175_TS	T178_TS	T179_TS	T180_TS	T182_TS	T184_TS	T185_TS	T186_TS	T187_TS	T188_TS	T189_TS	T191_TS	T194_TS	T196_TS	T198_TS	T199_TS	T201_TS	T0_TE	T1_TE	T2_TE	T5_TE	T6_TE	T8_TE	T9_TE	T10_TE	T11_TE	T12_TE	T13_TE	T14_TE	T15_TE	T16_TE	T17_TE	T20_TE	T21_TE	T22_TE	T23_TE	T24_TE	T26_TE	T30_TE	T32_TE	T34_TE	T35_TE	T36_TE	T37_TE	T40_TE	T41_TE	T42_TE	T44_TE	T45_TE	T46_TE	T48_TE	T49_TE	T50_TE	T51_TE	T52_TE	T53_TE	T54_TE	T55_TE	T56_TE	T57_TE	T58_TE	T59_TE	T62_TE	T64_TE	T66_TE	T74_TE	T75_TE	T77_TE	T78_TE	T79_TE	T80_TE	T81_TE	T82_TE	T83_TE	T85_TE	T87_TE	T88_TE	T89_TE	T90_TE	T92_TE	T93_TE	T94_TE	T95_TE	T96_TE	T97_TE	T98_TE	T99_TE	T101_TE	T103_TE	T104_TE	T105_TE	T108_TE	T109_TE	T111_TE	T112_TE	T114_TE	T115_TE	T117_TE	T120_TE	T122_TE	T123_TE	T124_TE	T128_TE	T129_TE	T130_TE	T131_TE	T132_TE	T134_TE	T135_TE	T136_TE	T138_TE	T140_TE	T143_TE	T144_TE	T145_TE	T146_TE	T147_TE	T152_TE	T153_TE	T155_TE	T156_TE	T160_TE	T161_TE	T162_TE	T163_TE	T165_TE	T167_TE	T168_TE	T170_TE	T171_TE	T174_TE	T175_TE	T178_TE	T179_TE	T180_TE	T182_TE	T184_TE	T185_TE	T186_TE	T187_TE	T188_TE	T189_TE	T191_TE	T194_TE	T196_TE	T198_TE	T199_TE	T201_TE
2500000	-1967.45908122604	-40.5377329646697	-1403.51850462258	-523.402843638795	1.66686984540702	0.65059527512813	3.34624983206346	2.28034230994241	1.17780744140649	1.21967492686046	1.396469503471	2.44130448561039	1.27873183170474	1.88217199757982	2.42489493950148	1.72581656309287	0.814591665035812	0.616869652429189	0.85294042018093	0.761401503542428	2	2	2.9029589306793	34.8521941170519	0	440.967329931616	34.8521941170519	34.4883203895137	28.5960084894387	31.0541033662856	30.5308670747611	24.1921286903963	25.3429336522702	23.7604860095054	23.7734509217765	25.0822347281353	22.8688637416797	21.9303176832158	24.3050801171873	22.2709682569074	22.2655812349747	21.6339655015183	12.6778660504988	19.2057342160817	18.973048537043	15.6197811454659	15.319241809834	16.8095791398961	14.7467711805308	14.5158097706577	16.764737732238	15.8191125833798	15.9881668811972	13.9846339845921	15.4587521331269	15.2025864813733	15.6003671198307	14.3692688566032	14.2636454398054	14.1023194798126	13.0479694455966	12.8134944344907	11.4256738321658	10.9102434418049	13.0941364457721	9.78365063497564	11.4093232786301	11.4422643661838	11.5685087301036	8.40349433080959	12.4580788094207	11.1420884689781	11.390291333792	8.74090491112269	6.86791218961981	10.1362469987626	7.86730924618185	9.31847332479419	8.94884286263951	7.41723291220983	8.47964154205649	8.46320861236628	7.86842075802561	6.38004612733256	6.34717272311395	7.24277216765539	10.7546747426671	8.07340615381021	9.29068421567019	7.05393487136352	7.48394127560953	7.78218622012176	4.09452055017398	7.39333479358469	7.07042771358155	7.54048621227906	6.22859908593273	5.44969717987012	8.00097678557047	7.27831862912225	6.3451287641294	6.31969567489929	6.32727421604471	6.34901647212111	6.29999988832837	6.14896869689293	5.46306857966426	2.71703930658616	4.40796854242107	5.14527055400536	5.12830890620247	5.65398907356072	4.71690523196824	3.99197498658148	4.45947101950979	5.03239896121565	4.83625715564133	5.57364101459358	4.59079503515424	4.14692443252761	4.65477146132936	3.77071452479054	3.83274236291651	4.07603257674019	3.7981580825929	3.66176009260388	3.8621995925342	3.60021609931869	3.46245909365839	2.39920690520294	4.75426639139701	3.28891627696133	2.69969781942216	2.80019820169356	1.4853455365692	2.69626573574971	3.25541036500515	2.28876309896591	3.20920646095782	1.65753501536349	2.24533473506202	2.38414372462964	1.61567248142132	1.49171704260471	0.501197712649711	1.12589474269236	1.75269660127736	1.11007431094033	1.39704686629232	0.993849738386227	1.32919191882076	1.51603581000201	0.652026493348275	0.416914384004464	0.500664616848938	1.13807133911656	0.301846530752615	34.1409392457803	34.4356580100988	28.1184623346501	30.9223099976409	16.6549120448354	13.8017889389639	24.1915799442097	22.852806851224	23.1518449252793	19.8705265658256	16.9732265696313	21.8495177267766	11.4475708461636	10.888279911218	3.70945979344166	14.9354102473613	10.224555427164	15.1694224391029	11.8536079646703	14.3393621250555	0	0	12.1518495908879	14.4638674470105	0.860927610756208	15.3654693396169	14.3050612037871	13.4260808244135	0	14.728831962132	12.2471081712199	14.2002343232564	13.4365036333221	11.8874072746795	9.99598557117513	8.73336003809838	11.0256918039363	6.71167166115205	0	5.53364689041963	11.0385282725203	8.56412427786102	3.80897674528104	7.7053043830151	2.12084852517541	10.54933596631	2.95063550375039	3.56674694659511	5.06330848669766	0	6.94291991216732	7.71670791496889	6.55602458467147	0	7.64196790446082	4.0928750584094	0	6.24410476755857	4.86367303825699	6.02067676128111	3.44201597524033	2.05500179756115	6.23783048609094	5.65742197641633	0	1.9758928335559	3.62872956837627	2.74291130804691	3.60153496805629	5.03523226784706	5.17338545600839	4.78835108387459	5.1212679076843	5.12512295658041	5.37633409760511	3.59362127917033	3.74392526719868	5.92882314733682	5.87467151185922	5.65208849287682	0.938904337151279	0	3.87135487105045	4.15557373822489	3.82707807910936	3.22362984605386	0.485514474998834	0	0	4.16469044995793	3.94388476091818	4.39935155019074	0	3.51671689345665	0	3.34080705838697	0	3.57719438529177	1.24403506958201	2.01434450801119	0	0	0	0	0.28939245469759	1.61197952030575	0	2.1910967046311	0	2.13226724829164	0	0	0	1.56013626565023	0	0	0	0.633591588909848	0	0	0	0	0	0	0.825829431026438	0	0.491294276381306	0	0	0	0
2580000	-1977.36080140762	-45.2969156480024	-1409.30275843831	-522.761127321306	4.2896488652674	2.35013971429949	2.64282205455223	2.13107647651894	1.05115574390067	1.01901734661464	1.19271709006886	2.88219510029757	1.12023190977538	2.1056286192539	1.67247941797511	1.90793123559138	0.942379037357019	0.573688641540252	1.15809525431866	0.942208428776324	2	3	2.21294728486659	34.6336737469586	0	440.293726717946	34.4749515896842	34.6336737469586	28.9043500862386	31.2168144393554	29.9644009717307	25.5004609274519	25.2345037204914	23.0432332938862	23.4397281104009	23.250185855693	22.8282723534445	23.0132125993736	24.4041688033098	22.5985313606795	22.0473574740276	19.3223088462451	13.2706385050353	19.2117966597278	18.8202922663265	14.4754785375744	16.1757590516749	16.9175933100171	15.5437086183816	14.5367074396915	15.4244219495571	16.0403423578329	15.2703453427615	14.442963162839	15.2193448092342	15.6702448353625	14.5664894794515	14.4839026722335	15.8167237775579	13.4431523593789	13.229394027671	12.7214131783929	11.1878854995588	10.7330146636402	11.8103786854196	10.2816698188488	11.1423645994408	11.0846777017068	12.1682671042928	8.29350755537262	11.0854470280695	10.976008416751	11.0447922489204	8.56282291046584	7.17759277894022	9.01773751317967	9.28395511291464	8.60547746717995	9.07642772966269	7.22089893150145	8.52595599646547	8.3616578425402	7.83697379159099	9.64456570948066	5.93924027542219	6.94227368618406	8.02408335785022	7.39080766568144	7.7786911436788	6.98427268905072	8.06350333471379	8.49745682970733	4.79659981643101	7.47872904083997	12.1571340852077	7.27566823057763	6.86292410062197	5.73544113569337	9.56936580253542	7.11161509522838	6.67472924787547	6.6826200112387	6.03829552779844	6.27039053204157	6.39215642358757	6.75014233871156	5.57808461578788	2.17101370370479	4.43542407863604	5.17022900647958	4.81320083570477	5.48017040760538	4.71222602465213	4.17972860242666	4.41610211452704	4.73735044328769	4.71844221595313	4.69566451705913	4.23821640803614	4.04133939604492	4.19258365804401	3.66744923351313	5.2664618199659	3.67354109343788	4.31296257558299	3.92188248236732	3.87843065777767	4.21653438651487	3.66072819975982	3.03036079971401	4.17350294064786	2.96669942959986	2.9881046577779	2.88551344883587	2.59965557568047	2.55788711948277	2.53926155284338	2.11864422180509	2.8833542914502	2.3785244271893	2.29055720949144	1.75329236850274	2.19468144741774	2.01939519461291	0.376637248030482	1.62696388235592	2.14973038805797	1.1886043633587	1.59673077922819	0.887399999940672	1.31333912229096	1.34280566212447	0.829453760908538	0.26530413567737	0.293017603482719	0.293644689344411	0.295780189513575	34.3428180383055	34.4274824770601	27.9296638196598	30.431478455786	20.0675162869069	12.3987860525103	25.0361459920558	22.8807430158007	23.0750014108127	13.9669581883189	16.8543531789093	21.7079243211887	12.7340870487902	10.2062504109974	3.64920281199913	17.9205415555405	8.87663429757964	14.927002333215	12.1706992602277	14.3647191538415	0	0	11.8489573405225	14.3761216586056	4.13468192309851	14.0519978741258	15.1045638546894	13.0210381688348	0	14.2076196796001	12.126477556525	13.906345166357	13.8904220429034	12.8646039383486	9.23792834795799	7.94852165713636	10.5076072878806	6.67446810030414	0	5.65082793220773	11.1321503044173	9.35439238202499	4.00125749147455	8.0021407832131	3.85776861287386	10.1787549378884	4.01567750502684	5.54583032249393	4.21458874372656	0	4.32754005701033	7.66126280455301	7.19391990542775	0	8.21787906810021	4.61850890406969	0	5.80544140753415	5.54782275786595	6.85407370964888	3.65048167139411	1.46496426856548	6.38296839950603	5.72301198172172	0	1.4507804883211	3.64599365661136	2.46441385063678	2.82182464028568	5.27251013884727	5.21163134284094	5.34201382534427	4.24660555986987	5.88039376250065	4.57544035453355	3.67412229092841	5.25022692163621	5.92844195250651	5.05476973382388	4.83504205535233	0.928355027169993	0	4.184399974215	3.86255848751655	3.8611064781656	3.56356825552896	0.151876429776838	0	0	4.17668453989415	3.91302180660848	4.2639754075	0	3.72637528445214	0	3.48334338814044	0	3.50170946484692	0.897836077110705	1.81598397851461	0	0	0	0	0.386120679733533	1.95822269877727	0	2.52280723812405	0	2.01238854626178	0	0	0	1.56154777604843	0	0	0	0.980781307908249	0	0	0	0	0	0	0.601140264077935	0	0.139331923031814	0	0	0	0
2650000	-1903.27290264291	-40.4102662933367	-1349.54751197258	-513.315124377001	1.96349194544728	1.38181138903958	2.92710117545261	1.9667127937511	1.11332707433056	0.53782833358136	1.30919358027457	2.6085077413996	1.53383714969134	1.55044334402225	2.99374412202389	1.67482931488174	1.7993838207135	0.708680728710446	1.104904781103	0.881088064348555	2	2	1.43579783167388	34.5699852695817	0	418.455356050049	34.3865174184626	34.5699852695817	28.6569866251216	31.1431268932521	30.8869987916191	24.9692145967109	25.3901189954721	22.8862568689807	23.7046473049207	23.2425333744832	23.003645722198	21.8882619796732	23.0677144989126	22.4559671779634	22.038758728171	20.0724758496585	13.6738000548389	19.0909813063162	18.9052660479983	14.8061618138006	15.7620936844553	16.8401391081407	15.4397959239075	14.8156695977664	15.4190465894626	15.6459450655709	15.7901007993109	13.812971891416	15.0907898497522	14.8612604066751	14.4732236990384	14.8220823996726	14.3372280737457	13.4224492142885	13.0932650159084	12.5922877011625	11.458463540154	10.8019591014381	13.7577314211225	9.71080152710907	11.1422882285907	11.3094912542839	12.2804760030177	8.36874542112809	11.047679606593	11.0345243873149	11.0509317198672	8.70940107484469	6.63771976803192	9.28435068382958	7.55219046062377	8.67453563346594	9.47377031841826	8.80139598794877	8.25765852235207	8.55446381202964	7.77730243785531	6.73177073740181	5.98478518216626	7.81899137298356	7.49144047422955	8.24373513312871	8.10775314765556	7.10180406303384	7.2789101283306	7.40874920325559	5.46352477498991	7.17571741021771	16.941785293045	7.28505740151023	6.53149620589262	5.46348753413292	7.88549389800836	9.37579121644162	6.46315641161646	7.62371264802676	5.65040120970307	6.20767731652349	5.93178211905833	5.99116443012426	6.43501938000033	2.16978109867975	5.18877726733628	5.7012068178074	4.68449178400834	4.90512529084748	4.55577749678318	4.81236615896393	4.40669509079625	4.40176509432069	4.94592710044829	4.98968818118395	3.83850379275174	4.09195247272933	4.06852805260537	3.62772416111896	3.32004842011342	3.67015224661915	3.64346617278851	3.85163345087977	4.32936518610404	4.14854058578378	3.87933564902755	2.15272438685425	3.56222495458257	2.91171949314044	7.64307425384158	2.62181219264164	1.50716536636177	3.11180526376111	3.22715520625493	2.15737816657977	3.64654976561178	1.69708971580211	1.79533705776144	1.45162558673578	1.47510678280322	1.67392240374317	0.654996498699679	1.20413949354979	1.6494229176481	1.0821451160113	1.09026467537382	0.93740861816098	1.15435783206603	1.04615286304902	0.742606071143258	0.454178430820537	0.417711584711267	0.628799187535537	0.143786053332552	34.2741624350166	34.0850369839762	27.9988374671646	30.6722591297868	20.771664231379	12.5459649478429	25.0253621067715	22.3982908542426	23.163695113555	20.1038059298693	16.7361724324282	21.8787825974879	11.9021311772945	11.4982236346214	3.55859985365378	17.5684604471454	10.3800592780104	15.0391384105536	12.4253410366856	12.7944840772216	0	0	12.0108037907816	14.2177108903655	4.1423415937205	15.1038068025975	14.9829357771814	13.2071822726673	0	14.820292408125	11.9241778514486	13.9657759091756	12.518796935126	12.6648921042403	10.867012121114	8.63175887062109	10.2772641424162	6.83285647943554	0	6.00530651203685	11.1387008850484	9.84362885006762	3.67208288125202	8.17057824306807	4.02596262791126	10.6213645338695	4.21057648498006	4.85390992097539	5.14737697585969	0	7.45550864489357	7.67253897236032	7.10213758100149	0	8.20723144064666	4.57566945759473	0	5.69171677377237	5.54831113756718	6.91604197324671	3.88420447327793	1.98401692961469	6.42521364367922	5.70230168832925	0	2.27115402053081	2.5071086167676	3.17414263567619	3.78736401244968	5.4503314972513	5.10804214707052	4.28565172681919	4.34732047900882	5.91618926419126	5.4191024108739	3.64118497580809	5.39987433743885	5.8630586755319	5.91732375657117	5.76383733705615	0.762680082422596	0	4.28422159610105	4.04451993992244	3.76459721013213	3.31254506455462	1.22717749234242	0	0	3.84479254227517	3.93542748926655	4.32892507611095	0	3.8249606765278	0	3.57214186258548	0	3.65773230930116	1.24247264875328	2.40473111965215	0	0	0	0	0.797790733804026	1.68438392965337	0	2.3854398069578	0	2.12312555634027	0	0	0	1.52237716379841	0	0	0	1.20112323257228	0	0	0	0	0	0	0.981223195262859	0	0.356476053972682	0	0	0	0
2730000	-1927.07302913314	-34.8539610429604	-1368.85084431305	-523.368223777135	2.24110010687286	0.299470381432039	2.44925480060399	2.23534078783322	1.29271054208886	1.46034008180856	1.60966305805982	2.91792499480245	1.78280575895808	2.26772683182545	2.39506632272855	1.56108162375756	0.737618528202404	0.39270431519489	1.3220536016689	0.854301808445786	1	2	1.91308576977396	34.5703706235939	0	434.715023919164	34.5703706235939	34.5333443225816	28.6096413902967	31.0740481875613	30.4944543150064	25.4556713054704	26.3656682647973	22.9289693641254	24.9977141850503	23.9960438098719	24.2573836358991	21.9061907402265	27.3081156386501	22.5178688180435	22.1976732531048	20.4513112229867	13.0124148354639	19.3734639316997	18.9555373681518	14.523020692322	15.3212614216092	16.8643209381525	16.0786082071376	14.6327099387108	14.6495870195631	15.6420962740614	15.6069493119723	14.3819816141855	15.4500283987347	14.8599267368234	14.7291910073534	14.2782621625297	14.2315766126371	13.2671805227495	13.9467721241432	12.8537610268162	11.3907264916197	12.3153236059706	12.525517328954	10.6907701246936	11.2440533634587	11.009289402101	12.6280234186314	8.30943080324186	12.5099645701075	11.0506565739222	11.0076406374451	11.0680328684453	7.24315370060252	11.5925366385508	7.96685017711492	8.83635815397001	8.76428226514665	8.27914564349711	8.36981747494487	9.91976910655185	8.38156301240289	6.35282186323641	5.90275188663384	7.79074475007922	7.34980980163517	7.71835093587902	7.70151382961911	7.05307045972987	7.25302703287222	7.35749609930981	4.1056904496043	8.10641864058497	9.28830065342119	7.18773093352093	6.17387324414119	5.81643990055401	6.84074206475081	8.6506583581715	6.31422357859932	7.56884259938555	6.15056136452092	6.22046780795677	5.97106884656458	5.84787137724766	5.45557472843711	2.43113844185344	4.42598967449934	5.19138565165922	6.2015352078263	4.89186695991371	4.80712385111061	4.09710658155271	4.53254704339639	4.49363539532771	4.95384534671699	4.89955621803421	3.88496148643643	4.13183803112379	4.26040797841797	3.59747655877404	4.27914185111527	3.87774011455924	3.59402306135411	3.69792429174931	5.07514034344866	3.4877420494145	3.61896769447594	2.06156358366753	4.45121912215681	2.97114809078438	3.16546046653399	2.57716701250064	2.06342066078476	2.19757926635645	3.37059979144753	2.10973215328986	2.80077240593127	1.66494210781691	1.99069545146339	2.02885827845496	1.66202330663254	1.68230994225494	1.27360261062669	1.12649057476197	2.68626077747934	1.46346395951997	1.34748514181208	0.881735002490417	1.47098545095892	1.28966386283248	0.61255542142926	0.423276314662559	0.241392609498632	0.565566125980637	0.18523663184645	34.0853321439587	34.4503553554818	28.277410668566	30.7816429269144	20.3233427357404	13.3703285237393	24.6115347291839	22.67395029697	23.3206775461979	19.1072389777106	17.0867718920242	21.8578460077309	12.6664113658809	11.3459623059172	3.98353329198178	17.5139540056262	10.3007815335528	15.1620722297226	11.1082205595069	14.2653118546354	0	0	12.2949170958907	13.8898543090346	3.01557187023406	15.1963377173469	15.1930909618995	13.5571419105783	0	14.6384868226302	12.3416053815992	12.3848367882643	13.6379541253598	12.5142210415645	10.856153464896	8.87876432106713	11.0593792690197	6.4585477988034	0	2.76975020742255	10.7247268943841	9.95356305220636	3.335929361931	7.99581991887765	3.87060044774764	10.3666309590297	3.85768940628821	3.07045086833715	4.72064211578564	0	7.32832130622269	6.95000752828643	7.05548265866234	0	7.96670887861831	4.40880725953311	0	6.33751421035541	5.46699532994169	6.79831373499755	2.88086767981101	1.57627609658198	6.26561001747435	5.71955040507423	0	1.42078541804554	3.80977013664335	3.38820923828446	2.8040264821626	5.39579031943903	4.88791666669052	5.26824312170658	5.3336611711394	5.71326407589369	5.3704899017185	3.56366758264582	5.35828239843633	5.9678026668392	5.89508588483285	5.78942651106552	0.270302394754387	0	4.34267957808147	4.13708460409141	3.09905862828795	3.41938837345493	0.832254232842375	0	0	4.12970112495692	3.76330226434489	4.20628805427912	0	3.63519123537357	0	3.44848856200645	0	3.49361608467791	1.10532902388287	2.31633509844179	0	0	0	0	0.207500198666828	1.69947114607373	0	2.06774961572666	0	1.68509418489124	0	0	0	1.48303466706787	0	0	0	1.22050614470175	0	0	0	0	0	0	1.03870906300705	0	0.48804580552832	0	0	0	0
2800000	-1928.31939902301	-44.3693337011561	-1369.49333013315	-514.456735188702	0.956369334776067	0.392297792812585	2.40163295767185	2.10163021260515	1.41736906822433	1.54578620282935	1.3295316136016	2.5181814640746	1.28954895151723	1.2572141559007	2.35582234425941	1.7468543592098	0.871574168215043	0.956824718054986	1.28708207549247	1.02637646654109	3	2	1.67776068116202	34.7748733818899	0	429.439137363084	34.7748733818899	34.5743470254924	28.7141587904669	31.0551381403519	29.6748724752593	24.2989038794593	25.3428216055961	23.0162068677041	23.4028213573812	23.706024554327	23.9879276280198	21.8923273620977	25.2456793236137	22.4492172262547	22.1620245233027	19.4488308149636	13.1782540107178	19.0900098637058	18.9288792389987	14.5509309859573	15.3474246744839	17.5600579505001	14.8561436297388	14.5032814046145	16.1016882686958	15.6792065090773	15.5492819303481	14.0650905276446	15.738019178509	15.048897113278	15.077389128812	14.6881614473429	14.4161711688598	14.5884153644491	13.0480182629308	14.6096927553571	11.5129741453082	10.6779627937574	11.8812968897113	9.90568804473236	11.4333090037895	11.0889003321444	11.8530404862388	8.20084255563662	11.066226266794	10.9761125801837	11.3063418840446	14.013618550806	6.73368707157165	10.3286856988459	7.56869394009572	9.53019972234683	8.96447740180667	8.13229522898074	8.45679033158999	8.46152140403086	8.22883048493424	6.41943871896352	6.21544003067702	7.00712824847279	7.55137734426912	9.07142136953221	8.44233716766887	7.30605408766847	7.36771210630749	8.34591708208368	4.10284364203088	7.24382666227033	7.07379281733636	7.14414375975523	6.34662400558606	5.5905670928916	6.63669400471806	7.21810876955335	6.33609704188314	6.739371406218	5.82155587032094	7.14332663743397	5.92790566523566	5.82545706744266	7.04874832128717	2.58079721290656	5.41957126607563	5.13316066422909	4.80479953963981	4.87929736244257	5.02327973370287	4.18407112869438	4.41556907267102	4.48311416970449	5.09329993506667	5.22125253139908	3.86167445163923	3.97155077210776	5.04831529318373	3.62319744298494	3.60946042135733	3.80318831605683	4.14965377918714	3.91446671371226	3.82222647826721	3.72549995893774	3.5985952384841	2.14117236587509	5.36747122331854	2.89501646112029	2.8292441948675	3.32659963637237	1.58389739430991	2.18328034162132	2.47246063007046	2.96933264723129	2.40298324333398	1.69999176472338	2.35483724424923	1.48110516846348	1.04270057952792	1.82179861090201	0.396775980291388	1.23079241416527	2.3897377873001	1.24155086307393	1.50010369684593	1.23063019160095	1.08047646062674	1.11063559888205	1.09779378575161	0.335797604602397	0.430061752193978	1.10343523207677	0.149377393333074	34.1773702617352	34.2833765403762	28.3254962815961	30.9191595062001	18.7579042297832	11.5029783997781	25.1692437805437	22.5343045279423	23.2033298031887	19.2067475969745	17.3469207195545	20.6478165125379	12.9686705770323	10.5505593857339	3.83262147568215	15.1900546910561	10.5445111990152	15.1722123119335	12.2884666557567	14.4660477441367	0	0	11.3988730733921	14.4567428341515	2.8846875085253	15.2760043682598	15.2383266433701	13.5547417076722	0	14.7584221047293	10.6676985724004	12.6827924231047	13.7133416132339	12.5890602169983	8.88041488581016	6.75904438511322	10.9197936692426	6.59528951574149	0	4.94374675632948	11.1308850003178	9.60552955676222	3.83708200243311	7.9728602145759	3.25744743227197	10.5592960330606	4.60120471514531	5.12115438430082	4.93195065281182	0	7.49079756347618	7.49196222097271	6.71279750784369	0	8.15582615356173	4.01220936705234	0	6.33171208994297	5.18678810370556	6.82644986967218	4.09371881288844	1.71964822419395	5.80625683532685	5.60000677867728	0	2.318673421079	4.04361057545531	3.24201577634263	3.35926222840171	5.36310279629378	5.179659545419	5.3545557958751	5.12189283120625	5.91143520405962	5.2513012341755	1.54747811140002	4.89432496028766	5.2611401602235	5.91499163238795	5.53373031365958	0.945570585981527	0	4.32719314849901	3.98731490526058	2.45248532102983	3.45171155171475	1.19407361047221	0	0	3.75707839022374	4.01123659472732	4.5357818889484	0	3.85131683656335	0	3.16198274200704	0	3.54536448319855	1.17393309694824	2.57332058746165	0	0	0	0	0.853289831422732	2.0005967595012	0	2.24532164787502	0	2.13512743508728	0	0	0	1.53163880980006	0	0	0	1.17953605916909	0	0	0	0	0	0	1.06302156917438	0	0.288110054297605	0	0	0	0
