	ts	te
T1	34.86	0.0
T3	31.86	16.33
T4	31.4	24.52
T5	31.27	14.91
T6	31.15	11.83
T7	29.2	0.0
T8	27.75	22.82
T9	27.63	9.22
T10	27.14	17.38
T11	26.48	9.87
T12	25.66	17.1
T13	25.35	23.39
T14	25.09	19.27
T15	24.6	12.07
T16	24.17	16.36
T17	23.87	23.6
T18	23.67	8.14
T19	23.35	20.48
T20	23.29	0.0
T21	22.82	0.0
T23	22.43	14.27
T24	22.29	4.44
T25	22.22	0.0
T26	21.92	3.82
T28	21.72	0.0
T29	21.48	0.0
T30	21.21	6.35
T31	20.83	14.7
T32	20.7	15.02
T33	19.76	10.36
T34	19.47	14.99
T35	19.0	3.44
T36	18.94	14.67
T37	18.76	16.08
T38	18.65	0.0
T39	18.63	0.0
T41	18.01	0.0
T42	17.81	15.02
T43	17.78	9.81
T44	17.69	6.34
T45	17.3	16.32
T46	17.23	11.9
T47	17.08	0.0
T48	17.05	15.66
T49	16.98	0.0
T51	16.58	12.33
T54	16.13	0.0
T56	15.71	4.52
T57	15.68	0.0
T58	15.66	0.0
T59	15.55	11.19
T60	15.47	8.94
T61	15.41	14.76
T62	15.23	5.06
T63	15.23	11.9
T64	15.08	6.48
T65	14.49	8.51
T66	14.19	11.08
T67	13.83	0.0
T68	13.82	11.16
T69	13.79	13.54
T70	13.76	11.29
T72	13.53	9.95
T74	13.1	6.17
T76	13.02	10.19
T77	12.59	1.48
T78	12.55	7.08
T79	12.4	0.0
T80	12.16	8.42
T81	12.04	4.84
T83	12.01	9.91
T84	11.95	7.22
T85	11.9	4.24
T87	11.63	10.99
T88	11.51	3.7
T89	11.47	5.96
T90	11.46	1.83
T94	11.27	9.66
T95	11.24	0.0
T96	11.17	4.64
T97	11.01	6.54
T99	10.73	7.07
T100	10.64	9.91
T101	10.5	0.0
T102	10.48	9.77
T103	10.43	7.64
T104	10.27	9.79
T105	10.04	0.0
T106	9.9	5.29
T107	9.85	6.53
T108	9.61	2.07
T109	9.5	5.73
T111	9.28	8.62
T112	9.27	8.76
T113	9.26	0.98
T114	9.25	8.09
T115	9.12	5.57
T116	9.03	8.55
T117	9.01	0.0
T119	8.87	1.5
T120	8.82	4.99
T122	8.73	8.24
T123	8.52	7.12
T124	8.31	5.91
T125	8.27	7.33
T127	7.84	3.0
T128	7.83	0.0
T129	7.67	0.0
T130	7.54	1.6
T132	7.28	6.39
T133	7.22	4.98
T134	7.19	3.03
T135	7.06	4.66
T136	6.94	4.41
T137	6.89	5.36
T138	6.79	6.12
T139	6.71	0.0
T140	6.66	5.23
T141	6.62	6.56
T142	6.62	2.83
T143	6.59	5.52
T144	6.56	1.97
T145	6.42	1.88
T146	6.39	5.5
T147	6.33	0.0
T148	6.26	0.07
T152	5.91	0.0
T154	5.84	1.88
T155	5.8	5.42
T156	5.76	3.61
T157	5.69	0.0
T158	5.56	0.0
T159	5.54	0.0
T160	5.53	3.31
T161	5.5	0.0
T163	5.35	4.35
T165	5.22	2.79
T166	5.17	0.0
T167	5.14	0.0
T169	4.88	0.0
T171	4.82	0.75
T172	4.65	2.76
T173	4.57	1.8
T174	4.53	3.88
T176	4.29	0.54
T177	4.18	2.51
T178	4.06	2.58
T179	3.7	0.0
T181	3.63	2.53
T184	3.48	3.33
T185	3.43	1.13
T188	3.24	1.72
T189	3.09	0.0
T190	2.92	0.0
T192	2.82	0.0
T193	2.76	0.0
T194	2.64	2.22
T199	2.5	0.0
T201	2.45	0.0
T202	2.39	0.0
T203	2.35	0.0
T205	2.3	0.0
T206	2.29	0.0
T207	2.26	0.7
T210	2.05	0.0
T211	2.0	0.0
T212	1.98	0.0
T216	1.85	0.0
T217	1.72	0.59
T222	1.2	0.0
T224	1.08	0.0
T226	0.99	0.0
T227	0.88	0.0
T228	0.88	0.0
T232	0.73	0.0
T233	0.72	0.14
T234	0.62	0.0
T235	0.62	0.0
T240	0.43	0.0
T241	0.38	0.0
