	ts	te
T0	35.0	33.27
T1	34.12	0.93
T2	31.88	24.12
T3	31.32	15.85
T4	31.12	27.3
T5	28.2	18.77
T6	27.68	25.73
T7	27.48	7.9
T8	27.19	18.02
T9	27.01	22.1
T10	26.88	23.57
T11	26.4	9.36
T12	26.07	18.11
T13	26.06	22.5
T14	26.02	16.6
T15	25.62	21.41
T16	25.45	18.39
T17	25.39	20.93
T18	25.38	15.5
T19	25.16	8.57
T20	25.08	16.03
T21	24.64	16.35
T22	24.59	17.86
T23	24.51	20.88
T24	24.49	12.16
T25	24.32	11.71
T26	24.25	7.13
T27	24.15	12.27
T28	24.09	15.07
T29	24.06	19.57
T30	23.94	11.62
T31	23.92	16.28
T32	23.78	13.34
T33	23.7	16.51
T34	23.65	11.55
T36	23.62	13.65
T37	23.55	18.56
T38	23.53	17.09
T39	23.46	16.18
T41	23.05	19.8
T42	22.96	16.05
T43	22.81	14.32
T44	22.78	16.52
T45	22.77	13.74
T46	22.68	13.26
T47	22.61	14.67
T48	22.58	16.91
T49	22.51	20.08
T50	22.42	19.59
T51	22.37	11.74
T52	22.34	13.93
T53	22.33	8.14
T55	22.29	13.56
T56	22.29	14.1
T57	22.28	14.9
T59	22.11	18.28
T61	21.81	15.54
T62	21.74	17.68
T64	21.54	13.18
T65	21.47	17.06
T66	21.41	18.44
T67	21.4	14.45
T68	21.39	21.06
T69	21.26	17.47
T70	21.25	18.05
T71	21.24	11.35
T72	21.23	19.2
T73	21.11	17.27
T74	20.97	17.48
T75	20.9	16.44
T76	20.89	4.43
T77	20.88	13.47
T78	20.81	9.65
T79	20.79	19.88
T80	20.63	16.25
T81	20.62	12.01
T82	20.6	17.77
T84	20.53	13.5
T85	20.48	11.13
T86	20.47	19.1
T87	20.46	16.36
T88	20.41	7.1
T89	20.37	18.51
T90	20.36	10.86
T91	20.31	13.8
T92	20.28	9.62
T93	20.22	12.92
T94	20.09	12.69
T95	20.08	11.62
T96	20.01	16.11
T97	19.99	14.97
T98	19.98	10.86
T99	19.97	12.8
T100	19.96	17.29
T101	19.84	12.85
T102	19.82	11.73
T103	19.79	15.64
T104	19.71	16.56
T105	19.59	10.73
T106	19.58	17.88
T107	19.47	10.71
T108	19.47	15.39
T109	19.45	17.69
T110	19.45	12.29
T111	19.37	10.25
T112	19.21	2.4
T113	19.21	9.4
T114	19.1	12.65
T116	18.79	12.78
T117	18.78	16.48
T119	18.56	14.07
T120	18.54	13.23
T121	18.51	14.8
T122	18.37	10.34
T123	18.34	14.84
T124	18.33	10.98
T125	18.28	13.51
T126	18.27	16.66
T127	18.22	16.1
T129	18.19	7.48
T130	18.12	13.95
T131	17.94	14.8
T132	17.93	13.65
T133	17.92	10.3
T134	17.92	12.81
T135	17.88	14.36
T136	17.86	15.72
T137	17.84	12.11
T140	17.72	14.88
T141	17.62	15.09
T143	17.46	10.67
T144	17.45	10.81
T145	17.35	12.33
T147	17.34	14.29
T149	17.23	12.36
T150	17.21	14.75
T151	17.15	16.94
T152	17.13	15.49
T153	16.95	5.42
T154	16.76	15.22
T155	16.71	7.76
T157	16.57	15.72
T158	16.53	14.23
T160	16.48	12.49
T161	16.2	13.42
T162	16.1	14.83
T163	16.0	11.37
T167	15.64	7.84
T168	15.63	12.59
T171	15.44	6.2
T172	15.42	10.85
T173	15.34	13.28
T174	15.32	14.29
T175	15.3	11.28
T176	15.29	13.53
T177	15.27	11.05
T180	14.9	14.07
T181	14.86	10.0
T182	14.75	11.9
T183	14.73	10.98
T184	14.66	12.61
T186	14.59	12.47
T187	14.51	10.98
T188	14.35	13.02
T189	14.05	9.61
T192	13.44	12.6
T195	13.07	0.0
T196	12.98	11.65
T197	12.93	5.59
T198	12.71	11.64
T199	12.42	11.66
T202	11.65	9.4
T204	11.49	7.69
T206	11.12	10.22
T207	10.83	9.96
T208	10.79	9.31
T209	9.88	2.18
T210	9.33	7.69
T211	9.17	7.61
T212	8.87	0.0
T214	8.45	6.58
T215	8.43	6.23
T216	8.23	3.76
T217	6.69	4.38
