	ts	te
T0	35.0	14.66
T2	33.54	0.0
T3	33.45	32.06
T4	33.37	32.96
T5	30.48	26.94
T6	30.3	20.68
T7	30.2	29.03
T8	29.14	14.05
T11	27.87	18.1
T13	26.95	0.0
T14	26.91	13.86
T15	26.88	22.82
T16	26.88	14.02
T17	26.83	19.01
T19	26.49	16.54
T21	26.37	11.61
T24	25.81	14.11
T25	25.72	0.0
T26	25.72	24.96
T27	25.55	14.67
T28	25.34	11.93
T30	25.23	12.61
T31	25.12	21.73
T32	25.1	12.55
T36	24.85	22.18
T37	24.79	0.0
T38	24.74	23.09
T39	24.62	10.17
T40	24.54	15.32
T41	24.54	14.84
T42	24.31	0.0
T43	24.29	11.88
T44	24.25	20.85
T46	24.12	14.28
T47	24.07	0.0
T49	23.99	16.1
T50	23.96	13.66
T52	23.85	22.1
T54	23.72	13.22
T55	23.7	14.76
T56	23.67	13.67
T57	23.57	13.77
T58	23.56	13.83
T59	23.52	0.0
T60	23.48	0.0
T61	23.42	12.57
T62	23.34	10.36
T65	22.97	22.26
T66	22.94	19.13
T69	22.78	12.45
T70	22.76	13.74
T71	22.75	12.21
T72	22.61	13.27
T73	22.58	10.52
T74	22.54	12.41
T76	22.5	14.63
T77	22.48	0.0
T78	22.46	13.82
T79	22.39	0.0
T80	22.36	14.6
T82	22.24	19.78
T84	22.22	12.41
T86	22.18	14.28
T87	22.09	0.0
T88	22.05	0.0
T89	21.99	0.0
T90	21.99	12.84
T92	21.8	14.78
T94	21.72	11.94
T95	21.66	14.77
T96	21.64	13.54
T97	21.6	14.68
T98	21.59	14.88
T99	21.5	0.0
T100	21.48	14.34
T101	21.47	20.88
T102	21.46	20.76
T103	21.44	11.73
T105	21.28	15.23
T106	21.22	13.79
T107	21.2	19.13
T109	21.17	18.82
T110	21.14	12.33
T111	21.13	14.27
T112	21.13	12.57
T113	21.11	14.82
T114	21.09	10.27
T115	21.03	14.91
T116	21.03	12.04
T117	20.99	10.32
T118	20.95	13.72
T119	20.67	10.45
T121	20.63	14.49
T125	20.51	14.29
T126	20.49	13.31
T128	20.44	0.0
T129	20.41	16.24
T131	20.37	12.43
T132	20.35	13.0
T133	20.35	15.86
T134	20.32	15.73
T135	20.32	10.85
T136	20.31	13.37
T138	20.28	14.92
T139	20.26	11.48
T141	20.25	13.41
T143	20.16	14.97
T144	20.16	0.0
T145	20.15	13.3
T146	20.15	16.01
T147	20.12	14.46
T148	20.11	0.0
T149	20.1	12.2
T150	20.1	0.0
T151	20.1	13.14
T152	20.09	14.72
T153	20.09	11.59
T154	20.09	13.89
T155	20.03	0.0
T156	20.03	0.0
T157	19.99	15.98
T158	19.92	11.96
T159	19.9	16.6
T160	19.87	14.92
T161	19.75	16.42
T162	19.71	10.96
T164	19.57	18.56
T165	19.51	2.37
T168	19.33	14.39
T170	19.2	0.0
T171	19.17	14.14
T172	19.01	13.85
T174	18.9	17.64
T175	18.78	0.0
T176	18.75	13.83
T177	18.62	10.93
T178	18.58	14.5
T179	18.55	13.56
T182	18.41	14.79
T184	18.15	14.65
T185	18.12	14.38
T186	18.1	12.05
T187	18.07	13.25
T188	17.84	14.72
T189	17.59	11.5
T190	17.54	14.98
T191	17.53	14.89
T192	17.51	12.7
T195	17.32	14.31
T196	17.3	0.0
T197	17.29	15.29
T198	17.2	0.0
T201	17.1	13.79
T202	17.09	16.53
T203	16.99	12.16
T205	16.97	12.31
T206	16.96	14.65
T208	16.77	13.5
T210	16.69	14.54
T212	16.63	16.05
T213	16.57	13.96
T215	16.5	14.44
T216	16.41	0.0
T217	16.4	0.0
T218	16.37	15.62
T219	16.36	14.44
T221	15.99	14.29
T222	15.87	0.0
T223	15.8	11.42
T226	15.58	0.0
T229	14.89	0.0
T230	14.88	0.0
T232	14.75	14.41
T233	14.74	0.0
T236	14.57	10.17
T237	14.45	11.81
T238	14.31	11.12
T240	14.13	11.09
T245	13.51	0.0
T246	13.44	0.0
T247	13.37	0.0
T248	13.36	11.67
T249	13.25	0.0
T250	13.15	10.57
T252	12.75	11.92
T255	12.62	0.0
T257	12.58	10.86
T259	12.37	11.59
T261	12.16	0.0
T262	12.08	0.0
T263	12.08	11.49
T264	11.88	0.0
T265	11.83	8.31
T266	11.8	10.83
T267	11.76	0.0
T268	11.08	0.0
T270	10.11	0.0
T272	3.56	0.0
T273	2.06	0.0
T274	2.02	0.0
