it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	q_4	q_5	q_6	q_7	q_8	q_9	q_10	q_11	q_12	q_13	alpha	hypQ	k_birth	k_death	RJ_hp	root_age	death_age	tot_length	T0_TS	T1_TS	T2_TS	T3_TS	T4_TS	T6_TS	T7_TS	T8_TS	T9_TS	T10_TS	T12_TS	T14_TS	T16_TS	T17_TS	T18_TS	T20_TS	T21_TS	T22_TS	T23_TS	T24_TS	T25_TS	T26_TS	T27_TS	T28_TS	T29_TS	T31_TS	T34_TS	T35_TS	T37_TS	T38_TS	T39_TS	T40_TS	T47_TS	T48_TS	T49_TS	T53_TS	T54_TS	T55_TS	T56_TS	T57_TS	T58_TS	T59_TS	T60_TS	T61_TS	T62_TS	T63_TS	T64_TS	T65_TS	T66_TS	T67_TS	T68_TS	T69_TS	T70_TS	T72_TS	T73_TS	T74_TS	T75_TS	T76_TS	T79_TS	T80_TS	T82_TS	T83_TS	T84_TS	T85_TS	T86_TS	T87_TS	T88_TS	T89_TS	T90_TS	T91_TS	T92_TS	T93_TS	T94_TS	T95_TS	T96_TS	T97_TS	T98_TS	T99_TS	T101_TS	T102_TS	T103_TS	T104_TS	T105_TS	T106_TS	T107_TS	T108_TS	T109_TS	T110_TS	T111_TS	T112_TS	T113_TS	T114_TS	T115_TS	T116_TS	T117_TS	T118_TS	T119_TS	T120_TS	T121_TS	T122_TS	T124_TS	T125_TS	T126_TS	T127_TS	T128_TS	T129_TS	T130_TS	T131_TS	T132_TS	T133_TS	T134_TS	T135_TS	T136_TS	T137_TS	T138_TS	T140_TS	T141_TS	T142_TS	T143_TS	T144_TS	T145_TS	T146_TS	T147_TS	T149_TS	T150_TS	T151_TS	T152_TS	T153_TS	T155_TS	T156_TS	T157_TS	T158_TS	T159_TS	T160_TS	T164_TS	T165_TS	T166_TS	T169_TS	T170_TS	T172_TS	T173_TS	T174_TS	T176_TS	T178_TS	T181_TS	T182_TS	T183_TS	T184_TS	T185_TS	T186_TS	T187_TS	T188_TS	T189_TS	T190_TS	T191_TS	T193_TS	T196_TS	T197_TS	T200_TS	T202_TS	T204_TS	T205_TS	T207_TS	T208_TS	T209_TS	T212_TS	T213_TS	T214_TS	T217_TS	T218_TS	T219_TS	T0_TE	T1_TE	T2_TE	T3_TE	T4_TE	T6_TE	T7_TE	T8_TE	T9_TE	T10_TE	T12_TE	T14_TE	T16_TE	T17_TE	T18_TE	T20_TE	T21_TE	T22_TE	T23_TE	T24_TE	T25_TE	T26_TE	T27_TE	T28_TE	T29_TE	T31_TE	T34_TE	T35_TE	T37_TE	T38_TE	T39_TE	T40_TE	T47_TE	T48_TE	T49_TE	T53_TE	T54_TE	T55_TE	T56_TE	T57_TE	T58_TE	T59_TE	T60_TE	T61_TE	T62_TE	T63_TE	T64_TE	T65_TE	T66_TE	T67_TE	T68_TE	T69_TE	T70_TE	T72_TE	T73_TE	T74_TE	T75_TE	T76_TE	T79_TE	T80_TE	T82_TE	T83_TE	T84_TE	T85_TE	T86_TE	T87_TE	T88_TE	T89_TE	T90_TE	T91_TE	T92_TE	T93_TE	T94_TE	T95_TE	T96_TE	T97_TE	T98_TE	T99_TE	T101_TE	T102_TE	T103_TE	T104_TE	T105_TE	T106_TE	T107_TE	T108_TE	T109_TE	T110_TE	T111_TE	T112_TE	T113_TE	T114_TE	T115_TE	T116_TE	T117_TE	T118_TE	T119_TE	T120_TE	T121_TE	T122_TE	T124_TE	T125_TE	T126_TE	T127_TE	T128_TE	T129_TE	T130_TE	T131_TE	T132_TE	T133_TE	T134_TE	T135_TE	T136_TE	T137_TE	T138_TE	T140_TE	T141_TE	T142_TE	T143_TE	T144_TE	T145_TE	T146_TE	T147_TE	T149_TE	T150_TE	T151_TE	T152_TE	T153_TE	T155_TE	T156_TE	T157_TE	T158_TE	T159_TE	T160_TE	T164_TE	T165_TE	T166_TE	T169_TE	T170_TE	T172_TE	T173_TE	T174_TE	T176_TE	T178_TE	T181_TE	T182_TE	T183_TE	T184_TE	T185_TE	T186_TE	T187_TE	T188_TE	T189_TE	T190_TE	T191_TE	T193_TE	T196_TE	T197_TE	T200_TE	T202_TE	T204_TE	T205_TE	T207_TE	T208_TE	T209_TE	T212_TE	T213_TE	T214_TE	T217_TE	T218_TE	T219_TE
2500000	-4883.87848019283	-41.9938401872518	-4113.15429400994	-728.730345995631	4.11733377656976	2.96208037835326	1.47360910023634	5.98192393131836	1.87716116917917	2.33246816616392	5.58101910348244	3.4355954611625	1.95129272022568	3.54182399712747	1.38822984953455	1.713772681887	4.41147503034422	0.377076505559422	1.311812373286	0.508295608796855	2	1	1.0821854015841	34.9003697003573	0	627.590393617713	33.7931386139046	34.9003697003573	32.6275351883484	33.0504226775464	31.7984122950605	30.0372127205881	29.963774452791	29.8145473995108	30.0112690907083	29.716830489781	27.7989562960273	28.0832043706899	26.9894311042697	26.3538240629039	26.1982016465299	26.2411510269549	26.0078940103573	25.715588213072	25.8000551595941	25.9922849449208	25.4714375981172	25.5130655974002	25.3761492109982	23.8720175747893	24.1956288825281	23.5766778071231	23.1347660155106	23.0627565950657	23.0383309642676	23.0808189213248	23.0807682159396	18.2984310524739	22.4130362922271	22.1523346645892	23.0691161776162	22.1905468567838	21.6876030057268	19.8913166283698	21.4253496770827	22.1142296821756	19.9931623797419	19.8464369161948	19.2017381295157	17.9459114339132	19.4327792722673	20.3414265337829	19.1292496970736	18.7185134917756	18.4514101225974	18.3882763878427	17.7488486759597	17.5791381148911	17.5886534078625	17.1780260223536	17.5312386049848	17.6640297595913	16.4038052009725	17.778717817073	16.6785913113437	16.7618707622172	16.2159938715225	16.5873348525795	16.3670164578362	16.0603092447922	14.4125090352057	16.0001330334536	16.0894536262486	15.2506206159236	15.9971489134879	15.1038254802206	15.5521571142222	15.3813569052438	14.1983133237234	14.9896837739204	14.668611069166	15.8394796790814	14.1947700913924	14.1169099150013	13.042852334358	8.85929309615245	12.680734228236	12.373069876015	12.0290087072613	12.4085129149193	11.9393337952798	11.6276635529855	10.7708090289002	11.7448462200341	10.8066880740796	10.9821229636933	11.1410126242062	10.0557624028054	9.99553998653064	10.1749172574561	10.8833974209473	10.5140909099931	10.0833820760504	10.2792456719955	10.3657639891644	9.77414623575717	10.3110055684717	9.73248500550361	9.87191612227688	9.02304257644155	9.05429119461402	8.76916336303124	8.06018683241586	7.89364064122096	7.64136333445397	7.55460986806892	7.59850342943998	7.19197120663064	7.71595605895487	7.13738060282986	7.2162306308384	7.16535441583042	6.53741418706859	6.93962316977022	6.71983735813667	6.50550090594507	0.914298935076434	6.22142534564335	5.97962818710695	2.98953526465348	6.63945042529086	6.46638501525837	5.76071703312189	2.70618300325018	5.54404910620395	5.40902371144497	4.80202159350202	5.43975129116995	3.90171493633955	3.97620508113957	3.96680729529949	4.42957345379293	4.12017355438336	3.74777629286016	3.7500883928735	3.51424091971255	3.54627428253374	3.36048813179494	4.5967643122898	3.19657645664504	2.70094649386219	1.79351174085114	2.14796364335445	2.188484967166	1.83797458125831	2.10408338755906	2.50698549777976	1.58142524735944	1.77743940088779	2.15335493497324	0.325888500111597	2.37384241154552	2.15146720046983	1.79321960916966	1.13414421865376	1.17879639385502	0.882360584828852	2.2520712726039	1.59910734046463	1.24249789443232	0.942189426646413	0.709042783586417	1.31441584150567	0.658030503875299	0.15189787992109	0.704980622167864	0.118515831115045	30.8981376880916	30.7244459968226	32.211543884813	24.5929521616876	27.5258898729761	29.9541020259097	27.0435277873659	25.0491344935056	24.9378762559145	26.7422179220146	25.9268272181827	21.7605636794043	19.9910048692856	26.2724811885608	22.7172158081283	25.6400715155232	24.2805275080129	20.0933947233766	24.042418887535	0	17.9811957901805	18.8830972855828	23.9883034459744	17.8743227041512	15.9850061244847	21.7996198165012	22.7302900075105	21.1193370654099	19.8929516623704	22.31634782848	20.0711198472053	16.3716203219053	19.7366647797755	22.0870824758866	19.8040003693673	19.7534523921834	16.8351975114529	17.4600259094708	13.1703451877138	12.4328072341348	0	16.8892452809401	19.0082119057294	10.0964706352971	15.3622249988006	12.0448905485902	16.6428052194877	17.9155611596601	0	15.2424462218694	15.9551078313718	17.2401397651242	0	0	10.8092109570088	7.91031430440781	15.7934091722378	15.7833972121417	4.49403163587875	15.7066037643327	16.0013326905635	8.7028950628553	16.1339664213252	12.2460918989751	13.9318194532851	14.3989027042587	14.9026310512087	10.6512800199727	15.2460121139138	12.3949768187942	0	13.8030499227527	13.4496831966009	5.5440018816371	13.8194382534167	7.88409531260545	11.5956162364608	0	9.80567227803355	3.89353813062102	11.6046758487242	4.60702615451939	11.2868323702251	9.76595703517921	11.1348590780998	5.15936573236106	6.86161336948486	5.29306971817414	10.2395017864708	9.01979665716679	3.86620990811235	8.25866732626849	8.66204806095439	6.80915666233443	0	4.76555307062417	8.08695197708722	0	8.70975771517021	3.28657380161817	9.14108627567752	9.36538720683465	6.63625770910255	2.02850763072901	6.72752353670055	0.297186813311154	7.94783207344273	4.88521197986936	1.94827460121084	3.74568256693061	0	7.10562202290853	0	4.10314025694923	0	2.21612753741322	6.38065594952533	5.35862868027575	6.41731278744567	0	0	4.94855094988124	5.74387245154354	0	3.17975045819456	5.66293928017818	5.68663415789409	0	1.80547034656562	3.26410714710965	0	2.7645562310133	2.39590587583918	0.155393238898423	2.68628016963362	4.22868233942012	1.98971124835085	3.70395838241933	0.261846604967386	0	2.97818819435543	2.47881677629418	1.50871670336824	2.47032172647881	0.264385667155258	0	0	2.02135687133585	0	0	2.05929868921035	0	0	1.54577426607674	0.0402073596695853	0	0	0	0	0	0	0	0	0	0.248028037678165	0	0	0	0	0	0
2580000	-4884.35990718831	-37.1222949379261	-4113.23138670629	-734.006225544091	2.6643103063591	2.76558268479661	2.14633445557637	5.50947498022052	1.76757457676908	2.46776065239226	5.54266680846551	3.00684176111638	1.87281260358232	3.44315746695461	0.906802767616401	1.7369913688805	4.11853688224068	0.519764697974807	1.28731270333072	0.510996558545259	1	1	2.35310741660342	34.4094936765237	0	632.109838506652	33.5518589471394	34.4094936765237	32.7263215347757	33.3345113074445	31.8393687658471	30.5968794042311	30.4619964793216	29.7682070636445	29.8694170468238	30.5633996797217	27.9405505746351	27.8100319209674	28.0945450320961	26.467405030562	26.5345926546677	26.19684746489	25.8501219522691	25.7483519293352	25.6142495428404	25.7298640936828	30.8050575626307	25.191938721002	24.9091782467449	23.9105275532695	24.1841591524253	23.8631388734194	23.2793649880178	23.0115463765878	23.1326929242356	22.9893321169218	22.9554728447363	17.9315204568777	23.6944860606385	22.5294823746987	22.4681365857829	21.9654871347124	21.4874905253989	19.9685846166564	20.9754604479143	20.3557352860762	20.5094650006802	19.8571485549205	19.3337787625414	17.8441460955902	19.3611630674835	19.0410342105432	19.189881772218	18.7178703569229	18.7213352169413	18.8118705507897	17.7868430466904	17.4623780166831	17.8679676936508	17.27322774961	18.1084626442163	17.700938974359	16.3900023860884	17.1836251736424	17.0040640494482	16.8280543475079	16.4880363337425	16.5087290631843	16.3972493750962	16.1546072394605	14.0954472440296	15.9536298895255	16.0938739153651	15.1396695708109	15.7930824250742	15.2014692563547	15.3764951237506	15.4193331477838	14.1747997329779	15.1152236143535	14.7695472442854	15.5543758381624	14.5665450785797	13.8293137829414	14.647579556103	8.45568173137379	12.0841577148452	12.5015024909177	11.9060655412385	12.0714780533433	11.6209358601344	11.5736646787605	10.3074873352733	11.1243828183458	10.8465446072533	11.0521231737303	12.3156274734026	10.2067626419679	10.0104213803111	10.0339469021866	10.5583821010893	10.4966443540919	10.194204153462	10.2840227865058	10.5678536434638	10.1610249808102	10.3746284498213	9.45647941341488	9.90958760240294	9.19995848027184	8.95275153169693	8.45209159185688	8.13678380205327	7.94669343598292	7.83072657726165	7.63685029176883	7.88171809420628	7.16012184113408	7.57611431499685	7.23317114104261	7.22917397959878	7.10719796015002	6.46211535672936	6.83664661464122	6.57970112936785	6.65672141831799	0.898606098603451	6.62244024252389	6.33729796597236	3.1568239487717	6.30184709163794	6.115388474726	5.93178006455014	2.81479133086065	5.87976082795393	5.57061844306015	5.47894103548319	4.94307741161017	3.65921492338361	3.63772072554802	3.55348075088993	4.84511488984653	4.28896347850688	3.75875853356349	4.202769289641	3.62310631874322	3.57306385320497	3.37881474669349	3.68898191486504	3.28786461383557	3.24709426518352	2.87461286904223	2.07534880392828	2.1619854217225	1.63140309120759	2.31855841090214	2.29137070331401	1.22389051322824	1.80186608796218	2.33653372697709	0.297902843556181	2.05237714000522	1.84946391070808	2.36942883143389	1.10047502083269	0.974778435810905	1.43641236340794	1.14297809596931	2.5522049755385	1.63862552340264	2.43730010778292	0.920527996883962	1.51529019450043	0.496777241927877	0.178443858775096	2.13195797479508	0.0576422479028863	31.6673625135422	31.5247962705698	31.9580090752609	24.4644068320062	28.0488472075747	29.8579633475481	27.0830799706591	26.9136454585938	24.9815562453279	26.7963728106772	26.0403060018931	21.9428454833325	19.9973663027029	25.7110648409614	23.5929992461294	25.5602011714864	24.3558687718248	20.0669572056989	23.1650895716922	0	17.9940589368121	19.1168631417021	24.259081812938	18.018101604057	15.8980972717395	21.4906664606897	22.7069181043163	21.0975849724056	19.5849496685977	22.8785461322485	20.0505100189681	15.7691210179651	19.2217240308946	21.7121313657379	20.3801589578555	19.334234724781	16.6598565869295	17.6605209749599	14.3628676551064	12.2456527505509	0	16.7145535683683	19.0293935556321	10.0704289521152	15.3751556038313	12.286645741058	16.5708117386792	18.0734542231297	0	15.2914130213795	16.8288590965123	17.2092462019604	0	0	9.70239794814819	7.97913487580319	15.7844937989496	15.5432494301871	4.42807418682109	15.0919683178708	15.4986152684938	8.86439297269524	16.1845471313038	11.7258927652902	13.8409173937033	14.1218381180115	14.8086866135987	10.5316340638052	15.5202806982171	12.2569755557556	0	14.9826030325145	13.9868914562598	5.65853891874889	14.5076703859542	7.90316107945778	11.6627170636364	0	10.4024555901669	2.61539866005863	11.7497840855634	4.94948195382585	11.5060682524054	9.71172799780884	11.2812591810636	5.33540160346104	5.54341310371202	5.89938378832622	10.0909719886168	9.06926450904388	3.81823210373326	7.76536837951241	9.7085865451453	6.93915696779943	0	4.77995381132739	8.38685264515584	0	8.34822093529302	3.22084733345909	9.06346602987987	9.4136697549586	6.55215978705345	2.68216309159339	6.84444149567582	0.366977066660045	7.9681979896165	2.93650744665622	2.5602122365973	3.58742751858467	0	6.60987472114927	0	4.15339292374393	0	2.1210860596111	6.44592860926747	5.76931876132394	6.56564803009694	0	0	5.20142013179095	5.36199230677391	0	3.23900194674428	5.83550129772778	5.28542145234023	0	2.89601218310918	2.88723441155141	0	4.14816494280384	2.04077947584494	0.415426532091031	2.72705082703561	4.20901910870077	3.12099740467933	3.7235839751733	0.26865356385407	0	3.00795871856503	2.24251984183705	1.31020648838974	1.77754726725108	2.5445286050913	0	0	1.62877103737642	0	0	1.75429981813485	0	0	0.999093552639918	0.268847230173418	0	0	0	0	0	0	0	0	0	0.674498253767266	0	0	0	0	0	0
2650000	-4894.75063693716	-39.2727137797254	-4121.4070892672	-734.070833890236	2.41149493958352	3.16577930071174	1.71884425419144	6.52051488204578	2.2770749208564	2.89057129616271	5.75699628757525	3.64550584760012	2.22520175720386	4.01444491904413	1.04915606419191	2.11369451279169	3.98542628953775	0.74844297574182	1.20046862147165	0.380175038705852	1	1	2.50394993131284	34.3386249693815	0	633.500235234804	33.8180923868336	34.3386249693815	32.498083859054	32.5627998509801	31.9339895121576	29.9793532581714	29.9715263997588	30.3374735616843	30.413359236627	29.5058572709959	28.6731153219084	27.8389011969461	28.0864427618883	26.4193016839615	27.2589451178593	26.006977938725	26.0035371717425	25.7974979118666	25.7096360391471	25.8532493266662	25.6441766212921	25.363719914191	24.9661873692711	23.9770517532517	24.4874899574819	23.6595646511639	23.1385959108416	22.4087381157164	23.4547964899559	22.9653950930761	22.8164940064964	17.6900077649659	22.420922683434	22.3192251457015	22.6928966327527	22.4277711314863	21.2242003789018	21.3454979667643	21.0000852717971	20.3093009859586	20.0701399351885	19.8156728624241	19.0741955014401	18.2713454546418	19.3660824745968	19.3365906456543	19.1385619541863	18.8194244253756	18.2381470413789	18.3365273727716	18.0289701013101	17.5644413141822	17.5784041188235	17.2614557511433	17.5734435147254	17.5674932751765	16.4576195761931	17.8468332495559	16.772752721637	17.1220665113931	16.1717154189757	16.5416634966603	16.2788143523758	16.1070355355831	14.1224049945275	16.0053342423793	16.1783723136865	15.5771702285483	15.7460125246764	14.9847418264159	15.2491249463839	15.1999989825857	14.8248441253598	15.1172011950481	14.5800737244824	14.0793047509121	14.3529980655517	13.8959114941334	13.9407996576767	8.07330104387239	12.1060417365877	12.5651282698057	11.7037672132698	11.9317279974179	12.4929869964301	11.5713586629095	10.3358522088885	11.84377446583	10.6940696823963	11.0419385428757	12.2634598132578	9.81786232538886	10.6477370436847	10.0650439231774	10.578992437772	10.3097350044044	10.599096080544	10.3875310498605	11.0350595432434	9.83801677729528	9.98257124150794	9.6433763775977	9.38462014492744	9.33584442544194	8.82149188870555	8.64792162008886	8.12812278316645	7.64689473360492	7.80894237311017	7.73269585756229	7.59896375952947	7.14091803143643	7.18730353226135	7.14546170278272	7.37146866232439	7.26351977991013	6.68659667127035	6.66092468007809	6.60440966291715	6.78030554548869	0.785544361447266	6.28640181221262	6.60144376363179	3.03801574320225	6.33615679344496	5.93059350974413	6.21884083547547	2.71563614303043	6.23350484772646	5.68585462864721	5.03544079567231	5.38531562294249	3.72644289645771	3.7521191741315	5.39844193771433	4.4029179003853	4.1204401327841	4.10337581281365	4.02688494354471	3.57682884545825	4.45685174468209	3.34653462505288	3.61645005383059	3.04049123792853	2.71146919580252	1.91108943387107	2.92357309715104	2.06696035174625	1.76831816015431	2.43514111667964	2.12092178753948	1.7831900105363	2.34096314311716	1.95503152844104	0.533767950205802	2.04612750668812	2.65952160392088	1.79225013437149	1.19676769565366	0.985082719241161	0.995430704542192	0.949229226530996	1.73001777394946	1.38495966741571	0.875169418274576	0.79578590681161	1.26022822263427	0.497571596338452	0.284328508974944	0.895150192988005	0.267246533493152	32.2196614589841	31.6309763965148	32.0114728059648	24.0260682909166	27.8534428460068	29.3775591687786	27.2123740050268	26.93794736008	24.4939822014484	27.0209093898328	25.9294413410315	21.5574045483652	20.0044421195617	26.2727855722257	23.6797012914733	25.575323225845	24.4760233849095	20.0612285484626	21.6453806785929	0	17.0514503221621	19.0084163570065	24.5360653253195	18.0867091849408	16.1769682400004	21.2389403703614	21.7816811194624	21.6390736089474	19.9385907715312	22.9444058379381	19.9111882711226	16.2747975378856	19.9437303419245	21.8570904969258	20.2685867353049	19.608736725257	16.6851787682809	15.8354977486956	15.4233021787562	12.4808505156665	0	16.7469664446843	19.0333194833464	9.23975437051336	15.2760828767085	11.3072583140504	16.6430781681229	18.0166644416438	0	15.3402607161847	16.8189277034749	16.8173101343397	0	0	10.7830050689083	7.81904895496359	16.2445169307362	15.2932173973695	3.10005390037215	15.3938477104018	16.1169386986234	9.05752763505881	16.1116457631829	12.5000631494514	13.7583555845213	14.2047108803347	14.8011006510235	10.1128639148218	15.0784666470538	12.4161218151907	0	15.180320886774	12.7744903800184	5.41753666252612	14.5257820174576	7.70143245814296	11.3464627788518	0	10.2706689428726	2.4708395850724	11.8531645259278	5.07454354862634	11.3308642389026	9.34961673683356	10.8976693069735	5.42379412582124	2.31759915241736	5.44405562983787	10.3087823831953	9.01763851415135	3.13201162092755	8.13735978493961	9.65227252150749	6.67538994686032	0	4.73688077631229	7.20377770252533	0	8.18837416651091	3.04880483620226	9.00798755594327	9.26082900155325	6.56787241655154	2.56387830030854	5.58290102572484	0.535172948886527	8.04378614490783	4.82022601353085	2.70729752154422	3.70185801240432	0	6.98550156386301	0	4.11295046102841	0	2.86939599230467	6.07914093587587	5.517283151658	6.35400988534693	0	0	5.35321935212162	5.59047638651094	0	1.68337474098938	5.52172121304341	5.36154221378283	0	3.31111373931742	3.01403509673105	0	4.10426601864218	1.92411833643951	0.418315070207362	2.94906828233094	3.67918398011341	3.08944580377726	3.70061177374047	0.2644970687592	0	2.47119998713312	2.41308951891151	1.07947559403181	1.76983688149893	2.52239173510662	0	0	2.03225230291322	0	0	2.04266397882086	0	0	1.43375915713156	0.285401826685561	0	0	0	0	0	0	0	0	0	0.559216038516677	0	0	0	0	0	0
2730000	-4810.23729940925	-39.7039084503143	-4044.79758736254	-725.735803596393	3.3849812146714	3.18695675828976	2.30616400082765	6.07105005336665	2.50268321128851	2.81169543371292	6.46334983208027	3.73767054154758	2.86883051756868	3.41626633563543	0.839920647897574	1.4443910021803	3.8210856374981	0.471401312541736	1.3414698706494	0.480592641800096	1	1	0.183269999567642	33.9912031350209	0	608.394097326275	33.5558279181106	33.9912031350209	33.0460012158102	32.7393948087598	31.8237609552735	30.4797526131535	31.1177532469923	29.6204222544448	29.5069845035315	29.4266911987703	28.1554541990388	27.8367514765135	27.1025872815519	26.6082184136278	26.8537639214104	26.1865405583076	26.0004594613171	25.7094038375336	25.8541230989379	25.6619306728524	26.5852029323977	25.2315348550712	25.0507303592697	23.8344488828951	24.4888744421862	24.2536496449832	23.4264183159315	22.8200324824256	23.2368131773663	23.198471228238	23.1240715973175	17.6858127732585	22.1336421551616	22.3041714868183	22.4874625797702	22.3735365598644	21.3574100063142	19.8836436182709	20.9964607260197	20.7350875538264	20.1531879316033	20.2593154363233	19.2111035287826	18.3134204638288	19.3852037519588	18.9416630468989	19.1352641971153	18.808958479936	18.3052272991142	18.4583706899557	17.7341239007801	17.4585030331118	17.6152667551173	17.2065961444505	17.4868213610421	17.5296492462146	16.2859599032522	17.466892443166	16.6699966194563	17.0708888236801	16.2200928268156	16.5600506675908	16.2420558971427	16.0399404491618	13.9760717666327	15.9439324958944	16.2673095630774	15.3046365648617	15.6021734839921	15.0571118147883	15.2663768581833	15.2199660246685	14.0968108365237	14.9883584998107	14.6068786267672	16.3826226710214	14.5569345366676	13.928642293067	13.166136177029	8.70088881693747	12.0273238242028	12.7902454421207	11.7383270261762	11.8528726295071	11.7196085726725	11.58217376976	10.9159008899939	11.4575819027739	10.7820905287597	11.0102279617683	11.4647308354935	9.94896763741141	10.1245014436052	10.365839816485	10.1659136847868	11.0875397694126	10.6198627487683	10.2825848197187	10.6032422681275	10.0562493421994	10.0749833436406	9.46940843921129	9.57016562539138	9.50314720557173	8.75905899198499	7.66828929046369	8.05660737968936	7.65884278685231	7.61666134240047	7.54384597305616	7.75069643612648	7.13562481012298	7.2302153923095	7.25880670473864	7.20181876040215	7.00115045019233	6.64017373765874	6.84088073709225	6.66632496798276	6.86462909961783	1.04503616074858	6.32749907020275	6.0878376843369	2.83126394705894	6.00307694162392	6.14754464848302	5.74655205293492	2.96522950205467	6.33711518629584	5.43016808787561	4.48734473708379	4.98271167120169	3.80008759560928	3.59827370315908	3.88352720324471	4.48097417551319	4.25728415986574	3.91217919359516	4.10438328731072	3.53569655966255	3.73643913303724	3.54125956221763	3.68263060059007	3.12315848345086	2.7113127952154	1.69599734951537	2.44041176158986	2.13358102540396	1.5865461844571	2.11375327186817	2.12684005535292	1.75485757916661	1.6088167733595	1.86655867744355	0.298818119753236	2.0903856990317	2.40387181794418	2.03894240641427	1.05527049195954	1.0306115933161	0.786417614744824	1.47631075952163	1.26247250790485	2.51021432971884	0.944867758509861	0.71109214212922	0.734493697255977	0.582626581271296	0.13872731756032	0.386134767136018	0.278275264226687	32.1451095812503	31.7756312640927	32.2471725895675	24.3283934579949	27.9295657089772	29.724005579395	27.025857205627	25.7872758160757	24.6572686984477	27.046668450938	26.2051459836436	21.9144066477934	19.9490650111307	26.2824241654734	23.5374928897086	25.46984597813	24.4775303650533	20.044043211785	23.8958941712675	0	18.5033650228605	18.9631255172867	24.3948281751422	18.0018100901698	16.1588068846876	20.3340578016979	22.5631882812086	21.3427432434645	20.1202119511917	22.8201620771341	20.0524653353362	16.132510922606	19.7493670572252	22.0695429634923	20.4380003670418	19.7818327892255	16.8576570236516	16.5332957171685	15.2884814975799	12.2225993449621	0	16.77867490894	19.0447387268623	10.1803628279507	15.2612969487531	11.833204248045	16.6709417749222	17.8788269356545	0	15.16512409773	16.6099103720419	16.7982723446217	0	0	10.8179756007898	7.93640466733757	16.272021910307	14.7991635385638	4.72953483126001	15.3217767907581	16.1420957220603	9.03733886057973	16.045950989278	12.4850486701766	13.8230895957189	14.4379341439849	14.8240753764044	10.7039942505213	15.5626446014242	12.057129811895	0	15.0925950959868	14.0131403334297	5.680838105452	14.5168272898251	7.48496735795998	11.7529936350113	0	10.3993018251299	1.88751096726176	11.9697318915443	3.37252446829849	11.188889079979	9.84169791599178	11.2266954514484	5.50482702407596	6.61567399231052	5.80498417601814	10.3148289244277	8.92504364629282	2.58430286566093	7.92592369153603	9.50364376141935	6.70480107868313	0	4.79857206684922	8.14755785682391	0	8.56275116418648	3.41917214231324	8.94608530999923	9.39572560444492	5.49001981028231	2.61695619277068	6.80234359922118	0.347784488215586	8.03437690689063	3.62910933026009	2.63255473145069	3.65947409478364	0	7.13174255436524	0	4.0294704275728	0	2.85984972790101	6.34530828248071	5.67156446434275	6.56661774192317	0	0	5.27985796372892	4.9671988101859	0	3.16944160730786	5.76124983320411	5.45385393256471	0	2.64009639482786	3.13957317421645	0	3.56243011883578	2.27573381243614	0.290747914307458	3.04585462260369	4.38511443374922	3.82069895015023	3.68554461166284	0.433364078320472	0	3.11844684599131	2.53804099684064	1.36625233606835	2.61263337626729	2.4248591609327	0	0	2.02956614071235	0	0	1.94888438474195	0	0	1.51629924414953	0.177972124310461	0	0	0	0	0	0	0	0	0	0.605529496665526	0	0	0	0	0	0
