extinction	time_bin	trait	state	magnitude	bell_or_u	min_pdf	max_pdf	optimum
0.0	0.0	0.0	0.0	10000000000.0	1.0	0.0	4.7682722700889615e-11	0.0
0.0	0.0	0.0	1.0	10000000000.0	1.0	0.0	4.7682722700889615e-11	0.0
1.0	0.0	0.0	0.0	10000000000.0	1.0	0.0	4.7682722700889615e-11	0.0
1.0	0.0	0.0	1.0	10000000000.0	1.0	0.0	4.7682722700889615e-11	0.0
