sp	hmin	hmax
T0	34.12753990140749	34.12753990140749
T0	29.343363301259636	29.343363301259636
T0	28.61316099093669	28.61316099093669
T0	29.237224668333255	29.237224668333255
T0	26.852583815543476	26.852583815543476
T0	24.04213906702027	24.04213906702027
T0	22.69880680401011	22.69880680401011
T0	21.393836474832014	21.393836474832014
T0	22.835724149622294	22.835724149622294
T0	22.73101066315051	22.73101066315051
T1	31.24856282943062	31.24856282943062
T1	32.03569441933175	32.03569441933175
T1	28.107827716351895	28.107827716351895
T1	31.68935093398054	31.68935093398054
T1	31.171704194346486	31.171704194346486
T1	32.77570777925912	32.77570777925912
T1	29.37980840529574	29.37980840529574
T1	31.09046424526021	31.09046424526021
T1	31.436665865958513	31.436665865958513
T1	29.733708030010387	29.733708030010387
T1	33.431569646908464	33.431569646908464
T1	28.992448088849144	28.992448088849144
T1	30.06324688718196	30.06324688718196
T1	30.21141134825089	30.21141134825089
T1	30.830216844289573	30.830216844289573
T1	29.261218944658786	29.261218944658786
T1	24.212742006100797	24.212742006100797
T1	27.376463436976113	27.376463436976113
T1	25.71046146591963	25.71046146591963
T1	24.226508183527006	24.226508183527006
T1	27.505724457966668	27.505724457966668
T1	27.04442499810201	27.04442499810201
T1	23.233774878140242	23.233774878140242
T1	26.037139608840413	26.037139608840413
T1	25.852635057926413	25.852635057926413
T1	26.04690075899572	26.04690075899572
T1	27.544978507202323	27.544978507202323
T1	27.91388422938206	27.91388422938206
T1	27.189859817135662	27.189859817135662
T1	23.37338884117341	23.37338884117341
T1	26.10795710451406	26.10795710451406
T1	24.59548594357909	24.59548594357909
T1	24.192361359189878	24.192361359189878
T1	24.608127151973257	24.608127151973257
T1	23.152505177288674	23.152505177288674
T1	23.987504823072854	23.987504823072854
T1	21.502736893829855	21.502736893829855
T1	20.633359673917543	20.633359673917543
T1	21.32612341589655	21.32612341589655
T1	22.067268024171568	22.067268024171568
T1	22.42889818681726	22.42889818681726
T1	22.499334550929607	22.499334550929607
T1	20.80641074373144	20.80641074373144
T1	21.031038701477957	21.031038701477957
T1	20.976911775842257	20.976911775842257
T1	21.082825157495016	21.082825157495016
T1	21.64725162774956	21.64725162774956
T1	21.062740463218738	21.062740463218738
T1	20.668133074100343	20.668133074100343
T1	22.44359093104694	22.44359093104694
T1	21.654350925426407	21.654350925426407
T1	22.46802599739131	22.46802599739131
T1	21.21819001101302	21.21819001101302
T1	20.795855417333485	20.795855417333485
T1	22.013504116232486	22.013504116232486
T1	22.958024532387892	22.958024532387892
T1	21.267705960897995	21.267705960897995
T1	21.183599066680166	21.183599066680166
T1	20.29675992569296	20.29675992569296
T1	18.26080561795661	18.26080561795661
T1	17.139865074315868	17.139865074315868
T1	18.538277845659827	18.538277845659827
T1	20.0856691114659	20.0856691114659
T1	16.20838457946899	16.20838457946899
T1	16.22208602936032	16.22208602936032
T1	16.84259740358278	16.84259740358278
T1	20.370094787514216	20.370094787514216
T1	17.95556167942846	17.95556167942846
T1	16.446979491473947	16.446979491473947
T1	19.92679621828141	19.92679621828141
T1	17.637248795226053	17.637248795226053
T1	18.861552788979107	18.861552788979107
T1	18.792034709684636	18.792034709684636
T1	19.21039432926014	19.21039432926014
T1	16.58232376788778	16.58232376788778
T1	17.462081657962578	17.462081657962578
T1	18.17516456847517	18.17516456847517
T1	18.312456850259238	18.312456850259238
T1	19.838264848825894	19.838264848825894
T1	17.180876576003467	17.180876576003467
T1	17.834293538912117	17.834293538912117
T1	16.94774383973876	16.94774383973876
T1	19.065329125885448	19.065329125885448
T1	20.07161867550335	20.07161867550335
T1	18.11764969861267	18.11764969861267
T1	20.183051556494856	20.183051556494856
T1	19.742597572980436	19.742597572980436
T1	17.660458993682628	17.660458993682628
T1	19.445578920664325	19.445578920664325
T1	17.18219745035997	17.18219745035997
T1	16.236106030228658	16.236106030228658
T1	16.710450824821443	16.710450824821443
T1	17.55083122472044	17.55083122472044
T1	16.947492926373005	16.947492926373005
T1	15.840478762849491	15.840478762849491
T1	15.395469799968359	15.395469799968359
T1	14.475823297939664	14.475823297939664
T1	14.305369490804525	14.305369490804525
T1	15.314230024089687	15.314230024089687
T1	13.839711914207548	13.839711914207548
T1	15.432736698969316	15.432736698969316
T1	14.814329611200733	14.814329611200733
T1	15.631852077437841	15.631852077437841
T1	15.171759433509063	15.171759433509063
T1	14.269672478730666	14.269672478730666
