	ts	te
T0	35.0	31.11
T1	32.47	29.01
T2	32.24	16.05
T3	32.16	27.48
T4	30.93	26.93
T5	30.3	29.0
T6	29.75	29.46
T7	29.47	28.71
T8	28.83	25.24
T10	25.63	15.34
T11	25.47	0.0
T12	25.33	20.74
T13	25.29	23.24
T15	24.88	21.99
T16	24.63	23.82
T17	24.01	20.66
T18	23.79	19.53
T19	22.79	21.23
T20	22.63	17.16
T22	22.02	16.71
T23	21.07	18.17
T24	20.48	13.88
T25	20.17	18.82
T26	20.11	17.49
T27	19.46	18.69
T28	19.09	15.17
T29	19.03	6.6
T30	18.86	0.0
T31	18.76	11.8
T32	18.44	16.1
T33	18.3	17.05
T34	18.2	15.65
T35	18.05	17.43
T36	17.9	17.15
T37	17.83	0.0
T38	17.52	6.36
T39	17.48	14.67
T41	17.27	14.83
T42	17.18	12.86
T43	16.82	11.41
T45	16.36	12.13
T46	16.2	11.86
T47	15.95	14.06
T49	15.69	15.44
T50	15.48	11.01
T51	15.43	0.0
T52	15.37	10.53
T53	14.9	14.29
T55	14.74	6.35
T57	14.17	11.66
T58	14.0	13.5
T60	13.8	10.62
T61	13.77	9.56
T62	13.53	12.69
T63	13.52	0.91
T64	13.41	11.51
T65	13.19	7.06
T66	12.96	2.2
T70	12.58	10.54
T71	11.81	10.58
T73	11.73	10.39
T74	11.72	8.79
T75	11.64	10.79
T76	11.63	4.61
T79	11.11	3.97
T80	10.98	1.31
T81	10.88	9.97
T82	10.71	7.79
T83	10.54	6.89
T84	10.46	1.96
T85	10.27	9.51
T86	10.02	8.19
T87	10.02	5.68
T88	9.62	6.89
T89	9.43	0.9
T90	9.39	3.87
T91	9.39	1.83
T92	9.36	0.0
T93	9.35	8.28
T94	9.33	8.34
T95	9.16	9.01
T96	9.08	0.87
T98	8.83	6.73
T101	8.45	2.67
T102	8.23	5.61
T103	8.2	0.0
T104	8.18	5.55
T105	8.09	7.66
T106	8.08	6.56
T109	7.87	6.72
T111	7.76	7.46
T112	7.64	7.43
T113	7.63	5.23
T114	7.41	3.97
T116	7.08	5.41
T120	6.87	2.1
T121	6.76	2.52
T122	6.76	0.0
T123	6.66	2.26
T124	6.59	5.57
T125	6.55	6.1
T127	6.36	3.25
T128	6.14	0.0
T129	5.96	4.08
T130	5.84	4.95
T133	5.54	0.47
T137	5.38	2.58
T138	5.36	3.71
T139	5.31	1.19
T140	5.28	0.0
T141	5.21	2.66
T142	5.19	0.0
T143	5.15	2.23
T144	4.96	4.23
T147	4.31	0.73
T149	4.11	3.13
T150	4.1	3.41
T151	3.9	1.41
T152	3.84	0.11
T153	3.82	0.52
T154	3.48	0.0
T155	3.43	1.6
T156	3.39	0.0
T157	3.39	1.0
T158	3.08	1.39
T159	3.01	1.6
T161	2.74	1.37
T162	2.72	0.0
T163	2.66	0.16
T164	2.62	2.2
T166	2.44	0.0
T167	2.22	1.31
T168	2.15	0.0
T169	2.08	0.85
T170	1.94	0.0
T175	1.68	0.0
T176	1.68	0.0
T177	1.64	0.0
T178	1.6	0.0
T179	1.53	0.75
T180	1.53	0.75
T182	1.41	0.0
T183	1.41	0.0
T185	1.39	0.0
T187	1.25	0.24
T188	1.2	0.0
T189	1.01	0.0
T193	0.67	0.0
T194	0.61	0.0
T195	0.6	0.0
T199	0.49	0.0
T204	0.09	0.0
T206	0.01	0.0
