	ts	te
T0	35.0	19.33
T1	33.52	28.94
T2	33.14	29.43
T3	32.8	12.59
T4	32.45	25.31
T6	31.98	17.56
T7	31.82	13.54
T8	31.74	28.16
T9	31.48	29.33
T10	30.69	17.93
T11	30.13	16.17
T12	29.99	27.68
T13	29.36	13.78
T14	29.19	25.1
T15	29.14	26.57
T16	28.91	8.33
T17	28.19	17.3
T18	28.0	22.22
T19	27.9	24.77
T20	27.69	23.49
T21	27.47	21.84
T22	27.28	4.92
T23	27.23	16.01
T24	26.98	16.37
T25	26.98	14.74
T26	26.97	15.92
T27	26.91	17.93
T28	26.91	15.07
T29	26.8	17.03
T30	26.53	25.79
T31	26.05	14.93
T32	26.01	13.26
T33	25.99	24.48
T34	25.91	16.62
T35	25.84	18.27
T36	25.8	25.38
T37	25.74	12.27
T38	25.42	7.49
T39	25.31	21.95
T40	25.14	16.17
T41	24.71	14.78
T42	24.7	14.07
T43	24.68	21.6
T44	24.58	16.11
T45	24.45	15.23
T46	24.36	23.02
T47	24.32	15.73
T49	24.29	14.68
T50	24.21	16.57
T51	24.21	13.7
T52	24.15	15.19
T53	24.12	9.95
T54	24.06	19.38
T55	24.06	14.56
T56	24.05	22.58
T57	24.05	21.85
T58	24.02	15.3
T59	23.91	20.88
T60	23.89	16.51
T61	23.73	10.19
T62	23.43	18.76
T63	23.31	17.93
T64	23.3	14.33
T65	23.26	17.02
T66	23.23	19.24
T67	23.23	15.75
T68	23.21	11.1
T69	23.11	14.83
T70	23.07	20.24
T71	23.01	12.16
T72	22.98	22.27
T73	22.88	9.64
T74	22.74	14.54
T75	22.71	14.4
T76	22.63	16.94
T77	22.57	15.19
T78	22.43	7.34
T79	22.41	16.18
T80	22.38	15.7
T81	22.36	17.68
T82	22.23	16.43
T83	22.17	17.98
T84	22.13	21.68
T85	22.02	14.55
T86	22.01	16.56
T87	21.99	16.38
T88	21.97	10.29
T89	21.94	16.94
T90	21.89	17.51
T91	21.84	19.33
T92	21.82	17.8
T93	21.59	2.95
T94	21.54	16.73
T95	21.54	11.37
T96	21.46	14.39
T97	21.39	15.12
T98	21.36	16.66
T99	21.27	11.56
T100	21.24	16.7
T101	21.23	9.21
T102	21.09	14.62
T103	21.04	14.13
T104	21.01	14.41
T105	20.94	10.05
T106	20.93	13.52
T107	20.88	18.69
T109	20.69	12.62
T110	20.66	12.84
T111	20.63	6.67
T112	20.62	15.44
T114	20.58	19.98
T115	20.58	15.5
T116	20.56	5.8
T117	20.55	18.21
T118	20.5	11.66
T119	20.5	16.55
T120	20.49	13.81
T121	20.49	20.22
T123	20.43	17.63
T124	20.33	16.48
T125	20.28	12.94
T126	20.28	9.42
T127	20.22	15.25
T128	20.16	8.65
T129	20.05	14.87
T130	19.92	13.17
T131	19.72	13.22
T132	19.7	9.49
T133	19.67	13.16
T135	19.48	13.39
T136	19.39	10.32
T137	19.35	12.07
T138	19.28	9.14
T139	19.28	19.1
T140	19.23	11.13
T141	19.22	14.25
T142	19.22	16.52
T143	19.2	17.09
T144	19.08	13.67
T145	19.06	14.25
T146	19.04	13.53
T147	18.99	15.09
T148	18.97	11.95
T149	18.88	11.5
T150	18.86	9.1
T151	18.78	17.77
T152	18.7	12.34
T153	18.66	17.0
T154	18.62	7.28
T155	18.59	12.8
T156	18.54	11.71
T157	18.54	17.04
T158	18.53	12.16
T159	18.52	15.2
T160	18.5	10.62
T161	18.42	13.1
T162	18.4	6.19
T163	18.38	15.09
T164	18.24	13.09
T166	18.02	12.73
T167	18.01	10.19
T168	17.99	12.43
T169	17.97	14.11
T170	17.86	12.42
T171	17.85	13.96
T172	17.83	13.73
T173	17.8	17.48
T174	17.79	6.36
T176	17.65	15.35
T177	17.61	11.49
T178	17.6	11.97
T179	17.56	14.8
T180	17.51	15.84
T181	17.47	14.71
T182	17.47	8.85
T183	17.42	13.68
T184	17.38	15.13
T186	17.31	14.55
T187	17.28	10.15
T188	17.23	13.69
T189	17.07	12.79
T190	16.97	15.55
T192	16.93	11.1
T193	16.89	14.01
T194	16.89	15.53
T195	16.86	9.98
T196	16.84	15.98
T197	16.73	16.7
T198	16.72	9.57
T199	16.67	11.79
T200	16.56	14.45
T201	16.56	11.42
T202	16.52	14.32
T203	16.19	15.11
T204	16.14	11.39
T205	16.01	9.3
T206	15.96	14.25
T207	15.85	12.61
T208	15.8	8.78
T209	15.72	13.6
T210	15.64	11.11
T211	15.63	11.39
T212	15.27	10.76
T213	15.22	9.48
T214	15.15	9.48
T215	15.12	14.8
T216	15.03	13.66
T217	14.83	14.21
T218	14.77	12.01
T219	14.7	9.79
T220	14.7	7.8
T221	14.66	10.11
T222	14.61	11.72
T223	14.55	11.97
T224	14.34	13.76
T225	14.31	11.27
T227	14.21	9.42
T229	13.93	10.52
T232	13.6	9.13
T233	13.36	10.4
T234	13.32	10.5
T235	13.29	10.57
T236	12.94	11.52
T237	12.92	3.63
T238	12.89	9.49
T239	12.87	12.5
T240	12.82	12.05
T242	12.51	11.6
T244	12.28	10.37
T245	12.27	0.0
T246	12.26	10.82
T247	12.19	9.83
T248	12.15	9.02
T249	12.04	11.79
T250	11.86	9.74
T251	11.8	10.81
T252	11.58	7.32
T253	10.98	7.28
T255	10.76	8.95
T256	10.69	9.28
T257	10.39	2.28
T258	10.34	6.39
T259	10.09	9.09
T260	10.06	8.12
T261	10.01	8.67
T262	9.96	8.29
T263	9.75	5.15
T265	9.62	8.65
T267	9.49	7.05
T268	9.4	0.0
T269	9.02	4.28
T270	8.97	0.0
T273	8.66	1.07
T275	7.97	3.33
T277	7.43	5.69
T278	7.36	0.0
T281	4.03	1.47
