	ts	te
T0	35.0	17.66
T1	34.78	13.08
T2	33.6	12.68
T3	32.91	16.44
T4	31.55	10.9
T5	30.67	15.49
T6	30.0	14.36
T7	29.72	13.58
T8	29.68	10.08
T9	29.65	15.08
T10	29.57	26.49
T11	28.82	23.65
T12	28.69	15.26
T14	28.41	21.68
T16	28.08	14.59
T17	27.76	14.13
T18	27.6	14.87
T19	27.41	10.59
T20	27.1	17.15
T21	26.99	13.93
T22	26.71	17.97
T23	26.54	16.86
T24	26.21	5.96
T25	26.19	13.6
T26	26.18	17.1
T27	26.14	24.52
T28	26.1	6.21
T29	26.1	0.0
T30	26.09	13.6
T31	26.03	7.61
T32	25.89	10.63
T33	25.88	21.83
T34	25.7	22.67
T37	25.58	17.51
T38	25.51	18.27
T39	25.28	19.3
T40	25.25	10.32
T42	25.19	14.42
T43	25.17	14.17
T44	25.16	13.59
T45	25.09	14.84
T46	25.05	17.37
T47	24.96	20.01
T48	24.86	21.57
T49	24.84	17.43
T50	24.78	10.54
T51	24.69	12.63
T52	24.65	16.18
T53	24.62	18.94
T55	24.29	12.44
T56	24.25	16.79
T57	23.86	4.07
T58	23.72	15.67
T59	23.69	11.14
T60	23.49	13.57
T61	23.45	14.63
T62	23.43	16.79
T63	23.4	14.85
T64	23.37	17.92
T65	23.29	20.54
T67	23.23	11.37
T69	22.92	17.56
T70	22.9	16.63
T73	22.62	18.66
T74	22.59	16.46
T76	22.55	16.71
T77	22.44	17.91
T78	22.41	18.92
T79	22.28	21.99
T81	22.02	14.71
T82	22.01	9.41
T83	22.01	14.57
T84	22.01	8.76
T85	21.99	13.97
T86	21.98	16.68
T87	21.96	16.47
T88	21.87	11.76
T89	21.78	19.22
T90	21.78	11.69
T91	21.77	1.47
T92	21.76	15.65
T93	21.7	13.61
T94	21.45	17.13
T95	21.37	14.41
T96	21.35	9.69
T97	21.32	16.05
T98	21.28	11.07
T99	21.21	16.61
T100	21.2	20.61
T101	21.18	18.49
T103	21.01	12.53
T104	20.91	19.85
T106	20.86	14.27
T107	20.81	16.99
T108	20.81	10.38
T109	20.81	18.25
T111	20.74	12.63
T112	20.73	18.33
T113	20.71	7.15
T114	20.71	17.81
T115	20.69	17.64
T116	20.62	17.43
T117	20.6	13.79
T118	20.56	17.26
T119	20.52	17.74
T120	20.42	17.71
T121	20.32	10.87
T122	20.24	11.51
T124	20.18	11.53
T125	20.18	19.62
T126	20.16	13.09
T127	20.15	12.4
T128	20.13	15.37
T129	20.07	17.47
T130	20.02	12.32
T131	19.94	10.46
T133	19.88	15.4
T134	19.76	17.05
T135	19.72	17.94
T136	19.7	19.46
T137	19.68	11.29
T138	19.68	18.23
T139	19.66	17.87
T141	19.55	15.59
T142	19.51	15.89
T143	19.43	10.66
T144	19.41	13.26
T145	19.39	16.37
T146	19.37	10.36
T147	19.36	18.2
T148	19.36	13.65
T149	19.31	10.75
T150	19.31	18.46
T151	19.29	14.15
T153	19.21	16.36
T154	19.18	17.38
T156	19.15	10.75
T157	19.13	13.33
T159	19.0	16.24
T160	18.84	13.25
T162	18.79	14.76
T163	18.75	13.38
T164	18.73	16.41
T165	18.7	14.7
T166	18.65	13.97
T167	18.63	13.78
T168	18.61	8.39
T169	18.56	9.46
T170	18.54	7.62
T172	18.53	17.34
T173	18.52	8.21
T174	18.48	17.44
T175	18.47	9.46
T178	18.29	14.65
T179	18.29	4.94
T180	18.26	0.0
T181	18.24	15.35
T182	18.19	12.79
T183	18.18	5.78
T184	18.16	16.87
T185	18.12	16.73
T186	18.12	14.26
T187	18.06	15.95
T189	18.03	12.16
T190	17.98	8.37
T192	17.84	13.86
T193	17.82	11.08
T194	17.79	9.69
T195	17.76	12.2
T196	17.69	15.24
T197	17.54	17.24
T198	17.52	14.3
T199	17.47	16.6
T200	17.32	11.35
T201	17.28	16.29
T202	17.15	14.06
T204	17.07	14.76
T205	17.06	10.32
T206	17.04	15.04
T207	17.02	12.71
T208	16.84	14.92
T209	16.69	5.64
T210	16.67	14.05
T212	16.64	9.36
T213	16.63	10.05
T214	16.57	8.33
T215	16.55	13.23
T217	16.49	14.99
T220	16.39	6.6
T221	16.31	11.67
T222	16.27	7.41
T223	16.26	13.55
T227	16.04	13.76
T228	16.01	1.25
T230	15.9	15.11
T231	15.84	13.31
T232	15.72	11.57
T233	15.65	12.04
T237	15.48	8.46
T239	15.39	12.58
T240	15.37	12.31
T241	15.33	14.23
T242	15.3	14.02
T244	15.16	13.01
T246	15.09	12.37
T247	15.01	13.65
T250	14.7	8.01
T255	14.09	10.18
T256	14.0	10.84
T259	13.87	11.48
T261	13.76	12.17
T262	13.63	11.12
T263	13.14	11.51
T264	13.06	9.3
T265	13.05	11.34
T267	12.8	8.81
T268	12.8	11.5
T269	12.79	8.34
T270	12.7	8.83
T271	12.66	8.88
T272	12.61	11.61
T274	12.43	10.56
T275	12.36	10.16
T276	12.28	10.65
T277	11.93	8.56
T279	11.54	2.62
T280	11.53	9.33
T282	11.34	10.37
T283	10.92	4.3
T285	10.34	6.62
T286	9.68	4.76
T287	9.43	6.58
T289	8.68	6.23
T292	5.58	0.95
T293	5.25	1.31
T294	5.02	4.54
T295	5.01	0.0
T296	4.38	0.0
T297	4.0	1.25
