cont_trait_0,mean,lwr,upr
-1.927918831091453,0.35034357670776073,0.1746517618966975,0.5609923353778961
-1.8875348445982731,0.34747328561036983,0.1717397634728327,0.551983019688857
-1.8471508581050935,0.3445463675462946,0.17522979539299421,0.5464096113037277
-1.8067668716119136,0.34156058478496715,0.17864985325858632,0.5454224148115263
-1.7663828851187335,0.33851481004129136,0.17940489008993143,0.5431653856656753
-1.725998898625554,0.33540841592573434,0.1666376863401403,0.5269770360752054
-1.685614912132374,0.33224027944222645,0.17670959281590615,0.5297106534029832
-1.6452309256391944,0.3290080803667179,0.17704162691687722,0.5206358972432354
-1.6048469391460145,0.32570845667272125,0.17700302437822105,0.5165611063724304
-1.5644629526528349,0.3223380111806,0.15969797641402114,0.4926355762366055
-1.524078966159655,0.3188941602366201,0.17018459145960715,0.4947256638181694
-1.4836949796664751,0.31537502233099124,0.17177208113655676,0.4836416547274877
-1.4433109931732953,0.3117787051528849,0.17107911127659944,0.47510382531390405
-1.4029270066801156,0.3081033650319083,0.1675106723215455,0.46986669903306044
-1.3625430201869357,0.304348943849893,0.16412752922529864,0.4597742501853775
-1.3221590336937559,0.3005194356426304,0.16001137815966832,0.449486533196642
-1.2817750472005762,0.2966248388143302,0.1594131458012816,0.43957729652280014
-1.2413910607073964,0.2926827519904542,0.1628976304727311,0.4322739525771304
-1.2010070742142167,0.2887171126845816,0.15547942832041353,0.4208419552170413
-1.1606230877210366,0.28475319529725374,0.16032421187602833,0.4206851533331133
-1.120239101227857,0.2808129813564124,0.15470293513934955,0.4076863313430283
-1.0798551147346773,0.2769128130433364,0.15443983221166652,0.40093753913545355
-1.0394711282414972,0.27306783638686327,0.15740390501778911,0.39837137950852386
-0.9990871417483177,0.26929913451496795,0.15185458402175855,0.3857573633128154
-0.9587031552551378,0.2656331344657601,0.14212892404773272,0.37239287537374494
-0.9183191687619582,0.2620983507840769,0.1514851998654479,0.3765458743294893
-0.8779351822687784,0.2587245731343017,0.13796159551714457,0.3585599947520673
-0.8375511957755984,0.25554466994735625,0.1354844548442296,0.3539357391959438
-0.7971672092824187,0.2526011229533048,0.1358545006779496,0.3524412662019491
-0.7567832227892389,0.24995528654979876,0.13965268019965696,0.3516591712520929
-0.716399236296059,0.24768648804043938,0.1383834988527291,0.35283962404978186
-0.6760152498028792,0.24588199491302115,0.12664767393097265,0.3396517724847676
-0.6356312633096995,0.24463147228647425,0.1280905508781589,0.3409884469524772
-0.5952472768165198,0.24402784129010213,0.13270184788863018,0.34451299376453537
-0.55486329032334,0.24417185272071107,0.13443370782199157,0.3449544203112502
-0.51447930383016,0.24518768618987308,0.12849570198343077,0.3394608793838408
-0.47409531733698024,0.24722614916823868,0.14031072552355395,0.3502757540477463
-0.4337113308438005,0.25043913441375376,0.14914452565845512,0.3587922932493359
-0.39332734435062056,0.25494995578753304,0.14530888676050666,0.3593509577600065
-0.3529433578574408,0.26082673965170966,0.144528833595481,0.3674790538200983
-0.31255937136426104,0.2680877505262137,0.1447444485354516,0.3794964076038363
-0.2721753848710813,0.27672044815429203,0.15835911598628916,0.40044463405831277
-0.23179139837790158,0.28666849759388446,0.15010257124967738,0.4013532489625639
