Species	NMDS1	NMDS2	PVR1	PVR2	Africa	America	Eurasia	Island
Afrochoerodon_kisumuensis	-0.0810981217987767	-0.799016239637565	-0.810535391912193	0.389556311836269	1	0	0	0
Afromastodon_coppensi	-0.0184602625500703	-0.567317586836067	-1.00792917587258	0.918341249215886	1	0	0	0
Amebelodon_floridanus	0.142035802312936	-1.56118648538441	-1.06239763863444	1.04827950797094	0	1	0	0
Amebelodon_fricki	0.194266825002114	-1.63273240063768	-1.0630655454963	1.04988463567667	0	1	0	0
Anancus_arvernensis	0.263965938334339	-0.170495841571779	0.835342858709263	-0.00976852445986588	0	0	1	0
Anancus_kazachstanensis	0.263965938334339	-0.170495841571779	0.839060942288191	-0.00987329268330848	0	0	1	0
Anancus_kenyensis	0.242329146842273	-0.175542130996932	0.854437146663979	-0.0103297888693929	1	0	0	0
Anancus_lehmanni	0.134814355994058	-0.243390226809055	0.827311658047569	-0.00953320411240018	0	0	1	0
Anancus_osiris	0.19495139849217	-0.223090670725096	0.838992939292372	-0.00987252200384946	1	0	0	0
Anancus_perimensis	0.100421214012633	-0.386225089427438	0.837948742647584	-0.00984009188025689	0	0	0	1
Anancus_petrocchii	0.13077149655276	-0.207110947575169	0.854065629317579	-0.0103188651265041	1	0	0	0
Anancus_sinensis	0.217094065020907	-0.238321888268395	0.837800978505111	-0.00983828820109152	0	0	1	0
Anancus_sivalensis	0.29186712293248	-0.180649591666838	0.858697778676713	-0.0104554407709193	0	0	1	0
Anancus_ultimus	0.28098057105069	-0.175243889773299	0.857021024249067	-0.0104056387954576	1	0	0	0
Aphanobelodon_zhaoi	-0.666339184502935	-0.978623531843796	-1.00118436729093	0.901486855903926	0	0	1	0
Archaeobelodon_filholi	-0.530823275802624	-1.09025744803064	-0.982200567751321	0.859164235726409	1	0	1	0
Barytherium_grave	-2.45263487793742	1.08959153900003	-0.946879386193402	0.728539165908938	1	0	0	0
Chilgatherium_harrisi	-1.73451104900531	1.13340697049122	-0.988752108551513	0.850819840764824	1	0	0	0
Choerolophodon_anatolicus	-0.346161952688902	-0.497534449635795	-0.824895233630268	0.406660395645472	0	0	1	0
Choerolophodon_chioticus	-0.0984097137815234	-0.870448273676343	-0.815354120226319	0.395214821311667	0	0	1	0
Choerolophodon_corrugatus	-0.974507467842991	-0.283534196697913	-0.816971593503867	0.397216934713041	0	0	1	0
Choerolophodon_guangheensis	-0.369716114281058	-0.53141789121383	-0.816562794047954	0.396640851109793	0	0	1	0
Choerolophodon_ngorora	-0.0282152712225646	-0.68239770389694	-0.814567668795739	0.394290206177957	1	0	0	0
Choerolophodon_pentelici	-0.414583843029675	-0.53445284639467	-0.822682480441743	0.40399420858413	0	0	1	0
Cuvieronius_hyodon	0.43787219068675	-0.560068068712387	-1.14767337101408	-2.76290059009122	0	1	0	0
Deinotherium_bozasi	-1.71873449869772	1.66982240067779	-1.0930445756588	1.10147301817753	1	0	0	0
Deinotherium_giganteum	-1.6866405917305	1.90822505694254	-1.0906078411039	1.09553592784357	0	0	1	0
Deinotherium_indicum	-1.68664059173146	1.90822505694352	-1.08412678786883	1.07970087773556	0	0	1	0
Deinotherium_levius	-1.67311018539467	1.73061536594545	-1.08756902451715	1.08811023585032	0	0	1	0
Deinotherium_proavum	-1.68664059173608	1.90822505694826	-1.09646632327142	1.10988386810188	0	0	1	0
Elephas_atavus	1.37285055676594	0.648309788828526	1.29020565131348	-0.0868385456900967	1	0	0	0
Elephas_ekorensis	1.06234113213693	0.616778334033209	1.25045649269137	-0.080226320897737	1	0	0	0
Elephas_hysudricus	1.37285055676594	0.648309788828526	1.29440931383891	-0.0875282413916639	0	0	1	0
Elephas_hysudrindicus	1.37285055676594	0.648309788828527	1.29856157040649	-0.0882120850719501	0	0	1	0
Elephas_maximus	1.30741179705183	0.635066864936334	1.30043798698737	-0.0885207683478797	0	0	1	0
Elephas_planifrons	1.06000256094101	0.733434697159816	1.26796143463126	-0.0831370659497463	1	0	1	0
Eozygodon_morotoensis	-0.815959002114192	1.10228837072399	-0.959317815841231	0.780562291280764	1	0	0	0
Eritreum_melakeghebrekristosi	-0.70665578525507	-0.734049517803922	-0.833057064250911	0.499941385752616	1	0	0	0
Eubelodon_morrilli	-0.0396905546967406	-1.27754260390367	-1.01201775701958	-1.98474127472387	0	1	0	0
Gnathabelodon_buckneri	0.356160389552288	-1.10612747792026	-1.05791485850508	-2.24286376919922	0	1	0	0
Gnathabelodon_thorpei	0.423212791123226	-1.18916153862621	-1.06137711925882	-2.26074453039909	0	1	0	0
Gomphotherium_angustidens	-0.343765582145374	-1.0365355480159	0.282091999505133	0.0513532087695887	1	0	1	0
Gomphotherium_annectens	-0.370101165135938	-0.851733865646352	-0.252148577046115	0.0763343324928252	0	0	1	0
Gomphotherium_basal	-0.447344999291067	-0.877743982550461	-0.570970802442195	0.0882778732859928	1	0	0	0
Gomphotherium_browni	-0.307519002546884	-0.826177802592687	0.36331415049849	0.0446179797770136	0	0	1	0
Gomphotherium_connexum	-0.370101165135938	-0.851733865646352	0.282917667367705	0.0517180672546199	0	0	1	0
Gomphotherium_cooperi	-0.399408460837228	-0.839437818975207	0.164934455955055	0.0553379032487132	0	0	1	0
Gomphotherium_hannibali	-0.370101165135938	-0.851733865646352	-0.269395266478282	0.0769600685997379	0	0	1	0
Gomphotherium_inopinatum	-0.57789663886497	-0.763704961138203	0.281523492293404	0.0511010865916198	0	0	1	0
Gomphotherium_mongoliense	-0.370101165135938	-0.851733865646352	0.281910836874682	0.0512733435897324	0	0	1	0
