Species	NMDS1	NMDS2	PVR1	PVR2	Africa	America	Eurasia	Island
Afrochoerodon_kisumuensis	-0.0810981217987767	-0.799016239637565	-0.747025327013477	0.367819342753944	1	0	0	0
Afromastodon_coppensi	-0.0184602625500703	-0.567317586836067	-0.903683080262941	0.66444452221858	1	0	0	0
Amebelodon_floridanus	0.142035802312936	-1.56118648538441	-0.957220144067525	0.762422940710601	0	1	0	0
Amebelodon_fricki	0.194266825002114	-1.63273240063768	-0.957227143497965	0.762435774053438	0	1	0	0
Anancus_arvernensis	0.263965938334339	-0.170495841571779	0.681336095742583	0.0534599578417076	0	0	1	0
Anancus_kazachstanensis	0.263965938334339	-0.170495841571779	0.682935680798095	0.0537319300325061	0	0	1	0
Anancus_kenyensis	0.242329146842273	-0.175542130996932	0.698361553912786	0.0566663700646297	1	0	0	0
Anancus_lehmanni	0.134814355994058	-0.243390226809055	0.667251053156196	0.0508161252446566	0	0	1	0
Anancus_osiris	0.19495139849217	-0.223090670725096	0.686049408813947	0.0543195962768223	1	0	0	0
Anancus_perimensis	0.100421214012633	-0.386225089427438	0.682852522031872	0.0537120438266541	0	0	0	1
Anancus_petrocchii	0.13077149655276	-0.207110947575169	0.699040590603797	0.0567931529279341	1	0	0	0
Anancus_sinensis	0.217094065020907	-0.238321888268395	0.68439507133638	0.0540159628116066	0	0	1	0
Anancus_sivalensis	0.29186712293248	-0.180649591666838	0.703285326415289	0.0575976619266573	0	0	1	0
Anancus_ultimus	0.28098057105069	-0.175243889773299	0.701002141961846	0.0571621706983157	1	0	0	0
Aphanobelodon_zhaoi	-0.666339184502935	-0.978623531843796	-0.905103410720061	0.666372521435969	0	0	1	0
Archaeobelodon_filholi	-0.530823275802624	-1.09025744803064	-0.874801921117629	0.613602335539032	1	0	1	0
Barytherium_grave	-2.45263487793742	1.08959153900003	-0.967929941027594	1.02243402001648	1	0	0	0
Chilgatherium_harrisi	-1.73451104900531	1.13340697049122	-1.02997725332364	1.25175065793639	1	0	0	0
Choerolophodon_anatolicus	-0.346161952688902	-0.497534449635795	-0.760600687408917	0.38357586746635	0	0	1	0
Choerolophodon_chioticus	-0.0984097137815234	-0.870448273676343	-0.756457714780591	0.378715862902888	0	0	1	0
Choerolophodon_corrugatus	-0.974507467842991	-0.283534196697913	-0.752073073604378	0.373666305272354	0	0	1	0
Choerolophodon_guangheensis	-0.369716114281058	-0.53141789121383	-0.756485461115373	0.378747971007234	0	0	1	0
Choerolophodon_ngorora	-0.0282152712225646	-0.68239770389694	-0.752868482226307	0.374538590767882	1	0	0	0
Choerolophodon_pentelici	-0.414583843029675	-0.53445284639467	-0.758206809446301	0.380750574745131	0	0	1	0
Cuvieronius_hyodon	0.43787219068675	-0.560068068712387	-1.30848929185916	-2.6531636828344	0	1	0	0
Deinotherium_bozasi	-1.71873449869772	1.66982240067779	-1.14803119611632	1.63179417493117	1	0	0	0
Deinotherium_giganteum	-1.6866405917305	1.90822505694254	-1.14411032544619	1.61896448149499	0	0	1	0
Deinotherium_indicum	-1.68664059173146	1.90822505694352	-1.12766224086573	1.56510251941357	0	0	1	0
Deinotherium_levius	-1.67311018539467	1.73061536594545	-1.14238459732269	1.61329759211408	0	0	1	0
Deinotherium_proavum	-1.68664059173608	1.90822505694826	-1.15240921550767	1.64624601204817	0	0	1	0
Elephas_atavus	1.37285055676594	0.648309788828526	1.33130431779928	-0.312309606153749	1	0	0	0
Elephas_ekorensis	1.06234113213693	0.616778334033209	1.27436501982416	-0.280956489772416	1	0	0	0
Elephas_hysudricus	1.37285055676594	0.648309788828526	1.34033137523836	-0.317234746842496	0	0	1	0
Elephas_hysudrindicus	1.37285055676594	0.648309788828527	1.34227565496439	-0.318296608592438	0	0	1	0
Elephas_maximus	1.30741179705183	0.635066864936334	1.34362161347878	-0.319032179042991	0	0	1	0
Elephas_planifrons	1.06000256094101	0.733434697159816	1.28256229181026	-0.285377809692578	1	0	1	0
Eozygodon_morotoensis	-0.815959002114192	1.10228837072399	-0.858484577204332	0.662380243490517	1	0	0	0
Eritreum_melakeghebrekristosi	-0.70665578525507	-0.734049517803922	-0.858978761199603	0.731500308858999	1	0	0	0
Eubelodon_morrilli	-0.0396905546967406	-1.27754260390367	-1.16255276259741	-1.97705827220236	0	1	0	0
Gnathabelodon_buckneri	0.356160389552288	-1.10612747792026	-1.1747453527199	-2.03161393815649	0	1	0	0
Gnathabelodon_thorpei	0.423212791123226	-1.18916153862621	-1.1801825861255	-2.05339133030676	0	1	0	0
Gomphotherium_angustidens	-0.343765582145374	-1.0365355480159	0.361144566578796	0.157585884310984	1	0	1	0
Gomphotherium_annectens	-0.370101165135938	-0.851733865646352	0.111833088591018	0.179481013466989	0	0	1	0
Gomphotherium_basal	-0.447344999291067	-0.877743982550461	-0.658732150674142	0.238726112515342	1	0	0	0
Gomphotherium_browni	-0.307519002546884	-0.826177802592687	0.397143033096682	0.150167436931634	0	0	1	0
Gomphotherium_connexum	-0.370101165135938	-0.851733865646352	0.362161031754134	0.158609953095418	0	0	1	0
Gomphotherium_cooperi	-0.399408460837228	-0.839437818975207	0.220905736562953	0.167814029770335	0	0	1	0
