age	temp	humans	grassland
0	-1.50050899275478	0	0
0.002	-1.56626234018302	0	0
0.004	-1.52023499698326	0	0
0.006	-1.87793320699287	0	0
0.008	-2.07913845012329	0	0
0.01	-3.3481780554883	0	0
0.012	-3.21009602588899	0	0
0.014	-3.91102670947402	0	0
0.016	-3.88078016965703	0	0
0.018	-3.8110816213831	0	0
0.02	-3.66379412314384	0	0
0.022	-3.51256142405889	0	0
0.024	-3.47705461644764	0	0
0.026	-3.34554792159117	0	0
0.028	-3.35475339023112	0	0
0.03	-3.41393140291653	0	0
0.032	-3.22587682927177	0	0
0.034	-3.2324521640146	0	0
0.036	-3.09831533526099	0	0
0.038	-3.12461667423228	0	0
0.04	-3.13119200897511	0	0
0.042	-3.19694535640335	0	0
0.044	-3.0194113183471	0	0
0.046	-3.08121946492965	0	0
0.048	-3.09174000051816	0	0
0.05	-3.09174000051816	0	0
0.052	-3.09174000051816	0	0
0.054	-2.95760317176456	0	0
0.056	-3.07858933103252	0	0
0.058	-3.10489067000381	0	0
0.06	-3.28505484195719	0	0
0.062	-3.3705341936139	0	0
0.064	-3.32845205125982	0	0
0.066	-3.40735606817371	0	0
0.068	-3.15091801320358	0	0
0.07	-2.95760317176456	0	0
0.072	-2.82872661080521	0	0
0.074	-2.82872661080521	0	0
0.076	-2.61831589903484	0	0
0.078	-2.52626121263531	0	0
0.08	-2.40790518726448	0	0
0.082	-2.44735719572142	0	0
0.084	-2.33820663899055	0	0
0.086	-2.44735719572142	0	0
0.088	-2.6275213676748	0	0
0.09	-3.02598665308992	0	0
0.092	-2.80505540573104	0	0
0.094	-2.58543922532072	0	0
0.096	-2.74061712525137	0	0
0.098	-2.58543922532072	0	0
0.1	-2.5788638905779	0	0
0.102	-2.42763119149295	0	0
0.104	-2.14489179755152	0	0
0.106	-2.28954916189365	0	0
0.108	-2.26324782292235	0	0
0.11	-2.46050786520707	0	0
0.112	-2.54861735076091	0	0
0.114	-2.78927460234827	0	0
0.116	-2.71037058543438	0	0
0.118	-2.61831589903484	0	0
0.12	-2.6275213676748	0	0
0.122	-2.14489179755152	0	0
0.124	-1.90817974680987	0	0
0.126	-1.75957718162204	0	0
0.128	-1.48998845716627	0	0
0.13	-1.77404291805626	0	0
0.132	-2.46971333384702	0	0
0.134	-3.57436957064144	0	0
0.136	-3.74269814005773	0	0
0.138	-3.70982146634361	0	0
0.14	-3.84132816120009	0	0
0.142	-3.64012291806968	0	0
0.144	-3.69667079685796	0	0
0.146	-3.35475339023112	0	0
0.148	-3.39026019784237	0	0
0.15	-3.4599587461163	0	0
0.152	-3.09174000051816	0	0
0.154	-3.53228742828736	0	0
0.156	-3.37710952835672	0	0
0.158	-3.1574933479464	0	0
0.16	-3.24954803434594	0	0
0.162	-3.18773988776339	0	0
0.164	-3.1837946869177	0	0
0.166	-3.11409613864376	0	0
0.168	-3.04308252342127	0	0
0.17	-2.99968531411863	0	0
0.172	-3.07858933103252	0	0
0.174	-3.11804133948946	0	0
